case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
2,1500.0,33,3D2E0B75,00000000,41969AD8,00000000,41973ACA,00000000,41973ACA,00000000,39DA73DB
2,1500.0,34,3D2A4C70,00000000,4196011A,00000000,41969AD8,00000000,41969AD8,00000000,39CACC0C
2,1500.0,35,3D25FE33,00000000,41956D6C,00000000,4196011A,00000000,4196011A,00000000,39BB76B8
2,1500.0,36,3D212C14,00000000,4194DFB0,00000000,41956D6C,00000000,41956D6C,00000000,39AC8549
2,1500.0,37,3D1BE49A,00000000,419457D2,00000000,4194DFB0,00000000,4194DFB0,00000000,399E0856
2,1500.0,38,3D163939,00000000,4193D5C7,00000000,419457D2,00000000,419457D2,00000000,399010CD
2,1500.0,39,3D103DE6,00000000,4193598D,00000000,4193D5C7,00000000,4193D5C7,00000000,3982ACFC
2,1500.0,40,3D0A089C,00000000,4192E32E,00000000,4193598D,00000000,4193598D,00000000,396CE0CD
2,1500.0,41,3D03A187,00000000,419272C0,00000000,4192E32E,00000000,4192E32E,00000000,3955CB4E
2,1500.0,42,3CFA368F,00000000,41920869,00000000,419272C0,00000000,419272C0,00000000,393F9B45
2,1500.0,43,3CED22EF,00000000,4191A464,00000000,41920869,00000000,41920869,00000000,392A6582
2,1500.0,44,3CE0415C,00000000,41914709,00000000,4191A464,00000000,4191A464,00000000,39162E1A
2,1500.0,45,3CD3CCB5,BB806D6A,4190F0DC,00000000,41914709,00000000,41914709,00000000,390B5165
2,1500.0,46,3CD4E357,BB806D6A,4190A2A8,00000000,4190F0DC,00000000,4190F0DC,00000000,00000000
2,1500.0,47,3C905F44,BB806D6A,41905DBD,00000000,4190A2A8,00000000,4190A2A8,00000000,00000000
2,1500.0,48,3C270757,BB806D6A,419024A8,00000000,41905DBD,00000000,41905DBD,00000000,00000000
2,1500.0,49,3B830C62,BB806D6A,41900000,00000000,419024A8,00000000,419024A8,00000000,00000000
3,1500.0,1,00000000,00000000,42263741,00000000,42263741,00000000,42263741,00000000,00000000
3,1500.0,2,00000000,00000000,421886F0,00000000,42263741,00000000,42263741,00000000,3C9036BF
3,1500.0,3,3C9036BF,00000000,420DC514,00000000,421886F0,00000000,421886F0,00000000,3B00A4E5
3,1500.0,4,3CA04B5B,00000000,4204BF23,00000000,420DC514,00000000,420DC514,00000000,3AF61200
3,1500.0,5,3CAFAC7B,00000000,41F9E55F,00000000,4204BF23,00000000,4204BF23,00000000,3AEE4954
3,1500.0,6,3CBE910E,00000000,41EC2179,00000000,41F9E55F,00000000,41F9E55F,00000000,3AE87934
3,1500.0,7,3CCD1899,00000000,41DFCB2A,00000000,41EC2179,00000000,41EC2179,00000000,3AE3E5FC
3,1500.0,8,3CDB56DC,00000000,41D49AD5,00000000,41DFCB2A,00000000,41DFCB2A,00000000,3AE024DF
3,1500.0,9,3CE958D4,00000000,41CA5CB1,00000000,41D49AD5,00000000,41D49AD5,00000000,3ADCF570
3,1500.0,10,3CF72744,00000000,41C0E9FA,00000000,41CA5CB1,00000000,41CA5CB1,00000000,3ACEF2D6
3,1500.0,11,3D020A36,00000000,41B824EA,00000000,41C0E9FA,00000000,41C0E9FA,00000000,3ABFABD4
3,1500.0,12,3D080586,00000000,41AFF614,00000000,41B824EA,00000000,41B824EA,00000000,3AB271A8
3,1500.0,13,3D0D952A,00000000,41A84AB7,00000000,41AFF614,00000000,41AFF614,00000000,3AA6E415
3,1500.0,14,3D12C532,00000000,41A1138C,00000000,41A84AB7,00000000,41A84AB7,00000000,3A9D22FC
3,1500.0,15,3D17A1D1,00000000,419A43FF,00000000,41A1138C,00000000,41A1138C,00000000,3A94F71B
3,1500.0,16,3D1C3462,00000000,4193D184,00000000,419A43FF,00000000,419A43FF,00000000,3A8DD7E9
3,1500.0,17,3D20809D,00000000,418DB342,00000000,4193D184,00000000,4193D184,00000000,3A875C55
3,1500.0,18,3D248579,00000000,4187E1A5,00000000,418DB342,00000000,418DB342,00000000,3A813852
