case,dx,k,ztenu,ztenv,pvom,pvol,puen,pven,ptte
3,1500.0,14,00000000,00000000,37AAD55F,00000000,41A1138C,00000000,39B78EA8
3,1500.0,15,00000000,00000000,37B78966,00000000,419A43FF,00000000,39B4C2B6
3,1500.0,16,00000000,00000000,37C1FE5A,00000000,4193D184,00000000,39B26C72
3,1500.0,17,00000000,00000000,37CADAA7,00000000,418DB342,00000000,39B0F444
3,1500.0,18,00000000,00000000,37D290AB,00000000,4187E1A5,00000000,39B04268
3,1500.0,19,00000000,00000000,37D95C5C,00000000,41825636,00000000,39B02301
3,1500.0,20,00000000,00000000,37DF6301,00000000,417A16B0,00000000,39AD2DEC
3,1500.0,21,00000000,00000000,37E4B030,00000000,416FF85D,00000000,39A93B0C
3,1500.0,22,00000000,00000000,37E948BF,00000000,416648F3,00000000,39A5416C
3,1500.0,23,00000000,00000000,37ED2D46,00000000,415D0101,00000000,396470CC
3,1500.0,24,00000000,00000000,37F01308,00000000,415419F5,00000000,B84AB16D
3,1500.0,25,00000000,00000000,37F14A13,00000000,414B8E1E,00000000,B9333474
3,1500.0,26,00000000,00000000,37F12BE2,00000000,41435873,00000000,39853FE0
3,1500.0,27,00000000,00000000,37F061B9,00000000,413B746D,00000000,39825070
3,1500.0,28,00000000,00000000,37EEE770,00000000,4133DE0C,00000000,397EAA38
3,1500.0,29,00000000,00000000,37ECBB0D,00000000,412C91C0,00000000,39789EA6
3,1500.0,30,00000000,00000000,37E9D505,00000000,41258C6F,00000000,39727336
3,1500.0,31,00000000,00000000,37E63B7F,00000000,411ECB54,00000000,396C1D62
3,1500.0,32,00000000,00000000,37E1EBD8,00000000,41184C10,00000000,3965A88D
3,1500.0,33,00000000,00000000,37DCEDD3,00000000,41120C90,00000000,395F1079
3,1500.0,34,00000000,00000000,37D74969,00000000,410C0B1A,00000000,39585614
3,1500.0,35,00000000,00000000,37D10A3B,00000000,41064642,00000000,395189C7
3,1500.0,36,00000000,00000000,37CA429F,00000000,4100BCE4,00000000,394A9EF0
3,1500.0,37,00000000,00000000,37C3035F,00000000,40F6DC71,00000000,3943B856
3,1500.0,38,00000000,00000000,37BB65CB,00000000,40ECB394,00000000,393CCEF0
3,1500.0,39,00000000,00000000,37B38607,00000000,40E2FF0C,00000000,393603FA
3,1500.0,40,00000000,00000000,37AB85AA,00000000,40D9BF9C,00000000,392F5774
3,1500.0,41,00000000,00000000,37A374FE,00000000,40D0F702,00000000,3928D537
3,1500.0,42,00000000,00000000,379B6CAD,00000000,40C8A838,00000000,39227D75
3,1500.0,43,00000000,00000000,37939DC4,00000000,40C0D7D2,00000000,391C7951
3,1500.0,44,00000000,00000000,37C4A153,00000000,40B98CB7,00000000,391F5E5C
3,1500.0,45,00000000,00000000,3705728B,00000000,40B2D12F,00000000,3904D98A
3,1500.0,46,00000000,00000000,37EBD46C,00000000,40ACB51E,00000000,3889D7CE
3,1500.0,47,00000000,00000000,37EBD468,00000000,40A752C9,00000000,38A0C36E
3,1500.0,48,00000000,00000000,37EBD46B,00000000,40A2DD1E,00000000,38534F61
3,1500.0,49,00000000,00000000,37EBD469,00000000,40A00000,00000000,B6F8EF20
4,1500.0,1,00000000,00000000,00000000,00000000,42266007,00000000,80000000
4,1500.0,2,00000000,00000000,BA389611,00000000,4218AA6A,00000000,B9BE2EBE
4,1500.0,3,00000000,00000000,B71FECAE,00000000,420DE5E8,00000000,39A0958A
4,1500.0,4,00000000,00000000,B6CBE045,00000000,4204DDBE,00000000,39DE2668
4,1500.0,5,00000000,00000000,B651E32E,00000000,41FA1EBC,00000000,39D8C2AC
4,1500.0,6,00000000,00000000,B505B778,00000000,41EC5772,00000000,39D4F297
4,1500.0,7,00000000,00000000,35FF998B,00000000,41DFFE17,00000000,39D1472E
4,1500.0,8,00000000,00000000,368A94E1,00000000,41D4CB00,00000000,39CD6496
4,1500.0,9,00000000,00000000,36D0803C,00000000,41CA8A54,00000000,39C90632
4,1500.0,10,00000000,00000000,372D5D53,00000000,41C11548,00000000,39C15396
4,1500.0,11,00000000,00000000,37708814,00000000,41B84E0C,00000000,39B94A54
4,1500.0,12,00000000,00000000,3793514B,00000000,41B01D2C,00000000,39B22C05
4,1500.0,13,00000000,00000000,37A94C22,00000000,41A86FE6,00000000,39AC6E61
4,1500.0,14,00000000,00000000,37BAB4F8,00000000,41A136EC,00000000,39A787B5
4,1500.0,15,00000000,00000000,37C88AC7,00000000,419A65A6,00000000,39A2B434
4,1500.0,16,00000000,00000000,37D3ED6F,00000000,4193F188,00000000,399E99D6
4,1500.0,17,00000000,00000000,37DD9498,00000000,418DD1B4,00000000,399BC378
4,1500.0,18,00000000,00000000,37E5FD22,00000000,4187FE96,00000000,3999B6B7
4,1500.0,19,00000000,00000000,37ED660A,00000000,418271B3,00000000,39974B5E
4,1500.0,20,00000000,00000000,37F3F9D6,00000000,417A4ADF,00000000,39919B7E
4,1500.0,21,00000000,00000000,37F9C75E,00000000,417029D8,00000000,398BE4F1
4,1500.0,22,00000000,00000000,37FED4F3,00000000,416677D0,00000000,39865833
4,1500.0,23,00000000,00000000,38018E05,00000000,415D2D53,00000000,390373A0
4,1500.0,24,00000000,00000000,38032458,00000000,415443CE,00000000,B93349F2
4,1500.0,25,00000000,00000000,3803D6A3,00000000,414BB58E,00000000,B984CACA
4,1500.0,26,00000000,00000000,3803CFD5,00000000,41437D8A,00000000,393D2CDC
4,1500.0,27,00000000,00000000,380370E1,00000000,413B973E,00000000,3934E0F9
4,1500.0,28,00000000,00000000,3802B9B9,00000000,4133FEA4,00000000,392C9C49
4,1500.0,29,00000000,00000000,3801A74F,00000000,412CB030,00000000,39244A9B
4,1500.0,30,00000000,00000000,38003922,00000000,4125A8C4,00000000,391BFDA8
4,1500.0,31,00000000,00000000,37FCDD56,00000000,411EE59D,00000000,3913A48D
4,1500.0,32,00000000,00000000,37F8919A,00000000,41186459,00000000,390B3656
4,1500.0,33,00000000,00000000,37F39472,00000000,411222E8,00000000,3902B8D6
4,1500.0,34,00000000,00000000,37EDEE71,00000000,410C1F8D,00000000,38F45576
4,1500.0,35,00000000,00000000,37E7A9FE,00000000,410658DC,00000000,38E340B0
4,1500.0,36,00000000,00000000,37E0D7BE,00000000,4100CDB4,00000000,38D21C81
4,1500.0,37,00000000,00000000,37D98A25,00000000,40F6FA98,00000000,38C0EF86
4,1500.0,38,00000000,00000000,37D1D762,00000000,40ECCE5E,00000000,38B010EC
4,1500.0,39,00000000,00000000,37C9DC99,00000000,40E31695,00000000,389F5316
4,1500.0,40,00000000,00000000,37C1BD68,00000000,40D9D402,00000000,388F0D1A
4,1500.0,41,00000000,00000000,37B98792,00000000,40D10866,00000000,387E5A08
4,1500.0,42,00000000,00000000,37B156DA,00000000,40C8B6BA,00000000,385F9A07
4,1500.0,43,00000000,00000000,37A95C73,00000000,40C0E399,00000000,38422843
4,1500.0,44,00000000,00000000,37A1D986,00000000,40B995EB,00000000,3826702F
4,1500.0,45,00000000,00000000,37D05E1D,00000000,40B2D7FE,00000000,38446D77
4,1500.0,46,00000000,00000000,36BFD721,00000000,40ACB9BB,00000000,37167484
4,1500.0,47,00000000,00000000,37C465BA,00000000,40A75573,00000000,B882C0B4
4,1500.0,48,00000000,00000000,37C465BB,00000000,40A2DE29,00000000,B8DD595B
4,1500.0,49,00000000,00000000,37C465BB,00000000,40A00000,00000000,B92C0136
5,1500.0,1,00000000,00000000,00000000,00000000,42267973,00000000,00000000
5,1500.0,2,00000000,00000000,BA280EE9,00000000,4218C04E,00000000,B9D76C5F
5,1500.0,3,00000000,00000000,B7141B68,00000000,420DF9F4,00000000,39FCEE9D
5,1500.0,4,00000000,00000000,B6BE27D1,00000000,4204F03E,00000000,3938ECBD
5,1500.0,5,00000000,00000000,B6477003,00000000,41FA410F,00000000,39C7FD6E
5,1500.0,6,00000000,00000000,B51872A6,00000000,41EC7768,00000000,39C70AAE
5,1500.0,7,00000000,00000000,35DA5A8D,00000000,41E01BEE,00000000,39C601BA
5,1500.0,8,00000000,00000000,3675ABC5,00000000,41D4E6EA,00000000,39C484DD
5,1500.0,9,00000000,00000000,36BAB3D4,00000000,41CAA47B,00000000,39C2794B
5,1500.0,10,00000000,00000000,371ACB0F,00000000,41C12DCF,00000000,39BD6826
5,1500.0,11,00000000,00000000,375701F8,00000000,41B86510,00000000,39B7C0BD
5,1500.0,12,00000000,00000000,3783DA89,00000000,41B032C9,00000000,39B2C2F1
5,1500.0,13,00000000,00000000,3797B726,00000000,41A88431,00000000,39AEEEF6
5,1500.0,14,00000000,00000000,37A77E67,00000000,41A149FA,00000000,39ABA844
5,1500.0,15,00000000,00000000,37B41FE7,00000000,419A778A,00000000,39A8614C
5,1500.0,16,00000000,00000000,37BE9A77,00000000,41940254,00000000,39A59DF4
5,1500.0,17,00000000,00000000,37C7902D,00000000,418DE175,00000000,39A3EA99
5,1500.0,18,00000000,00000000,37CF670A,00000000,41880D5C,00000000,39A2DAC7
5,1500.0,19,00000000,00000000,37D657C7,00000000,41827F8B,00000000,39A267D1
5,1500.0,20,00000000,00000000,37DC83FE,00000000,417A64CA,00000000,399E1705
5,1500.0,21,00000000,00000000,37E1F63C,00000000,41704216,00000000,3999B33C
5,1500.0,22,00000000,00000000,37E6B22E,00000000,41668E77,00000000,39957830
5,1500.0,23,00000000,00000000,37EAAC4E,00000000,415D4278,00000000,3912D1CA
5,1500.0,24,00000000,00000000,37ED98D1,00000000,41545783,00000000,B935BF6D
5,1500.0,25,00000000,00000000,37EEE52B,00000000,414BC7E6,00000000,B88051EF
5,1500.0,26,00000000,00000000,37EED54E,00000000,41438E96,00000000,39682373
5,1500.0,27,00000000,00000000,37EE1612,00000000,413BA70A,00000000,3961A38F
5,1500.0,28,00000000,00000000,37ECA167,00000000,41340D41,00000000,395B00E2
5,1500.0,29,00000000,00000000,37EA7657,00000000,412CBDA9,00000000,39545578
5,1500.0,30,00000000,00000000,37E78E1F,00000000,4125B528,00000000,394D8C02
5,1500.0,31,00000000,00000000,37E3ECF8,00000000,411EF0F8,00000000,3946A670
5,1500.0,32,00000000,00000000,37DF91CE,00000000,41186EB8,00000000,393F9D65
5,1500.0,33,00000000,00000000,37DA844E,00000000,41122C55,00000000,393871F2
5,1500.0,34,00000000,00000000,37D4CCCF,00000000,410C2814,00000000,393132FC
5,1500.0,35,00000000,00000000,37CE78FF,00000000,41066088,00000000,3929DB9F
5,1500.0,36,00000000,00000000,37C79949,00000000,4100D490,00000000,39227490
5,1500.0,37,00000000,00000000,37C042B6,00000000,40F706C2,00000000,391B1292
5,1500.0,38,00000000,00000000,37B88C6A,00000000,40ECD90D,00000000,3913B99E
5,1500.0,39,00000000,00000000,37B0933C,00000000,40E31FDF,00000000,390C76C7
5,1500.0,40,00000000,00000000,37A87AAA,00000000,40D9DBFA,00000000,39055ED6
5,1500.0,41,00000000,00000000,37A052FD,00000000,40D10F1E,00000000,38FCF3D1
5,1500.0,42,00000000,00000000,3798364C,00000000,40C8BC48,00000000,38EF9C04
5,1500.0,43,00000000,00000000,3801DF24,00000000,40C0E811,00000000,39010B23
5,1500.0,44,00000000,00000000,361BB41D,00000000,40B99961,00000000,38A9095C
5,1500.0,45,00000000,00000000,36DB1DD3,00000000,40B2DA88,00000000,389FE3B4
5,1500.0,46,00000000,00000000,37FBED5F,00000000,40ACBB70,00000000,37BDC68F
5,1500.0,47,00000000,00000000,37FBED5C,00000000,40A7566F,00000000,37EAAAC5
5,1500.0,48,00000000,00000000,37FBED5F,00000000,40A2DE8B,00000000,3793266E
5,1500.0,49,00000000,00000000,37FBED5C,00000000,40A00000,00000000,37CBC285
6,1500.0,1,00000000,00000000,00000000,00000000,42294F08,00000000,00000000
6,1500.0,2,00000000,00000000,B905317F,00000000,421A0CD8,00000000,B9E26276
6,1500.0,3,00000000,00000000,B988C8E1,00000000,420E5B90,00000000,B912DEC6
6,1500.0,4,00000000,00000000,B8AFDDFC,00000000,4204E41D,00000000,3A00B67E
6,1500.0,5,00000000,00000000,B620A4CC,00000000,41F9E55F,00000000,39A226C7
6,1500.0,6,00000000,00000000,B4C110C7,00000000,41EC2179,00000000,3A088457
6,1500.0,7,00000000,00000000,35A04632,00000000,41DFCB2A,00000000,398ACE7F
6,1500.0,8,00000000,00000000,3630C7BA,00000000,41D49AD5,00000000,398A2B15
6,1500.0,9,00000000,00000000,36859C5D,00000000,41CA5CB1,00000000,3989215E
6,1500.0,10,00000000,00000000,36DFC316,00000000,41C0E9FA,00000000,3985CFDF
6,1500.0,11,00000000,00000000,371B0C0D,00000000,41B824EA,00000000,3981FC08
6,1500.0,12,00000000,00000000,373DDB8D,00000000,41AFF614,00000000,397D2F51
6,1500.0,13,00000000,00000000,375A3306,00000000,41A84AB7,00000000,3977D390
6,1500.0,14,00000000,00000000,3770C1C9,00000000,41A1138C,00000000,3973978E
6,1500.0,15,00000000,00000000,37815463,00000000,419A43FF,00000000,396F306F
6,1500.0,16,00000000,00000000,3788B2A5,00000000,4193D184,00000000,396B7679
6,1500.0,17,00000000,00000000,378EF0D0,00000000,418DB342,00000000,3968F6EB
6,1500.0,18,00000000,00000000,3794601B,00000000,4187E1A5,00000000,3967978B
6,1500.0,19,00000000,00000000,37992985,00000000,41825636,00000000,39670A5F
6,1500.0,20,00000000,00000000,379D6896,00000000,417A16B0,00000000,396281CE
6,1500.0,21,00000000,00000000,37A124B0,00000000,416FF85D,00000000,395C991B
6,1500.0,22,00000000,00000000,37A46270,00000000,416648F3,00000000,3956A9AC
6,1500.0,23,00000000,00000000,37A71FFA,00000000,415D0101,00000000,38FC69EA
6,1500.0,24,00000000,00000000,37A92B0D,00000000,415419F5,00000000,B917BEA0
6,1500.0,25,00000000,00000000,37AA05C7,00000000,414B8E1E,00000000,B7A9825E
6,1500.0,26,00000000,00000000,37A9F043,00000000,41435873,00000000,39285D1A
6,1500.0,27,00000000,00000000,37A96263,00000000,413B746D,00000000,3923F583
6,1500.0,28,00000000,00000000,37A857EA,00000000,4133DE0C,00000000,391F7F59
6,1500.0,29,00000000,00000000,37A6CF75,00000000,412C91C0,00000000,391AFCFF
6,1500.0,30,00000000,00000000,37A4C53F,00000000,41258C6F,00000000,391666EF
6,1500.0,31,00000000,00000000,37A23BF9,00000000,411ECB54,00000000,3911B506
6,1500.0,32,00000000,00000000,379F31E4,00000000,41184C10,00000000,390CF1E3
6,1500.0,33,00000000,00000000,379BADAD,00000000,41120C90,00000000,39081259
6,1500.0,34,00000000,00000000,3797B410,00000000,410C0B1A,00000000,39032328
6,1500.0,35,00000000,00000000,37934CAD,00000000,41064642,00000000,38FC4541
6,1500.0,36,00000000,00000000,378E8588,00000000,4100BCE4,00000000,38F22E41
6,1500.0,37,00000000,00000000,37896A30,00000000,40F6DC71,00000000,38E80D62
6,1500.0,38,00000000,00000000,37840CD8,00000000,40ECB394,00000000,38DDFE90
6,1500.0,39,00000000,00000000,377D0061,00000000,40E2FF0C,00000000,38D41198
6,1500.0,40,00000000,00000000,3771B9BA,00000000,40D9BF9C,00000000,38CA6088
6,1500.0,41,00000000,00000000,37665C37,00000000,40D0F702,00000000,38C0DC91
6,1500.0,42,00000000,00000000,375B0A56,00000000,40C8A838,00000000,38B7ACFC
6,1500.0,43,00000000,00000000,37500849,00000000,40C0D7D2,00000000,38AEEA86
6,1500.0,44,00000000,00000000,378A8DF2,00000000,40B98CB7,00000000,38B2BF5C
6,1500.0,45,00000000,00000000,36BC11B9,00000000,40B2D12F,00000000,388D22CC
6,1500.0,46,00000000,00000000,37A62D49,00000000,40ACB51E,00000000,37CB6434
6,1500.0,47,00000000,00000000,37A62D4B,00000000,40A752C9,00000000,38059EDE
6,1500.0,48,00000000,00000000,37A62D48,00000000,40A2DD1E,00000000,375EA8CA
6,1500.0,49,00000000,00000000,37A62D49,00000000,40A00000,00000000,B7E6BAC6
7,1500.0,1,00000000,00000000,00000000,00000000,422644E4,00000000,00000000
7,1500.0,2,00000000,00000000,BA2E3682,00000000,421892CE,00000000,B9E475A4
7,1500.0,3,00000000,00000000,B7184F0B,00000000,420DD012,00000000,3A00F964
7,1500.0,4,00000000,00000000,B6C3AAD7,00000000,4204C963,00000000,393CC14E
7,1500.0,5,00000000,00000000,B64D944F,00000000,41F9F897,00000000,39CD9F64
7,1500.0,6,00000000,00000000,B51FC789,00000000,41EC3391,00000000,39CCB430
7,1500.0,7,00000000,00000000,35DEB057,00000000,41DFDC3D,00000000,39CBBBAB
7,1500.0,8,00000000,00000000,367B843C,00000000,41D4AAFD,00000000,39CA4E40
7,1500.0,9,00000000,00000000,36BF5659,00000000,41CA6C03,00000000,39C85007
7,1500.0,10,00000000,00000000,3721562D,00000000,41C0F886,00000000,39C306D1
7,1500.0,11,00000000,00000000,37608C93,00000000,41B832BC,00000000,39BD1142
7,1500.0,12,00000000,00000000,3789B9B9,00000000,41B00338,00000000,39B7C9EB
7,1500.0,13,00000000,00000000,379E6977,00000000,41A85736,00000000,39B39B1F
7,1500.0,14,00000000,00000000,37AED19F,00000000,41A11F70,00000000,39B03864
7,1500.0,15,00000000,00000000,37BBD3F1,00000000,419A4F4E,00000000,39ACC081
7,1500.0,16,00000000,00000000,37C682E7,00000000,4193DC45,00000000,39A9CC9D
7,1500.0,17,00000000,00000000,37CF8BE1,00000000,418DBD79,00000000,39A7D7E1
7,1500.0,18,00000000,00000000,37D764FF,00000000,4187EB58,00000000,39A6A42A
7,1500.0,19,00000000,00000000,37DE4D4D,00000000,41825F68,00000000,39A610F8
7,1500.0,20,00000000,00000000,37E46A96,00000000,417A281B,00000000,39A23073
