case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,p8w,dz8w,rho3d,pi3d,w,qvften,thften,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
2,1500.0,13,4392D6CF,3C8A55FA,00000000,00000000,419457D2,00000000,47A79A06,47A933EB,4325D9DB,3F80FE62,3F750CA9,3C817042,329D39D0,37998A75,390FBFBB,B4528889,31409DAB,00000000,369BBBBC,00000000
2,1500.0,14,43924CD2,3C82FF9A,00000000,00000000,4194DFB0,00000000,47A45B0A,47A60021,432D03E8,3F7E0F50,3F73AF19,3C90CEF3,329B71ED,3797CD41,3918F573,B451C445,3166E265,00000000,36A11112,00000000
2,1500.0,15,4391BCDF,3C77650F,00000000,00000000,41956D6C,00000000,47A10632,47A2B5F3,43344677,3F7A0133,3F72432C,3CA0ADA8,32999658,3795FCD2,3921BF14,B44FC889,3188C91C,00000000,36A66667,00000000
2,1500.0,16,439126E2,3C68EB25,00000000,00000000,4196011A,00000000,479D9C7B,479F5670,433BAC5F,3F75D307,3F70C8B8,3CB10445,3297A6CF,379418E6,392AAD90,B44C8001,31A07D93,00000000,36ABBBBC,00000000
2,1500.0,17,43908ABD,3C5A9DD1,00000000,00000000,41969AD8,00000000,479A1ECA,479BE286,43433EBE,3F71855D,3F6F3F82,3CC1CA25,3295A2EF,3792211D,3933C362,B4480445,31BAB744,00000000,36B00001,00000000
2,1500.0,18,438FE84B,3C4C88AB,00000000,00000000,41973ACA,00000000,47968DEA,47985B0D,434B0767,3F6D1897,3F6DA73B,3CD2F5AE,32938A40,37901502,393D033D,B442599A,31D79F02,00000000,36B44445,00000000
2,1500.0,19,438F3F60,3C3EB695,00000000,00000000,4197E11C,00000000,4792EA95,4794C0C7,4353106A,3F688D0B,3F6BFF85,3CE47C31,32915C2B,378DF402,39467011,B43BAAAB,31F75F48,00000000,36B77778,00000000
2,1500.0,20,438E8FC4,3C31314F,00000000,00000000,41988E03,00000000,478F3572,47911463,435B63E4,3F63E2F9,3F6A47ED,3CF651A5,328F1800,378BBD70,394F77E2,B433F778,320D123C,00000000,36BAAAAB,00000000
2,1500.0,21,438DD93C,3C24027D,00000000,00000000,419941BD,00000000,478B6F1C,478D5682,43640DDF,3F5F1A84,3F687FEE,3D043427,328CBCF2,37897084,3958B11F,B42B6AAB,32200EA9,00000000,36BCCCCD,00000000
2,1500.0,22,438D1B7E,3C173292,00000000,00000000,4199FC8F,00000000,4787981E,478987B5,436D18B1,3F5A33CF,3F66A6F0,3D0D584B,328A4A13,37870C57,3962B704,B4222EEF,3234BDA9,00000000,36BEEEF0,00000000
