case,dx,k,paph,pten,plglac,plude,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,pdpmel,ptent_in,ptenq_in,pcte_in,pmfu,pmfd
2,1500.0,48,47C2C476,43971AC5,00000000,00000000,C01BB4A0,409ED7EB,371E72D7,35136FA0,00000000,B533B000,00000000,00000000,37A74D8F,32AB5178,00000000,3C270757,BB806D6A
2,1500.0,49,47C4491D,43974000,00000000,00000000,BF74542E,408D1554,3678A214,362CED2B,00000000,00000000,00000000,00000000,37A7C5AC,32ABCC77,00000000,3B830C62,BB806D6A
3,1500.0,1,459C4000,43468000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,1500.0,2,45EE9B40,43468000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,1500.0,3,46202EB0,434B8FE0,00000000,36208F22,C2A57400,00000000,B303DA36,00000000,375B2457,37140D95,00000000,00000000,3643FBF7,3148B017,00000000,3C9036BF,00000000
3,1500.0,4,4648C210,4352E4B4,00000000,3661E5C1,422C0200,00000000,34A75CA6,00000000,37C80FB6,3755953F,00000000,00000000,36EFEA30,31F5AC39,00000000,3CA04B5B,00000000
3,1500.0,5,467106C0,43593AD2,00000000,36930CFF,42A80040,00000000,35A32ED9,00000000,382145A3,378DD7CE,00000000,00000000,373549D7,3239A3AD,00000000,3CAFAC7B,00000000
3,1500.0,6,468C7DC8,435ED267,00000000,36B34537,432CAA60,00000000,3698D4C2,00000000,386B343C,37AFBA04,00000000,00000000,376B6A5B,327110C0,00000000,3CBE910E,00000000
3,1500.0,7,46A04FA4,4363D578,00000000,36CF8C27,437A8300,00000000,373E1A24,00000000,389E2894,37CDC518,00000000,00000000,378DF6AC,32915EE6,00000000,3CCD1899,00000000
3,1500.0,8,46B3F860,4368611A,00000000,36E78662,439DDBE0,00000000,37BB6E32,00000000,38C7C0B1,37E6F0B4,00000000,00000000,37A3F62E,32A7E58F,00000000,3CDB56DC,00000000
3,1500.0,9,46C77754,436C8A58,35E1EB60,36FC2454,43B82140,00000000,381DEDA2,00000000,38F107EC,37FBC690,00000000,00000000,37B81984,32BC84A0,00000000,3CE958D4,00000000
3,1500.0,10,46DACBE0,437060F2,371AA4D6,36FCB29E,43CC9000,00000000,386DC786,00000000,390D0444,37FD9640,00000000,00000000,37CAACE5,32CF8A22,00000000,3CF72744,00000000
3,1500.0,11,46EDF550,4373F101,3781D0F6,36F2C8BD,43D9EF00,00000000,38A32524,00000000,391EC985,37EEBE40,00000000,00000000,37DBEAE0,32E1320C,00000000,3D020A36,00000000
3,1500.0,12,47007974,43774408,37A7E76F,36E46886,43E18440,00000000,38D19822,00000000,392C4B5F,37D8AA90,00000000,00000000,37EC017E,32F1AB83,00000000,3D080586,00000000
3,1500.0,13,4709E1F6,437A61A6,37C4B5D5,36D59ED3,43E4C760,00000000,3900594D,00000000,393539D0,37D08F78,00000000,00000000,37FB159F,33008E24,00000000,3D0D952A,00000000
3,1500.0,14,471333CA,437D500F,37E0B9DE,36C92289,43E4ECA0,00000000,39174D4B,00000000,393BDDB0,37D39640,00000000,00000000,3804A2A5,3307D18F,00000000,3D12C532,00000000
3,1500.0,15,471C6E89,43800A30,380003C3,36BEACEF,43E2D160,00000000,392CF0FA,00000000,394216CE,37D40E10,00000000,00000000,380B54A1,330EACAD,00000000,3D17A1D1,00000000
3,1500.0,16,472591C4,43815971,3810D35D,36B58F3F,43DEEAE0,00000000,3940D92D,00000000,3947F121,37D39000,00000000,00000000,3811AB1D,33152A1A,00000000,3D1C3462,00000000
3,1500.0,17,472E9D0C,43829797,381CB277,36AD42FB,43D98980,00000000,3952B47C,00000000,394D716C,37DF9410,00000000,00000000,3817AED0,331B52C0,00000000,3D20809D,00000000
3,1500.0,18,47378FE4,4383C62A,379A4FAC,36A566CF,43D11400,00000000,3963F076,00000000,3952965D,37E3BA60,00000000,00000000,381D6728,33212E3E,00000000,3D248579,00000000
3,1500.0,19,474069D0,4384E67D,3753C38F,369DB336,43CAE760,00000000,39736D40,00000000,395759E1,37E4F6A0,00000000,00000000,3822DA86,3326C318,00000000,3D283E38,00000000
3,1500.0,20,47492A4A,4385F9B2,3787C544,3695F58C,43C558A0,00000000,3980572C,00000000,395BB297,37E2EB90,00000000,00000000,38280E68,332C16F2,00000000,3D2BA386,00000000
3,1500.0,21,4751D0C6,438700C7,37A60AA8,368E0A49,43BEB300,00000000,398598E6,00000000,395F95A6,37DF0270,00000000,00000000,382D079B,33312EB3,00000000,3D2EACEB,00000000
3,1500.0,22,475A5CB1,4387FC97,37C43AB2,3685D92F,43B70DE0,00000000,398954F1,00000000,3962F8F5,37DA28E0,00000000,00000000,3831CA48,33360EA0,00000000,3D31527F,00000000
3,1500.0,23,4762CD6E,4388EDE6,00000000,367ABDB6,43AE9340,00000000,398B79F6,00000000,3965D512,37D47280,00000000,38090DB4,38365A1C,333ABA7B,00000000,3D338E76,00000000
3,1500.0,24,476B2254,4389D55D,00000000,366A4923,43A5C0E0,00000000,398BEC60,00000000,3968228E,37CDE510,00000000,394A9A91,383ABA4F,333F3590,00000000,3D355AFF,00000000
3,1500.0,25,47735AB4,438AB391,00000000,364FEBFB,439C9440,00000000,398A97E3,00000000,3969DCFC,372DABC0,00000000,398910E8,383EEDAC,334382BD,00000000,3D36B4A5,00000000
3,1500.0,26,477B75D0,438B8904,00000000,3637C790,43930C80,00000000,3989469F,00000000,395CE1A1,37003D80,00000000,00000000,3842F6B0,3347A48B,00000000,3D379824,00000000
3,1500.0,27,4781B970,438C562D,00000000,3621C400,43894C80,00000000,39883626,00000000,394D5963,36F88400,00000000,00000000,3846D792,334B9D41,00000000,3D37FCB9,00000000
3,1500.0,28,4785A886,438D1B73,00000000,360DBC73,437ED9C0,00000000,39860644,00000000,393DF5D5,36F02600,00000000,00000000,384A9249,334F6EE2,00000000,3D37D945,00000000
3,1500.0,29,478987B5,438DD933,00000000,35F71F32,436B0700,00000000,3982C369,00000000,392ECCB7,36E75D00,00000000,00000000,384E2897,33531B3A,00000000,3D3725B3,00000000
3,1500.0,30,478D5682,438E8FBD,00000000,35D63A49,43574CC0,00000000,397CFB04,00000000,391FF2E5,36DE2980,00000000,00000000,38519C02,3356A3D9,00000000,3D35DB83,00000000
3,1500.0,31,47911463,438F3F59,00000000,35B8914D,4343D240,00000000,397290DC,00000000,39117B9D,36D49180,00000000,00000000,3854EDE6,335A0A22,00000000,3D33F63F,00000000
3,1500.0,32,4794C0C7,438FE846,00000000,359DEAF3,4330BAC0,00000000,396674C0,00000000,390378C9,36CA9E00,00000000,00000000,38581F6D,335D4F48,00000000,3D3173F4,00000000
3,1500.0,33,47985B0D,43908AB9,00000000,35861313,431E2700,00000000,3958DA2C,00000000,38EBF434,36C05D00,00000000,00000000,385B319D,33607456,00000000,3D2E5592,00000000
3,1500.0,34,479BE286,439126DF,00000000,3561AE32,430C3480,00000000,3949F88C,00000000,38D21C1D,36B5E180,00000000,00000000,385E254E,33637A2B,00000000,3D2A9F3B,00000000
3,1500.0,35,479F5670,4391BCDD,00000000,353C0D2B,42F5F700,00000000,393A0BAC,00000000,38B981CB,36AB4080,00000000,00000000,3860FB34,3366617D,00000000,3D26586F,00000000
3,1500.0,36,47A2B5F3,43924CD1,00000000,351AE730,42D52480,00000000,39295198,00000000,38A239E6,36A09280,00000000,00000000,3863B3DE,33692ADF,00000000,3D218C0F,00000000
3,1500.0,37,47A60021,4392D6CE,00000000,34FBC494,42B60F80,00000000,391808F8,00000000,388C5534,3695ED80,00000000,00000000,38664FAE,336BD6B6,00000000,3D1C4847,00000000
3,1500.0,38,47A933EB,43935AE2,00000000,34C95078,4298D580,00000000,39067234,00000000,386FBFCD,368B6100,00000000,00000000,3868CEDE,336E653E,00000000,3D169E43,00000000
3,1500.0,39,47AC501F,4393D90C,00000000,349DC8CA,427B0B00,00000000,38E99420,00000000,3849C261,3680E200,00000000,00000000,386B3177,3370D67E,00000000,3D10A1D7,00000000
3,1500.0,40,47AF535C,43945145,00000000,347253A0,42485D00,00000000,38C69A78,00000000,3826B52D,366C7C00,00000000,00000000,386D774A,33732A47,00000000,3D0A68F6,00000000
3,1500.0,41,47B23C0A,4394C375,00000000,343463F4,4219ED00,00000000,38A879E8,00000000,3806A89E,36565300,00000000,00000000,386F9FE7,33756028,00000000,3D03FD6A,00000000
3,1500.0,42,47B50844,43952F75,00000000,33FFC456,41DFC200,00000000,388D4090,00000000,37D31E85,363D2900,00000000,00000000,3871AA96,33777762,00000000,3CFAE538,00000000
3,1500.0,43,47B7B5C4,4395950A,00000000,33A6532A,41945400,00000000,3866B350,00000000,379E457A,361B6200,00000000,00000000,38739634,33796ECD,00000000,3CEDC877,00000000
