case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
3,1500.0,5,435C36BE,38DE0E21,3AEB035C,3EF6273A,4828C443,3855839A,3A61F93D,38CE0BFE,39C6BFEF,00000000,3D26F163,43585074,384E4FFD,2
3,1500.0,6,43653FCD,39911C33,3B1DFB6C,3F0582B2,4836D36F,39175B77,3AA4C88D,38FB315B,39F63A32,00000000,3D22DECF,435DDC27,38A9D359,2
3,1500.0,7,436CCDA3,3A16E5D6,3B4569A8,3F0FB099,48444C5F,39A964F5,3ADD9C67,39116843,3A102973,00000000,3D1FAA42,4362D794,390105A1,2
3,1500.0,8,437319BA,3A846AAE,3B6923C2,3F19AB29,48513458,3A1EF895,3B0BF23F,392234B1,3A21CBD2,00000000,3D1D08E7,43675C9A,39384D61,2
3,1500.0,9,43785E04,3ACC9C47,3B843707,3F237B7B,485D9604,3A82AA33,3B28DD9F,3930A668,3A3064B6,3877D9F5,3D1ACD9D,436B7F32,397ACE50,2
3,1500.0,10,437CCEE6,3B0FAADB,3B921070,3F2D27B3,48697EB3,3AC2597B,3B459785,39310A18,3A31A993,39A02DE1,3D10FCD9,436F4EEF,39A42D62,2
3,1500.0,11,43804183,3B3CE25B,3B9C4BDE,3F363616,48744430,3B0670D5,3B5E7DEB,392A1810,3A27434B,39FF8F4B,3D0648CE,4372D828,39E262F9,2
3,1500.0,12,4381D50C,3B6BFDBD,3BA2223D,3F3E97C1,487DE539,3B2FB237,3B716B0B,392005B6,3A17CBBC,3A1E0094,3CFA08EC,437624B3,3A1B0772,2
3,1500.0,13,43833500,3B8DCE8D,3BA3D70A,3F46628E,488348D6,3B5BC8B2,3B7DEECA,3915A976,3A121DF5,3A31D24D,3CE9D8C8,43793C78,3A4E2B3A,2
3,1500.0,14,43846E97,3BA56F0D,3BA3D70A,3F4DA762,48873733,3B84E618,3B839E53,390CEA26,3A143CBB,3A4084D6,3CDC2DDC,437C24CF,3A85ED42,2
3,1500.0,15,43858AF2,3BBC9A40,3BA3D70A,3F547757,488ACE61,3B9C87A9,3B87FA75,3905963A,3A1490B1,3A4C44F0,3CD0BABB,437EE2EE,3AAA7524,2
3,1500.0,16,43869094,3BD3275A,3BA3D70A,3F5ADF88,488E1B15,3BB487E2,3B8C142E,38FE6680,3A14385B,3A557512,3CC6C014,4380BEDF,3AD4817A,2
3,1500.0,17,4387834F,3BE91C45,3BA3D70A,3F60E52C,4891231B,3BCCC96B,3B8FEED4,38F2C5FE,3A1CA375,3A50F76C,3CBDAAAF,4381FC7B,3B0225E9,2
