case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
2,1500.0,46,439663FC,3CBA1E60,4517010F,45344503,47BEE5BD,3F158E39,439663FC,3CBA1E60,00000000,00000000,00000000,00000000
2,1500.0,47,4396B0FB,3CBECB55,44BFE5AF,44F37A35,47C0F26C,00000000,4396B0FB,3CBECB55,00000000,00000000,00000000,00000000
2,1500.0,48,43971561,3CC215AE,44432FC8,448C5129,47C2C476,00000000,43971561,3CC215AE,00000000,00000000,00000000,00000000
2,1500.0,49,43972408,3CC7B8C5,435B7A80,43DB7A80,47C4491D,00000000,43972408,3CC7B8C5,00000000,00000000,00000000,00000000
3,1500.0,1,43468000,36F520CD,483ADF1E,4846A5F2,459C4000,00000000,43468000,36F520CD,00000000,00000000,00000000,00000000
3,1500.0,2,43526077,385C7D10,4826E611,482F184B,45EE9B40,00000000,43526077,385C7D10,00000000,00000000,00000000,00000000
3,1500.0,3,434907F0,36E35496,481842F4,481EB3D7,46202EB0,3ECA125F,434ECE7C,37BB3D0A,00000000,00000000,00000000,00000000
3,1500.0,4,434F3A4A,3762CBD2,480C6AFA,4811D211,4648C210,3EE09A8C,43521359,37E174E0,00000000,00000000,00000000,00000000
3,1500.0,5,43585074,384E4FFD,48025881,480703E4,467106C0,3EF6273A,43585074,384E4FFD,00000000,00000000,00000000,00000000
3,1500.0,6,435DDC27,38A9D359,47F31C49,47FB5A3C,468C7DC8,3F0582B2,435DDC27,38A9D359,00000000,00000000,00000000,00000000
3,1500.0,7,4362D794,390105A1,47E37B48,47EADE56,46A04FA4,3F0FB099,4362D794,390105A1,00000000,00000000,00000000,00000000
3,1500.0,8,43675C9A,39384D61,47D56531,47DC183A,46B3F860,3F19AB29,43675C9A,39384D61,00000000,00000000,00000000,00000000
3,1500.0,9,436B7F32,397ACE50,47C89025,47CEB229,46C77754,3F237B7B,436B7F32,397ACE50,00000000,00000000,00000000,00000000
3,1500.0,10,436F4EEF,39A42D62,47BCC5E8,47C26E1F,46DACBE0,3F2D27B3,436F4EEF,39A42D62,00000000,00000000,00000000,00000000
3,1500.0,11,4372D828,39E262F9,47B1DD73,47B71DB1,46EDF550,3F363616,4372D828,39E262F9,00000000,00000000,00000000,00000000
