case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
2,1500.0,17,41A456EC,00000000,438297B8,3B0AA764,324F19DC,BEB0847F,41A5902C,00000000,00000000,00000000,00000000,00000000
2,1500.0,18,41A32D01,00000000,4383C64B,3B27D1C6,3256E928,BEB3289A,41A456EC,00000000,00000000,00000000,00000000,00000000
2,1500.0,19,41A2111F,00000000,4384E69C,3B483A2E,325E5A43,BEB49B98,41A32D01,00000000,00000000,00000000,00000000,00000000
2,1500.0,20,41A10228,00000000,4385F9D0,3B6BE547,326574B1,BEB4F11F,41A2111F,00000000,00000000,00000000,00000000,00000000
2,1500.0,21,419FFF21,00000000,438700E3,3B8968E3,326C3EFD,BEB43CF7,41A10228,00000000,00000000,00000000,00000000,00000000
2,1500.0,22,419F0732,00000000,4387FCB1,3B9E7C82,3272BED7,BEB292C4,419FFF21,00000000,00000000,00000000,00000000,00000000
2,1500.0,23,419E199C,00000000,4388EDFE,3BB527EA,3278F940,BEB005CB,419F0732,00000000,00000000,00000000,00000000,00000000
2,1500.0,24,419D35B7,00000000,4389D572,3BCD62B4,327EF2A2,BEACA8F3,419E199C,00000000,00000000,00000000,00000000,00000000
2,1500.0,25,419C5AF1,00000000,438AB3A4,3BE4FA2B,32825766,BEA89056,419D35B7,00000000,00000000,00000000,00000000,00000000
2,1500.0,26,419B88C8,00000000,438B8914,3BFBACC7,32851892,BEA3CDE5,419C5AF1,00000000,00000000,00000000,00000000,00000000
2,1500.0,27,419ABECA,00000000,438C563B,3C099F6F,3287BE59,BE9E7147,419B88C8,00000000,00000000,00000000,00000000,00000000
2,1500.0,28,4199FC8F,00000000,438D1B7E,3C15D0A4,328A4A13,BE988AF8,419ABECA,00000000,00000000,00000000,00000000,00000000
2,1500.0,29,419941BD,00000000,438DD93C,3C22625B,328CBCF2,BE922AD2,4199FC8F,00000000,00000000,00000000,00000000,00000000
2,1500.0,30,41988E03,00000000,438E8FC4,3C2F4BF9,328F1800,BE8B601C,419941BD,00000000,00000000,00000000,00000000,00000000
2,1500.0,31,4197E11C,00000000,438F3F60,3C3C84D1,32915C2B,BE843973,41988E03,00000000,00000000,00000000,00000000,00000000
2,1500.0,32,41973ACA,00000000,438FE84B,3C4A0312,32938A40,BE7989E2,4197E11C,00000000,00000000,00000000,00000000,00000000
2,1500.0,33,41969AD8,00000000,43908ABD,3C57BCE1,3295A2EF,BE6A204E,41973ACA,00000000,00000000,00000000,00000000,00000000
2,1500.0,34,4196011A,00000000,439126E2,3C65A75B,3297A6CF,BE5A5050,41969AD8,00000000,00000000,00000000,00000000,00000000
2,1500.0,35,41956D6C,00000000,4391BCDF,3C73B6F8,32999658,BE4A3349,4196011A,00000000,00000000,00000000,00000000,00000000
2,1500.0,36,4194DFB0,00000000,43924CD2,3C80EFC6,329B71ED,BE39E1CE,41956D6C,00000000,00000000,00000000,00000000,00000000
2,1500.0,37,419457D2,00000000,4392D6CF,3C8809E2,329D39D0,BE2973F7,4194DFB0,00000000,00000000,00000000,00000000,00000000
2,1500.0,38,4193D5C7,00000000,43935AE2,3C8F22A3,329EEE29,BE190186,419457D2,00000000,00000000,00000000,00000000,00000000
2,1500.0,39,4193598D,00000000,4393D90C,3C96321E,32A08EFF,BE08A21E,4193D5C7,00000000,00000000,00000000,00000000,00000000
2,1500.0,40,4192E32E,00000000,43945145,3C9CA8F0,32A21C30,BDF0DDD3,4193598D,00000000,00000000,00000000,00000000,00000000
2,1500.0,41,419272C0,00000000,4394C375,3CA2C125,32A39570,BDD0FEE4,4192E32E,00000000,00000000,00000000,00000000,00000000
2,1500.0,42,41920869,00000000,43952F75,3CA8AFE1,32A4FA41,BDB1D969,419272C0,00000000,00000000,00000000,00000000,00000000
2,1500.0,43,4191A464,00000000,4395950A,3CAE6AB5,32A649DE,BD93A473,41920869,00000000,00000000,00000000,00000000,00000000
2,1500.0,44,41914709,00000000,4395F3DB,3CB3E52E,32A7831D,BD6D3AE4,4191A464,00000000,00000000,00000000,00000000,00000000
2,1500.0,45,4190F0DC,00000000,43964B61,3CB90F7B,32A8A446,BD361893,41914709,00000000,00000000,00000000,00000000,00000000
2,1500.0,46,4190A2A8,00000000,43969ACD,3CBDD48F,32A9AAAF,BD029548,4190F0DC,00000000,00000000,00000000,00000000,00000000
2,1500.0,47,41905DBD,00000000,4396E0CC,3CC215AE,32AA91EE,BCA74D24,4190A2A8,00000000,00000000,00000000,00000000,00000000
2,1500.0,48,419024A8,00000000,43971AC5,3CC59BD5,32AB5178,BC2B5A4F,41905DBD,00000000,00000000,00000000,00000000,00000000
