case,dx,k,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,plglac,pdmfup,pdmfdp,pdpmel,pmflxr,pmflxs,pqsen,plude,pmfdde_rate,pmfude_rate
2,1500.0,32,3D313341,00000000,43300300,00000000,39686644,00000000,39030EA8,00000000,36CA2323,00000000,00000000,3A19EA9A,00000000,3C5E3522,359E5EA2,00000000,39EA5DEF
2,1500.0,33,3D2E0B75,00000000,431D8800,00000000,395A9688,00000000,38EB3742,00000000,36BFDC50,00000000,00000000,3A1B7EE0,00000000,3C6B9E44,358657FB,00000000,39DA73DB
2,1500.0,34,3D2A4C70,00000000,430BACC0,00000000,394B7948,00000000,38D175C2,00000000,36B55DD0,00000000,00000000,3A1CFE99,00000000,3C791C74,3561F2F1,00000000,39CACC0C
2,1500.0,35,3D25FE33,00000000,42F51500,00000000,393B4B68,00000000,38B8F178,00000000,36AABE36,00000000,00000000,3A1E6955,00000000,3C8352A2,353C2172,00000000,39BB76B8
2,1500.0,36,3D212C14,00000000,42D46B00,00000000,392A4C10,00000000,38A1BEDD,00000000,36A01591,00000000,00000000,3A1FBED1,00000000,3C8A16F4,351ADA6D,00000000,39AC8549
2,1500.0,37,3D1BE49A,00000000,42B57C00,00000000,3918BBCC,00000000,388BEDA9,00000000,369579B6,00000000,00000000,3A20FEFC,00000000,3C90D553,34FB8114,00000000,399E0856
2,1500.0,38,3D163939,00000000,42986180,00000000,3906DB84,00000000,386F138C,00000000,368AF91F,00000000,00000000,3A2229EF,00000000,3C978784,34C8F614,00000000,399010CD
2,1500.0,39,3D103DE6,00000000,427A5A00,00000000,38E9D308,00000000,384934FD,00000000,368086C4,00000000,00000000,3A233FE1,00000000,3C9E26B4,349D6466,00000000,3982ACFC
2,1500.0,40,3D0A089C,00000000,4247D000,00000000,38C645C0,00000000,3826411F,00000000,366BD7D3,00000000,00000000,3A2440EF,00000000,3CA4AB94,3471AAED,00000000,396CE0CD
2,1500.0,41,3D03A187,00000000,42198300,00000000,38A804A8,00000000,38064AE0,00000000,3655BD8B,00000000,00000000,3A252CC7,00000000,3CAB0DBC,3433E660,00000000,3955CB4E
2,1500.0,42,3CFA368F,00000000,41DF2400,00000000,388CDE40,00000000,37D28B8C,00000000,363CA517,00000000,00000000,3A260285,00000000,3CB143C6,33FF1248,00000000,393F9B45
