case,dx,k,ptent,ptenq,pcte
6,1500.0,17,3968F6EB,B2BB0E66,3285D734
6,1500.0,18,3967978B,B2F508CC,32812C99
6,1500.0,19,39670A5F,B31A7080,32791DD3
6,1500.0,20,396281CE,B33D17D3,326FAB35
6,1500.0,21,395C991B,B362249A,3265C4D6
6,1500.0,22,3956A9AC,B3846C50,325B3DBA
6,1500.0,23,38FC69EA,B3993DB9,325008F4
6,1500.0,24,B917BEA0,B3AF45C7,3245045A
6,1500.0,25,B7A9825E,B3AD1358,32315014
6,1500.0,26,39285D1A,B3A70E29,321F06FB
6,1500.0,27,3923F583,B3B3D8F8,320E2007
6,1500.0,28,391F7F59,B3C007E1,31FD0CFA
6,1500.0,29,391AFCFF,B3CB6841,31E04F0F
6,1500.0,30,391666EF,B3D5C4F9,31C5E2ED
6,1500.0,31,3911B506,B3DEFB54,31ADA8CC
6,1500.0,32,390CF1E3,B3E6DCC4,319780DF
6,1500.0,33,39081259,B3ED47E7,31834E28
6,1500.0,34,39032328,B3F21DB6,3161E8E5
6,1500.0,35,38FC4541,B3F54E0D,3140B0AD
6,1500.0,36,38F22E41,B3F6D1B0,3122BE97
6,1500.0,37,38E80D62,B3F69C5E,3107DE60
6,1500.0,38,38DDFE90,B3F4CC06,30DFB7EE
6,1500.0,39,38D41198,B3F15EF0,30B5051A
6,1500.0,40,38CA6088,B3D8DE58,308FF6AF
6,1500.0,41,38C0DC91,B3C8F10B,305ED9CD
6,1500.0,42,38B7ACFC,B3C0FCEE,302510F0
6,1500.0,43,38AEEA86,B3B831CE,2FE1B926
6,1500.0,44,38B2BF5C,B3B45E30,2F7C9416
6,1500.0,45,388D22CC,B3A5CF7C,2DBE5361
6,1500.0,46,37CB6434,B28FA2F5,00000000
6,1500.0,47,38059EDE,B2A8D700,00000000
6,1500.0,48,375EA8CA,B1F77194,00000000
6,1500.0,49,B7E6BAC6,B38F660A,00000000
7,1500.0,1,00000000,00000000,00000000
