case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
2,1500.0,1,43468000,36F520CD,00000000,43468000,36F520CD,00000000,00000000,3F158E39,3741A6B7,45C56DA0,459C4000,4846A5A1,483ADECD,0
2,1500.0,2,43526078,385C7CEA,386E427E,432C228A,339C118B,37E1C668,00000000,3F158E39,3708CB70,460BBE28,45EE9B40,482F17FA,4826E5C0,0
2,1500.0,3,434ECE7D,37BB3D2C,37D458DF,433CD77E,35BC8168,385C3066,00000000,3F158E39,376893F8,46347860,46202EB0,481EB386,481842A1,2
2,1500.0,4,43521392,37E17BA4,3807B190,4349F33D,3723773A,38CAB384,00000000,3F158E39,380A6B32,465CE468,4648C210,4811D1BD,480C6AA5,2
2,1500.0,5,435850B1,384E563A,388544AB,4354E13E,3827429F,392B1A50,00000000,3F158E39,388AFAC3,46828094,467106C0,4807038C,48025828,2
2,1500.0,6,435DDC66,38A9D85F,38EB03D4,435E2EA1,38F4C0DF,3982D26C,00000000,3F158E39,38F7D255,469666B6,468C7DC8,47FB5988,47F31B92,2
2,1500.0,7,4362D7D2,3901093A,393EBC11,4366266A,398D6817,39B56CFA,00000000,3F158E39,394A800F,46AA2402,46A04FA4,47EADD9D,47E37A8C,2
2,1500.0,8,43675CD9,3938523A,39911B51,436CF6F8,3A08D485,39E69909,00000000,3F158E39,399AD35E,46BDB7DA,46B3F860,47DC177C,47D56472,2
2,1500.0,9,436B7F71,397AD47A,39D1BE9D,4372C696,3A66ED10,3A088096,00000000,3F158E39,39E0B65D,46D1219A,46C77754,47CEB167,47C88F61,2
2,1500.0,10,436F4F31,39A43180,3A1170B8,4377BB21,3AAF511D,3A194C69,00000000,3F158E39,3A1C5FB3,46E46098,46DACBE0,47C26D5A,47BCC521,2
2,1500.0,11,4372D86B,39E217B0,3A42FA15,437BF742,3AF59E9E,3A25FF3E,00000000,3F158E39,3A524831,46F7741C,46EDF550,47B71CE9,47B1DCA9,2
2,1500.0,12,437624F3,3A1A9460,3A7E20D5,437F95C2,3B226F43,3A2D82EC,00000000,3F158E39,3A89652B,47052DB5,47007974,47AC9C6A,47A7B61E,2
2,1500.0,13,43793CBC,3A4D4C3F,3AA1BC94,43815C1F,3B4CFAB4,3A30E30B,00000000,3F158E39,3AAF41BB,470E8AE0,4709E1F6,47A2CFD3,479E383F,2
2,1500.0,14,437C2513,3A853669,3ACA036E,4382BDEB,3B791B18,3A315DDE,00000000,3F158E39,3ADBD588,4717D12A,471333CA,4799A0AD,47954EAE,2
2,1500.0,15,437EE330,3AA9641D,3AF90F87,4383FB3D,3B92EF30,3A2FE4A4,00000000,3F158E39,3B07F6D4,47210026,471C6E89,4790FCAE,478CE8B9,2
2,1500.0,16,4380BEFF,3AD3018C,3B179A96,43851C46,3BA95083,3A2D2A58,00000000,3F158E39,3B25B7AD,472A1768,472591C4,4788D4C4,4784F88A,2
2,1500.0,17,4381FC9B,3B0123DE,3B362ACF,43862740,3BBF7BDB,3A29C339,00000000,3F158E39,3B46F9D2,47331678,472E9D0C,47811C4F,477AE506,2
2,1500.0,18,43832BE4,3B1BB403,3B580671,438720FC,3BD54D88,3A265AAA,00000000,3F158E39,3B6B65DA,473BFCDA,47378FE4,4773916D,476C99A0,2
2,1500.0,19,43844E0C,3B3945C8,3B7CD9DC,43880E23,3BEAC911,3A2322E4,00000000,3F158E39,3B894111,4744CA0D,474069D0,4765A1D2,475EFE0F,2
2,1500.0,20,43856416,3B59E7BA,3B9217D7,4388F1CF,3BFFF863,3A206160,00000000,3F158E39,3B9DDB63,474D7D88,47492A4A,47585A4B,475203DC,2
2,1500.0,21,43866EDC,3B7DA229,3BA6B9D4,4389C98C,3C0A8D82,3A1D04E9,00000000,3F158E39,3BB32826,475616BC,4751D0C6,474BAD6D,47459E7F,2
2,1500.0,22,43876F21,3B923B5C,3BBBFA9F,438A956C,3C151742,3A18FFE2,00000000,3F158E39,3BC8C210,475E9510,475A5CB1,473F8F91,4739C30D,2
2,1500.0,23,4388656D,3BA72BAD,3BD1713B,438B5637,3C1F8CFE,3A14DF94,00000000,3F158E39,3BDE52B8,4766F7E1,4762CD6E,4733F689,472E67FB,2
2,1500.0,24,4389504C,3BBDB098,3BE6DB66,438C0D3E,3C29F1F7,3A10A907,00000000,3F158E39,3BF47D3F,476F3E84,476B2254,4728D96D,472384E4,2
2,1500.0,25,438A311D,3BD5D78A,3BFCF215,438CBBA5,3C344AAE,3A0C58AE,00000000,3F158E39,3C05B6FF,47776842,47735AB4,471E305B,47191271,2
2,1500.0,26,438B094B,3BED5601,3C09E4EA,438D626D,3C3E9CC8,3A07EDCC,00000000,3F158E39,3C118A84,477F7458,477B75D0,4713F485,470F0A31,2
2,1500.0,27,438BD945,3C01F5AA,3C15A9CA,438E0285,3C48F03C,3A036F98,00000000,3F158E39,3C1DB19F,4783B0FB,4781B970,470A1FDD,4705666B,2
2,1500.0,28,438CA172,3C0DAE42,3C21C072,438E9CB2,3C534C65,39FDCEE2,00000000,3F158E39,3C2A23F6,4787981E,4785A886,4700ACF9,46F84406,2
2,1500.0,29,438D6227,3C19CD54,3C2E20A6,438F318D,3C5DB691,39F4B044,00000000,3F158E39,3C36D977,478B6F1C,478987B5,46EF2E1C,46E670E6,2
