case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
2,1500.0,49,BE337778,C74F682A,BB883CCC,00000000,439694B0,3CC255F6,80000000,43972408,3CC7B8C5
3,1500.0,1,00000000,00000000,00000000,00000000,43468000,36F520CD,00000000,43468000,36F520CD
3,1500.0,2,00000000,00000000,00000000,00000000,43526077,385C7D10,00000000,43526077,385C7D10
3,1500.0,3,00000000,00000000,00000000,00000000,434ECE7C,37BB3D0A,00000000,434907F0,36E35496
3,1500.0,4,00000000,00000000,00000000,00000000,43521359,37E174E0,00000000,434F3A4A,3762CBD2
3,1500.0,5,00000000,00000000,00000000,00000000,43585074,384E4FFD,00000000,43585074,384E4FFD
3,1500.0,6,00000000,00000000,00000000,00000000,435DDC27,38A9D359,00000000,435DDC27,38A9D359
3,1500.0,7,00000000,00000000,00000000,00000000,4362D794,390105A1,00000000,4362D794,390105A1
3,1500.0,8,00000000,00000000,00000000,00000000,43675C9A,39384D61,00000000,43675C9A,39384D61
3,1500.0,9,00000000,00000000,00000000,00000000,436B7F32,397ACE50,00000000,436B7F32,397ACE50
3,1500.0,10,00000000,00000000,00000000,00000000,436F4EEF,39A42D62,00000000,436F4EEF,39A42D62
3,1500.0,11,00000000,00000000,00000000,00000000,4372D828,39E262F9,00000000,4372D828,39E262F9
3,1500.0,12,00000000,00000000,00000000,00000000,437624B3,3A1B0772,00000000,437624B3,3A1B0772
3,1500.0,13,00000000,00000000,00000000,00000000,43793C78,3A4E2B3A,00000000,43793C78,3A4E2B3A
3,1500.0,14,00000000,00000000,00000000,00000000,437C24CF,3A85ED42,00000000,437C24CF,3A85ED42
3,1500.0,15,00000000,00000000,00000000,00000000,437EE2EE,3AAA7524,00000000,437EE2EE,3AAA7524
3,1500.0,16,00000000,00000000,00000000,00000000,4380BEDF,3AD4817A,00000000,4380BEDF,3AD4817A
3,1500.0,17,00000000,00000000,00000000,00000000,4381FC7B,3B0225E9,00000000,4381FC7B,3B0225E9
3,1500.0,18,00000000,00000000,00000000,00000000,43832BC4,3B1D0381,00000000,43832BC4,3B1D0381
3,1500.0,19,00000000,00000000,00000000,00000000,43844DEC,3B3AEE23,00000000,43844DEC,3B3AEE23
3,1500.0,20,00000000,00000000,00000000,00000000,438563F7,3B5BF518,00000000,438563F7,3B5BF518
3,1500.0,21,00000000,00000000,00000000,00000000,43866EBE,3B801064,00000000,43866EBE,3B801064
3,1500.0,22,00000000,00000000,00000000,00000000,43876F05,3B93B96A,00000000,43876F05,3B93B96A
3,1500.0,23,00000000,00000000,00000000,00000000,43886554,3BA8EEB6,00000000,43886554,3BA8EEB6
3,1500.0,24,00000000,00000000,00000000,00000000,43895035,3BBFBE8E,00000000,43895035,3BBFBE8E
3,1500.0,25,00000000,00000000,00000000,00000000,438A3109,3BD8368C,00000000,438A3109,3BD8368C
3,1500.0,26,00000000,00000000,00000000,00000000,438B0939,3BEFDD07,00000000,438B0939,3BEFDD07
3,1500.0,27,00000000,00000000,00000000,00000000,438BD937,3C03360E,00000000,438BD937,3C03360E
3,1500.0,28,00000000,00000000,00000000,00000000,438CA163,3C0EE833,00000000,438CA163,3C0EE833
3,1500.0,29,00000000,00000000,00000000,00000000,438D621D,3C1AFDF0,00000000,438D621D,3C1AFDF0
3,1500.0,30,00000000,00000000,00000000,00000000,438E1BB1,3C276FA5,00000000,438E1BB1,3C276FA5
3,1500.0,31,00000000,00000000,00000000,00000000,438ECE62,3C3434E0,00000000,438ECE62,3C3434E0
3,1500.0,32,00000000,00000000,00000000,00000000,438F7A6F,3C41451B,00000000,438F7A6F,3C41451B
3,1500.0,33,00000000,00000000,00000000,00000000,4390200F,3C4E96FB,00000000,4390200F,3C4E96FB
3,1500.0,34,00000000,00000000,00000000,00000000,4390BF6D,3C5C209D,00000000,4390BF6D,3C5C209D
3,1500.0,35,00000000,00000000,00000000,00000000,439158B2,3C69D751,00000000,439158B2,3C69D751
3,1500.0,36,00000000,00000000,00000000,00000000,4391EBFA,3C77AFCD,00000000,4391EBFA,3C77AFCD
3,1500.0,37,00000000,00000000,00000000,00000000,4392795F,3C82CF13,00000000,4392795F,3C82CF13
3,1500.0,38,00000000,00000000,00000000,00000000,439300EC,3C89CA6C,00000000,439300EC,3C89CA6C
3,1500.0,39,00000000,00000000,00000000,00000000,439382AC,3C90C31D,00000000,439382AC,3C90C31D
3,1500.0,40,00000000,00000000,00000000,00000000,4393FE98,3C97B11E,00000000,4393FE98,3C97B11E
3,1500.0,41,00000000,00000000,00000000,00000000,439474A4,3C9E12A8,00000000,439474A4,3C9E12A8
3,1500.0,42,00000000,00000000,00000000,00000000,4394E4B2,3CA41B0B,00000000,4394E4B2,3CA41B0B
3,1500.0,43,00000000,00000000,00000000,00000000,43954E96,3CA9F918,00000000,43954E96,3CA9F918
3,1500.0,44,00000000,00000000,00000000,B7BA5555,4395B20D,3CAFA214,00000000,4395B20D,3CAFA214
3,1500.0,45,BE337778,C750E370,BB83442C,B83BDDEA,4395ED58,3CBB3EA1,00000000,43960EB6,3CB50949
3,1500.0,46,BE337778,C7507377,BB84BBE8,B82B8673,43961F6E,3CBD5698,80000000,439663FC,3CBA1E60
3,1500.0,47,BE337778,C7500D39,BB8612F5,B8175F7B,43964C6E,3CBF3FF0,80000000,4396B0FB,3CBECB55
3,1500.0,48,BE337778,C74FB2FF,BB8741B4,B7FB17EA,439673FD,3CC0EFCA,80000000,43971561,3CC215AE
3,1500.0,49,BE337778,C74F682A,BB883CCC,00000000,439694B0,3CC255F6,80000000,43972408,3CC7B8C5
4,1500.0,1,00000000,00000000,00000000,00000000,4346CCCC,37003AF3,00000000,4346CCCC,37003AF3
4,1500.0,2,00000000,00000000,00000000,00000000,4352B078,38664751,00000000,4352B078,38664751
4,1500.0,3,00000000,00000000,00000000,00000000,434F1DF4,37C3C0E0,00000000,43494766,36EB4DE3
4,1500.0,4,00000000,00000000,00000000,00000000,435246B7,37E7C503,00000000,435246B7,37E7C503
4,1500.0,5,00000000,00000000,00000000,00000000,43588527,3853D412,00000000,43588527,3853D412
4,1500.0,6,00000000,00000000,00000000,00000000,435E11F9,38AE2CEA,00000000,435E11F9,38AE2CEA
4,1500.0,7,00000000,00000000,00000000,00000000,43630E5A,3904328F,00000000,43630E5A,3904328F
4,1500.0,8,00000000,00000000,00000000,00000000,4367943C,393CABF5,00000000,4367943C,393CABF5
4,1500.0,9,00000000,00000000,00000000,00000000,436BB799,398045E0,00000000,436BB799,398045E0
4,1500.0,10,00000000,00000000,00000000,00000000,436F880F,39A7D067,00000000,436F880F,39A7D067
4,1500.0,11,00000000,00000000,00000000,00000000,437311FE,39E727D2,00000000,437311FE,39E727D2
4,1500.0,12,00000000,00000000,00000000,00000000,43765F37,3A1E8228,00000000,43765F37,3A1E8228
