case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
2,1500.0,25,47776842,4579A8A4,BEA89056,438AB3A4,3BE696AB,00000000,00000000,419C5AF1,00000000,32825766,377E92B2,47735AB4,4581008D
2,1500.0,26,477F7458,45694BDB,BEA3CDE5,438B8914,3BFD9F73,00000000,00000000,419B88C8,00000000,32851892,3781F9FE,477B75D0,4571502D
2,1500.0,27,4783B0FB,455992F2,BE9E7147,438C563B,3C0AC9E1,00000000,00000000,419ABECA,00000000,3287BE59,37848FE3,4781B970,45614789
2,1500.0,28,4787981E,454A7594,BE988AF8,438D1B7E,3C173292,00000000,00000000,4199FC8F,00000000,328A4A13,37870C57,4785A886,4551DE5A
2,1500.0,29,478B6F1C,453BEC60,BE922AD2,438DD93C,3C24027D,00000000,00000000,419941BD,00000000,328CBCF2,37897084,478987B5,45430CCF
2,1500.0,30,478F3572,452DF0D2,BE8B601C,438E8FC4,3C31314F,00000000,00000000,41988E03,00000000,328F1800,378BBD70,478D5682,4534CBF1
2,1500.0,31,4792EA95,45207D30,BE843973,438F3F60,3C3EB695,00000000,00000000,4197E11C,00000000,32915C2B,378DF402,47911463,452715B3
2,1500.0,32,47968DEA,45138C71,BE7989E2,438FE84B,3C4C88AB,00000000,00000000,41973ACA,00000000,32938A40,37901502,4794C0C7,4519E4AC
2,1500.0,33,479A1ECA,45071A40,BE6A204E,43908ABD,3C5A9DD1,00000000,00000000,41969AD8,00000000,3295A2EF,3792211D,47985B0D,450D3436
2,1500.0,34,479D9C7B,44F645CE,BE5A5050,439126E2,3C68EB25,00000000,00000000,4196011A,00000000,3297A6CF,379418E6,479BE286,4501004A
2,1500.0,35,47A10632,44DF46A0,BE4A3349,4391BCDF,3C77650F,00000000,00000000,41956D6C,00000000,32999658,3795FCD2,479F5670,44EA8B08
2,1500.0,36,47A45B0A,44C931FA,BE39E1CE,43924CD2,3C82FF9A,00000000,00000000,4194DFB0,00000000,329B71ED,3797CD41,47A2B5F3,44D40239
2,1500.0,37,47A79A06,44B4041E,BE2973F7,4392D6CF,3C8A55FA,00000000,00000000,419457D2,00000000,329D39D0,37998A75,47A60021,44BE61BC
2,1500.0,38,47AAC205,449FBA9E,BE190186,43935AE2,3C91AE43,00000000,00000000,4193D5C7,00000000,329EEE29,379B3494,47A933EB,44A9A681
2,1500.0,39,47ADD1BE,448C546F,BE08A21E,4393D90C,3C99003F,00000000,00000000,4193598D,00000000,32A08EFF,379CCBA5,47AC501F,4495CEBA
2,1500.0,40,47B0C7B3,4473A461,BDF0DDD3,43945145,3C9FB6D6,00000000,00000000,4192E32E,00000000,32A21C30,379E4F86,47AF535C,4482DA24
2,1500.0,41,47B3A227,44506CAE,BDD0FEE4,4394C375,3CA60DB5,00000000,00000000,419272C0,00000000,32A39570,379FBFEF,47B23C0A,4461947A
2,1500.0,42,47B65F04,442F0AFD,BDB1D969,43952F75,3CAC3BCD,00000000,00000000,41920869,00000000,32A4FA41,37A11C64,47B50844,443F44E1
2,1500.0,43,47B8FBC1,440F8E12,BD93A473,4395950A,3CB2360D,00000000,00000000,4191A464,00000000,32A649DE,37A26423,47B7B5C4,441ED119
2,1500.0,44,47BB7530,43E418B6,BD6D3AE4,4395F3DB,3CB7EF36,00000000,00000000,41914709,00000000,32A7831D,37A3960A,47BA41BE,44004B0C
2,1500.0,45,47BDC730,43AD4ECB,BD361893,43964B61,3CBD5673,00000000,00000000,4190F0DC,00000000,32A8A446,37A4B06D,47BCA8A3,43C79B54
2,1500.0,46,47BFEC14,4376493A,BD029548,43969ACD,3CC25563,00000000,00000000,4190A2A8,00000000,32A9AAAF,37A5B0AF,47BEE5BD,43930242
