case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,pdmfup,plrain,klab
3,1500.0,24,438C107B,3C2A3E24,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,25,438CBEBB,3C3496CF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,26,438D6558,3C3EE817,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,27,438E0540,3C4939E3,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,28,438E9F3B,3C53939D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,29,438F33E0,3C5DFA6D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,30,438FC3A9,3C687266,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,31,43904EF2,3C72FDBE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,32,4390D5FE,3C7D9CB7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,33,439158F7,3C8426DF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,34,4391D7EF,3C89863A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,35,439252E4,3C8EE8DC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,36,4392C9BE,3C9449C4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,37,43933C50,3C99A220,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,38,4393AA57,3C9EE93B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,39,4394137A,3CA4144C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,40,43947749,3CA915FE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,41,4394D588,3CADE50C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,42,43952E23,3CB27B73,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,43,439580B9,3CB6CD21,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,44,4395CCB4,3CBAC9AE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,45,4396116A,3CBE5F78,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,46,43964E28,3CC17CB2,37E1E800,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,2
3,1500.0,47,4396B150,3CC2DB43,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
3,1500.0,48,43971C61,3CC33D97,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
3,1500.0,49,43972408,3CC7B8C5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
4,1500.0,1,4346CCCC,37003AF3,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
4,1500.0,2,432D78B2,33CF7524,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
4,1500.0,3,433E33DC,35EF63AD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,4,434B5176,3749770B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,5,43563DDE,384990E1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,6,435F841A,3910AA0E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
