case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,ptd,pqd,puu,pvu,pud,pvd,plu,klab
2,1500.0,21,43866EDC,3B7DA229,3BA6B9D4,43866EDC,3B7DA229,43866EDC,3B7DA229,41A10228,00000000,41A10228,00000000,00000000,0
2,1500.0,22,43876F21,3B923B5C,3BBBFA9F,43876F21,3B923B5C,43876F21,3B923B5C,419FFF21,00000000,419FFF21,00000000,00000000,0
2,1500.0,23,4388656D,3BA72BAD,3BD1713B,4388656D,3BA72BAD,4388656D,3BA72BAD,419F0732,00000000,419F0732,00000000,00000000,0
2,1500.0,24,4389504C,3BBDB098,3BE6DB66,4389504C,3BBDB098,4389504C,3BBDB098,419E199C,00000000,419E199C,00000000,00000000,0
2,1500.0,25,438A311D,3BD5D78A,3BFCF215,438A311D,3BD5D78A,438A311D,3BD5D78A,419D35B7,00000000,419D35B7,00000000,00000000,0
2,1500.0,26,438B094B,3BED5601,3C09E4EA,438B094B,3BED5601,438B094B,3BED5601,419C5AF1,00000000,419C5AF1,00000000,00000000,0
2,1500.0,27,438BD945,3C01F5AA,3C15A9CA,438BD945,3C01F5AA,438BD945,3C01F5AA,419B88C8,00000000,419B88C8,00000000,00000000,0
2,1500.0,28,438CA172,3C0DAE42,3C21C072,438CA172,3C0DAE42,438CA172,3C0DAE42,419ABECA,00000000,419ABECA,00000000,00000000,0
2,1500.0,29,438D6227,3C19CD54,3C2E20A6,438D6227,3C19CD54,438D6227,3C19CD54,4199FC8F,00000000,4199FC8F,00000000,00000000,0
2,1500.0,30,438E1BB9,3C264BA8,3C3AC2C4,438E1BB9,3C264BA8,438E1BB9,3C264BA8,419941BD,00000000,419941BD,00000000,00000000,0
2,1500.0,31,438ECE68,3C332097,3C479DFD,438ECE68,3C332097,438ECE68,3C332097,41988E03,00000000,41988E03,00000000,00000000,0
2,1500.0,32,438F7A76,3C4043C4,3C54AA09,438F7A76,3C4043C4,438F7A76,3C4043C4,4197E11C,00000000,4197E11C,00000000,00000000,0
2,1500.0,33,43902013,3C4DAB61,3C61DD71,43902013,3C4DAB61,43902013,3C4DAB61,41973ACA,00000000,41973ACA,00000000,00000000,0
2,1500.0,34,4390BF71,3C5B4DA2,3C6F2F05,4390BF71,3C5B4DA2,4390BF71,3C5B4DA2,41969AD8,00000000,41969AD8,00000000,00000000,0
2,1500.0,35,439158B5,3C691FB8,3C7C94D1,439158B5,3C691FB8,439158B5,3C691FB8,4196011A,00000000,4196011A,00000000,00000000,0
2,1500.0,36,4391EBFC,3C77162E,3C85023D,4391EBFC,3C77162E,4391EBFC,3C77162E,41956D6C,00000000,41956D6C,00000000,00000000,0
2,1500.0,37,43927960,3C829266,3C8BB994,43927960,3C829266,43927960,3C829266,4194DFB0,00000000,4194DFB0,00000000,00000000,0
2,1500.0,38,439300EC,3C899F06,3C926A77,439300EC,3C899F06,439300EC,3C899F06,419457D2,00000000,419457D2,00000000,00000000,0
2,1500.0,39,439382AC,3C90A9DF,3C990EC0,439382AC,3C90A9DF,439382AC,3C90A9DF,4193D5C7,00000000,4193D5C7,00000000,00000000,0
2,1500.0,40,4393FE98,3C97AAE8,3C9F9F7E,4393FE98,3C97AAE8,4393FE98,3C97AAE8,4193598D,00000000,4193598D,00000000,00000000,0
