case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
1,1500.0,37,4391FF7C,3C706F3E,40F67D01,00000000,43925BA7,3C88606D,465BCCD2,46687581,47A60021,4392C66E,3C91154B,3AA3C4C0,41008798,00000000,4391FF7C,3C706F3E,00000000,00000000,00000000,00000000
1,1500.0,38,4392866D,3C7DA0AF,40EC5EE6,00000000,4392DF2E,3C8EB548,46430674,464F2422,47A933EB,43933322,3C96065B,3A915155,40F67D01,00000000,4392866D,3C7DA0AF,00000000,00000000,00000000,00000000
1,1500.0,39,43930794,3C8568A8,40E2B4BA,00000000,43935CD3,3C94F87E,462B55EF,4636E8C8,47AC501F,43939A60,3C9AD0D1,3A7EEFD0,40EC5EE6,00000000,43930794,3C8568A8,00000000,00000000,00000000,00000000
1,1500.0,40,439382F0,3C8BF911,40D97F3F,00000000,4393D48A,3C9B22D0,4614BBFC,461FC317,47AF535C,4393FBCA,3C9F68A7,3A5C0616,40E2B4BA,00000000,439382F0,3C8BF911,00000000,00000000,00000000,00000000
1,1500.0,41,4393F870,3C91E7A0,40D0C030,00000000,4394463E,3CA12C7D,45FE772C,4609B4E1,47B23C0A,439457CD,3CA3D1B7,3A3A4FBA,40D97F3F,00000000,4393F870,3C91E7A0,00000000,00000000,00000000,00000000
1,1500.0,42,439467F8,3C977D49,40C87A81,00000000,4394B1C7,3CA70C84,45D5B4B1,45E98497,47B50844,4394AE66,3CA807CA,3A1A033C,40D0C030,00000000,439467F8,3C977D49,00000000,00000000,00000000,00000000
1,1500.0,43,4394D15B,3C9CEBA9,40C0B2BE,00000000,439516EC,3CACB8C2,45AF427D,45C1E4CB,47B7B5C4,4394FF2F,3CABFF7E,39F6B230,40C87A81,00000000,4394D15B,3C9CEBA9,00000000,00000000,00000000,00000000
1,1500.0,44,43953459,3CA2291B,40B96FC3,00000000,43957553,3CB224D5,458B3BE2,459CA02E,47BA41BE,439549B4,3CAFAC8A,39BDA758,40C0B2BE,00000000,43953459,3CA2291B,00000000,00000000,00000000,00000000
1,1500.0,45,4395908F,3CA72989,40B2BBCA,00000000,4395CC77,3CB74134,45539398,4573AF2C,47BCA8A3,43958D7B,3CB30260,3988F9A2,40B96FC3,00000000,4395908F,3CA72989,00000000,00000000,00000000,00000000
1,1500.0,46,4395E569,3CABDDD9,40ACA69F,00000000,43961B8A,3CBBF91E,45165521,45337804,47BEE5BD,4395CA00,3CB5F4D2,38ECC000,40B2BBCA,00000000,4395E569,3CABDDD9,00000000,00000000,00000000,00000000
