case,dx,k,pcte,ztp1,ptte,ztt,pqte,zqq,zqp1,qcf,qif,uf,vf,pvom,pvol
3,1500.0,10,33015EA5,437060F2,39C71F54,37CAACE5,32D9781D,32CF8A22,39953003,00000000,00000000,41C0E9FA,00000000,371EC69E,00000000
3,1500.0,11,32FAD4A6,4373F101,39C22556,37DBEAE0,32CA1DE8,32E1320C,39DE5F2F,00000000,00000000,41B824EA,00000000,375C0901,00000000
3,1500.0,12,32EE2985,43774408,39BDBEBF,37EC017E,32B7AE60,32F1AB83,3A1D7D6E,00000000,00000000,41AFF614,00000000,3786B878,00000000
3,1500.0,13,32E0DC35,437A61A6,39BA533F,37FB159F,3296EC88,33008E24,3A565814,00000000,00000000,41A84AB7,00000000,379AD396,00000000
3,1500.0,14,32D5C93B,437D500F,39B7B0D9,3804A2A5,3253E65A,3307D18F,3A8D3BAE,00000000,00000000,41A1138C,00000000,37AAD55F,00000000
3,1500.0,15,32CCB4C7,43800A30,39B4E771,380B54A1,31DBEB18,330EACAD,3AB53A40,00000000,00000000,419A43FF,00000000,37B78966,00000000
3,1500.0,16,32C4EF87,43815971,39B29345,3811AB1D,B038C300,33152A1A,3AE365C8,00000000,00000000,4193D184,00000000,37C1FE5A,00000000
3,1500.0,17,32BDF095,43829797,39B11CDD,3817AED0,B2154A74,331B52C0,3B0BF6F2,00000000,00000000,418DB342,00000000,37CADAA7,00000000
3,1500.0,18,32B75143,4383C62A,39B06C8C,381D6728,B2984DD0,33212E3E,3B297A4A,00000000,00000000,4187E1A5,00000000,37D290AB,00000000
3,1500.0,19,32B0C445,4384E67D,39B04E81,3822DA86,B2EE8134,3326C318,3B4A47CE,00000000,00000000,41825636,00000000,37D95C5C,00000000
3,1500.0,20,32AA1015,4385F9B2,39AD5AA1,38280E68,B326542C,332C16F2,3B6E6405,00000000,00000000,417A16B0,00000000,37DF6301,00000000
3,1500.0,21,32A309C2,438700C7,39A968D1,382D079B,B358E61F,33312EB3,3B8AE700,00000000,00000000,416FF85D,00000000,37E4B030,00000000
3,1500.0,22,329B9160,4387FC97,39A5701C,3831CA48,B386F36F,33360EA0,3BA03F7A,00000000,00000000,416648F3,00000000,37E948BF,00000000
3,1500.0,23,32939DC5,4388EDE6,3964CFBB,38365A1C,B3A392EE,333ABA7B,3BB735D1,00000000,00000000,415D0101,00000000,37ED2D46,00000000
3,1500.0,24,328BCC58,4389D55D,B849310C,383ABA4F,B3C1F4BA,333F3590,3BCFC1A4,00000000,00000000,415419F5,00000000,37F01308,00000000
3,1500.0,25,327BA21C,438AB391,B932D3DF,383EEDAC,B3BDFD12,334382BD,3BE78111,00000000,00000000,414B8E1E,00000000,37F14A13,00000000
3,1500.0,26,3261AEF1,438B8904,39857024,3842F6B0,B3B4A1A6,3347A48B,3BFE2D5E,00000000,00000000,41435873,00000000,37F12BE2,00000000
3,1500.0,27,3249B258,438C562D,3982808C,3846D792,B3C6003E,334B9D41,3C0AD963,00000000,00000000,413B746D,00000000,37F061B9,00000000
3,1500.0,28,32338EED,438D1B73,397F09D8,384A9249,B3D689C1,334F6EE2,3C17012F,00000000,00000000,4133DE0C,00000000,37EEE770,00000000
3,1500.0,29,321F29EF,438DD933,3978FD68,384E2897,B3E5F543,33531B3A,3C238647,00000000,00000000,412C91C0,00000000,37ECBB0D,00000000
3,1500.0,30,320C6A47,438E8FBD,3972D0CF,38519C02,B3F3F78E,3356A3D9,3C306031,00000000,00000000,41258C6F,00000000,37E9D505,00000000
3,1500.0,31,31F672CF,438F3F59,396C798A,3854EDE6,B4002F72,335A0A22,3C3D8614,00000000,00000000,411ECB54,00000000,37E63B7F,00000000
3,1500.0,32,31D70180,438FE846,396602FB,38581F6D,B405745C,335D4F48,3C4AEE9F,00000000,00000000,41184C10,00000000,37E1EBD8,00000000
3,1500.0,33,31BA577E,43908AB9,395F68E7,385B319D,B409B294,33607456,3C588FC5,00000000,00000000,41120C90,00000000,37DCEDD3,00000000
3,1500.0,34,31A04CBE,439126DF,3958AC40,385E254E,B40CD4E9,33637A2B,3C665EDF,00000000,00000000,410C0B1A,00000000,37D74969,00000000
3,1500.0,35,3188BA5D,4391BCDD,3951DD73,3860FB34,B40ECEC2,3366617D,3C745093,00000000,00000000,41064642,00000000,37D10A3B,00000000
3,1500.0,36,3166F56B,43924CD1,394AEFE5,3863B3DE,B40F9B9B,33692ADF,3C812C73,00000000,00000000,4100BCE4,00000000,37CA429F,00000000
3,1500.0,37,3140D15D,4392D6CE,39440665,38664FAE,B40F3214,336BD6B6,3C883547,00000000,00000000,40F6DC71,00000000,37C3035F,00000000
3,1500.0,38,311EBEB2,43935AE2,393D19F2,3868CEDE,B40DA812,336E653E,3C8F3BE1,00000000,00000000,40ECB394,00000000,37BB65CB,00000000
3,1500.0,39,31007275,4393D90C,39364BD6,386B3177,B40AFC1C,3370D67E,3C963854,00000000,00000000,40E2FF0C,00000000,37B38607,00000000
3,1500.0,40,30CC4E49,43945145,392F9C1C,386D774A,B3F2BD3C,33732A47,3C9CA8F0,00000000,00000000,40D9BF9C,00000000,37AB85AA,00000000
3,1500.0,41,309E2114,4394C375,392916A4,386F9FE7,B3DBB302,33756028,3CA2C125,00000000,00000000,40D0F702,00000000,37A374FE,00000000
3,1500.0,42,306A40E1,43952F75,3922BBAB,3871AA96,B3D00023,33777762,3CA8AFE1,00000000,00000000,40C8A838,00000000,379B6CAD,00000000
3,1500.0,43,30202ADC,4395950A,391CB467,38739634,B3C321D6,33796ECD,3CAE6AB5,00000000,00000000,40C0D7D2,00000000,37939DC4,00000000
3,1500.0,44,2FB33924,4395F3DB,391FAD10,38756110,B3BD5720,337B44AB,3CB3E52E,00000000,00000000,40B98CB7,00000000,37C4A153,00000000
3,1500.0,45,2E070CDC,43964B61,3904F43F,387708A3,B3A858DA,337CF669,3CB90F7B,00000000,00000000,40B2D12F,00000000,3705728B,00000000
3,1500.0,46,00000000,43969ACD,388A9498,38788906,32027380,337E8006,3CBDD48F,00000000,00000000,40ACB51E,00000000,37EBD46C,00000000
3,1500.0,47,00000000,4396E0CC,38A18038,3879DBC3,31743040,337FDAE4,3CC215AE,00000000,00000000,40A752C9,00000000,37EBD468,00000000
3,1500.0,48,00000000,43971AC5,3854C8F6,387AF457,32B73C00,33807D1A,3CC59BD5,00000000,00000000,40A2DD1E,00000000,37EBD46B,00000000
3,1500.0,49,00000000,43974000,B6ED2279,387BA882,B3879B59,3380D959,3CC7B8C5,00000000,00000000,40A00000,00000000,37EBD469,00000000
4,1500.0,1,00000000,4346CCCC,80000000,80000000,80000000,80000000,37003AF3,00000000,00000000,42266007,00000000,00000000,00000000
