case,dx,k,ptenu,ptenv
7,1500.0,17,37CF8BE1,00000000
7,1500.0,18,37D764FF,00000000
7,1500.0,19,37DE4D4D,00000000
7,1500.0,20,37E46A96,00000000
7,1500.0,21,37E9CA7D,00000000
7,1500.0,22,37EE729C,00000000
7,1500.0,23,37F26153,00000000
7,1500.0,24,37F54954,00000000
7,1500.0,25,37F670C6,00000000
7,1500.0,26,37F63374,00000000
7,1500.0,27,37F55063,00000000
7,1500.0,28,37F3BE6B,00000000
7,1500.0,29,37F17D4F,00000000
7,1500.0,30,37EE8564,00000000
7,1500.0,31,37EAD84C,00000000
7,1500.0,32,37E676A8,00000000
7,1500.0,33,37E16324,00000000
7,1500.0,34,37DBA9A3,00000000
7,1500.0,35,37D5516F,00000000
7,1500.0,36,37CE6C2A,00000000
7,1500.0,37,37C70EED,00000000
7,1500.0,38,37BF4E22,00000000
7,1500.0,39,37B745FE,00000000
7,1500.0,40,37AF1C25,00000000
7,1500.0,41,37A6DE76,00000000
7,1500.0,42,379EAB28,00000000
7,1500.0,43,3796B0A4,00000000
7,1500.0,44,37C8B8CB,00000000
7,1500.0,45,37083742,00000000
7,1500.0,46,37F0BBBE,00000000
7,1500.0,47,37F0BBBD,00000000
7,1500.0,48,37F0BBBD,00000000
7,1500.0,49,37F0BBBD,00000000
8,1500.0,1,00000000,00000000
8,1500.0,2,00000000,00000000
8,1500.0,3,00000000,00000000
8,1500.0,4,00000000,00000000
8,1500.0,5,00000000,00000000
8,1500.0,6,00000000,00000000
8,1500.0,7,00000000,00000000
8,1500.0,8,00000000,00000000
8,1500.0,9,00000000,00000000
8,1500.0,10,00000000,00000000
8,1500.0,11,00000000,00000000
8,1500.0,12,00000000,00000000
8,1500.0,13,00000000,00000000
8,1500.0,14,00000000,00000000
8,1500.0,15,00000000,00000000
8,1500.0,16,00000000,00000000
8,1500.0,17,00000000,00000000
8,1500.0,18,00000000,00000000
8,1500.0,19,00000000,00000000
8,1500.0,20,00000000,00000000
8,1500.0,21,00000000,00000000
8,1500.0,22,00000000,00000000
8,1500.0,23,00000000,00000000
8,1500.0,24,00000000,00000000
8,1500.0,25,00000000,00000000
8,1500.0,26,00000000,00000000
8,1500.0,27,00000000,00000000
8,1500.0,28,00000000,00000000
8,1500.0,29,00000000,00000000
8,1500.0,30,00000000,00000000
8,1500.0,31,00000000,00000000
8,1500.0,32,00000000,00000000
8,1500.0,33,00000000,00000000
8,1500.0,34,00000000,00000000
8,1500.0,35,00000000,00000000
8,1500.0,36,00000000,00000000
8,1500.0,37,00000000,00000000
8,1500.0,38,00000000,00000000
8,1500.0,39,00000000,00000000
8,1500.0,40,00000000,00000000
8,1500.0,41,00000000,00000000
8,1500.0,42,00000000,00000000
8,1500.0,43,00000000,00000000
8,1500.0,44,00000000,00000000
8,1500.0,45,00000000,00000000
8,1500.0,46,00000000,00000000
8,1500.0,47,00000000,00000000
8,1500.0,48,00000000,00000000
8,1500.0,49,00000000,00000000
9,1500.0,1,00000000,00000000
9,1500.0,2,00000000,00000000
9,1500.0,3,00000000,00000000
9,1500.0,4,00000000,00000000
9,1500.0,5,00000000,00000000
9,1500.0,6,00000000,00000000
9,1500.0,7,00000000,00000000
9,1500.0,8,00000000,00000000
9,1500.0,9,00000000,00000000
9,1500.0,10,00000000,00000000
9,1500.0,11,00000000,00000000
9,1500.0,12,00000000,00000000
9,1500.0,13,00000000,00000000
9,1500.0,14,00000000,00000000
9,1500.0,15,00000000,00000000
