case,dx,k,pmfd,pmfds,pmfdq,pdmfdp,pdmfup,pmfdde_rate,pmfude_rate
5,1500.0,19,00000000,00000000,00000000,00000000,37E5DE30,00000000,3A7790B1
5,1500.0,20,00000000,00000000,00000000,00000000,37E2E990,00000000,3A6B72FE
5,1500.0,21,00000000,00000000,00000000,00000000,37DEDA70,00000000,3A5F01AE
5,1500.0,22,00000000,00000000,00000000,00000000,37D9D970,00000000,3A521896
5,1500.0,23,00000000,00000000,00000000,00000000,37D3F9A0,00000000,3A44D7C5
5,1500.0,24,00000000,00000000,00000000,00000000,37CD3A90,00000000,3A381936
5,1500.0,25,00000000,00000000,00000000,00000000,370FDAC0,00000000,3A2DCC00
5,1500.0,26,00000000,00000000,00000000,00000000,36FF0C00,00000000,3A2594A0
5,1500.0,27,00000000,00000000,00000000,00000000,36F71480,00000000,3A1D69F4
5,1500.0,28,00000000,00000000,00000000,00000000,36EEB300,00000000,3A1547C6
5,1500.0,29,00000000,00000000,00000000,00000000,36E5E680,00000000,3A0D2CF0
5,1500.0,30,00000000,00000000,00000000,00000000,36DCAF00,00000000,3A0518C8
5,1500.0,31,00000000,00000000,00000000,00000000,36D31580,00000000,39FA1D87
5,1500.0,32,00000000,00000000,00000000,00000000,36C92480,00000000,39EA256D
5,1500.0,33,00000000,00000000,00000000,00000000,36BEED80,00000000,39DA55F6
5,1500.0,34,00000000,00000000,00000000,00000000,36B48800,00000000,39CABE4C
5,1500.0,35,00000000,00000000,00000000,00000000,36AA0F80,00000000,39BB6F58
5,1500.0,36,00000000,00000000,00000000,00000000,369FA480,00000000,39AC7C52
5,1500.0,37,00000000,00000000,00000000,00000000,36956B00,00000000,399DF6FA
5,1500.0,38,00000000,00000000,00000000,00000000,368B8600,00000000,398FF218
5,1500.0,39,00000000,00000000,00000000,00000000,36820300,00000000,39827D68
5,1500.0,40,00000000,00000000,00000000,00000000,36717700,00000000,396C3886
5,1500.0,41,00000000,00000000,00000000,00000000,365E4200,00000000,3954DB8B
5,1500.0,42,00000000,00000000,00000000,00000000,3645D000,00000000,393E72B1
5,1500.0,43,00000000,00000000,00000000,00000000,361B9400,00000000,39291350
5,1500.0,44,BBF8DBCA,3FFE8000,B58D9BDA,00000000,B4FA0000,00000000,3914C1CB
5,1500.0,45,BBC28FDD,4055A000,B66C03C0,00000000,B5980400,3AD92FB4,390A0280
5,1500.0,46,BB8FF4AF,406D2200,B580FCC0,00000000,B53B6C00,3ACA6CB8,00000000
5,1500.0,47,BB434005,40511400,34CC6200,00000000,B4BF6000,3AB952B2,00000000
5,1500.0,48,BAE1E414,402E0300,351909C0,00000000,B3F90000,3AA49BF6,00000000
5,1500.0,49,BA313B18,3F78AC00,351BF540,00000000,00000000,3A894689,00000000
6,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3B836C5F
6,1500.0,3,00000000,00000000,00000000,00000000,360BEE8C,00000000,3BF66695
6,1500.0,4,00000000,00000000,00000000,00000000,37020B37,00000000,3B676CE6
6,1500.0,5,00000000,00000000,00000000,00000000,374A60B0,00000000,3AAE5EF4
6,1500.0,6,00000000,00000000,00000000,00000000,3777A696,00000000,3AA3CFD8
6,1500.0,7,00000000,00000000,00000000,00000000,3790FECC,00000000,3AA0968D
6,1500.0,8,00000000,00000000,00000000,00000000,37A2BB44,00000000,3A9DF14D
6,1500.0,9,00000000,00000000,00000000,00000000,37B169C0,00000000,3A9BB2B6
6,1500.0,10,00000000,00000000,00000000,00000000,37B2B080,00000000,3A91D36B
6,1500.0,11,00000000,00000000,00000000,00000000,37A83AD0,00000000,3A870F89
6,1500.0,12,00000000,00000000,00000000,00000000,3798AC60,00000000,3A7B7AF4
6,1500.0,13,00000000,00000000,00000000,00000000,3792F630,00000000,3A6B32DB
6,1500.0,14,00000000,00000000,00000000,00000000,37951820,00000000,3A5D73B5
6,1500.0,15,00000000,00000000,00000000,00000000,37956C90,00000000,3A51EFA2
6,1500.0,16,00000000,00000000,00000000,00000000,379513B8,00000000,3A47E636
6,1500.0,17,00000000,00000000,00000000,00000000,379D8B48,00000000,3A3EC360
6,1500.0,18,00000000,00000000,00000000,00000000,37A077D0,00000000,3A361BF2
6,1500.0,19,00000000,00000000,00000000,00000000,37A156B0,00000000,3A2DA132
6,1500.0,20,00000000,00000000,00000000,00000000,379FE620,00000000,3A251B5C
6,1500.0,21,00000000,00000000,00000000,00000000,379D24B0,00000000,3A1C6351
6,1500.0,22,00000000,00000000,00000000,00000000,3799B9D0,00000000,3A135E62
6,1500.0,23,00000000,00000000,00000000,00000000,3795B340,00000000,3A0A08D3
