case,dx,k,ptte
11,1500.0,12,37180C6D
11,1500.0,13,37227B38
11,1500.0,14,372C4BE3
11,1500.0,15,37358F8E
11,1500.0,16,373E548A
11,1500.0,17,3746A6E4
11,1500.0,18,374E90E2
11,1500.0,19,37561B52
11,1500.0,20,375D4DD3
11,1500.0,21,37642F00
11,1500.0,22,376AC4A1
11,1500.0,23,377113C2
11,1500.0,24,377720DC
11,1500.0,25,377CEFD7
11,1500.0,26,37814209
11,1500.0,27,3783F051
11,1500.0,28,37868420
11,1500.0,29,3788FEAA
11,1500.0,30,378B6101
11,1500.0,31,378DAC13
11,1500.0,32,378FE0B2
11,1500.0,33,3791FF92
11,1500.0,34,3794094A
11,1500.0,35,3795FE58
11,1500.0,36,B7407A4D
11,1500.0,37,38916C38
11,1500.0,38,37D5A83F
11,1500.0,39,37D386B4
11,1500.0,40,37D1B647
11,1500.0,41,37CFED0F
11,1500.0,42,37CDFAED
11,1500.0,43,37CBE464
11,1500.0,44,37C9BE60
11,1500.0,45,37C79357
11,1500.0,46,37C8E24D
11,1500.0,47,37AEF83B
11,1500.0,48,37AFB273
11,1500.0,49,37B02A06
12,1500.0,1,00000000
12,1500.0,2,00000000
12,1500.0,3,3504D0E5
12,1500.0,4,360261BB
12,1500.0,5,36565F46
12,1500.0,6,36903FC1
12,1500.0,7,36B177B2
12,1500.0,8,36CF983F
12,1500.0,9,36EB2CDA
12,1500.0,10,37024EF2
12,1500.0,11,370E1DE5
12,1500.0,12,371922D2
12,1500.0,13,37237701
12,1500.0,14,372D2F08
12,1500.0,15,37365BDF
12,1500.0,16,373F0BBC
12,1500.0,17,37474A8C
12,1500.0,18,374F2287
12,1500.0,19,37569C68
12,1500.0,20,375DBFBA
12,1500.0,21,3764930F
12,1500.0,22,376B1C21
12,1500.0,23,37715FF1
12,1500.0,24,377762EF
12,1500.0,25,377D28BE
12,1500.0,26,37815A0E
12,1500.0,27,37840405
12,1500.0,28,37869398
12,1500.0,29,378909F5
12,1500.0,30,378B6826
12,1500.0,31,378DAF17
12,1500.0,32,378FDF93
12,1500.0,33,3791FA4A
12,1500.0,34,3793FFD4
12,1500.0,35,3795F0AA
12,1500.0,36,3797CD30
12,1500.0,37,379995AD
12,1500.0,38,379B4A4B
12,1500.0,39,379CEB15
12,1500.0,40,379E6B03
12,1500.0,41,379FD78F
12,1500.0,42,37A13042
12,1500.0,43,37A27461
12,1500.0,44,37A3A2D2
12,1500.0,45,37A4B9EF
12,1500.0,46,37A5B729
12,1500.0,47,37A69645
12,1500.0,48,37A74F09
12,1500.0,49,37A7C5AC
13,1500.0,1,00000000
13,1500.0,2,00000000
13,1500.0,3,34E5B9B6
13,1500.0,4,35FC6501
13,1500.0,5,3652735D
13,1500.0,6,368E6796
13,1500.0,7,36AFBA4E
13,1500.0,8,36CDF33D
13,1500.0,9,36E99E4A
13,1500.0,10,3701920D
13,1500.0,11,370D6AB3
13,1500.0,12,371878B9
13,1500.0,13,3722D57A
13,1500.0,14,372C959E
13,1500.0,15,3735CA28
13,1500.0,16,373E815A
13,1500.0,17,3746C72B
13,1500.0,18,374EA5D6
13,1500.0,19,37562621
13,1500.0,20,375D4F9B
13,1500.0,21,376428D9
13,1500.0,22,376AB79A
13,1500.0,23,377100E4
13,1500.0,24,37770926
13,1500.0,25,377CD418
13,1500.0,26,37813235
13,1500.0,27,3783DE90
13,1500.0,28,37867072
13,1500.0,29,3788E90B
13,1500.0,30,378B4964
13,1500.0,31,378D9269
13,1500.0,32,378FC4E7
13,1500.0,33,3791E18E
13,1500.0,34,3793E8F6
13,1500.0,35,3795DB99
13,1500.0,36,3797B9DA
13,1500.0,37,37998401
13,1500.0,38,379B3A37
13,1500.0,39,379CDC88
13,1500.0,40,379E6B03
13,1500.0,41,379FD78F
13,1500.0,42,37A13042
13,1500.0,43,37A27461
13,1500.0,44,37A3A2D2
13,1500.0,45,37A4B9EF
13,1500.0,46,37A5B729
13,1500.0,47,37A69645
13,1500.0,48,37A74F09
13,1500.0,49,37A7C5AC
14,1500.0,1,00000000
14,1500.0,2,00000000
14,1500.0,3,35163DC4
14,1500.0,4,36066E1A
14,1500.0,5,365A2771
14,1500.0,6,369205B9
14,1500.0,7,36B322A4
14,1500.0,8,36D12AA9
14,1500.0,9,36ECA8C9
14,1500.0,10,37030287
14,1500.0,11,370EC7CB
14,1500.0,12,3719C3A0
14,1500.0,13,37240F38
14,1500.0,14,372DBF19
14,1500.0,15,3736E42B
14,1500.0,16,373F8C93
14,1500.0,17,3747C43A
14,1500.0,18,374F9548
14,1500.0,19,37570872
14,1500.0,20,375E2540
14,1500.0,21,3764F23A
14,1500.0,22,376B7513
14,1500.0,23,3771B2CD
14,1500.0,24,3777AFCF
14,1500.0,25,377D6FB6
14,1500.0,26,37817AAB
14,1500.0,27,378421D6
14,1500.0,28,3786AEAF
14,1500.0,29,37892267
14,1500.0,30,378B7E05
14,1500.0,31,378DC273
14,1500.0,32,378FF07E
14,1500.0,33,379208D7
14,1500.0,34,37940C14
14,1500.0,35,3795FAB0
14,1500.0,36,3797D50D
14,1500.0,37,37999B73
14,1500.0,38,379B4E0E
14,1500.0,39,379CECE7
14,1500.0,40,379E6C9D
14,1500.0,41,379FD8F2
14,1500.0,42,37A1316D
14,1500.0,43,37A27557
14,1500.0,44,37A3A394
14,1500.0,45,37A4BA7F
14,1500.0,46,37A5B78C
14,1500.0,47,37A6967E
14,1500.0,48,37A74F20
14,1500.0,49,37A7C5AC
15,1500.0,1,00000000
15,1500.0,2,00000000
15,1500.0,3,00000000
15,1500.0,4,00000000
15,1500.0,5,00000000
15,1500.0,6,00000000
15,1500.0,7,00000000
15,1500.0,8,00000000
15,1500.0,9,00000000
15,1500.0,10,00000000
15,1500.0,11,00000000
15,1500.0,12,00000000
15,1500.0,13,00000000
15,1500.0,14,00000000
15,1500.0,15,00000000
15,1500.0,16,00000000
15,1500.0,17,00000000
15,1500.0,18,00000000
15,1500.0,19,00000000
15,1500.0,20,00000000
15,1500.0,21,00000000
15,1500.0,22,00000000
15,1500.0,23,00000000
15,1500.0,24,00000000
15,1500.0,25,00000000
15,1500.0,26,00000000
15,1500.0,27,00000000
15,1500.0,28,00000000
15,1500.0,29,00000000
15,1500.0,30,00000000
15,1500.0,31,00000000
15,1500.0,32,00000000
15,1500.0,33,00000000
15,1500.0,34,00000000
15,1500.0,35,00000000
15,1500.0,36,00000000
15,1500.0,37,00000000
15,1500.0,38,00000000
15,1500.0,39,00000000
15,1500.0,40,00000000
15,1500.0,41,00000000
15,1500.0,42,00000000
15,1500.0,43,00000000
15,1500.0,44,00000000
15,1500.0,45,00000000
15,1500.0,46,00000000
15,1500.0,47,00000000
15,1500.0,48,00000000
15,1500.0,49,00000000
16,1500.0,1,00000000
