case,dx,zheat,zcape,zcape1,zcape2,ztauc,ztaubl,ztau,zmfub,zmfub1,zmfs,upbl,scale_fac,scale_fac2
18,15000.0,00000000,00000000,00000000,00000000,00000000,00000000,428FF0A4,3D007A5E,3D007A5E,3F800000,00000000,3F998937,3F800000
1,27000.0,3CE20CC2,449EF457,449F231E,3FBB1D33,446FDD51,41DDDF1A,44A2FFFB,3C0987C2,3E97E2F9,3F800000,40E41352,3FADF6FD,3F800000
2,27000.0,3FB8CA1C,45123D70,45124FA7,3F91B5F6,446F4A51,416AB5E4,44A29C17,3F158E39,3F3A54B6,3F800000,41A057E3,3FADF6FD,3F800000
3,27000.0,3FB89DB9,45128098,45131865,4117CCFB,446F4ACE,42230370,44A29C6C,3F158E39,3F3AD6C7,3F800000,40E6DDB3,3FADF6FD,3F800000
4,27000.0,3FA80031,452077E5,452077E5,00000000,4470F258,41DF282E,44A3BC3C,3F08EBA5,3F4C7A16,3F800000,40E4197E,3FADF6FD,3F800000
5,27000.0,3FBB38C7,451093D4,45153AD6,4294E03E,446FB21D,446FB21D,44A2E2A0,3F158E39,3F358307,3F800000,00000000,3FADF6FD,3F800000
6,27000.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,44A4837B,3F158E39,3F03A7DA,3F800000,40E6DDB3,3FADF6FD,3F800000
7,27000.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,44A2AAEE,3F158E39,3F3EA4EF,3F800000,40E6DE70,3FADF6FD,3F800000
8,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3BB211F3,00000000,3F800000,00000000,3FADF6FD,3F800000
9,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3B798E49,00000000,3F800000,00000000,3FADF6FD,3F800000
10,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3BA4E4A3,00000000,3F800000,00000000,3FADF6FD,3F800000
11,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3C0987C2,3C0987C2,3F800000,46312590,3FADF6FD,3F800000
12,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3D109FA5,00000000,3F800000,00000000,3FADF6FD,3F800000
13,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3D0F34EF,00000000,3F800000,00000000,3FADF6FD,3F800000
14,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3D0F86FA,00000000,3F800000,00000000,3FADF6FD,3F800000
15,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,00000000,00000000,3F800000,00000000,3FADF6FD,3F800000
16,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,2EDBE6FF,00000000,3F800000,00000000,3FADF6FD,3F800000
17,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3C9636B1,3C9636B1,3F800000,00000000,3FADF6FD,3F800000
18,27000.0,00000000,00000000,00000000,00000000,00000000,00000000,42A3178D,3D007A5E,3D007A5E,3F800000,00000000,3FADF6FD,3F800000
