case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
2,1500.0,19,474069D0,41A2111F,00000000,3D28114A,00000000,419DF230,41A32D01,00000000,00000000,00000000,00000000
2,1500.0,20,47492A4A,41A10228,00000000,3D2B7CD6,00000000,419D2AA0,41A2111F,00000000,00000000,00000000,00000000
2,1500.0,21,4751D0C6,419FFF21,00000000,3D2E8C1A,00000000,419C6B2C,41A10228,00000000,00000000,00000000,00000000
2,1500.0,22,475A5CB1,419F0732,00000000,3D3136E1,00000000,419BB328,419FFF21,00000000,00000000,00000000,00000000
2,1500.0,23,4762CD6E,419E199C,00000000,3D33770C,00000000,419B0210,419F0732,00000000,00000000,00000000,00000000
2,1500.0,24,476B2254,419D35B7,00000000,3D354663,00000000,419A5772,419E199C,00000000,00000000,00000000,00000000
2,1500.0,25,47735AB4,419C5AF1,00000000,3D36A0F7,00000000,4199B2E5,419D35B7,00000000,00000000,00000000,00000000
2,1500.0,26,477B75D0,419B88C8,00000000,3D37831A,00000000,419913E9,419C5AF1,00000000,00000000,00000000,00000000
2,1500.0,27,4781B970,419ABECA,00000000,3D37E41E,00000000,41987A07,419B88C8,00000000,00000000,00000000,00000000
2,1500.0,28,4785A886,4199FC8F,00000000,3D37BB20,00000000,4197E4F7,419ABECA,00000000,00000000,00000000,00000000
2,1500.0,29,478987B5,419941BD,00000000,3D37005E,00000000,4197547E,4199FC8F,00000000,00000000,00000000,00000000
2,1500.0,30,478D5682,41988E03,00000000,3D35ADB7,00000000,4196C86B,419941BD,00000000,00000000,00000000,00000000
2,1500.0,31,47911463,4197E11C,00000000,3D33BF29,00000000,4196409D,41988E03,00000000,00000000,00000000,00000000
2,1500.0,32,4794C0C7,41973ACA,00000000,3D313341,00000000,4195BCFA,4197E11C,00000000,00000000,00000000,00000000
2,1500.0,33,47985B0D,41969AD8,00000000,3D2E0B75,00000000,41953D72,41973ACA,00000000,00000000,00000000,00000000
2,1500.0,34,479BE286,4196011A,00000000,3D2A4C70,00000000,4194C200,41969AD8,00000000,00000000,00000000,00000000
2,1500.0,35,479F5670,41956D6C,00000000,3D25FE33,00000000,41944AA4,4196011A,00000000,00000000,00000000,00000000
2,1500.0,36,47A2B5F3,4194DFB0,00000000,3D212C14,00000000,4193D76A,41956D6C,00000000,00000000,00000000,00000000
2,1500.0,37,47A60021,419457D2,00000000,3D1BE49A,00000000,41936862,4194DFB0,00000000,00000000,00000000,00000000
