case,dx,k,pmfu,pmfd,paph
4,1500.0,32,3D425D35,00000000,4794C0C7
4,1500.0,33,3D3F6024,00000000,47985B0D
4,1500.0,34,3D3BC66E,00000000,479BE286
4,1500.0,35,3D3796AF,00000000,479F5670
4,1500.0,36,3D32DAD9,00000000,47A2B5F3
4,1500.0,37,3D2DA023,00000000,47A60021
4,1500.0,38,3D27F6DF,00000000,47A933EB
4,1500.0,39,3D21F21F,00000000,47AC501F
4,1500.0,40,3D1BA759,00000000,47AF535C
4,1500.0,41,3D151F7E,00000000,47B23C0A
4,1500.0,42,3D0E6D52,00000000,47B50844
4,1500.0,43,3D07ACEA,00000000,47B7B5C4
4,1500.0,44,3D00FBEF,00000000,47BA41BE
4,1500.0,45,3CF4F301,00000000,47BCA8A3
4,1500.0,46,3CE88D32,BBCFD19F,47BEE5BD
4,1500.0,47,3CE99ECC,BBCFD19F,47C0F26C
4,1500.0,48,3C87242F,BBCFD19F,47C2C476
4,1500.0,49,3BD40F5E,BBCFD19F,47C4491D
5,1500.0,1,00000000,00000000,459C4000
5,1500.0,2,00000000,00000000,45EE9B40
5,1500.0,3,3C8E054C,00000000,46202EB0
5,1500.0,4,3C9DEAF2,00000000,4648C210
5,1500.0,5,3CAD2055,00000000,467106C0
5,1500.0,6,3CBBDB6C,00000000,468C7DC8
5,1500.0,7,3CCA3B2D,00000000,46A04FA4
5,1500.0,8,3CD85302,00000000,46B3F860
5,1500.0,9,3CE62FA8,00000000,46C77754
5,1500.0,10,3CF3D9BA,00000000,46DACBE0
5,1500.0,11,3D0057DB,00000000,46EDF550
5,1500.0,12,3D064B04,00000000,47007974
5,1500.0,13,3D0BD556,00000000,4709E1F6
5,1500.0,14,3D11027B,00000000,471333CA
5,1500.0,15,3D15DEAA,00000000,471C6E89
5,1500.0,16,3D1A7256,00000000,472591C4
5,1500.0,17,3D1EC06C,00000000,472E9D0C
5,1500.0,18,3D22C73C,00000000,47378FE4
5,1500.0,19,3D268182,00000000,474069D0
5,1500.0,20,3D29E792,00000000,47492A4A
5,1500.0,21,3D2CF0D2,00000000,4751D0C6
5,1500.0,22,3D2F9577,00000000,475A5CB1
5,1500.0,23,3D31CF81,00000000,4762CD6E
5,1500.0,24,3D3398CB,00000000,476B2254
5,1500.0,25,3D34EDBC,00000000,47735AB4
5,1500.0,26,3D35CAA4,00000000,477B75D0
5,1500.0,27,3D36268C,00000000,4781B970
5,1500.0,28,3D35F82E,00000000,4785A886
5,1500.0,29,3D353767,00000000,478987B5
5,1500.0,30,3D33DDB4,00000000,478D5682
5,1500.0,31,3D31E6B5,00000000,47911463
5,1500.0,32,3D2F50A7,00000000,4794C0C7
5,1500.0,33,3D2C1CC1,00000000,47985B0D
5,1500.0,34,3D284F87,00000000,479BE286
5,1500.0,35,3D23F0EF,00000000,479F5670
5,1500.0,36,3D1F0C68,00000000,47A2B5F3
5,1500.0,37,3D19B0AD,00000000,47A60021
5,1500.0,38,3D13EF8D,00000000,47A933EB
5,1500.0,39,3D0DDD6C,00000000,47AC501F
5,1500.0,40,3D0790D4,00000000,47AF535C
5,1500.0,41,3D01148D,00000000,47B23C0A
5,1500.0,42,3CF4F88A,00000000,47B50844
5,1500.0,43,3CE7C7E5,00000000,47B7B5C4
5,1500.0,44,3CDAD0B8,BBF8DBCA,47BA41BE
5,1500.0,45,3CCE4DCD,BBC28FDD,47BCA8A3
5,1500.0,46,3CCF61D2,BB8FF4AF,47BEE5BD
5,1500.0,47,3C8CA363,BB434005,47C0F26C
5,1500.0,48,3C22B574,BAE1E414,47C2C476
5,1500.0,49,3B7F5170,BA313B18,47C4491D
6,1500.0,1,00000000,00000000,459C4000
6,1500.0,2,00000000,00000000,45EE9B40
6,1500.0,3,3B836C5F,00000000,46202EB0
6,1500.0,4,3C3CE97A,00000000,4648C210
6,1500.0,5,3C76C4B3,00000000,467106C0
6,1500.0,6,3C864848,00000000,468C7DC8
6,1500.0,7,3C90853F,00000000,46A04FA4
6,1500.0,8,3C9A8E94,00000000,46B3F860
6,1500.0,9,3CA46D6C,00000000,46C77754
6,1500.0,10,3CAE27F4,00000000,46DACBE0
6,1500.0,11,3CB743BE,00000000,46EDF550
6,1500.0,12,3CBFB1D1,00000000,47007974
6,1500.0,13,3CC78826,00000000,4709E1F6
6,1500.0,14,3CCED7BC,00000000,471333CA
6,1500.0,15,3CD5B1C6,00000000,471C6E89
6,1500.0,16,3CDC2372,00000000,472591C4
6,1500.0,17,3CE23200,00000000,472E9D0C
6,1500.0,18,3CE7DBF7,00000000,47378FE4
6,1500.0,19,3CED1AAA,00000000,474069D0
6,1500.0,20,3CF1E3C5,00000000,47492A4A
6,1500.0,21,3CF62B5A,00000000,4751D0C6
6,1500.0,22,3CF9E643,00000000,475A5CB1
6,1500.0,23,3CFD0C54,00000000,4762CD6E
6,1500.0,24,3CFF955C,00000000,476B2254
6,1500.0,25,3D00BE3D,00000000,47735AB4
6,1500.0,26,3D015E8B,00000000,477B75D0
6,1500.0,27,3D01A56B,00000000,4781B970
6,1500.0,28,3D018C70,00000000,4785A886
6,1500.0,29,3D010DE7,00000000,478987B5
6,1500.0,30,3D00253D,00000000,478D5682
6,1500.0,31,3CFD9E98,00000000,47911463
6,1500.0,32,3CFA1569,00000000,4794C0C7
6,1500.0,33,3CF5B040,00000000,47985B0D
6,1500.0,34,3CF074F2,00000000,479BE286
6,1500.0,35,3CEA6E0C,00000000,479F5670
6,1500.0,36,3CE3AAE8,00000000,47A2B5F3
6,1500.0,37,3CDC3F7C,00000000,47A60021
6,1500.0,38,3CD443FD,00000000,47A933EB
6,1500.0,39,3CCBD459,00000000,47AC501F
6,1500.0,40,3CC30F84,00000000,47AF535C
6,1500.0,41,3CBA0345,00000000,47B23C0A
6,1500.0,42,3CB0CAFA,00000000,47B50844
6,1500.0,43,3CA78DA5,00000000,47B7B5C4
6,1500.0,44,3C9E73AF,00000000,47BA41BE
6,1500.0,45,3C95A6AE,BB357C57,47BCA8A3
6,1500.0,46,3C966B8E,BB357C57,47BEE5BD
6,1500.0,47,3C4C048F,BB357C57,47C0F26C
6,1500.0,48,3BEC08DE,BB357C57,47C2C476
6,1500.0,49,3B393082,BB357C57,47C4491D
7,1500.0,1,00000000,00000000,459C4000
7,1500.0,2,00000000,00000000,45EE9B40
7,1500.0,3,3C930F09,00000000,46202EB0
7,1500.0,4,3CA37805,00000000,4648C210
7,1500.0,5,3CB32A16,00000000,467106C0
7,1500.0,6,3CC25D38,00000000,468C7DC8
7,1500.0,7,3CD1318A,00000000,46A04FA4
7,1500.0,8,3CDFBB2F,00000000,46B3F860
7,1500.0,9,3CEE0761,00000000,46C77754
7,1500.0,10,3CFC1F0F,00000000,46DACBE0
7,1500.0,11,3D04A7A4,00000000,46EDF550
7,1500.0,12,3D0AC02C,00000000,47007974
7,1500.0,13,3D106952,00000000,4709E1F6
7,1500.0,14,3D15AFA4,00000000,471333CA
7,1500.0,15,3D1A9FF4,00000000,471C6E89
7,1500.0,16,3D1F43F3,00000000,472591C4
7,1500.0,17,3D239F91,00000000,472E9D0C
7,1500.0,18,3D27B1E7,00000000,47378FE4
7,1500.0,19,3D2B764E,00000000,474069D0
7,1500.0,20,3D2EE58C,00000000,47492A4A
7,1500.0,21,3D31F751,00000000,4751D0C6
7,1500.0,22,3D34A3ED,00000000,475A5CB1
7,1500.0,23,3D36E5D8,00000000,4762CD6E
7,1500.0,24,3D38B788,00000000,476B2254
7,1500.0,25,3D3A1608,00000000,47735AB4
7,1500.0,26,3D3AFE75,00000000,477B75D0
7,1500.0,27,3D3B67D0,00000000,4781B970
7,1500.0,28,3D3B4890,00000000,4785A886
7,1500.0,29,3D3A9833,00000000,478987B5
7,1500.0,30,3D394FB4,00000000,478D5682
7,1500.0,31,3D376A1E,00000000,47911463
7,1500.0,32,3D34E4F4,00000000,4794C0C7
7,1500.0,33,3D31C0AC,00000000,47985B0D
7,1500.0,34,3D2E00F3,00000000,479BE286
7,1500.0,35,3D29ACF3,00000000,479F5670
7,1500.0,36,3D24CF4D,00000000,47A2B5F3
7,1500.0,37,3D1F7615,00000000,47A60021
7,1500.0,38,3D19B286,00000000,47A933EB
7,1500.0,39,3D1398A8,00000000,47AC501F
7,1500.0,40,3D0D3ED8,00000000,47AF535C
7,1500.0,41,3D06B0B9,00000000,47B23C0A
7,1500.0,42,3D0002D4,00000000,47B50844
7,1500.0,43,3CF2A2CE,00000000,47B7B5C4
7,1500.0,44,3CE5736E,00000000,47BA41BE
7,1500.0,45,3CD8B3BF,BB83667E,47BCA8A3
7,1500.0,46,3CD9D0F1,BB83667E,47BEE5BD
7,1500.0,47,3C93B6D6,BB83667E,47C0F26C
7,1500.0,48,3C2AE52D,BB83667E,47C2C476
7,1500.0,49,3B8614FE,BB83667E,47C4491D
8,1500.0,1,00000000,00000000,459C4000
8,1500.0,2,00000000,00000000,45EE9B40
8,1500.0,3,00000000,00000000,46202EB0
8,1500.0,4,00000000,00000000,4648C210
8,1500.0,5,00000000,00000000,467106C0
8,1500.0,6,00000000,00000000,468C7DC8
8,1500.0,7,00000000,00000000,46A04FA4
8,1500.0,8,00000000,00000000,46B3F860
8,1500.0,9,00000000,00000000,46C77754
8,1500.0,10,00000000,00000000,46DACBE0
8,1500.0,11,00000000,00000000,46EDF550
8,1500.0,12,00000000,00000000,47007974
8,1500.0,13,00000000,00000000,4709E1F6
8,1500.0,14,00000000,00000000,471333CA
8,1500.0,15,00000000,00000000,471C6E89
8,1500.0,16,00000000,00000000,472591C4
8,1500.0,17,00000000,00000000,472E9D0C
8,1500.0,18,00000000,00000000,47378FE4
8,1500.0,19,00000000,00000000,474069D0
8,1500.0,20,00000000,00000000,47492A4A
8,1500.0,21,00000000,00000000,4751D0C6
8,1500.0,22,00000000,00000000,475A5CB1
8,1500.0,23,00000000,00000000,4762CD6E
8,1500.0,24,00000000,00000000,476B2254
8,1500.0,25,00000000,00000000,47735AB4
8,1500.0,26,00000000,00000000,477B75D0
8,1500.0,27,00000000,00000000,4781B970
8,1500.0,28,00000000,00000000,4785A886
8,1500.0,29,00000000,00000000,478987B5
8,1500.0,30,00000000,00000000,478D5682
8,1500.0,31,00000000,00000000,47911463
8,1500.0,32,00000000,00000000,4794C0C7
8,1500.0,33,00000000,00000000,47985B0D
8,1500.0,34,00000000,00000000,479BE286
8,1500.0,35,00000000,00000000,479F5670
8,1500.0,36,00000000,00000000,47A2B5F3
8,1500.0,37,00000000,00000000,47A60021
8,1500.0,38,00000000,00000000,47A933EB
8,1500.0,39,00000000,00000000,47AC501F
8,1500.0,40,00000000,00000000,47AF535C
8,1500.0,41,00000000,00000000,47B23C0A
8,1500.0,42,00000000,00000000,47B50844
8,1500.0,43,00000000,00000000,47B7B5C4
8,1500.0,44,00000000,00000000,47BA41BE
8,1500.0,45,00000000,00000000,47BCA8A3
8,1500.0,46,00000000,00000000,47BEE5BD
8,1500.0,47,00000000,00000000,47C0F26C
8,1500.0,48,00000000,00000000,47C2C476
8,1500.0,49,00000000,00000000,47C4491D
9,1500.0,1,00000000,00000000,459C4000
9,1500.0,2,00000000,00000000,45EE9B40
9,1500.0,3,00000000,00000000,46202EB0
9,1500.0,4,00000000,00000000,4648C210
9,1500.0,5,00000000,00000000,467106C0
9,1500.0,6,00000000,00000000,468C7DC8
9,1500.0,7,00000000,00000000,46A04FA4
9,1500.0,8,00000000,00000000,46B3F860
9,1500.0,9,00000000,00000000,46C77754
9,1500.0,10,00000000,00000000,46DACBE0
9,1500.0,11,00000000,00000000,46EDF550
9,1500.0,12,00000000,00000000,47007974
9,1500.0,13,00000000,00000000,4709E1F6
9,1500.0,14,00000000,00000000,471333CA
9,1500.0,15,00000000,00000000,471C6E89
9,1500.0,16,00000000,00000000,472591C4
9,1500.0,17,00000000,00000000,472E9D0C
9,1500.0,18,00000000,00000000,47378FE4
9,1500.0,19,00000000,00000000,474069D0
9,1500.0,20,00000000,00000000,47492A4A
9,1500.0,21,00000000,00000000,4751D0C6
9,1500.0,22,00000000,00000000,475A5CB1
9,1500.0,23,00000000,00000000,4762CD6E
9,1500.0,24,00000000,00000000,476B2254
9,1500.0,25,00000000,00000000,47735AB4
