case,dx,k,pten,pqen,pqsen,ptenh,pqenh,paph,pap,pgeoh,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,plglac_in,plude_in,pmfdde_rate_in
2,1500.0,15,43800A52,3AB3BA08,3B07F6D4,437EE330,3AA9641D,471C6E89,47210026,4790FCAE,3D175D9B,00000000,4645C064,00000000,395E3A51,00000000,3941BF7F,37D378C3,00000000,3A4BE76C,36BF835C,00000000
2,1500.0,16,43815993,3AE16178,3B25B7AD,4380BEFF,3AD3018C,472591C4,472A1768,4788D4C4,3D1BF53F,00000000,464A7D4C,00000000,398035F6,00000000,3947A050,37D30232,00000000,3A552402,36B686A7,00000000
2,1500.0,17,438297B8,3B0AA764,3B46F9D2,4381FC9B,3B0123DE,472E9D0C,47331678,47811C4F,3D204736,00000000,464ED8EE,00000000,39917F2F,00000000,394D27F3,37DE9B89,00000000,3A511497,36AE555E,00000000
2,1500.0,18,4383C64B,3B27D1C6,3B6B65DA,43832BE4,3B1BB403,47378FE4,473BFCDA,4773916D,3D245238,00000000,4652C639,00000000,39A3B8DA,00000000,395254C3,37E328B9,00000000,398129FC,36A68FEE,00000000
2,1500.0,19,4384E69C,3B483A2E,3B894111,43844E0C,3B3945C8,474069D0,4744CA0D,4765A1D2,3D28114A,00000000,465668AC,00000000,39B66C1D,00000000,3957205E,37E45D53,00000000,00000000,369EEF75,00000000
2,1500.0,20,4385F9D0,3B6BE547,3B9DDB63,43856416,3B59E7BA,47492A4A,474D7D88,47585A4B,3D2B7CD6,00000000,4659ACD7,00000000,39C95987,00000000,395B8111,37E265F7,00000000,00000000,36974218,00000000
2,1500.0,21,438700E3,3B8968E3,3BB32826,43866EDC,3B7DA229,4751D0C6,475616BC,474BAD6D,3D2E8C1A,00000000,465C7A18,00000000,39DC403D,00000000,395F6BA7,37DE7F84,00000000,00000000,368F64AC,00000000
2,1500.0,22,4387FCB1,3B9E7C82,3BC8C210,43876F21,3B923B5C,475A5CB1,475E9510,473F8F91,3D3136E1,00000000,465EC7DE,00000000,39EEEF3A,00000000,3962D59B,37D9A076,00000000,00000000,36873F98,00000000
2,1500.0,23,4388EDFE,3BB527EA,3BDE52B8,4388656D,3BA72BAD,4762CD6E,4766F7E1,4733F689,3D33770C,00000000,466090B5,00000000,3A00A0BB,00000000,3965B719,37D3DD15,00000000,00000000,367D9E75,00000000
2,1500.0,24,4389D572,3BCD62B4,3BF47D3F,4389504C,3BBDB098,476B2254,476F3E84,4728D96D,3D354663,00000000,4661CEFA,00000000,3A098854,00000000,3968082D,37CD42CF,00000000,00000000,366D3786,00000000
2,1500.0,25,438AB3A4,3BE4FA2B,3C05B6FF,438A311D,3BD5D78A,47735AB4,47776842,471E305B,3D36A0F7,00000000,46627FD5,00000000,3A121CF3,00000000,3969C3CB,3722ABD1,00000000,00000000,3651EA64,00000000
2,1500.0,26,438B8914,3BFBACC7,3C118A84,438B094B,3BED5601,477B75D0,477F7458,4713F485,3D37831A,00000000,4662A0FD,00000000,3A1A50C8,00000000,395C2A90,37001DDD,00000000,00000000,36395B4B,00000000
2,1500.0,27,438C563B,3C099F6F,3C1DB19F,438BD945,3C01F5AA,4781B970,4783B0FB,470A1FDD,3D37E41E,00000000,466229F3,00000000,3A22132F,00000000,394CB0ED,36F83CEA,00000000,00000000,3622FDC6,00000000
2,1500.0,28,438D1B7E,3C15D0A4,3C2A23F6,438CA172,3C0DAE42,4785A886,4787981E,4700ACF9,3D37BB20,00000000,466111BD,00000000,3A294E5A,00000000,393D5AB3,36EFD41A,00000000,00000000,360EAB6B,00000000
2,1500.0,29,438DD93C,3C22625B,3C36D977,438D6227,3C19CD54,478987B5,478B6F1C,46EF2E1C,3D37005E,00000000,465F50B4,00000000,3A2FEBA6,00000000,392E3E52,36E7002D,00000000,00000000,35F88252,00000000
2,1500.0,30,438E8FC4,3C2F4BF9,3C43C95F,438E1BB9,3C264BA8,478D5682,478F3572,46DDB3B0,3D35ADB7,00000000,465CE123,00000000,3A35D436,00000000,391F70D5,36DDC169,00000000,00000000,35D73A88,00000000
2,1500.0,31,438F3F60,3C3C84D1,3C50EB16,438ECE68,3C332097,47911463,4792EA95,46CCE340,3D33BF29,00000000,4659BFD1,00000000,3A3AF19E,00000000,391105C5,36D41F42,00000000,00000000,35B94265,00000000
2,1500.0,32,438FE84B,3C4A0312,3C5E3522,438F7A76,3C4043C4,4794C0C7,47968DEA,46BCB62C,3D313341,00000000,4655EC7F,00000000,3A3F2EEA,00000000,39030EA8,36CA2323,00000000,00000000,359E5EA2,00000000
2,1500.0,33,43908ABD,3C57BCE1,3C6B9E44,43902013,3C4DAB61,47985B0D,479A1ECA,46AD26BF,3D2E0B75,00000000,46516A48,00000000,3A427952,00000000,38EB3742,36BFDC50,00000000,00000000,358657FB,00000000
2,1500.0,34,439126E2,3C65A75B,3C791C74,4390BF71,3C5B4DA2,479BE286,479D9C7B,469E3009,3D2A4C70,00000000,464C3FF6,00000000,3A44C15B,00000000,38D175C2,36B55DD0,00000000,00000000,3561F2F1,00000000
2,1500.0,35,4391BCDF,3C73B6F8,3C8352A2,439158B5,3C691FB8,479F5670,47A10632,468FCDE3,3D25FE33,00000000,46467818,00000000,3A45FBC8,00000000,38B8F178,36AABE36,00000000,00000000,353C2172,00000000
2,1500.0,36,43924CD2,3C80EFC6,3C8A16F4,4391EBFC,3C77162E,47A2B5F3,47A45B0A,4681FCE2,3D212C14,00000000,464020FD,00000000,3A462282,00000000,38A1BEDD,36A01591,00000000,00000000,351ADA6D,00000000
2,1500.0,37,4392D6CF,3C8809E2,3C90D553,43927960,3C829266,47A60021,47A79A06,466974A6,3D1BE49A,00000000,46394C81,00000000,3A45356C,00000000,388BEDA9,369579B6,00000000,00000000,34FB8114,00000000
2,1500.0,38,43935AE2,3C8F22A3,3C978784,439300EC,3C899F06,47A933EB,47AAC205,465008A8,3D163939,00000000,46320FB8,00000000,3A433AC2,00000000,386F138C,368AF91F,00000000,00000000,34C8F614,00000000
2,1500.0,39,4393D90C,3C96321E,3C9E26B4,439382AC,3C90A9DF,47AC501F,47ADD1BE,4637B395,3D103DE6,00000000,462A826C,00000000,3A403F71,00000000,384934FD,368086C4,00000000,00000000,349D6466,00000000
2,1500.0,40,43945145,3C9CA8F0,3CA4AB94,4393FE98,3C97AAE8,47AF535C,47B0C7B3,46207519,3D0A089C,00000000,4622BE82,00000000,3A3C572E,00000000,3826411F,366BD7D3,00000000,00000000,3471AAED,00000000
2,1500.0,41,4394C375,3CA2C125,3CAB0DBC,439474A4,3C9E12A8,47B23C0A,47B3A227,460A4F09,3D03A187,00000000,461ACDD5,00000000,3A378F27,00000000,38064AE0,3655BD8B,00000000,00000000,3433E660,00000000
