case,dx,k,pmfu,pmfus,pmfuq,pmful,pdmfup,plude,pmfude_rate,paph,pmfd,pmfds,pmfdq,pdmfdp,pmfdde_rate
2,1500.0,13,3F468322,4883598F,3B5AF751,3B7E187D,3A11FFA6,391668E7,3CEB03EA,4709E1F6,00000000,00000000,00000000,00000000,00000000
2,1500.0,14,3F4DD13D,48874E04,3B847AEA,3B83B91D,3A142D8D,390DC6C9,3CDD869A,471333CA,00000000,00000000,00000000,00000000,00000000
2,1500.0,15,3F54ABD1,488AEC0A,3B9C1DE7,3B881C0B,3A148F82,39068A1D,3CD237CE,471C6E89,00000000,00000000,00000000,00000000,00000000
2,1500.0,16,3F5B1F9C,488E401E,3BB42361,3B8C3D30,3A143C37,390039D9,3CC85A63,472591C4,00000000,00000000,00000000,00000000,00000000
2,1500.0,17,3F613182,48914FDB,3BCC6CE4,3B901FAF,3A1C6233,38F4F0F9,3CBF5C43,472E9D0C,00000000,00000000,00000000,00000000,00000000
2,1500.0,18,3F66DFB6,48941215,3BE6083A,3B93C260,3A1F94C1,38EA05C9,3CB6D485,47378FE4,00000000,00000000,00000000,00000000,00000000
2,1500.0,19,3F6C2338,48969FBB,3C002734,3B9720C7,3A206D8C,38DF4E87,3CAE755A,474069D0,00000000,00000000,00000000,00000000,00000000
2,1500.0,20,3F70F160,4898EB25,3C0D7325,3B9A3414,3A1F0BEF,38D48529,3CA60808,47492A4A,00000000,00000000,00000000,00000000,00000000
2,1500.0,21,3F753DE1,489AE306,3C1ABA61,3B9CF467,3A1C4E84,38C97845,3C9D65F6,4751D0C6,00000000,00000000,00000000,00000000,00000000
2,1500.0,22,3F78FD31,489C8158,3C27DA77,3B9F5A5D,3A18E273,38BE06B4,3C94753D,475A5CB1,00000000,00000000,00000000,00000000,00000000
2,1500.0,23,3F7C26B7,489DC247,3C34B965,3BA16075,3A14D5FC,38B22B5B,3C8B31DF,4762CD6E,00000000,00000000,00000000,00000000,00000000
2,1500.0,24,3F7EB1B7,489EA1DD,3C413C43,3BA30119,3A10328E,38A6A592,3C82315A,476B2254,00000000,00000000,00000000,00000000,00000000
2,1500.0,25,3F804C55,489F1E1B,3C4D4A8E,3BA438BE,39648E3B,389377A6,3C75D536,47735AB4,00000000,00000000,00000000,00000000,00000000
2,1500.0,26,3F80EB32,489F3566,3C58D0D9,3B9AAB27,39340186,388236EA,3C69F70F,477B75D0,00000000,00000000,00000000,00000000,00000000
2,1500.0,27,3F812F59,489EE1C6,3C63B7C7,3B8FCC12,392E639F,38650161,3C5E345B,4781B970,00000000,00000000,00000000,00000000,00000000
2,1500.0,28,3F81128D,489E1CEC,3C6DE0B2,3B8505DD,39287B41,384873FC,3C528747,4785A886,00000000,00000000,00000000,00000000,00000000
2,1500.0,29,3F808F5A,489CE179,3C772BCE,3B74D098,392247A3,382E9461,3C46EDCD,478987B5,00000000,00000000,00000000,00000000,00000000
2,1500.0,30,3F7F42E5,489B2B69,3C7F78FB,3B60044D,391BC8F7,38173329,3C3B6733,478D5682,00000000,00000000,00000000,00000000,00000000
2,1500.0,31,3F7C8C0A,4898F87A,3C83545C,3B4BC24D,39150479,3802256C,3C2FF7E8,47911463,00000000,00000000,00000000,00000000,00000000
2,1500.0,32,3F78F819,4896487F,3C864ECA,3B382335,390E00C7,37DE830C,3C24A507,4794C0C7,00000000,00000000,00000000,00000000,00000000
2,1500.0,33,3F748921,48931DA7,3C889E96,3B253DB3,3906C89A,37BCC148,3C1976F5,47985B0D,00000000,00000000,00000000,00000000,00000000
2,1500.0,34,3F6F45B1,488F7CB6,3C8A38E0,3B1325B7,38FED2A1,379EBB21,3C0E7770,479BE286,00000000,00000000,00000000,00000000,00000000
2,1500.0,35,3F693908,488B6D18,3C8B15C3,3B01EC92,38EFE58C,378429CD,3C03B1DD,479F5670,00000000,00000000,00000000,00000000,00000000
2,1500.0,36,3F627312,4886F8D9,3C8B30F8,3AE3414E,38E0EBC2,3759923E,3BF264EF,47A2B5F3,00000000,00000000,00000000,00000000,00000000
2,1500.0,37,3F5B0839,48822C86,3C8A8A6A,3AC49A01,38D203F0,3730AF08,3BDE09CC,47A60021,00000000,00000000,00000000,00000000,00000000
2,1500.0,38,3F531103,487A2DDB,3C89267A,3AA7F3FB,38C3426C,370D2D48,3BCA6A1E,47A933EB,00000000,00000000,00000000,00000000,00000000
2,1500.0,39,3F4AA97B,486F918A,3C870E3E,3A8D597A,38B494E9,36DD2377,3BB799FB,47AC501F,00000000,00000000,00000000,00000000,00000000
2,1500.0,40,3F41F080,4864A87E,3C844F8D,3A69970F,38A5AE80,36A9C603,3BA668A6,47AF535C,00000000,00000000,00000000,00000000,00000000
2,1500.0,41,3F38F191,4859808C,3C80F3A9,3A3CAEDE,38962783,367CC322,3B96312E,47B23C0A,00000000,00000000,00000000,00000000,00000000
2,1500.0,42,3F2FC6D7,484E384C,3C7A1967,3A13E8DD,38848648,36333091,3B869AE9,47B50844,00000000,00000000,00000000,00000000,00000000
2,1500.0,43,3F26971B,4842FCA1,3C716BCD,39DDC4E6,3859B890,35E90DBA,3B6F68EB,47B7B5C4,00000000,00000000,00000000,00000000,00000000
2,1500.0,44,3F1D8A89,4837FBC7,3C681DAE,39995BC7,380EACAF,3575F2DE,3B530164,47BA41BE,00000000,00000000,00000000,B5849EBD,00000000
2,1500.0,45,3F14CA7B,482D6510,3C5E762D,392D6E67,00000000,33ACBBC8,3B43BE73,47BCA8A3,BBFF7736,C514AC60,B93ADA93,B605B627,00000000
2,1500.0,46,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,00000000,47BEE5BD,BBFF7736,C5145CAE,B93CF16C,B5F42944,80000000
2,1500.0,47,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C0F26C,BBFF7736,C51413E9,B93ED9BF,B5D7799F,80000000
2,1500.0,48,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C2C476,BBFF7736,C513D3B2,B94088B2,B5B2B64F,80000000
2,1500.0,49,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C4491D,BBFF7736,C5139E6F,B941EE1F,00000000,80000000
3,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000,00000000,00000000,00000000,00000000
3,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,45EE9B40,00000000,00000000,00000000,00000000,00000000
3,1500.0,3,3ECA125F,480AA78A,36054100,399987C4,394F7384,3860F984,3D34416B,46202EB0,00000000,00000000,00000000,00000000,00000000
3,1500.0,4,3EE09A8C,481A15D3,3758BE7E,3A0C299B,3995A2C1,389E4364,3D2C6573,4648C210,00000000,00000000,00000000,00000000,00000000
3,1500.0,5,3EF6273A,4828C443,3855839A,3A61F93D,39C6BFEF,38CE0BFE,3D26F163,467106C0,00000000,00000000,00000000,00000000,00000000
3,1500.0,6,3F0582B2,4836D36F,39175B77,3AA4C88D,39F63A32,38FB315B,3D22DECF,468C7DC8,00000000,00000000,00000000,00000000,00000000
3,1500.0,7,3F0FB099,48444C5F,39A964F5,3ADD9C67,3A102973,39116843,3D1FAA42,46A04FA4,00000000,00000000,00000000,00000000,00000000
3,1500.0,8,3F19AB29,48513458,3A1EF895,3B0BF23F,3A21CBD2,392234B1,3D1D08E7,46B3F860,00000000,00000000,00000000,00000000,00000000
3,1500.0,9,3F237B7B,485D9604,3A82AA33,3B28DD9F,3A3064B6,3930A668,3D1ACD9D,46C77754,00000000,00000000,00000000,00000000,00000000
3,1500.0,10,3F2D27B3,48697EB3,3AC2597B,3B459785,3A31A993,39310A18,3D10FCD9,46DACBE0,00000000,00000000,00000000,00000000,00000000
3,1500.0,11,3F363616,48744430,3B0670D5,3B5E7DEB,3A27434B,392A1810,3D0648CE,46EDF550,00000000,00000000,00000000,00000000,00000000
3,1500.0,12,3F3E97C1,487DE539,3B2FB237,3B716B0B,3A17CBBC,392005B6,3CFA08EC,47007974,00000000,00000000,00000000,00000000,00000000
3,1500.0,13,3F46628E,488348D6,3B5BC8B2,3B7DEECA,3A121DF5,3915A976,3CE9D8C8,4709E1F6,00000000,00000000,00000000,00000000,00000000
3,1500.0,14,3F4DA762,48873733,3B84E618,3B839E53,3A143CBB,390CEA26,3CDC2DDC,471333CA,00000000,00000000,00000000,00000000,00000000
3,1500.0,15,3F547757,488ACE61,3B9C87A9,3B87FA75,3A1490B1,3905963A,3CD0BABB,471C6E89,00000000,00000000,00000000,00000000,00000000
3,1500.0,16,3F5ADF88,488E1B15,3BB487E2,3B8C142E,3A14385B,38FE6680,3CC6C014,472591C4,00000000,00000000,00000000,00000000,00000000
3,1500.0,17,3F60E52C,4891231B,3BCCC96B,3B8FEED4,3A1CA375,38F2C5FE,3CBDAAAF,472E9D0C,00000000,00000000,00000000,00000000,00000000
3,1500.0,18,3F6686CE,4893DD30,3BE66383,3B938979,3A1F8BB3,38E7C28B,3CB50FFD,47378FE4,00000000,00000000,00000000,00000000,00000000
3,1500.0,19,3F6BBDC9,489663CC,3C004E75,3B96DFDD,3A206945,38DCF7F4,3CACA1B7,474069D0,00000000,00000000,00000000,00000000,00000000
3,1500.0,20,3F707FDA,4898A7C5,3C0D932A,3B99EB6D,3A1EFAD5,38D21F41,3CA4286B,47492A4A,00000000,00000000,00000000,00000000,00000000
3,1500.0,21,3F74C122,489A98C3,3C1AD130,3B9CA490,3A1C3D73,38C706AA,3C9B7D35,4751D0C6,00000000,00000000,00000000,00000000,00000000
3,1500.0,22,3F78768E,489C3114,3C27E6E3,3B9F0432,3A18D79A,38BB8C37,3C92858B,475A5CB1,00000000,00000000,00000000,00000000,00000000
3,1500.0,23,3F7B97FD,489D6D25,3C34BAAF,3BA1051D,3A14D6FF,38AFAB29,3C893DB8,4762CD6E,00000000,00000000,00000000,00000000,00000000
3,1500.0,24,3F7E1D4A,489E4958,3C41322C,3BA2A21B,3A103FCD,38A423D7,3C803C00,476B2254,00000000,00000000,00000000,00000000,00000000
3,1500.0,25,3F8000CE,489EC417,3C4D3514,3BA3D812,397358C8,3891AB66,3C722873,47735AB4,00000000,00000000,00000000,00000000,00000000
3,1500.0,26,3F80A030,489EDC1A,3C58B171,3B9ABFBC,3933B068,3880C169,3C66B908,477B75D0,00000000,00000000,00000000,00000000,00000000
3,1500.0,27,3F80E6A8,489E8B61,3C639071,3B8FDDFD,392E1C2E,3862AA4D,3C5B5F6E,4781B970,00000000,00000000,00000000,00000000,00000000
3,1500.0,28,3F80CDD1,489DCB64,3C6DB3AD,3B8515F2,39283F38,38469999,3C50158D,4785A886,00000000,00000000,00000000,00000000,00000000
3,1500.0,29,3F805003,489C967F,3C76FB9D,3B74EDB0,392217C3,382D220C,3C44D8F8,478987B5,00000000,00000000,00000000,00000000,00000000
3,1500.0,30,3F7ED15D,489AE860,3C7F481E,3B601E99,391BA545,38161660,3C39A85F,478D5682,00000000,00000000,00000000,00000000,00000000
3,1500.0,31,3F7C296A,4898BE61,3C833CD4,3B4BD994,3914ECA2,38014EC0,3C2E8826,47911463,00000000,00000000,00000000,00000000,00000000
3,1500.0,32,3F78A56F,489617EA,3C86392B,3B3837BB,390DF3DD,37DD460D,3C237CDD,4794C0C7,00000000,00000000,00000000,00000000,00000000
3,1500.0,33,3F7446BE,4892F6BB,3C888BC6,3B254F0B,3906C4EE,37BBDD54,3C188EB8,47985B0D,00000000,00000000,00000000,00000000,00000000
3,1500.0,34,3F6F1322,488F5F23,3C8A2978,3B1333D3,38FED99B,379E1C77,3C0DC788,479BE286,00000000,00000000,00000000,00000000,00000000
3,1500.0,35,3F69151B,488B5821,3C8B0A16,3B01F73D,38EFF50F,3783BF97,3C033269,479F5670,00000000,00000000,00000000,00000000,00000000
3,1500.0,36,3F625BEA,4886EB5E,3C8B2905,3AE34F7F,38E0FE19,37590CA9,3BF1B7DC,47A2B5F3,00000000,00000000,00000000,00000000,00000000
3,1500.0,37,3F5AFB69,48822515,3C8A85C9,3AC4A239,38D213FD,37306353,3BDDA012,47A60021,00000000,00000000,00000000,00000000,00000000
3,1500.0,38,3F530BA8,487A27A8,3C892471,3AA7F7BE,38C34BBD,370D0A54,3BCA3603,47A933EB,00000000,00000000,00000000,00000000,00000000
3,1500.0,39,3F4AA86E,486F9053,3C870DD4,3A8D5A22,38B49718,36DD1630,3BB78EF5,47AC501F,00000000,00000000,00000000,00000000,00000000
3,1500.0,40,3F41F080,4864A87E,3C844F8D,3A69970F,38A5AE80,36A9C603,3BA668A6,47AF535C,00000000,00000000,00000000,00000000,00000000
3,1500.0,41,3F38F191,4859808C,3C80F3A9,3A3CAEDE,38962783,367CC322,3B96312E,47B23C0A,00000000,00000000,00000000,00000000,00000000
3,1500.0,42,3F2FC6D7,484E384C,3C7A1967,3A13E8DD,38848648,36333091,3B869AE9,47B50844,00000000,00000000,00000000,00000000,00000000
3,1500.0,43,3F26971B,4842FCA1,3C716BCD,39DDC4E6,3859B890,35E90DBA,3B6F68EB,47B7B5C4,00000000,00000000,00000000,00000000,00000000
3,1500.0,44,3F1D8A89,4837FBC7,3C681DAE,39995BC7,380EACAF,3575F2DE,3B530164,47BA41BE,00000000,00000000,00000000,B584FB51,00000000
3,1500.0,45,3F14CA7B,482D6510,3C5E762D,392D6E67,00000000,33ACBBC8,3B43BE73,47BCA8A3,BC0014C5,C5151428,B93B5D02,B606137E,00000000
3,1500.0,46,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,00000000,47BEE5BD,BC0014C5,C514C43F,B93D7550,B5F4D3B4,80000000
3,1500.0,47,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C0F26C,BC0014C5,C5147B47,B93F5EF8,B5D81009,80000000
3,1500.0,48,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C2C476,BC0014C5,C5143AE2,B9410F18,B5B3330F,80000000
3,1500.0,49,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C4491D,BC0014C5,C514057B,B942757E,00000000,80000000
4,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000,00000000,00000000,00000000,00000000
4,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,45EE9B40,00000000,00000000,00000000,00000000,00000000
4,1500.0,3,3EB71093,47FCDDF8,362B589D,399948EA,394EAE91,385FF0CC,3D23ABE9,46202EB0,00000000,00000000,00000000,00000000,00000000
4,1500.0,4,3ECB8610,480C86F6,378538CA,3A0B3BDB,39940994,389C2634,3D1C903E,4648C210,00000000,00000000,00000000,00000000,00000000
4,1500.0,5,3EDF1818,4819EBA8,387D16C7,3A5E80FE,39C2A621,38C8F513,3D17A1AC,467106C0,00000000,00000000,00000000,00000000,00000000
4,1500.0,6,3EF20C4C,4826B81D,392D816B,3AA064A7,39EE57AE,38F2020B,3D13F2E1,468C7DC8,00000000,00000000,00000000,00000000,00000000
4,1500.0,7,3F02454F,4832F43E,39BC2960,3AD51751,3A09F530,390A8CCA,3D110D05,46A04FA4,00000000,00000000,00000000,00000000,00000000
4,1500.0,8,3F0B560E,483EA736,3A2BA95B,3B051765,3A196213,391950A1,3D0EAC33,46B3F860,00000000,00000000,00000000,00000000,00000000
4,1500.0,9,3F14409C,4849DF54,3A8984DD,3B1F4F97,3A26028F,3925DC6A,3D0CA7DF,46C77754,00000000,00000000,00000000,00000000,00000000
4,1500.0,10,3F1D0A8E,4854A438,3AC8C01A,3B392EC7,3A20CA93,39246816,3D03D08E,46DACBE0,00000000,00000000,00000000,00000000,00000000
4,1500.0,11,3F25465B,485E62EF,3B08B476,3B4E23D5,3A15292A,391C1DD1,3CF3EE97,46EDF550,00000000,00000000,00000000,00000000,00000000
4,1500.0,12,3F2CE350,48671890,3B305EEA,3B5D4BEB,3A056515,39113470,3CE2E1EF,47007974,00000000,00000000,00000000,00000000,00000000
4,1500.0,13,3F33F5A2,486EF0F4,3B5A5775,3B665921,3A089EE8,3907AEC9,3CD4011B,4709E1F6,00000000,00000000,00000000,00000000,00000000
4,1500.0,14,3F3A8D12,48760D52,3B82EA29,3B6EC90C,3A09DC32,38FF5E87,3CC781DA,471333CA,00000000,00000000,00000000,00000000,00000000
4,1500.0,15,3F40BA09,487C8CA8,3B9920E6,3B76B0AF,3A09C64E,38F1F102,3CBD044A,471C6E89,00000000,00000000,00000000,00000000,00000000
4,1500.0,16,3F46889A,488142C1,3BAF9E33,3B7E1F7D,3A0B9378,38E63762,3CB3DB45,472591C4,00000000,00000000,00000000,00000000,00000000
4,1500.0,17,3F4BFDD6,4883FE93,3BC69939,3B828DF9,3A148A52,38DB86D9,3CAB815A,472E9D0C,00000000,00000000,00000000,00000000,00000000
4,1500.0,18,3F5118EB,48867839,3BDEF6A7,3B85D282,3A14CB9A,38D16493,3CA39693,47378FE4,00000000,00000000,00000000,00000000,00000000
4,1500.0,19,3F55D486,4888CA69,3BF7951A,3B88D9EF,3A153838,38C775C7,3C9BD404,474069D0,00000000,00000000,00000000,00000000,00000000
4,1500.0,20,3F5A283F,488AD8E0,3C083634,3B8B9EE0,3A134CEC,38BD7ABD,3C9407E4,47492A4A,00000000,00000000,00000000,00000000,00000000
4,1500.0,21,3F5E0A67,488C9DC8,3C148F48,3B8E1B23,3A10B92F,38B345F2,3C8C0EA5,4751D0C6,00000000,00000000,00000000,00000000,00000000
4,1500.0,22,3F61721A,488E14F3,3C20BF8B,3B904906,3A0D98C4,38A8B839,3C83CFED,475A5CB1,00000000,00000000,00000000,00000000,00000000
4,1500.0,23,3F6458C1,488F3B96,3C2CB080,3B922452,3A09F616,389DDD07,3C76A95C,4762CD6E,00000000,00000000,00000000,00000000,00000000
