case,dx,k,ptd,pqd,pud,pvd,pmfd,pmfds,pmfdq,pdmfdp
3,1500.0,13,43793C78,3A4E2B3A,41AFF614,00000000,00000000,00000000,00000000,00000000
3,1500.0,14,437C24CF,3A85ED42,41A84AB7,00000000,00000000,00000000,00000000,00000000
3,1500.0,15,437EE2EE,3AAA7524,41A1138C,00000000,00000000,00000000,00000000,00000000
3,1500.0,16,4380BEDF,3AD4817A,419A43FF,00000000,00000000,00000000,00000000,00000000
3,1500.0,17,4381FC7B,3B0225E9,4193D184,00000000,00000000,00000000,00000000,00000000
3,1500.0,18,43832BC4,3B1D0381,418DB342,00000000,00000000,00000000,00000000,00000000
3,1500.0,19,43844DEC,3B3AEE23,4187E1A5,00000000,00000000,00000000,00000000,00000000
3,1500.0,20,438563F7,3B5BF518,41825636,00000000,00000000,00000000,00000000,00000000
3,1500.0,21,43866EBE,3B801064,417A16B0,00000000,00000000,00000000,00000000,00000000
3,1500.0,22,43876F05,3B93B96A,416FF85D,00000000,00000000,00000000,00000000,00000000
3,1500.0,23,43886554,3BA8EEB6,416648F3,00000000,00000000,00000000,00000000,00000000
3,1500.0,24,43895035,3BBFBE8E,415D0101,00000000,00000000,00000000,00000000,00000000
3,1500.0,25,438A3109,3BD8368C,415419F5,00000000,00000000,00000000,00000000,00000000
3,1500.0,26,438B0939,3BEFDD07,414B8E1E,00000000,00000000,00000000,00000000,00000000
3,1500.0,27,438BD937,3C03360E,41435873,00000000,00000000,00000000,00000000,00000000
3,1500.0,28,438CA163,3C0EE833,413B746D,00000000,00000000,00000000,00000000,00000000
3,1500.0,29,438D621D,3C1AFDF0,4133DE0C,00000000,00000000,00000000,00000000,00000000
3,1500.0,30,438E1BB1,3C276FA5,412C91C0,00000000,00000000,00000000,00000000,00000000
3,1500.0,31,438ECE62,3C3434E0,41258C6F,00000000,00000000,00000000,00000000,00000000
3,1500.0,32,438F7A6F,3C41451B,411ECB54,00000000,00000000,00000000,00000000,00000000
3,1500.0,33,4390200F,3C4E96FB,41184C10,00000000,00000000,00000000,00000000,00000000
3,1500.0,34,4390BF6D,3C5C209D,41120C90,00000000,00000000,00000000,00000000,00000000
3,1500.0,35,439158B2,3C69D751,410C0B1A,00000000,00000000,00000000,00000000,00000000
3,1500.0,36,4391EBFA,3C77AFCD,41064642,00000000,00000000,00000000,00000000,00000000
3,1500.0,37,4392795F,3C82CF13,4100BCE4,00000000,00000000,00000000,00000000,00000000
3,1500.0,38,439300EC,3C89CA6C,40F6DC71,00000000,00000000,00000000,00000000,00000000
3,1500.0,39,439382AC,3C90C31D,40ECB394,00000000,00000000,00000000,00000000,00000000
3,1500.0,40,4393FE98,3C97B11E,40E2FF0C,00000000,00000000,00000000,00000000,00000000
3,1500.0,41,439474A4,3C9E12A8,40D9BF9C,00000000,00000000,00000000,00000000,00000000
3,1500.0,42,4394E4B2,3CA41B0B,40D0F702,00000000,00000000,00000000,00000000,00000000
3,1500.0,43,43954E96,3CA9F918,40C8A838,00000000,00000000,00000000,00000000,00000000
3,1500.0,44,4395B20D,3CAFA214,40C0D7D2,00000000,00000000,00000000,00000000,B7BA5555
