case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_graupel_diameter_m,target_hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
8,1,6, 3.0000000000000000E+002, 1.1360000371932983E+000, 8.6700000000000000E+004, 9.6001911163330078E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.7916110229492188E+002, 2.8405534103512764E-003, 9.9999999747524271E-007, 1.1234461914062500E+004, 5.8823528270579573E-009, 1.4999999393694452E-006, 3.9788720703125000E+002, 1.6666665825226801E-009, 2.7916107177734375E+002, 2.8405683115124702E-003, 9.8969326245423872E-007, 4.1180258178710938E+002, 5.8217253240400169E-009, 1.4954129028410534E-006, 1.1753195953369141E+002, 1.6615698816835334E-009
9,2,6, 1.0000000000000000E+001, 1.1380000114440918E+000, 8.6350000000000000E+004, 9.5890951156616211E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 8.0000003799796104E-003, 1.0000000474974513E-003, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.6071282958984375E+002, 5.4996769176796079E-004, 2.4999999368446879E-006, 1.1656847782433033E-002, 3.1249998144744495E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6071282958984375E+002, 5.4996769176796079E-004, 2.5000088044180302E-006, 1.1656847782433033E-002, 3.1250515508673971E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,6, 6.0000000000000000E+001, 1.1399999856948853E+000, 8.6000000000000000E+004, 9.5779669284820557E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 2.0000000949949026E-003, 1.9999999552965164E-002, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.7145635986328125E+002, 1.5545763308182359E-003, 4.9999999873762135E-007, 2.3873226344585419E-001, 9.9999997171806854E-010, 1.9999999949504854E-006, 5.3051620488986373E-004, 2.2222221840451084E-009, 2.7145635986328125E+002, 1.5545741189271212E-003, 5.0185207101094420E-007, 2.3873226344585419E-001, 1.0108943682141103E-009, 2.0003203644591849E-006, 5.3051620488986373E-004, 2.2228632268195270E-009
11,4,6, 1.0000000000000000E+003, 1.1419999599456787E+000, 8.5650000000000000E+004, 9.5668065547943115E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 9.9999997764825821E-003, 2.9999999329447746E-002, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.8431640625000000E+002, 4.0379525162279606E-003, 9.9999998245167004E-014, 2.3873228394144519E-010, 1.2500000045343672E-016, 9.9999998245167004E-014, 7.8595003769055261E-012, 1.1111110857307935E-016, 2.8431640625000000E+002, 4.0379525162279606E-003, 9.9999998245167004E-014, 2.3873228394144519E-010, 1.2500000045343672E-016, 9.9999998245167004E-014, 0.0000000000000000E+000, 1.1111110857307935E-016
0,1,7, 1.0000000149011612E-001, 9.5999997854232788E-001, 7.9000000000000000E+004, 9.3482851982116699E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 1.9999999494757503E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.5459214782714844E+002, 1.7932539049070328E-004, 2.4999999368446879E-005, 3.5107695312500000E+004, 1.4705881312693236E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5459214782714844E+002, 1.7932505579665303E-004, 2.5000335881486535E-005, 1.0402276367187500E+004, 1.4706080264659249E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,7, 1.0000000000000000E+000, 9.6199995279312134E-001, 7.8650000000000000E+004, 9.3364256620407104E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.6241305541992188E+002, 3.7889226223342121E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 4.2441290283203125E+002, 2.7777776523407738E-008, 2.6241305541992188E+002, 3.7889124359935522E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5001019821502268E-005, 4.2441290283203125E+002, 2.7779817557416209E-008
2,3,7, 5.0000000000000000E+000, 9.6399998664855957E-001, 7.8300000000000000E+004, 9.3245279788970947E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 3.0000000000000000E+002, 7.5000000000000000E+002, 2.6811007690429688E+002, 7.2060566162690520E-004, 1.2499999684223440E-005, 7.9577415466308594E+001, 4.1666666561468446E-008, 1.2499999684223440E-005, 3.1830968856811523E+001, 1.6666666269316011E-008, 2.6811013793945312E+002, 7.2058557998389006E-004, 1.2512598004832398E-005, 7.9577423095703125E+001, 4.1740772616094546E-008, 1.2507496649050154E-005, 3.1830968856811523E+001, 1.6681660497397388E-008
3,4,7, 3.0000000000000000E+001, 9.6599996089935303E-001, 7.7950000000000000E+004, 9.3125927448272705E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 3.0000000260770321E-003, 2.0000000949949026E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.7382278442382812E+002, 1.4687298098579049E-003, 2.4999999368446879E-005, 3.5367746353149414E+000, 4.9999997031591192E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7382305908203125E+002, 1.4686364447697997E-003, 2.5093357180594467E-005, 3.5367746353149414E+000, 5.0549164853919137E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,8, 1.0000000000000000E+000, 9.6799999475479126E-001, 7.7600000000000000E+004, 9.3006193637847900E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 2.5000001187436283E-004, 5.0000002374872565E-004, 2.5000000000000000E+002, 9.0000000000000000E+002, 2.5804733276367188E+002, 2.0520943508017808E-004, 2.4999999368446879E-005, 1.2223091796875000E+004, 9.9999994063182385E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5804733276367188E+002, 2.0521260739769787E-004, 2.4996825231937692E-005, 7.0726508789062500E+003, 9.9987296664494352E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,8, 5.0000000000000000E+000, 9.6999996900558472E-001, 7.7250000000000000E+004, 9.2886066436767578E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 5.0000002374872565E-004, 1.0000000474974513E-003, 5.0000000000000000E+002, 8.0000000000000000E+002, 2.6699374389648438E+002, 4.4876162428408861E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 5.9683063507080078E+001, 3.1249999921101335E-008, 2.6699371337890625E+002, 4.4876770698465407E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4993916667881422E-005, 5.9668544769287109E+001, 3.1242397113828702E-008
