case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_ice_diameter_m,target_snow_diameter_m,theta_before_k,qv_before,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
4,1,8, 1.0000000000000000E+000, 9.6799999475479126E-001, 7.7600000000000000E+004, 9.3006193637847900E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.5804733276367188E+002, 2.0520943508017808E-004, 2.4999999368446879E-005, 1.6707600000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5804730224609375E+002, 2.0522416161838919E-004, 2.4985272830235772E-005, 1.6697757812500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,8, 5.0000000000000000E+000, 9.6999996900558472E-001, 7.7250000000000000E+004, 9.2886066436767578E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 7.9999997979030013E-005, 2.5000001187436283E-004, 2.6699374389648438E+002, 4.4876162428408861E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 3.0557728515625000E+004, 2.6699261474609375E+002, 4.4913365854881704E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4627966922707856E-005, 3.0102988281250000E+004
6,3,8, 1.5000000000000000E+001, 9.7200000286102295E-001, 7.6900000000000000E+004, 9.2765557765960693E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 7.9999997979030013E-005, 1.0000000474974513E-003, 2.7812045288085938E+002, 9.8628143314272165E-004, 1.2499999684223440E-005, 8.3538000000000000E+004, 1.2499999684223440E-005, 2.3873225402832031E+002, 2.7810992431640625E+002, 9.8973920103162527E-004, 9.4490897026844323E-006, 6.3148644531250000E+004, 1.2093087207176723E-005, 2.3096080017089844E+002
7,4,8, 6.0000000000000000E+001, 9.7399997711181641E-001, 7.6550000000000000E+004, 9.2644649744033813E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.8603918457031250E+002, 4.9659487558528781E-004, 4.9999998736893758E-006, 3.3415199218750000E+004, 1.9999999494757503E-005, 3.0557732582092285E+000, 2.8602719116210938E+002, 5.0052691949531436E-004, 2.4999999368446879E-006, 1.6707597656250000E+004, 1.8567945517133921E-005, 2.8369717597961426E+000
8,1,9, 3.0000000000000000E+002, 9.7599995136260986E-001, 7.6200000000000000E+004, 9.2523348331451416E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 7.9999997979030013E-005, 4.9999998736893758E-005, 2.8965661621093750E+002, 3.2319680321961641E-003, 9.9999997473787516E-006, 6.6830398437500000E+004, 1.4999999621068127E-005, 2.2918305000000000E+006, 2.8965148925781250E+002, 3.2336472067981958E-003, 9.9187800515210256E-006, 6.6287601562500000E+004, 1.3401971955318004E-005, 2.0476698750000000E+006
9,2,9, 1.0000000000000000E+001, 9.7799998521804810E-001, 7.5850000000000000E+004, 9.2401647567749023E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 9.9999997473787516E-005, 5.0000002374872565E-004, 2.7055795288085938E+002, 6.2610034365206957E-004, 2.4999999368446879E-005, 8.7155570312500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7055813598632812E+002, 6.2604394042864442E-004, 2.5028188247233629E-005, 8.7057296875000000E+004, 2.8189761636099320E-008, 9.8275802612304688E+001
10,3,9, 6.0000000000000000E+001, 9.7999995946884155E-001, 7.5500000000000000E+004, 9.2279547452926636E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 1.5000000712461770E-004, 1.0000000474974513E-003, 2.8175256347656250E+002, 1.7707757651805878E-003, 1.9999999494757503E-005, 2.1372230468750000E+004, 4.9999998736893758E-006, 9.5492897033691406E+001, 2.8176281738281250E+002, 1.7674254486337304E-003, 2.1520825612242334E-005, 1.9747056640625000E+004, 6.8295266828499734E-006, 1.7206662597656250E+003
11,4,9, 1.0000000000000000E+003, 9.8199999332427979E-001, 7.5150000000000000E+004, 9.2157047986984253E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 1.9999999494757503E-004, 9.4999996945261955E-003, 2.9514834594726562E+002, 4.6021374873816967E-003, 9.9999997473787516E-006, 4.6180727539062500E+003, 1.4999999621068127E-005, 3.3413472771644592E-001, 2.9514938354492188E+002, 4.6018036082386971E-003, 1.0160149940929841E-005, 4.5441142578125000E+003, 1.5173932297329884E-005, 7.4292480468750000E+001
0,1,10, 1.0000000149011612E-001, 7.9999995231628418E-001, 6.8500000000000000E+004, 8.9747947454452515E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.6518713378906250E+002, 2.0681321620941162E-004, 2.4999998277053237E-004, 1.6707598750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6518716430664062E+002, 2.0680080342572182E-004, 2.5001241010613739E-004, 1.6707600000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,10, 1.0000000000000000E+000, 8.0199992656707764E-001, 6.8150000000000000E+004, 8.9616602659225464E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 1.9999999494757503E-004, 2.7338684082031250E+002, 4.3726889998652041E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999998277053237E-004, 5.9683081250000000E+005, 2.7338815307617188E+002, 4.3685609125532210E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5041279150173068E-004, 5.9683081250000000E+005
2,3,10, 5.0000000000000000E+000, 8.0399996042251587E-001, 6.7800000000000000E+004, 8.9484781026840210E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.7937710571289062E+002, 8.3220395026728511E-004, 1.2499999138526618E-004, 8.3537993750000000E+005, 1.2499999138526618E-004, 1.9098580078125000E+004, 2.7939590454101562E+002, 8.2625722279772162E-004, 1.2933940161019564E-004, 8.3537993750000000E+005, 1.2660730862990022E-004, 1.9098580078125000E+004
3,4,10, 3.0000000000000000E+001, 8.0599993467330933E-001, 6.7450000000000000E+004, 8.9352464675903320E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 9.8999997135251760E-005, 2.0000000949949026E-003, 2.8538665771484375E+002, 1.6973682213574648E-003, 2.4999999368446879E-005, 8.9747890625000000E+004, 2.2499999613501132E-004, 5.3714758300781250E+002, 2.8545846557617188E+002, 1.6746824840083718E-003, 3.8652586226817220E-005, 8.9747890625000000E+004, 2.3403314116876572E-004, 5.3714758300781250E+002
4,1,11, 1.0000000000000000E+000, 8.0799996852874756E-001, 6.7100000000000000E+004, 8.9219665527343750E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.6899899291992188E+002, 2.3732120462227613E-004, 2.4999998277053237E-004, 1.6707598750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6899847412109375E+002, 2.3748369130771607E-004, 2.4983749608509243E-004, 1.6696737500000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,11, 5.0000000000000000E+000, 8.0999994277954102E-001, 6.6750000000000000E+004, 8.9086365699768066E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 7.9999997979030013E-005, 2.5000001187436283E-004, 2.7838153076171875E+002, 5.1935331430286169E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999998277053237E-004, 3.0557728125000000E+005, 2.7836877441406250E+002, 5.2337406668812037E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4597923038527369E-004, 3.0066265625000000E+005
6,3,11, 1.5000000000000000E+001, 8.1199997663497925E-001, 6.6400000000000000E+004, 8.8952565193176270E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 7.9999997979030013E-005, 1.0000000474974513E-003, 2.9004223632812500E+002, 1.1422445531934500E-003, 1.2499999138526618E-004, 8.3537993750000000E+005, 1.2499999138526618E-004, 2.3873225097656250E+003, 2.8992370605468750E+002, 1.1795294703915715E-003, 9.2017260612919927E-005, 6.1495500000000000E+005, 1.2069786316715181E-004, 2.3051579589843750E+003
7,4,11, 6.0000000000000000E+001, 8.1399995088577271E-001, 6.6050000000000000E+004, 8.8818264007568359E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.9836206054687500E+002, 5.7553872466087341E-004, 4.9999998736893758E-005, 3.3415200000000000E+005, 1.9999999494757503E-004, 3.0557731628417969E+001, 2.9823526000976562E+002, 6.1538867885246873E-004, 2.4999999368446879E-005, 1.6707600000000000E+005, 1.8515004194341600E-004, 2.8288829803466797E+001
8,1,12, 3.0000000000000000E+002, 8.1599992513656616E-001, 6.5700000000000000E+004, 8.8683450222015381E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 7.9999997979030013E-005, 4.9999998736893758E-005, 3.0219842529296875E+002, 3.7484925705939531E-003, 9.9999997473787516E-005, 6.6830400000000000E+005, 1.4999999257270247E-004, 2.2918304000000000E+007, 3.0219183349609375E+002, 3.7505584768950939E-003, 9.9894503364339471E-005, 6.6759893750000000E+005, 1.4803951489739120E-004, 2.2618766000000000E+007
9,2,12, 1.0000000000000000E+001, 8.1799995899200439E-001, 6.5350000000000000E+004, 8.8548129796981812E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 9.9999997473787516E-005, 5.0000002374872565E-004, 2.8233233642578125E+002, 7.2669802466407418E-004, 2.4999998277053237E-004, 8.7155568750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8233432006835938E+002, 7.2607951005920768E-004, 2.5030924007296562E-004, 8.7047750000000000E+005, 3.0926028671274253E-007, 1.0781503906250000E+003
10,3,12, 6.0000000000000000E+001, 8.1999993324279785E-001, 6.5000000000000000E+004, 8.8412278890609741E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 1.5000000712461770E-004, 1.0000000474974513E-003, 2.9407681274414062E+002, 2.0568240433931351E-003, 1.9999999494757503E-004, 2.1372229687500000E+005, 4.9999998736893758E-005, 9.5492901611328125E+002, 2.9419094848632812E+002, 2.0211294759064913E-003, 2.1621723135467619E-004, 1.9639235937500000E+005, 6.9477406213991344E-005, 1.8284859375000000E+004
11,4,12, 1.0000000000000000E+003, 8.2199996709823608E-001, 6.4650000000000000E+004, 8.8275915384292603E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 1.9999999494757503E-004, 9.4999996945261955E-003, 3.0812481689453125E+002, 5.3495843894779682E-003, 9.9999997473787516E-005, 4.6180726562500000E+004, 1.4999999257270247E-004, 3.3413472175598145E+000, 3.0813284301757812E+002, 5.3470730781555176E-003, 1.0120429215021431E-004, 4.5624574218750000E+004, 1.5130691463127732E-004, 5.5949481201171875E+002
