case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qc_after,qs_after,qh_after
10,0, 1.0000000149011612E-001, 1.2400000095367432E+000, 9.2500000000000000E+004, 9.7795766592025757E-001, 2.4000000000000000E+002, 4.0000001899898052E-003, 1.0000000474974513E-003, 2.4540939331054688E+002, 2.4872989160940051E-004, 2.0000000949949026E-003, 5.9683086395263672E+001, 1.9999999494757503E-004, 8.4544061279296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4544783020019531E+002, 2.4872989160940051E-004, 1.8519369186833501E-003, 1.8707353210449219E+002, 1.9997126946691424E-004, 1.9997126953125000E+004, 1.4809191634412855E-004, 1.5544619560241699E+000, 1.6454659146347694E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,0, 1.0000000149011612E-001, 1.2419999837875366E+000, 9.2150000000000000E+004, 9.7689831256866455E-001, 2.6500000000000000E+002, 1.1999999696854502E-004, 3.9999998989515007E-005, 2.7126672363281250E+002, 2.2311569191515446E-003, 4.9999998882412910E-003, 5.5262130000000000E+006, 2.0000000949949026E-003, 1.0090169600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7131213378906250E+002, 2.2311569191515446E-003, 4.8592891544103622E-003, 5.5228600000000000E+006, 1.9992473535239697E-003, 1.0086372000000000E+008, 1.4146366447675973E-004, 3.3531901855468750E+003, 1.5718184442903294E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1, 1.0000000000000000E+000, 1.0900000333786011E+000, 8.8000000000000000E+004, 9.6411269903182983E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.7486413574218750E+002, 2.3363763466477394E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7486413574218750E+002, 2.3363763466477394E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 1.0920000076293945E+000, 8.7650000000000000E+004, 9.6301484107971191E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.7517749023437500E+002, 2.3457056377083063E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7517749023437500E+002, 2.3457056377083063E-003, 5.0000002374872565E-004, 7.6394345703125000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 1.0939999818801880E+000, 8.7300000000000000E+004, 9.6191388368606567E-001, 2.6500000000000000E+002, 7.9999997979030013E-005, 9.9999997473787516E-005, 2.7549243164062500E+002, 2.3551101330667734E-003, 5.0000002374872565E-004, 1.8650972500000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7549246215820312E+002, 2.3551101330667734E-003, 4.9995235167443752E-004, 1.8649186250000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 4.7663075264381405E-008, 4.6324267387390137E+000, 5.2958970542249517E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 1.0960000753402710E+000, 8.6950000000000000E+004, 9.6080970764160156E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 7.9999999798019417E-006, 2.7580905151367188E+002, 2.3645900655537844E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.1023156000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7580905151367188E+002, 2.3645900655537844E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9993663954664953E-005, 2.9060558000000000E+007, 6.3350276136020511E-009, 1.2470705024192341E-010, 7.0389193605746581E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 1.0980000495910645E+000, 8.6600000000000000E+004, 9.5970243215560913E-001, 2.7100000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.8237918090820312E+002, 3.7470520474016666E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8238745117187500E+002, 3.7470520474016666E-003, 4.7580600949004292E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0086957500000000E+006, 2.4194005163735710E-005, 0.0000000000000000E+000, 2.6882226222824102E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 1.1000000238418579E+000, 8.6250000000000000E+004, 9.5859193801879883E-001, 2.6900000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.8061993408203125E+002, 3.2398225739598274E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8062802124023438E+002, 3.2398225739598274E-003, 4.7601296682842076E-004, 3.5281089843750000E+004, 1.9999999494757503E-005, 1.0086950625000000E+006, 2.3987060558283702E-005, 8.6673782348632812E+001, 2.6652289264461615E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 1.0000000000000000E+000, 1.1019999980926514E+000, 8.5900000000000000E+004, 9.5747816562652588E-001, 2.6700000000000000E+002, 5.0000002374872565E-004, 7.9999997979030013E-005, 2.7885754394531250E+002, 2.7940634172409773E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.3366079687500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7886813354492188E+002, 2.7940634172409773E-003, 4.6824532910250127E-004, 7.6028139648437500E+003, 1.9993598471046425E-005, 1.3361803125000000E+005, 3.1761101126903668E-005, 3.6621109008789062E+001, 3.5290110389496476E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 1.1040000915527344E+000, 8.5550000000000000E+004, 9.5636117458343506E-001, 2.6300000000000000E+002, 7.9999997979030013E-004, 1.5000000712461770E-004, 2.7500070190429688E+002, 2.0531378686428070E-003, 5.0000002374872565E-004, 1.8650970458984375E+003, 1.9999999494757503E-005, 2.1372230468750000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7500708007812500E+002, 2.0531378686428070E-003, 4.8034347128123045E-004, 1.8580051269531250E+003, 1.9993569367215969E-005, 2.1365359375000000E+004, 1.9662973500089720E-005, 7.0921049118041992E+000, 2.1847748499226327E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
