case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,target_rain_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
1,2,4, 1.0000000000000000E+000, 1.2137053012847900E+000, 9.0650000000000000E+004, 9.7232532501220703E-001, 2.5996301269531250E+002, 1.0000000474974513E-003, 2.6736218261718750E+002, 1.5174869913607836E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 2.0999999833293259E-004, 7.4966387939453125E+002, 3.9252336136996746E-007, 2.6736218261718750E+002, 1.5174869913607836E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 2.0999999833293259E-004, 7.4966387939453125E+002, 3.9252336136996746E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,4, 1.0000000000000000E+000, 1.1629564762115479E+000, 9.0300000000000000E+004, 9.7125059366226196E-001, 2.6996301269531250E+002, 5.0000002374872565E-004, 2.7795404052734375E+002, 3.3267922699451447E-003, 9.9999997473787516E-005, 1.5278864746093750E+003, 2.1999998716637492E-004, 4.6685418701171875E+002, 2.4444443624815904E-007, 2.7795404052734375E+002, 3.3267922699451447E-003, 9.9999997473787516E-005, 1.5278864746093750E+003, 2.1999998716637492E-004, 4.6685418701171875E+002, 2.4444443624815904E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,4, 1.0000000149011612E-001, 1.1665791273117065E+000, 8.9950000000000000E+004, 9.7017282247543335E-001, 2.6814898681640625E+002, 3.0000001424923539E-004, 2.7639300537109375E+002, 2.9126000590622425E-003, 9.9999997473787516E-005, 7.0735488281250000E+003, 2.2999999055173248E-004, 2.5839255371093750E+003, 1.3529411262425128E-006, 2.7639300537109375E+002, 2.9126000590622425E-003, 9.9999997473787516E-005, 7.0735488281250000E+003, 2.2999999055173248E-004, 2.5839255371093750E+003, 1.3529411262425128E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,5, 5.0000000000000000E-001, 1.1673731803894043E+000, 8.9600000000000000E+004, 9.6909207105636597E-001, 2.6696301269531250E+002, 3.0000001424923539E-004, 2.7547744750976562E+002, 2.6712939143180847E-003, 1.9999999494757503E-004, 1.4147097656250000E+004, 2.3999999393709004E-004, 8.5675872802734375E+002, 4.4859811509923020E-007, 2.7547744750976562E+002, 2.6712939143180847E-003, 1.9999999494757503E-004, 1.4147098632812500E+004, 2.3999999393709004E-004, 8.5675872802734375E+002, 4.4859811509923020E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,5, 1.0000000000000000E+000, 1.1718565225601196E+000, 8.9250000000000000E+004, 9.6800827980041504E-001, 2.6496301269531250E+002, 5.0000002374872565E-004, 2.7371978759765625E+002, 2.2971876896917820E-003, 3.9999998989515007E-004, 6.1115458984375000E+003, 2.4999998277053237E-004, 5.3051611328125000E+002, 2.7777775812865002E-007, 2.7371978759765625E+002, 2.2971876896917820E-003, 3.9999998989515007E-004, 6.1115458984375000E+003, 2.4999998277053237E-004, 5.3051611328125000E+002, 2.7777775812865002E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,5, 5.0000000000000000E+000, 1.1902531385421753E+000, 8.8900000000000000E+004, 9.6692144870758057E-001, 2.5996301269531250E+002, 1.0000000474974513E-003, 2.6885638427734375E+002, 1.5473586972802877E-003, 6.0000002849847078E-004, 1.1459149169921875E+003, 2.6000000070780516E-004, 2.9209594726562500E+003, 1.5294117474695668E-006, 2.6885638427734375E+002, 1.5473586972802877E-003, 6.0000002849847078E-004, 1.1459149169921875E+003, 2.6000000070780516E-004, 2.9209594726562500E+003, 1.5294118611564045E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,4,5, 1.5000000000000000E+001, 1.2092019319534302E+000, 8.8550000000000000E+004, 9.6583157777786255E-001, 2.5496299743652344E+002, 2.0000000949949026E-003, 2.6398287963867188E+002, 1.0234867222607136E-003, 7.9999997979030013E-004, 1.9098580932617188E+002, 2.6999998954124749E-004, 9.6385357666015625E+002, 5.0467286882849294E-007, 2.6402377319335938E+002, 1.0234867222607136E-003, 6.6480302484706044E-004, 1.9041163635253906E+002, 4.0519691538065672E-004, 9.6442779541015625E+002, 6.5489166445331648E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1,6, 3.0000000000000000E+001, 1.2287828922271729E+000, 8.8200000000000000E+004, 9.6473860740661621E-001, 2.4996299743652344E+002, 4.0000001899898052E-003, 2.5909918212890625E+002, 6.6392053849995136E-004, 1.0000000474974513E-003, 2.9841533660888672E+001, 2.7999997837468982E-004, 5.9417803955078125E+002, 3.1111108000914101E-007, 2.5938641357421875E+002, 6.6392053849995136E-004, 9.8920427262783051E-006, 5.1953796386718750E+001, 1.2701079249382019E-003, 6.3653820800781250E+002, 1.4112312101133284E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2,6, 6.0000000000000000E+001, 1.2752230167388916E+000, 8.7850000000000000E+004, 9.6364253759384155E-001, 2.3996299743652344E+002, 6.0000000521540642E-003, 2.4901661682128906E+002, 2.6096950750797987E-004, 1.0000000474974513E-003, 8.8419370651245117E+000, 2.8999999631196260E-004, 3.2579931640625000E+003, 1.7058823686966207E-006, 2.4927993774414062E+002, 2.6096950750797987E-004, 1.5366822481155396E-008, 2.3981425762176514E+000, 1.2899846769869328E-003, 3.3499091796875000E+003, 2.8169763481855625E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,6, 3.0000000000000000E+002, 1.2972521781921387E+000, 8.7500000000000000E+004, 9.6254336833953857E-001, 2.3496299743652344E+002, 7.9999997979030013E-005, 2.4410639953613281E+002, 1.5825453738216311E-004, 1.9999999494757503E-004, 7.4603850000000000E+005, 2.9999998514540493E-004, 1.0709483642578125E+003, 5.6074765097946511E-007, 2.4415625000000000E+002, 1.5825453738216311E-004, 1.9746948964893818E-008, 7.3659919738769531E+001, 4.9998023314401507E-004, 6.6105312500000000E+004, 7.8294795002875617E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
