case,i,k,dt_s,rho_kg_m3,target_cloud_radius_m,qc_before,nc_before_per_kg,qr_before,nr_before_per_kg,qc_after,nc_after_per_kg,qr_after,nr_after_per_kg
10,3,6, 9.0000000000000000E+002, 9.4499993324279785E-001, 2.9999999242136255E-005, 1.8530014494899660E-004, 1.6384130000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 8.1920648437500000E+004
11,4,6, 1.8000000000000000E+003, 9.5499992370605469E-001, 4.9999998736893758E-005, 3.0574522679671645E-004, 5.8393037500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 2.9196517578125000E+004
0,1,7, 1.0000000149011612E-001, 8.4999990463256836E-001, 1.9999999949504854E-006, 2.4999999368446879E-005, 7.4603878400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 7.4603840000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,7, 2.5000000000000000E-001, 8.5999989509582520E-001, 3.5000000480067683E-006, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,7, 1.0000000000000000E+000, 8.6999988555908203E-001, 7.4899999162880704E-006, 6.8062494392506778E-005, 3.8669964000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8062494392506778E-005, 3.8669884000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,7, 2.0000000000000000E+000, 8.7999987602233887E-001, 7.4999998105340637E-006, 1.1230312520638108E-004, 6.3550568000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1230312520638108E-004, 6.3550148000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,8, 5.0000000000000000E+000, 7.7499991655349731E-001, 7.5100001595274080E-006, 1.8530014494899660E-004, 1.0444010400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 1.0443759200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,8, 1.0000000000000000E+001, 7.8499990701675415E-001, 7.5200000537734013E-006, 3.0574522679671645E-004, 1.7163961600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 1.7162576000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,8, 2.0000000000000000E+001, 7.9499989748001099E-001, 7.9999999798019417E-006, 2.4999999368446879E-005, 1.1656856000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 1.1656668000000000E+007, 3.4618748839809754E-013, 1.2116561410948634E-003
7,4,8, 6.0000000000000000E+001, 8.0499988794326782E-001, 9.9999997473787516E-006, 4.1249997593695298E-005, 9.8477120000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249102650908753E-005, 9.8461600000000000E+006, 8.9475821196671745E-010, 3.1316535472869873E+000
8,1,9, 1.2000000000000000E+002, 6.9999992847442627E-001, 1.2000000424450263E-005, 6.8062494392506778E-005, 9.4031950000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8041226768400520E-005, 9.3958490000000000E+006, 2.1270565753184201E-008, 7.4446983337402344E+001
9,2,9, 3.0000000000000000E+002, 7.0999991893768311E-001, 1.8000000636675395E-005, 1.1230312520638108E-004, 4.5971180000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1023588740499690E-004, 4.5464000000000000E+006, 2.0672398477472598E-006, 7.2353393554687500E+003
10,3,9, 9.0000000000000000E+002, 7.1999990940093994E-001, 2.9999999242136255E-005, 1.8530014494899660E-004, 1.6384130000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 8.1920656250000000E+004
11,4,9, 1.8000000000000000E+003, 7.2999989986419678E-001, 4.9999998736893758E-005, 3.0574522679671645E-004, 5.8393037500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 2.9196517578125000E+004
0,1,10, 1.0000000149011612E-001, 6.2499994039535522E-001, 1.9999999949504854E-006, 2.4999999368446879E-005, 7.4603878400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 7.4603846400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,10, 2.5000000000000000E-001, 6.3499993085861206E-001, 3.5000000480067683E-006, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,10, 1.0000000000000000E+000, 6.4499992132186890E-001, 7.4899999162880704E-006, 6.8062494392506778E-005, 3.8669964000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8062494392506778E-005, 3.8669908000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,10, 2.0000000000000000E+000, 6.5499991178512573E-001, 7.4999998105340637E-006, 1.1230312520638108E-004, 6.3550568000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1230312520638108E-004, 6.3550256000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,11, 5.0000000000000000E+000, 5.4999995231628418E-001, 7.5100001595274080E-006, 1.8530014494899660E-004, 1.0444010400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 1.0443832000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,11, 1.0000000000000000E+001, 5.5999994277954102E-001, 7.5200000537734013E-006, 3.0574522679671645E-004, 1.7163961600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 1.7162972800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,11, 2.0000000000000000E+001, 5.6999993324279785E-001, 7.9999999798019417E-006, 2.4999999368446879E-005, 1.1656856000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 1.1656722000000000E+007, 2.4820989989911280E-013, 8.6873461259528995E-004
7,4,11, 6.0000000000000000E+001, 5.7999992370605469E-001, 9.9999997473787516E-006, 4.1249997593695298E-005, 9.8477120000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249353671446443E-005, 9.8465940000000000E+006, 6.4466976201771331E-010, 2.2563440799713135E+000
8,1,12, 1.2000000000000000E+002, 4.7499990463256836E-001, 1.2000000424450263E-005, 6.8062494392506778E-005, 9.4031950000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8048058892600238E-005, 9.3982090000000000E+006, 1.4433597428364919E-008, 5.0517593383789062E+001
9,2,12, 3.0000000000000000E+002, 4.8499989509582520E-001, 1.8000000636675395E-005, 1.1230312520638108E-004, 4.5971180000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1089100007666275E-004, 4.5624720000000000E+006, 1.4121284266366274E-006, 4.9424497070312500E+003
10,3,12, 9.0000000000000000E+002, 4.9499991536140442E-001, 2.9999999242136255E-005, 1.8530014494899660E-004, 1.6384130000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 8.1920648437500000E+004
11,4,12, 1.8000000000000000E+003, 5.0499987602233887E-001, 4.9999998736893758E-005, 3.0574522679671645E-004, 5.8393037500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 2.9196521484375000E+004
