case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,w_m_s,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
10,3,3, 1.0000000000000000E+000, 8.1654000000000000E+004, 9.4370156526565552E-001, 1.0215286016464233E+000, 2.7738000488281250E+002, 3.0000000000000000E+000, 3.0000000000000000E+000, 6.4863334409892559E-003, 2.9392767333984375E+002, 9.9999997473787516E-006, 5.0000000000000000E+008, 4.0816328125000000E+005, 6.4608016982674599E-003, 2.9399478149414062E+002, 3.5531826142687351E-005, 5.0040816000000000E+008, 0.0000000000000000E+000
11,4,3, 5.0000000000000000E+000, 8.1481000000000000E+004, 9.4312947988510132E-001, 1.0183280706405640E+000, 2.7757000732421875E+002, 1.0000000000000000E+001, 3.0000000000000000E+001, 7.0350663736462593E-003, 2.9430743408203125E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 0.0000000000000000E+000, 6.7675942555069923E-003, 2.9501080322265625E+002, 7.6747231651097536E-004, 2.5000000000000000E+008, 0.0000000000000000E+000
0,1,4, 1.0000000000000000E+000, 7.3000000000000000E+004, 9.1395431756973267E-001, 8.8770741224288940E-001, 2.8450000000000000E+002, 5.0999999046325684E-001, 5.0000000745058060E-002, 1.1508869007229805E-002, 3.1128469848632812E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 2.0408163200000000E+008, 1.1505019851028919E-002, 3.1129507446289062E+002, 1.0384935740148649E-004, 1.3674812800000000E+008, 1.6733352000000000E+008
1,2,4, 5.0000000000000000E+000, 7.2827000000000000E+004, 9.1333454847335815E-001, 8.8490498065948486E-001, 2.8469000244140625E+002, 7.5000000000000000E-001, 5.0000000000000000E-001, 1.1710202321410179E-002, 3.1170397949218750E+002, 4.9999998736893758E-005, 2.0000000000000000E+008, 4.0816328000000000E+007, 1.1690315790474415E-002, 3.1175759887695312E+002, 6.9886205892544240E-005, 2.4081630400000000E+008, 1.3560777664184570E+001
2,3,4, 1.0000000000000000E+001, 7.2654000000000000E+004, 9.1271376609802246E-001, 8.8210451602935791E-001, 2.8488000488281250E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.1916004121303558E-002, 3.1212414550781250E+002, 1.9999999494757503E-004, 3.0000000000000000E+008, 3.0612243200000000E+008, 1.1877942830324173E-002, 3.1222683715820312E+002, 2.3806105309631675E-004, 4.0380691200000000E+008, 2.0231550400000000E+008
3,4,4, 3.0000000000000000E+001, 7.2481000000000000E+004, 9.1209191083908081E-001, 8.7925881147384644E-001, 2.8507000732421875E+002, 2.0000000000000000E+000, 5.0000000000000000E+000, 1.2215003371238708E-002, 3.1254525756835938E+002, 5.0000002374872565E-004, 5.0000000000000000E+007, 4.0816326400000000E+008, 1.2135919183492661E-002, 3.1275872802734375E+002, 5.7908397866412997E-004, 2.3134324800000000E+008, 2.2682001600000000E+008
4,1,5, 6.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.3283326625823975E+000, 2.6200000000000000E+002, 5.0000000000000000E+000, 2.0000000000000000E+001, 1.7028644215315580E-003, 2.6200000000000000E+002, 1.0000000474974513E-003, 8.0000000000000000E+008, 8.1632650000000000E+006, 1.6423476627096534E-003, 2.6215240478515625E+002, 1.0605168063193560E-003, 8.0816326400000000E+008, 9.0338811874389648E+000
5,2,5, 1.0000000000000000E+000, 9.9827000000000000E+004, 9.9950510263442993E-001, 1.3248511552810669E+000, 2.6219000244140625E+002, 2.0000000000000000E+001, 0.0000000000000000E+000, 1.9793864339590073E-003, 2.6231982421875000E+002, 3.0000001424923539E-004, 1.5000000000000000E+008, 3.2653062400000000E+008, 1.9013673299923539E-003, 2.6251635742187500E+002, 3.7801914731971920E-004, 1.5000000000000000E+008, 3.2653062400000000E+008
6,3,5, 5.0000000000000000E+000, 9.9654000000000000E+004, 9.9900954961776733E-001, 1.3211665153503418E+000, 2.6238000488281250E+002, 5.0000000000000000E+001,-2.0000000000000000E+000, 2.5164566468447447E-003, 2.6264013671875000E+002, 7.5000000651925802E-004, 4.0000000000000000E+008, 2.4489796800000000E+008, 1.9201659597456455E-003, 2.6414273071289062E+002, 1.3462906936183572E-003, 4.0000000000000000E+008, 2.4489798400000000E+008
7,4,5, 1.0000000000000000E+001, 9.9481000000000000E+004, 9.9851346015930176E-001, 1.3173524141311646E+000, 2.6257000732421875E+002, 8.9000000000000000E+001, 2.0000000000000000E+000, 3.2247724011540413E-003, 2.6296090698242188E+002, 2.5000001187436283E-004, 2.0000000000000000E+007, 1.2244898400000000E+008, 2.6483233086764812E-003, 2.6441394042968750E+002, 8.2644901704043150E-004, 1.4029100800000000E+008, 2.1579647500000000E+006
