case,i,k,dt_s,rho_kg_m3,cloud_radius_m,rain_volume_diameter_m,qc_before,nc_before_per_kg,qr_before,nr_before_per_kg,qc_after_accretion,qr_after_accretion,nc_after_accretion_per_kg,nr_after_accretion_per_kg
1,2,10, 1.0000000000000000E+000, 6.3499993085861206E-001, 4.9999998736893758E-006, 8.2999997539445758E-004, 4.1249997593695298E-005, 7.8781696000000000E+007, 7.4477487942203879E-005, 2.4876652526855469E+002, 4.1249997593695298E-005, 7.4477487942203879E-005, 7.8781696000000000E+007, 2.4876651000976562E+002
2,3,10, 5.0000000000000000E+000, 6.4499992132186890E-001, 4.9999998736893758E-006, 8.9999998454004526E-004, 6.8062494392506778E-005, 1.2998980000000000E+008, 1.1544011067599058E-004, 3.0243383789062500E+002, 6.7916029365733266E-005, 1.1558657570276409E-004, 1.2971008000000000E+008, 3.0243383789062500E+002
3,4,10, 1.0000000000000000E+001, 6.5499991178512573E-001, 4.9999998736893758E-006, 2.0999999251216650E-003, 1.1230312520638108E-004, 2.1448318400000000E+008, 1.7893216863740236E-004, 3.6900459289550781E+001, 1.1154236563015729E-004, 1.7969292821362615E-004, 2.1303024000000000E+008, 3.6900459289550781E+001
4,1,11, 3.0000000000000000E+001, 5.4999995231628418E-001, 6.0000002122251317E-006, 2.6000000070780516E-003, 1.8530014494899660E-004, 2.0480158400000000E+008, 1.9999999494757503E-005, 2.1732571125030518E+000, 1.8494670803193003E-004, 2.0353441868792288E-005, 2.0441096000000000E+008, 2.1732571125030518E+000
5,2,11, 6.0000000000000000E+001, 5.5999994277954102E-001, 7.4999998105340637E-006, 2.7199999894946814E-003, 3.0574522679671645E-004, 1.7301640000000000E+008, 3.0999999580672011E-005, 2.9420912265777588E+000, 3.0390449683181942E-004, 3.2840722269611433E-005, 1.7197476800000000E+008, 3.0973398685455322E+000
6,3,11, 1.0000000000000000E+001, 5.6999993324279785E-001, 7.4999998105340637E-006, 3.4999998752027750E-004, 2.4999999368446879E-005, 1.4147106000000000E+007, 4.8049998440546915E-005, 2.1403776855468750E+003, 2.4960416340036318E-005, 4.8089579649968073E-005, 1.4124709000000000E+007, 2.1403776855468750E+003
7,4,11, 5.0000000000000000E+000, 5.7999992370605469E-001, 9.9999997473787516E-006, 2.0999999833293259E-004, 4.1249997593695298E-005, 9.8477120000000000E+006, 7.4477487942203879E-005, 1.5359190429687500E+004, 4.1198411054210737E-005, 7.4529074481688440E-005, 9.8354070000000000E+006, 1.5359190429687500E+004
8,1,12, 5.0000000000000000E-001, 4.7499990463256836E-001, 1.9999999494757503E-005, 8.4999999671708792E-005, 6.8062494392506778E-005, 2.0310906250000000E+006, 1.1544011067599058E-004, 3.5900553125000000E+005, 6.7948836658615619E-005, 1.1555376840988174E-004, 2.0277063750000000E+006, 3.5900553125000000E+005
9,2,12, 1.0000000000000000E+000, 4.8499989509582520E-001, 2.4999999368446879E-005, 9.8999997135251760E-005, 1.1230312520638108E-004, 1.7158653750000000E+006, 1.7893216863740236E-004, 3.5219568750000000E+005, 1.1136365355923772E-004, 1.7987164028454572E-004, 1.7015586250000000E+006, 3.5219568750000000E+005
10,3,12, 2.0000000000000000E+000, 4.9499991536140442E-001, 2.9999999242136255E-005, 1.0099999781232327E-004, 1.8530014494899660E-004, 1.6384130000000000E+006, 1.9999999494757503E-005, 3.7073800781250000E+004, 1.8527005158830434E-004, 2.0030098312417977E-005, 1.6381862500000000E+006, 3.7073800781250000E+004
11,4,12, 1.0000000000000000E+001, 5.0499987602233887E-001, 4.9999998736893758E-005, 3.0000001424923539E-004, 3.0574522679671645E-004, 5.8393037500000000E+005, 3.0999999580672011E-005, 2.1928000488281250E+003, 3.0544807668775320E-004, 3.1297149689635262E-005, 5.8338243750000000E+005, 2.1928000488281250E+003
