case,temperature_initial_k,pressure_pa,exner,theta_base_k,theta_perturbation_k,qv_base,qv_perturbation,qc_initial,target_supersaturation_percent,latent_over_cp_k,condensation_factor_k,rho_kg_m3,cloud_number_initial_m3,ccn_initial_m3,background_ccn_m3,cloud_mean_mass_kg,couple_number,iteration1_branch,iteration1_target_qv,iteration1_qv,iteration1_qc,iteration1_theta_perturbation_k,iteration2_branch,iteration2_target_qv,iteration2_qv,iteration2_qc,iteration2_theta_perturbation_k,qvex,theta_direct_after_k,theta_split_after_k,qv_direct_after,qv_split_after,qc_after,cloud_number_after_m3,ccn_after_m3,new_cloud_number_m3,workspace_qvex
80, 1.6314900207519531E+002, 1.5000000000000000E+004, 5.8136308193206787E-001, 2.8063186645507812E+002, 0.0000000000000000E+000, 1.9865167288912744E-008,-3.9730334577825488E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5925053710937500E+003, 1.0624154000000000E+007, 3.2030552625656128E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3073695200000000E+008, 1.6755166698523283E-011, 0.0000000000000000E+000, 1.0000000000000000E+000, 8.3642808235140365E-009, 8.3643216797213427E-009, 7.5278121514088525E-009, 3.3569198421901092E-005, 1.0000000000000000E+000, 8.3642808235140365E-009, 8.3642808235140365E-009, 7.5278530076161587E-009, 3.3569380320841447E-005, 7.5278530076161587E-009, 2.8063189697265625E+002, 2.8063189697265625E+002, 8.3642808235140365E-009, 8.3642808235140365E-009, 7.5278530076161587E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.5278530076161587E-009
81, 1.6314999389648438E+002, 1.5000000000000000E+004, 5.8136308193206787E-001, 2.8063357543945312E+002, 0.0000000000000000E+000, 2.0994343763458545E-010, 2.0784399978879264E-008, 1.0000000036274937E-015, 4.0000000596046448E-001, 2.5925053710937500E+003, 1.0624154000000000E+007, 3.2030355930328369E-001, 1.0000000000000000E+006, 0.0000000000000000E+000, 1.3073614400000000E+008, 3.3510333397046566E-011, 0.0000000000000000E+000, 1.0000000000000000E+000, 8.3977376164057205E-009, 8.3978060061440374E-009, 1.2596538034870264E-008, 5.6172451877500862E-005, 1.0000000000000000E+000, 8.3977376164057205E-009, 8.3977376164057205E-009, 1.2596606424608581E-008, 5.6172757467720658E-005, 1.2596605536430161E-008, 2.8063363647460938E+002, 2.8063363647460938E+002, 8.3977385045841402E-009, 8.3977376164057205E-009, 1.2596606424608581E-008, 1.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2596606424608581E-008
82, 1.8000000000000000E+002, 3.0000000000000000E+004, 7.0877897739410400E-001, 2.5395787048339844E+002, 0.0000000000000000E+000, 3.4242521707028573E-008, 3.3900096241268329E-006, 9.9999999600419720E-013, 9.0000000000000000E+001, 2.5925053710937500E+003, 1.0624154000000000E+007, 5.8063793182373047E-001, 2.0000000000000000E+008, 5.0000000000000000E+006, 2.3699507200000000E+008, 6.7020666794093131E-011, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.4296579087822465E-007, 3.4296482454010402E-007, 3.0812882414466003E-006, 1.1270443908870220E-002,-1.0000000000000000E+000, 3.4296579087822465E-007, 3.4296579087822465E-007, 3.0812873319518985E-006, 1.1270440183579922E-002, 3.0812864224571967E-006, 2.5396914672851562E+002, 2.5396914672851562E+002, 3.4296567719138693E-007, 3.4296573403480579E-007, 3.0812873319518985E-006, 2.0000000000000000E+008, 5.0000000000000000E+006, 0.0000000000000000E+000, 3.0812861950835213E-006
83, 2.3314999389648438E+002, 3.0000000000000000E+004, 7.0877897739410400E-001, 3.2894598388671875E+002, 0.0000000000000000E+000, 1.3236140148364939E-005, 1.3103778474032879E-003, 9.9999999392252903E-009, 2.5000000000000000E+002, 2.5925053710937500E+003, 1.0624154000000000E+007, 4.4791337847709656E-001, 1.0000000000000000E+009, 5.0000000000000000E+006, 1.8282179200000000E+008, 9.9999999392252903E-009, 0.0000000000000000E+000,-2.0000000000000000E+000, 1.3369838707149029E-003, 1.3236240483820438E-003, 0.0000000000000000E+000,-3.6577064747689292E-005,-2.0000000000000000E+000, 1.3369838707149029E-003, 1.3236240483820438E-003, 0.0000000000000000E+000,-3.6577064747689292E-005, 0.0000000000000000E+000, 3.2894598388671875E+002, 3.2894598388671875E+002, 1.3236140366643667E-003, 1.3236140366643667E-003, 9.9999999392252903E-009, 1.0000000000000000E+009, 5.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
84, 2.4412298583984375E+002, 5.0000000000000000E+004, 8.2023179531097412E-001, 3.1762683105468750E+002,-2.0000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4230845631100237E-004, 0.0000000000000000E+000, 2.5637255859375000E+003, 1.0506214000000000E+007, 7.1354097127914429E-001, 0.0000000000000000E+000, 2.0000000000000000E+008, 2.9124121600000000E+008, 3.3510334399933575E-014, 0.0000000000000000E+000,-2.0000000000000000E+000, 6.3001713715493679E-004, 3.4230845631100237E-004, 0.0000000000000000E+000,-2.1069923400878906E+001,-2.0000000000000000E+000, 6.3001713715493679E-004, 3.4230845631100237E-004, 0.0000000000000000E+000,-2.1069923400878906E+001, 0.0000000000000000E+000, 2.9762683105468750E+002, 2.9762683105468750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4230845631100237E-004, 0.0000000000000000E+000, 2.0000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
85, 2.6314999389648438E+002, 5.0000000000000000E+004, 8.2023179531097412E-001, 3.4082394409179688E+002,-2.0000000000000000E+001, 1.7846060218289495E-003, 0.0000000000000000E+000, 3.5692120436578989E-003, 4.0000000596046448E-001, 2.5154814453125000E+003, 1.0308508000000000E+007, 6.6123098134994507E-001, 1.0000000000000000E+006, 2.0000000000000000E+008, 2.6989020800000000E+008, 5.2359895932885259E-013, 0.0000000000000000E+000,-1.0000000000000000E+000, 2.4818663951009512E-003, 3.5692120436578989E-003, 1.7846060218289495E-003,-2.5473018646240234E+001, 1.0000000000000000E+000, 2.8774382080882788E-003, 2.8516794554889202E-003, 2.5021387264132500E-003,-2.3272495269775391E+001, 0.0000000000000000E+000, 3.2082394409179688E+002, 3.2082394409179688E+002, 1.7846060218289495E-003, 1.7846060218289495E-003, 3.5692120436578989E-003, 1.0000000000000000E+006, 2.0000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
86, 2.7314898681640625E+002, 7.0000000000000000E+004, 9.0305477380752563E-001, 3.2247222900390625E+002,-2.0000000000000000E+001, 1.0312785394489765E-002, 0.0000000000000000E+000, 4.9999998882412910E-003, 9.0000000000000000E+001, 2.4908762207031250E+003, 1.0207676000000000E+007, 8.8724064826965332E-001, 2.0000000000000000E+008, 8.0000000000000000E+008, 3.6213904000000000E+008, 1.6755166698523283E-011, 0.0000000000000000E+000,-1.0000000000000000E+000, 1.0312796570360661E-002, 1.0312796570360661E-002, 4.9999887123703957E-003,-2.0000030517578125E+001, 0.0000000000000000E+000, 1.0312796570360661E-002, 1.0312796570360661E-002, 4.9999887123703957E-003,-2.0000030517578125E+001, 0.0000000000000000E+000, 3.0247222900390625E+002, 3.0247222900390625E+002, 1.0312785394489765E-002, 1.0312785394489765E-002, 4.9999998882412910E-003, 2.0000000000000000E+008, 8.0000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
87, 2.7314999389648438E+002, 7.0000000000000000E+004, 9.0305477380752563E-001, 3.2247332763671875E+002,-2.0000000000000000E+001, 1.4249999076128006E-002, 4.7500003129243851E-003, 2.0000000298023224E-001, 2.5000000000000000E+002, 2.4908737792968750E+003, 1.0207666000000000E+007, 8.8260459899902344E-001, 1.0000000000000000E+009, 8.0000000000000000E+008, 3.6024678400000000E+008, 3.3510333397046566E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8999999389052391E-002, 1.8999999389052391E-002, 2.0000000298023224E-001,-2.0000000000000000E+001, 0.0000000000000000E+000, 1.8999999389052391E-002, 1.8999999389052391E-002, 2.0000000298023224E-001,-2.0000000000000000E+001, 0.0000000000000000E+000, 3.0247332763671875E+002, 3.0247332763671875E+002, 1.8999999389052391E-002, 1.8999999389052391E-002, 2.0000000298023224E-001, 1.0000000000000000E+009, 8.0000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
88, 3.0000000000000000E+002, 8.5000000000000000E+004, 9.5459932088851929E-001, 3.0901797485351562E+002, 5.2500000000000000E+000, 1.9400203600525856E-002, 6.4667351543903351E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4269912109375000E+003, 9.9458730000000000E+006, 9.7180294990539551E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9665427200000000E+008, 6.7020666794093131E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.5866914540529251E-002, 2.5866933166980743E-002, 5.1658561872613973E-009, 5.2500133514404297E+000, 1.0000000000000000E+000, 2.5866914540529251E-002, 2.5866929441690445E-002, 9.1395921941739289E-009, 5.2500233650207520E+000, 9.1395921941739289E-009, 3.1426800537109375E+002, 3.1426800537109375E+002, 2.5866929441690445E-002, 2.5866929441690445E-002, 9.1395921941739289E-009, 1.3252453613281250E+002, 0.0000000000000000E+000, 1.3252453613281250E+002, 9.1395921941739289E-009
89, 3.1314999389648438E+002, 8.5000000000000000E+004, 9.5459932088851929E-001, 3.2279339599609375E+002, 5.2500000000000000E+000, 4.0653977543115616E-002, 1.3551324605941772E-002, 1.0000000036274937E-015, 4.0000000596046448E-001, 2.3967297363281250E+003, 9.8218600000000000E+006, 9.1546535491943359E-001, 1.0000000000000000E+006, 0.0000000000000000E+000, 3.7365932800000000E+008, 9.9999999392252903E-009, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.4205689579248428E-002, 5.4204616695642471E-002, 6.8455159407676547E-007, 5.2517185211181641E+000,-2.0000000000000000E+000, 5.4199878126382828E-002, 5.4205302149057388E-002, 0.0000000000000000E+000, 5.2500000000000000E+000, 0.0000000000000000E+000, 3.2804339599609375E+002, 3.2804339599609375E+002, 5.4205302149057388E-002, 5.4205302149057388E-002, 1.0000000036274937E-015, 1.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
90, 3.3000000000000000E+002, 1.0000000000000000E+005, 1.0000000000000000E+000, 3.2475000000000000E+002, 5.2500000000000000E+000, 2.5918644666671753E-001,-5.1837280392646790E-002, 9.9999999600419720E-013, 9.0000000000000000E+001, 2.3967297363281250E+003, 9.8218600000000000E+006, 9.9519950151443481E-001, 2.0000000000000000E+008, 5.0000000000000000E+006, 4.0620387200000000E+008, 3.3510334399933575E-014, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.0720523595809937E-001, 2.0718030631542206E-001, 1.6885838704183698E-004, 5.6547079086303711E+000,-1.0000000000000000E+000, 2.0661874115467072E-001, 2.0720523595809937E-001, 1.4392874436452985E-004, 5.5949583053588867E+000, 1.4392874436452985E-004, 3.3034497070312500E+002, 3.3034497070312500E+002, 2.0720523595809937E-001, 2.0720523595809937E-001, 1.4392874436452985E-004, 2.0427443200000000E+008, 7.2556250000000000E+005, 4.2744375000000000E+006, 1.4392874436452985E-004
91, 3.5000000000000000E+002, 1.0000000000000000E+005, 1.0000000000000000E+000, 3.4475000000000000E+002, 5.2500000000000000E+000, 1.7046060562133789E+000,-3.4092116355895996E-001, 9.9999999392252903E-009, 2.5000000000000000E+002, 2.3967297363281250E+003, 9.8218600000000000E+006, 9.3833100795745850E-001, 1.0000000000000000E+009, 5.0000000000000000E+006, 3.8299225600000000E+008, 5.2359895932885259E-013, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.4639624357223511E+000, 1.3587161302566528E+000, 4.9687856808304787E-003, 1.7158813476562500E+001,-2.0000000000000000E+000, 9.0912324190139771E-001, 1.3636848926544189E+000, 0.0000000000000000E+000, 5.2499771118164062E+000, 0.0000000000000000E+000, 3.5000000000000000E+002, 3.5000000000000000E+002, 1.3636848926544189E+000, 1.3636848926544189E+000, 9.9999999392252903E-009, 1.0000000000000000E+009, 5.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
92, 2.1631489257812500E+003, 1.0500000000000000E+005, 1.0140466690063477E+000, 2.0331848144531250E+003, 1.0000000000000000E+002, 3.9597230468750000E+004,-7.9194472656250000E+003, 9.9999999600419720E-013, 0.0000000000000000E+000, 2.3967297363281250E+003, 9.8218600000000000E+006, 1.5941417217254639E-001, 0.0000000000000000E+000, 2.0000000000000000E+008, 6.5067008000000000E+007, 1.6755166698523283E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.6672550781250000E+004, 3.1677369140625000E+004, 4.1465762257575989E-001, 1.0800556640625000E+003, 1.0000000000000000E+000, 1.6672550781250000E+004, 3.1676476562500000E+004, 1.3071973323822021E+000, 3.1896000976562500E+003, 1.3071973323822021E+000, 5.2227851562500000E+003, 5.2227851562500000E+003, 3.1676476562500000E+004, 3.1676476562500000E+004, 1.3071973323822021E+000, 2.0000000000000000E+008, 0.0000000000000000E+000, 2.0000000000000000E+008, 1.3071973323822021E+000
93, 2.1631499023437500E+003, 1.0500000000000000E+005, 1.0140466690063477E+000, 2.0331857910156250E+003, 1.0000000000000000E+002, 4.1848101806640625E+002, 4.1429621093750000E+004, 9.9999999600419720E-013, 4.0000000596046448E-001, 2.3967297363281250E+003, 9.8218600000000000E+006, 1.5941411256790161E-001, 1.0000000000000000E+006, 2.0000000000000000E+008, 6.5066984000000000E+007, 3.3510333397046566E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.6739240234375000E+004, 4.1847410156250000E+004, 6.9109684228897095E-001, 1.7334281005859375E+003, 1.0000000000000000E+000, 1.6739240234375000E+004, 4.1845222656250000E+004, 2.8772089481353760E+000, 6.9003701171875000E+003, 2.8772089481353760E+000, 8.9335556640625000E+003, 8.9335556640625000E+003, 4.1845222656250000E+004, 4.1845222656250000E+004, 2.8772089481353760E+000, 2.0100000000000000E+008, 0.0000000000000000E+000, 2.0000000000000000E+008, 2.8772089481353760E+000
94, 2.1631508789062500E+003, 2.5000000000000000E+005, 1.2994800806045532E+000, 1.5646279296875000E+003, 1.0000000000000000E+002, 1.3304696044921875E+003, 1.3171650000000000E+005, 4.9999998882412910E-003, 9.0000000000000000E+001, 2.3967297363281250E+003, 9.8218600000000000E+006, 3.7955719232559204E-001, 2.0000000000000000E+008, 8.0000000000000000E+008, 1.5492129600000000E+008, 6.7020666794093131E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.3304696289062500E+004, 1.3304282812500000E+005, 4.1515555381774902E+000, 7.7478071289062500E+003, 1.0000000000000000E+000, 1.3304696289062500E+004, 1.3290959375000000E+005, 1.3739266967773438E+002, 2.5349451562500000E+005, 1.3738766479492188E+002, 2.5505910937500000E+005, 2.5505910937500000E+005, 1.3290957812500000E+005, 1.3290957812500000E+005, 1.3739266967773438E+002, 1.0000000000000000E+009, 0.0000000000000000E+000, 8.0000000000000000E+008, 1.3738766479492188E+002
95, 2.8000100708007812E+002, 2.5000000000000000E+005, 1.2994800806045532E+000, 1.1547157287597656E+002, 1.0000000000000000E+002, 8.5514482634607702E-005, 8.4659345448017120E-003, 2.0000000298023224E-001, 2.5000000000000000E+002, 2.4742839355468750E+003, 1.0139680000000000E+007, 3.0944666862487793E+000, 1.0000000000000000E+009, 8.0000000000000000E+008, 1.2630476800000000E+009, 9.9999999392252903E-009, 1.0000000000000000E+000,-1.0000000000000000E+000, 8.5115525871515274E-003, 8.6378268897533417E-003, 1.9991362094879150E-001, 9.9835533142089844E+001, 1.0000000000000000E+000, 8.5856998339295387E-003, 8.5862968116998672E-003, 1.9996514916419983E-001, 9.9933647155761719E+001, 0.0000000000000000E+000, 2.1547157287597656E+002, 2.1547157287597656E+002, 8.5514485836029053E-003, 8.5514485836029053E-003, 2.0000000298023224E-001, 1.0000000000000000E+009, 8.0000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
96, 1.6314900207519531E+002, 1.5000000000000000E+004, 5.8136308193206787E-001, 2.8063186645507812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5925053710937500E+003, 1.0624154000000000E+007, 3.2030552625656128E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3073695200000000E+008, 3.3510334399933575E-014, 0.0000000000000000E+000,-2.0000000000000000E+000, 8.3642808235140365E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000000000000E+000, 8.3642808235140365E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8063186645507812E+002, 2.8063186645507812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
