case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,snow_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg
10,0, 1.0000000149011612E-001, 1.2400000095367432E+000, 9.2500000000000000E+004, 9.7795766592025757E-001, 2.5100000000000000E+002, 4.9999998736893758E-005, 2.0000000949949026E-003, 2.5665731811523438E+002, 6.9417740451171994E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 2.3873236179351807E+000, 2.5665731811523438E+002, 6.9417740451171994E-004, 9.9999934900552034E-004, 1.5278864000000000E+007, 1.0007454420701833E-006, 2.3873236179351807E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,0, 1.0000000149011612E-001, 1.2419999837875366E+000, 9.2150000000000000E+004, 9.7689831256866455E-001, 2.5150000000000000E+002, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.5744747924804688E+002, 7.2827836265787482E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 7.6394366455078125E+002, 2.5744964599609375E+002, 7.2827836265787482E-004, 1.9925341475754976E-003, 7.4325395000000000E+006, 5.0074658356606960E-003, 7.6394366455078125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1, 1.0000000000000000E+000, 1.0900000333786011E+000, 8.8000000000000000E+004, 9.6411269903182983E-001, 2.5000000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.5930578613281250E+002, 6.6757464082911611E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5930578613281250E+002, 6.6757464082911611E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 1.0920000076293945E+000, 8.7650000000000000E+004, 9.6301484107971191E-001, 2.5050000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.6012060546875000E+002, 7.0079392753541470E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 2.6012060546875000E+002, 7.0079392753541470E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 1.0939999818801880E+000, 8.7300000000000000E+004, 9.6191388368606567E-001, 2.5100000000000000E+002, 7.9999999798019417E-006, 1.9999999494757503E-005, 2.6093811035156250E+002, 7.3552591493353248E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 4.7746486400000000E+008, 2.6093832397460938E+002, 7.3552591493353248E-004, 4.9925822531804442E-004, 1.8623299840000000E+009, 2.0074179337825626E-004, 4.7746486400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 1.0960000753402710E+000, 8.6950000000000000E+004, 9.6080970764160156E-001, 2.5150000000000000E+002, 1.4999999621068127E-005, 7.9999997979030013E-005, 2.6175839233398438E+002, 7.7183259418234229E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 7.4603885000000000E+006, 2.6175857543945312E+002, 7.7183259418234229E-004, 4.9933249829337001E-004, 2.8256441600000000E+008, 2.0066750585101545E-004, 7.4603885000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 1.0980000495910645E+000, 8.6600000000000000E+004, 9.5970243215560913E-001, 2.5200000000000000E+002, 2.9999999242136255E-005, 1.9999999494757503E-004, 2.6258139038085938E+002, 8.0977909965440631E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.7746484375000000E+005, 2.6258157348632812E+002, 8.0977909965440631E-004, 4.9933552509173751E-004, 3.5320768000000000E+007, 2.0066447905264795E-004, 4.7746484375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 1.1000000238418579E+000, 8.6250000000000000E+004, 9.5859193801879883E-001, 2.5250000000000000E+002, 3.9999998989515007E-005, 5.0000002374872565E-004, 2.6340719604492188E+002, 8.4943271940574050E-004, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 3.0557742187500000E+004, 2.6340737915039062E+002, 8.4943271940574050E-004, 4.9933808622881770E-004, 1.4901025000000000E+007, 2.0066190336365253E-004, 3.0557740234375000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 1.0000000000000000E+000, 1.1019999980926514E+000, 8.5900000000000000E+004, 9.5747816562652588E-001, 2.5300000000000000E+002, 4.9999998736893758E-005, 1.0000000474974513E-003, 2.6423577880859375E+002, 8.9086347725242376E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 3.8197177734375000E+003, 2.6423599243164062E+002, 8.9086347725242376E-004, 4.9933744594454765E-004, 7.6293140000000000E+006, 2.0066260185558349E-004, 3.8197177734375000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 1.1040000915527344E+000, 8.5550000000000000E+004, 9.5636117458343506E-001, 2.5350000000000000E+002, 5.9999998484272510E-005, 3.0000000260770321E-003, 2.6506723022460938E+002, 9.3414314324036241E-004, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 1.4147105407714844E+002, 2.6506744384765625E+002, 9.3414314324036241E-004, 4.9933639820665121E-004, 4.4151035000000000E+006, 2.0066363504156470E-004, 1.4147105407714844E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
