case,column,k,dt_s,rho_kg_m3,dz_m,qg_before,ng_before_per_kg,qvolg_before_m3_per_kg,qg_after,ng_after_per_kg,qvolg_after_m3_per_kg,graupelncv_kg_m2
1,1,11, 5.0000000000000000E-001, 7.5999999046325684E-001, 2.1800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,11, 5.0000000000000000E-001, 7.6700001955032349E-001, 2.2150000000000000E+002, 1.6801377933006734E-004, 2.9405645751953125E+002, 2.3416554029154213E-007, 1.6789160144980997E-004, 2.9296801757812500E+002, 2.3336762922099297E-007, 7.6721380464732647E-003
1,3,11, 5.0000000000000000E-001, 7.7399998903274536E-001, 2.2500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,11, 5.0000000000000000E-001, 7.8100001811981201E-001, 2.2850000000000000E+002, 1.5999999595806003E-003, 1.1504088640213013E+000, 9.4117640401236713E-006, 1.5423223376274109E-003, 1.1345145702362061E+000, 9.0724843175848946E-006, 6.6424366086721420E-003
1,5,11, 5.0000000000000000E-001, 7.8799998760223389E-001, 2.3200000000000000E+002, 9.9999999392252903E-009, 9.6068733910215087E-006, 2.8368793425492811E-011, 1.0008023743068861E-008, 6.3532181084156036E-002, 2.7926615880913275E-011, 4.3231727225867544E-011
1,6,11, 5.0000000000000000E-001, 7.9500001668930054E-001, 2.3550000000000000E+002, 1.2262132077012211E-004, 4.0397340059280396E-001, 2.2919873288174131E-007, 1.3091276923660189E-004, 4.0170195698738098E-001, 2.3837476703647553E-007, 2.3480960464894451E-007
1,1,12, 5.0000000000000000E-001, 7.0799994468688965E-001, 2.3500000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,12, 5.0000000000000000E-001, 7.1499997377395630E-001, 2.3850000000000000E+002, 1.2825826706830412E-004, 8.0643661499023438E+001, 1.4250917956815101E-007, 1.2604579387698323E-004, 8.0079437255859375E+001, 1.4005088644353236E-007, 7.6721380464732647E-003
1,3,12, 5.0000000000000000E-001, 7.2199994325637817E-001, 2.4200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,12, 5.0000000000000000E-001, 7.2899997234344482E-001, 2.4550000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.6424366086721420E-003
1,5,12, 5.0000000000000000E-001, 7.3599994182586670E-001, 2.4900000000000000E+002, 1.0000000116860974E-007, 1.3221586227416992E+001, 1.8691588554720084E-010, 9.9520725882484840E-008, 1.3196245193481445E+001, 1.8602004658863081E-010, 4.3231727225867544E-011
1,6,12, 5.0000000000000000E-001, 7.4299997091293335E-001, 2.5250000000000000E+002, 2.3298049927689135E-004, 1.8773020803928375E-001, 3.2471149324919679E-007, 2.1971033129375428E-004, 1.8341517448425293E-001, 3.0621649216300284E-007, 2.3480960464894451E-007
2,1,1, 1.0000000000000000E+001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2,1, 1.0000000000000000E+001, 1.2869999408721924E+000, 5.1500000000000000E+001, 2.4999999441206455E-003, 4.3754809570312500E+003, 3.4843205867218785E-006, 2.0986394956707954E-003, 3.4044582519531250E+003, 3.3730311770341359E-006, 1.5208150446414948E-001
2,3,1, 1.0000000000000000E+001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1, 1.0000000000000000E+001, 1.3009999990463257E+000, 5.8500000000000000E+001, 7.9999997979030013E-004, 5.7520443201065063E-001, 4.7058820200618356E-006, 1.4448066940531135E-004, 6.4033231250000000E+005, 5.1386109589657281E-007, 6.9841153919696808E-002
2,5,1, 1.0000000000000000E+001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999999600419720E-012, 9.8739576515072258E-007, 2.8368793588123137E-014, 9.0986054246400272E-009, 8.1986336226691492E-006, 3.2043551839722184E-011, 5.7377992135343447E-008
2,6,1, 1.0000000000000000E+001, 1.3149999380111694E+000, 6.5500000000000000E+001, 2.0000000233721948E-007, 4.5693801879882812E+001, 3.7383177109440169E-010, 2.9263486567288055E-007, 4.3790649414062500E+001, 4.7594722607513518E-010, 5.3612179726769682E-006
2,1,2, 1.0000000000000000E+001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.2668587411753833E-005, 1.0829998779296875E+003, 4.7409539405407486E-008, 0.0000000000000000E+000
2,2,2, 1.0000000000000000E+001, 1.2349998950958252E+000, 6.8500000000000000E+001, 1.9084487576037645E-003, 1.1999560546875000E+003, 2.1204987206147052E-006, 1.0403993073850870E-003, 1.1619078369140625E+003, 3.2361388093704591E-006, 1.5208150446414948E-001
2,3,2, 1.0000000000000000E+001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,2, 1.0000000000000000E+001, 1.2489999532699585E+000, 7.5500000000000000E+001, 1.1999999405816197E-003, 6.5016460000000000E+006, 3.4042550396407023E-006, 9.8843395244330168E-004, 6.0295955000000000E+006, 2.8040681172569748E-006, 6.9841153919696808E-002
2,5,2, 1.0000000000000000E+001, 1.2559999227523804E+000, 7.9000000000000000E+001, 1.0000000133514320E-010, 9.1765360821227659E-007, 1.8691588533036041E-013, 3.0832396191726730E-008, 5.4116559028625488E-001, 1.4382924018452314E-010, 5.7377992135343447E-008
2,6,2, 1.0000000000000000E+001, 1.2629998922348022E+000, 8.2500000000000000E+001, 3.7999998880877683E-007, 2.1234338760375977E+001, 5.2961668384199356E-010, 5.4441301244878559E-007, 2.0545627593994141E+001, 8.3015733176594608E-010, 5.3612179726769682E-006
2,1,3, 1.0000000000000000E+001, 1.1759999990463257E+000, 8.2000000000000000E+001, 9.9999997473787516E-005, 3.5773779296875000E+003, 1.1111110609363095E-007, 1.1145891039632261E-004, 6.2755532226562500E+003, 3.4702819107224059E-007, 0.0000000000000000E+000
2,2,3, 1.0000000000000000E+001, 1.1829999685287476E+000, 8.5500000000000000E+001, 1.4568705810233951E-003, 2.5849853515625000E+003, 8.5698266047984362E-006, 1.5364193823188543E-003, 2.4708732910156250E+003, 7.3562246143410448E-006, 1.5208150446414948E-001
2,3,3, 1.0000000000000000E+001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,3, 1.0000000000000000E+001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0566247985698283E-004, 2.4270517187500000E+005, 2.5310635010100668E-007, 6.9841153919696808E-002
2,5,3, 1.0000000000000000E+001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999997171806854E-010, 2.1130406366864918E-006, 1.3937282317827426E-012, 4.9088246356632226E-008, 2.5920772552490234E+000, 2.3593940690069815E-010, 5.7377992135343447E-008
2,6,3, 1.0000000000000000E+001, 1.2109999656677246E+000, 9.9500000000000000E+001, 7.2199998157884693E-007, 1.0550368309020996E+001, 8.0222217757608405E-010, 8.9107760459228302E-007, 1.2309820175170898E+001, 2.2197237381504920E-009, 5.3612179726769682E-006
2,1,4, 1.0000000000000000E+001, 1.1239999532699585E+000, 9.9000000000000000E+001, 2.9999998514540493E-004, 2.5407552734375000E+004, 1.7647057575231884E-006, 3.7651558523066342E-004, 2.5092035156250000E+004, 1.8583166365715442E-006, 0.0000000000000000E+000
2,2,4, 1.0000000000000000E+001, 1.1309999227523804E+000, 1.0250000000000000E+002, 1.1121451389044523E-003, 5.6589447021484375E+002, 3.1550216590403579E-006, 8.7667384650558233E-004, 1.9936732177734375E+003, 2.2361721221386688E-006, 1.5208150446414948E-001
2,3,4, 1.0000000000000000E+001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,4, 1.0000000000000000E+001, 1.1449999809265137E+000, 1.0950000000000000E+002, 3.9999998989515007E-004, 1.0647295000000000E+006, 5.5749126204318600E-007, 1.0795802809298038E-003, 9.7823506250000000E+005, 1.2908625421914621E-006, 6.9841153919696808E-002
2,5,4, 1.0000000000000000E+001, 1.1519999504089355E+000, 1.1300000000000000E+002, 9.9999999392252903E-009, 7.2568891482660547E-006, 1.1111111163086829E-011, 5.1186027860694594E-008, 5.1464319229125977E+000, 2.2211768535562726E-010, 5.7377992135343447E-008
