kind,column,lwp,iwp,reliq,dgice,band,tau,ssa,g
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,0, 6.7282048496417701E-001, 3.7599313614778324E-001, 5.8499244629828107E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,1, 7.3839529103133827E-001, 4.8944843380035630E-001, 8.3142152351772602E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,2, 7.1676689921878278E-001, 4.7934566236478809E-001, 8.8699690143303744E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,3, 6.8641417461913079E-001, 4.7336809745134723E-001, 9.0578458511320981E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,4, 6.4492514223093167E-001, 4.6599827348051398E-001, 9.2296231998821765E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,5, 6.3445265655172989E-001, 5.1733434091809205E-001, 9.4972388289196863E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,6, 7.5677658256608993E-001, 6.3835912141248918E-001, 9.3705031282528806E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,7, 7.7294491947395727E-001, 6.5263856173315282E-001, 9.1978082291535534E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,8, 7.4438496830407530E-001, 6.3183954672181120E-001, 9.0504685028063026E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,9, 7.1897520386846736E-001, 6.0311550491914234E-001, 9.0311887539268310E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,10, 7.0241449750028551E-001, 5.7408278326984241E-001, 9.2279103150594233E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,11, 6.9122393388533965E-001, 7.0144554398518888E-001, 8.7599794080374360E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,12, 6.8449256301391870E-001, 6.5739676854635221E-001, 8.9328068610614930E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,13, 6.8160818808246404E-001, 7.0866931791995735E-001, 8.7971329381746100E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,14, 6.7859983973903582E-001, 7.7548578626677422E-001, 8.6202144408816261E-001
lw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,15, 6.6899190173717216E-001, 6.1543575213311863E-001, 9.0799623191465950E-001
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,2, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,4, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,5, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,6, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,7, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,8, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,9, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,10, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,11, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,12, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,13, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,14, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
lw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,15, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
