kind,column,lwp,iwp,reliq,dgice,band,tau,ssa,g
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,2, 6.5503652609186247E-001, 6.4645547315886653E-001, 9.2747509931280459E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,3, 6.5849181124940515E-001, 9.3769382604426332E-001, 8.5597403534498062E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,4, 6.5424817131133750E-001, 8.8479840335832627E-001, 8.7007931653998050E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,5, 6.5082650748081505E-001, 9.5649574712890351E-001, 8.4493833494671244E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,6, 6.4603087620344013E-001, 9.6410053836965071E-001, 8.4377925220792960E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,7, 6.4324911450967193E-001, 9.9655853428141350E-001, 8.3195009035012146E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,8, 6.3819265062920749E-001, 9.9931336902373291E-001, 8.3355908028518910E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,9, 6.3308546115877107E-001, 9.9998035465641100E-001, 8.3579335034016966E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,10, 6.2934835872147232E-001, 1.0000000000000000E+000, 8.3673471247483056E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,11, 6.2627824617084116E-001, 1.0000000000000000E+000, 8.3629843927798264E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,12, 6.2398364627733827E-001, 9.9999321986381662E-001, 8.3346297530734970E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,13, 6.2165709375403821E-001, 9.9997000970983141E-001, 8.2463807264529476E-001
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,2, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,4, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,5, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,6, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,7, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,8, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,9, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,10, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,11, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,12, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
sw,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+001, 5.0000000000000000E+001,13, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
