case,dxi,k,u,v,t,qv,qc,qi,p2d,pi2d,p2di_k,p2di_kp1,dz8w,tke_in,rublten,rvblten,rthblten,rqvblten,rqcblten,rqiblten,exch_h,tke_out,el_out,rublten_tw,rvblten_tw,exch_h_tw
27,3,34, 2.3591249465942383E+001, 7.8819999694824219E+000, 2.4578585815429688E+002, 1.1013005132554099E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5185689453125000E+004, 6.7437440156936646E-001, 2.6199976562500000E+004, 2.4171402343750000E+004, 6.8500000000000000E+002, 4.9999998882412910E-003,-4.2385526199950618E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 3.2337590179405684E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0095028206706047E-002, 4.9999998882412910E-003, 0.0000000000000000E+000,-4.2385526199950618E-008,-1.0596381549987655E-008, 1.0095028206706047E-002
27,3,35, 2.4633750915527344E+001, 8.4379997253417969E+000, 2.4286106872558594E+002, 8.3401151641737670E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3209445312500000E+004, 6.5881174802780151E-001, 2.4171402343750000E+004, 2.2247488281250000E+004, 7.0500000000000000E+002, 4.9999998882412910E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6168795089702842E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0103031992912292E-002, 4.9999998882412910E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0103031992912292E-002
27,3,36, 2.5706249237060547E+001, 9.0099992752075195E+000, 2.3985641479492188E+002, 6.2656152294948697E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1338035156250000E+004, 6.4317601919174194E-001, 2.2247488281250000E+004, 2.0428580078125000E+004, 7.2500000000000000E+002, 4.9999998882412910E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6168795089702842E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0111584328114986E-002, 4.9999998882412910E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0111584328114986E-002
27,3,37, 2.6808750152587891E+001, 9.5979995727539062E+000, 2.3677377319335938E+002, 4.6696168283233419E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9571439453125000E+004, 6.2748956680297852E-001, 2.0428580078125000E+004, 1.8714298828125000E+004, 7.4500000000000000E+002, 4.9999998882412910E-003,-4.2385526199950618E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0120714083313942E-002, 4.9999998882412910E-003, 0.0000000000000000E+000,-4.2385526199950618E-008,-1.0596381549987655E-008, 1.0120714083313942E-002
27,3,38, 2.7941249847412109E+001, 1.0201999664306641E+001, 2.3361526489257812E+002, 3.4524255170254037E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7908939453125000E+004, 6.1177450418472290E-001, 1.8714298828125000E+004, 1.7103580078125000E+004, 7.6500000000000000E+002, 4.9999998882412910E-003, 2.1192763099975309E-008, 1.0596381549987655E-008, 0.0000000000000000E+000, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0130452923476696E-002, 4.9999998882412910E-003, 0.0000000000000000E+000, 2.1192763099975309E-008, 1.0596381549987655E-008, 1.0130452923476696E-002
27,3,39, 2.9103750228881836E+001, 1.0821999549865723E+001, 2.3038320922851562E+002, 2.5321709472336806E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6349169921875000E+004, 5.9605246782302856E-001, 1.7103580078125000E+004, 1.5594759765625000E+004, 7.8500000000000000E+002, 4.9999998882412910E-003,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 6.0632983280451552E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0140839964151382E-002, 4.9999998882412910E-003, 0.0000000000000000E+000,-2.1192763099975309E-008,-1.0596381549987655E-008, 1.0140839964151382E-002
27,3,40, 3.0296249389648438E+001, 1.1457999229431152E+001, 2.2708004760742188E+002, 1.8424141671857797E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4890191406250000E+004, 5.8034437894821167E-001, 1.5594759765625000E+004, 1.4185624023437500E+004, 8.0500000000000000E+002, 4.9999998882412910E-003,-1.9073486612342094E-007,-1.0596381372351971E-007, 0.0000000000000000E+000, 1.0105496761657687E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0151902213692665E-002, 4.9999998882412910E-003, 0.0000000000000000E+000,-1.9073486612342094E-007,-1.0596381372351971E-007, 1.0151902213692665E-002
27,4,1, 6.0187501907348633E+000,-1.4900000095367432E+000, 2.9988031005859375E+002, 1.1940149590373039E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9853156250000000E+004, 9.9958020448684692E-001, 1.0000000000000000E+005, 9.9706312500000000E+004, 2.5000000000000000E+001, 6.1078226566314697E-001,-5.5943490006029606E-003, 1.7834492027759552E-003, 3.2267253845930099E-003,-1.1533292081367108E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.1078226566314697E-001, 0.0000000000000000E+000,-4.7212652862071991E-003, 1.5729852020740509E-003, 0.0000000000000000E+000
27,4,2, 6.0712499618530273E+000,-1.4620000123977661E+000, 2.9954541015625000E+002, 1.1774152517318726E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9443078125000000E+004, 9.9840563535690308E-001, 9.9706312500000000E+004, 9.9179851562500000E+004, 4.5000000000000000E+001, 6.4318966865539551E-001,-3.7127602263353765E-004, 6.1847502365708351E-004, 1.1077880626544356E-003,-3.1735748962091748E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1711383819580078E+001, 6.4318966865539551E-001, 0.0000000000000000E+000,-1.9519594206940383E-004, 5.7602988090366125E-004, 2.1711383819580078E+001
27,4,3, 6.1537499427795410E+000,-1.4179999828338623E+000, 2.9901983642578125E+002, 1.1517950333654881E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8802078125000000E+004, 9.9656260013580322E-001, 9.9179851562500000E+004, 9.8424312500000000E+004, 6.5000000000000000E+001, 6.9029611349105835E-001, 5.4103531874716282E-004, 3.9917629328556359E-004, 6.4663356170058250E-004,-3.3116280064859893E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6341224670410156E+001, 6.9029611349105835E-001, 0.0000000000000000E+000, 5.9370993403717875E-004, 3.8647916517220438E-004, 8.6341224670410156E+001
27,4,4, 6.2662501335144043E+000,-1.3580000400543213E+000, 2.9830468750000000E+002, 1.1177542619407177E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7934640625000000E+004, 9.9405491352081299E-001, 9.8424312500000000E+004, 9.7444976562500000E+004, 8.5000000000000000E+001, 7.4700903892517090E-001, 6.9758627796545625E-004, 2.9431979055516422E-004, 5.3812662372365594E-004,-2.7641654014587402E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9445800781250000E+002, 7.4700903892517090E-001, 0.0000000000000000E+000, 7.1580149233341217E-004, 2.8993023443035781E-004, 1.9445800781250000E+002
27,4,5, 6.4087500572204590E+000,-1.2820000648498535E+000, 2.9740130615234375E+002, 1.0760765522718430E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6846812500000000E+004, 9.9088758230209351E-001, 9.7444976562500000E+004, 9.6248648437500000E+004, 1.0500000000000000E+002, 8.0638402700424194E-001, 6.1633851146325469E-004, 2.0809307170566171E-004, 3.9842395926825702E-004,-1.8621691424414166E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3589532470703125E+002, 8.0638402700424194E-001, 0.0000000000000000E+000, 6.2294007511809468E-004, 2.0650096121244133E-004, 3.3589532470703125E+002
27,4,6, 6.5812501907348633E+000,-1.1900000572204590E+000, 2.9631130981445312E+002, 1.0276981629431248E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5546109375000000E+004, 9.8706686496734619E-001, 9.6248648437500000E+004, 9.4843578125000000E+004, 1.2500000000000000E+002, 8.5962480306625366E-001, 4.8402152606286108E-004, 1.5295081539079547E-004, 2.6177300605922937E-004,-9.9031672107230406E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7594238281250000E+002, 8.5962480306625366E-001, 0.0000000000000000E+000, 4.8633152619004250E-004, 1.5239186177495867E-004, 4.7594238281250000E+002
27,4,7, 6.7837500572204590E+000,-1.0820000171661377E+000, 2.9503686523437500E+002, 9.7367428243160248E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4041484375000000E+004, 9.8260051012039185E-001, 9.4843578125000000E+004, 9.3239382812500000E+004, 1.4500000000000000E+002, 8.9608311653137207E-001, 2.8244126588106155E-004, 8.9165900135412812E-005, 1.1732313578249887E-004,-8.9375923550960579E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.6581445312500000E+002, 8.9608311653137207E-001, 0.0000000000000000E+000, 2.8322538128122687E-004, 8.8975168182514608E-005, 5.6581445312500000E+002
27,4,8, 7.0162501335144043E+000,-9.5800000429153442E-001, 2.9358035278320312E+002, 9.1513982042670250E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2343140625000000E+004, 9.7749739885330200E-001, 9.3239382812500000E+004, 9.1446890625000000E+004, 1.6500000000000000E+002, 9.0325903892517090E-001, 2.4731954908929765E-005, 7.9704659583512694E-006,-2.0345052689663135E-005, 7.4884547984765959E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.7203601074218750E+002, 9.0325903892517090E-001, 0.0000000000000000E+000, 2.4986267817439511E-005, 7.9082119555096142E-006, 5.7203601074218750E+002
27,4,9, 7.2787499427795410E+000,-8.1800001859664917E-001, 2.9194448852539062E+002, 8.5327066481113434E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0462484375000000E+004, 9.7176760435104370E-001, 9.1446890625000000E+004, 8.9478078125000000E+004, 1.8500000000000000E+002, 8.6680072546005249E-001,-2.4131669488269836E-004,-7.5738964369520545E-005,-1.1935763905057684E-004, 1.3190425534048700E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9800048828125000E+002, 8.6680072546005249E-001, 0.0000000000000000E+000,-2.4124252377077937E-004,-7.5756841397378594E-005, 4.9800048828125000E+002
27,4,10, 7.5712499618530273E+000,-6.6200000047683716E-001, 2.9013241577148438E+002, 7.8924503177404404E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8411984375000000E+004, 9.6542263031005859E-001, 8.9478078125000000E+004, 8.7345898437500000E+004, 2.0500000000000000E+002, 7.7050441503524780E-001,-4.6436523552983999E-004,-1.4586448378395289E-004,-1.6140409570652992E-004, 1.5074283510330133E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7426092529296875E+002, 7.7050441503524780E-001, 0.0000000000000000E+000,-4.6434404794126749E-004,-1.4586912584491074E-004, 3.7426092529296875E+002
27,4,11, 7.8937501907348633E+000,-4.9000000953674316E-001, 2.8814749145507812E+002, 7.2420667856931686E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6205015625000000E+004, 9.5847487449645996E-001, 8.7345898437500000E+004, 8.5064132812500000E+004, 2.2500000000000000E+002, 5.9631460905075073E-001,-5.7697825832292438E-004,-1.8119216838385910E-004,-1.4444987755268812E-004, 1.3122490827299771E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3453723144531250E+002, 5.9631460905075073E-001, 0.0000000000000000E+000,-5.7697825832292438E-004,-1.8119282322004437E-004, 2.3453723144531250E+002
