d,h,pu,pq,pthnl,pthl,ptke
 2.0000000000000000E+004, 1.0000000000000000E+003, 9.9850040674209595E-001, 9.9974513053894043E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9850040674209595E-001
 5.0000000000000000E+004, 1.0000000000000000E+003, 9.9958097934722900E-001, 9.9995923042297363E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9958097934722900E-001
 5.0000000000000000E+001, 1.5000000000000000E+003, 9.6307843923568726E-002, 4.7717869281768799E-002, 1.1781156063079834E-002, 3.3280313014984131E-002, 9.6307843923568726E-002
 1.0000000000000000E+002, 1.5000000000000000E+003, 1.6148629784584045E-001, 7.6458752155303955E-002, 7.4809968471527100E-002, 1.2519037723541260E-001, 1.6148629784584045E-001
 1.5800000000000000E+002, 1.5000000000000000E+003, 2.3475925624370575E-001, 1.2891328334808350E-001, 1.4367830753326416E-001, 2.0790547132492065E-001, 2.3475925624370575E-001
 2.5000000000000000E+002, 1.5000000000000000E+003, 3.4544008970260620E-001, 2.3754155635833740E-001, 2.4600017070770264E-001, 3.1696662306785583E-001, 3.4544008970260620E-001
 5.0000000000000000E+002, 1.5000000000000000E+003, 5.7818114757537842E-001, 5.3019452095031738E-001, 4.7858014702796936E-001, 5.4430180788040161E-001, 5.7818114757537842E-001
 7.0700000000000000E+002, 1.5000000000000000E+003, 6.9773328304290771E-001, 6.8917137384414673E-001, 6.1953330039978027E-001, 6.7671465873718262E-001, 6.9773328304290771E-001
 1.0000000000000000E+003, 1.5000000000000000E+003, 7.9810178279876709E-001, 8.1469523906707764E-001, 7.5476795434951782E-001, 7.9989802837371826E-001, 7.9810178279876709E-001
 1.4140000000000000E+003, 1.5000000000000000E+003, 8.7207740545272827E-001, 8.9744830131530762E-001, 8.6414009332656860E-001, 8.9464473724365234E-001, 8.7207740545272827E-001
 2.0000000000000000E+003, 1.5000000000000000E+003, 9.2170333862304688E-001, 9.4585347175598145E-001, 9.3834251165390015E-001, 9.5446151494979858E-001, 9.2170333862304688E-001
 3.1620000000000000E+003, 1.5000000000000000E+003, 9.6011662483215332E-001, 9.7758078575134277E-001, 9.8911237716674805E-001, 9.9150502681732178E-001, 9.6011662483215332E-001
 5.0000000000000000E+003, 1.5000000000000000E+003, 9.7985351085662842E-001, 9.9090677499771118E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.7985351085662842E-001
 1.0000000000000000E+004, 1.5000000000000000E+003, 9.9275773763656616E-001, 9.9771046638488770E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9275773763656616E-001
 2.0000000000000000E+004, 1.5000000000000000E+003, 9.9733638763427734E-001, 9.9942660331726074E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9733638763427734E-001
 5.0000000000000000E+004, 1.5000000000000000E+003, 9.9926590919494629E-001, 9.9990820884704590E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9926590919494629E-001
 5.0000000000000000E+001, 2.1000000000000000E+003, 7.6336219906806946E-002, 4.2854696512222290E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.6336219906806946E-002
 1.0000000000000000E+002, 2.1000000000000000E+003, 1.2471272051334381E-001, 5.7889699935913086E-002, 3.9355576038360596E-002, 7.6467275619506836E-002, 1.2471272051334381E-001
 1.5800000000000000E+002, 2.1000000000000000E+003, 1.7786173522472382E-001, 8.6518943309783936E-002, 9.0397775173187256E-002, 1.4499861001968384E-001, 1.7786173522472382E-001
 2.5000000000000000E+002, 2.1000000000000000E+003, 2.6027488708496094E-001, 1.5121898055076599E-001, 1.6727632284164429E-001, 2.3408684134483337E-001, 2.6027488708496094E-001
 5.0000000000000000E+002, 2.1000000000000000E+003, 4.5862850546836853E-001, 3.7303823232650757E-001, 3.5419425368309021E-001, 4.2464488744735718E-001, 4.5862850546836853E-001
 7.0700000000000000E+002, 2.1000000000000000E+003, 5.8175069093704224E-001, 5.3497797250747681E-001, 4.8251748085021973E-001, 5.4804378747940063E-001, 5.8175069093704224E-001
 1.0000000000000000E+003, 2.1000000000000000E+003, 7.0103842020034790E-001, 6.9347035884857178E-001, 6.2372434139251709E-001, 6.8059897422790527E-001, 7.0103842020034790E-001
 1.4140000000000000E+003, 2.1000000000000000E+003, 8.0060160160064697E-001, 8.1765455007553101E-001, 7.5834673643112183E-001, 8.0308359861373901E-001, 8.0060160160064697E-001
 2.0000000000000000E+003, 2.1000000000000000E+003, 8.7387037277221680E-001, 8.9931190013885498E-001, 8.6685115098953247E-001, 8.9690929651260376E-001, 8.7387037277221680E-001
 3.1620000000000000E+003, 2.1000000000000000E+003, 9.3441402912139893E-001, 9.5701962709426880E-001, 9.5636886358261108E-001, 9.6811747550964355E-001, 9.3441402912139893E-001
 5.0000000000000000E+003, 2.1000000000000000E+003, 9.6673178672790527E-001, 9.8233747482299805E-001, 9.9613624811172485E-001, 9.9616682529449463E-001, 9.6673178672790527E-001
 1.0000000000000000E+004, 2.1000000000000000E+003, 9.8812931776046753E-001, 9.9552273750305176E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8812931776046753E-001
 2.0000000000000000E+004, 2.1000000000000000E+003, 9.9568438529968262E-001, 9.9887675046920776E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9568438529968262E-001
 5.0000000000000000E+004, 2.1000000000000000E+003, 9.9882620573043823E-001, 9.9982011318206787E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9882620573043823E-001
 5.0000000000000000E+001, 4.2000000000000000E+003, 4.8269309103488922E-002, 3.9020717144012451E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.8269309103488922E-002
 1.0000000000000000E+002, 4.2000000000000000E+003, 7.6336219906806946E-002, 4.2854696512222290E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.6336219906806946E-002
 1.5800000000000000E+002, 4.2000000000000000E+003, 1.0496227443218231E-001, 5.0413668155670166E-002, 2.0166456699371338E-002, 4.7070980072021484E-002, 1.0496227443218231E-001
 2.5000000000000000E+002, 4.2000000000000000E+003, 1.4777454733848572E-001, 6.8859547376632690E-002, 6.1657547950744629E-002, 1.0779178142547607E-001, 1.4777454733848572E-001
 5.0000000000000000E+002, 4.2000000000000000E+003, 2.6027488708496094E-001, 1.5121898055076599E-001, 1.6727632284164429E-001, 2.3408684134483337E-001, 2.6027488708496094E-001
 7.0700000000000000E+002, 4.2000000000000000E+003, 3.4829843044281006E-001, 2.4071052670478821E-001, 2.4866330623626709E-001, 3.1968376040458679E-001, 3.4829843044281006E-001
 1.0000000000000000E+003, 4.2000000000000000E+003, 4.5862850546836853E-001, 3.7303823232650757E-001, 3.5419425368309021E-001, 4.2464488744735718E-001, 4.5862850546836853E-001
 1.4140000000000000E+003, 4.2000000000000000E+003, 5.8175069093704224E-001, 5.3497797250747681E-001, 4.8251748085021973E-001, 5.4804378747940063E-001, 5.8175069093704224E-001
 2.0000000000000000E+003, 4.2000000000000000E+003, 7.0103842020034790E-001, 6.9347035884857178E-001, 6.2372434139251709E-001, 6.8059897422790527E-001, 7.0103842020034790E-001
 3.1620000000000000E+003, 4.2000000000000000E+003, 8.2710999250411987E-001, 8.4839338064193726E-001, 7.9687297344207764E-001, 8.3705568313598633E-001, 8.2710999250411987E-001
 5.0000000000000000E+003, 4.2000000000000000E+003, 9.0782821178436279E-001, 9.3303716182708740E-001, 9.1797029972076416E-001, 9.3854868412017822E-001, 9.0782821178436279E-001
 1.0000000000000000E+004, 4.2000000000000000E+003, 9.6673178672790527E-001, 9.8233747482299805E-001, 9.9613624811172485E-001, 9.9616682529449463E-001, 9.6673178672790527E-001
 2.0000000000000000E+004, 4.2000000000000000E+003, 9.8812931776046753E-001, 9.9552273750305176E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8812931776046753E-001
 5.0000000000000000E+004, 4.2000000000000000E+003, 9.9686825275421143E-001, 9.9928081035614014E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9686825275421143E-001
