case,k,ux,vx,tx,qvx,qcx,qix,p2d,pi2d,p2di_k,p2di_kp1,dz8w,rthraten,qmix,utnp,vtnp,ttnp,rthblten,qvtnp,qctnp,qitnp,exch_hx,exch_mx,qmixtnp,utnp_ctopo,vtnp_ctopo
1,13, 8.6287498474121094E+000,-9.8000049591064453E-002, 2.8367413330078125E+002, 5.9530679136514664E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1378828125000000E+004, 9.4282662868499756E-001, 8.2647281250000000E+004, 8.0110382812500000E+004, 2.6500000000000000E+002, 0.0000000000000000E+000, 2.9765339568257332E-003,-1.3062159996479750E-004,-4.0608065319247544E-005, 1.5025787433842197E-005, 1.5936957424855791E-005, 1.7443672106765007E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6796649932861328E+001, 1.5431904792785645E+001, 8.8938719500220031E-008,-1.3062159996479750E-004,-4.0608065319247544E-005
1,14, 9.0412502288818359E+000, 1.2199997901916504E-001, 2.8609948730468750E+002, 5.3329612128436565E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.8789625000000000E+004, 9.3415671586990356E-001, 8.0110382812500000E+004, 7.7468859375000000E+004, 2.8500000000000000E+002, 0.0000000000000000E+000, 2.6664806064218283E-003,-1.0893079888774082E-005,-5.6387652875855565E-006,-1.3050420966465026E-004,-1.3970269355922937E-004, 1.6018748993928966E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997764825821E-003, 1.0000000149011612E-001, 7.7610218598977987E-012,-1.0893079888774082E-005,-5.6387652875855565E-006
1,15, 9.4837503433227539E+000, 3.5799992084503174E-001, 2.8491537475585938E+002, 4.7393813729286194E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.6103617187500000E+004, 9.2494475841522217E-001, 7.7468859375000000E+004, 7.4738375000000000E+004, 3.0500000000000000E+002, 0.0000000000000000E+000, 2.3696906864643097E-003,-2.1192763099975309E-008,-1.0265244654306116E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5522043719795597E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0014712810516357E-002, 1.0005885362625122E-001, 7.7610218598977987E-012,-2.1192763099975309E-008,-1.0265244654306116E-008
1,16, 9.9562501907348633E+000, 6.0999989509582520E-001, 2.8364602661132812E+002, 4.1783093474805355E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.3336531250000000E+004, 9.1520863771438599E-001, 7.4738375000000000E+004, 7.1934679687500000E+004, 3.2500000000000000E+002, 0.0000000000000000E+000, 2.0891546737402678E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0348028857409819E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0016265325248241E-002, 1.0006506741046906E-001, 5.1740144287049095E-012,-1.0596381549987655E-008,-9.2718339672615002E-009
1,17, 1.0458749771118164E+001, 8.7800002098083496E-001, 2.8229080200195312E+002, 3.6543076857924461E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.0504054687500000E+004, 9.0496671199798584E-001, 7.1934679687500000E+004, 6.9073429687500000E+004, 3.4500000000000000E+002, 0.0000000000000000E+000, 1.8271538428962231E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.7610218598977987E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0018444620072842E-002, 1.0007378458976746E-001, 3.8805109299488993E-012,-1.0596381549987655E-008,-9.2718339672615002E-009
1,18, 1.0991250038146973E+001, 1.1619999408721924E+000, 2.8084896850585938E+002, 3.1705552246421576E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.7621773437500000E+004, 8.9423835277557373E-001, 6.9073429687500000E+004, 6.6170117187500000E+004, 3.6500000000000000E+002, 0.0000000000000000E+000, 1.5852776123210788E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.7610218598977987E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0020794346928596E-002, 1.0008317977190018E-001, 3.8805109299488993E-012,-1.0596381549987655E-008,-9.2718339672615002E-009
1,19, 1.1553750038146973E+001, 1.4619998931884766E+000, 2.7931997680664062E+002, 2.7289222925901413E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4704992187500000E+004, 8.8304376602172852E-001, 6.6170117187500000E+004, 6.3239867187500000E+004, 3.8500000000000000E+002, 0.0000000000000000E+000, 1.3644611462950706E-003,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0023324750363827E-002, 1.0009330511093140E-001, 1.2935036071762274E-012,-1.0596381549987655E-008,-7.9472863845353459E-009
1,20, 1.2146249771118164E+001, 1.7779998779296875E+000, 2.7770324707031250E+002, 2.3300894536077976E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.1768597656250000E+004, 8.7140357494354248E-001, 6.3239867187500000E+004, 6.0297328125000000E+004, 4.0500000000000000E+002, 0.0000000000000000E+000, 1.1650447268038988E-003,-2.1192763099975309E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.1740144287049095E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0026050731539726E-002, 1.0010420531034470E-001, 2.5870072143524547E-012,-2.1192763099975309E-008,-7.9472863845353459E-009
1,21, 1.2768750190734863E+001, 2.1099998950958252E+000, 2.7599829101562500E+002, 1.9736937247216702E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8826960937500000E+004, 8.5933929681777954E-001, 6.0297328125000000E+004, 5.7356597656250000E+004, 4.2500000000000000E+002, 0.0000000000000000E+000, 9.8684686236083508E-004,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0028989985585213E-002, 1.0011596232652664E-001, 1.2935036071762274E-012,-1.0596381549987655E-008,-7.9472863845353459E-009
1,22, 1.3421249389648438E+001, 2.4579999446868896E+000, 2.7420474243164062E+002, 1.6584885306656361E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5893828125000000E+004, 8.4687292575836182E-001, 5.7356597656250000E+004, 5.4431058593750000E+004, 4.4500000000000000E+002, 0.0000000000000000E+000, 8.2924426533281803E-004,-2.1192763099975309E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.1740144287049095E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0032153688371181E-002, 1.0012861341238022E-001, 2.5870072143524547E-012,-2.1192763099975309E-008,-7.9472863845353459E-009
1,23, 1.4103750228881836E+001, 2.8220000267028809E+000, 2.7232223510742188E+002, 1.3825183268636465E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.2982199218750000E+004, 8.3402675390243530E-001, 5.4431058593750000E+004, 5.1533339843750000E+004, 4.6500000000000000E+002, 0.0000000000000000E+000, 6.9125916343182325E-004,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0035566985607147E-002, 1.0014227032661438E-001, 1.2935036071762274E-012,-2.1192763099975309E-008,-1.0596381549987655E-008
1,24, 1.4816249847412109E+001, 3.2019996643066406E+000, 2.7035061645507812E+002, 1.1432860046625137E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0104281250000000E+004, 8.2082378864288330E-001, 5.1533339843750000E+004, 4.8675222656250000E+004, 4.8500000000000000E+002, 0.0000000000000000E+000, 5.7164300233125687E-004,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2935036071762274E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0039237327873707E-002, 1.0015695542097092E-001, 6.4675180358811368E-013,-1.0596381549987655E-008,-7.9472863845353459E-009
1,25, 1.5558750152587891E+001, 3.5980000495910645E+000, 2.6828979492187500E+002, 9.3791744438931346E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7271398437500000E+004, 8.0728727579116821E-001, 4.8675222656250000E+004, 4.5867574218750000E+004, 5.0500000000000000E+002, 0.0000000000000000E+000, 4.6895872219465673E-004, 0.0000000000000000E+000,-5.2981907749938273E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0043196380138397E-002, 1.0017278790473938E-001, 1.2935036071762274E-012, 0.0000000000000000E+000,-5.2981907749938273E-009
1,26, 1.6331249237060547E+001, 4.0099997520446777E+000, 2.6613986206054688E+002, 7.6330814044922590E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4493933593750000E+004, 7.9344075918197632E-001, 4.5867574218750000E+004, 4.3120292968750000E+004, 5.2500000000000000E+002, 0.0000000000000000E+000, 3.8165407022461295E-004,-2.1192763099975309E-008,-5.2981907749938273E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9402554649744497E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0047451592981815E-002, 1.0018981248140335E-001, 9.7012773248722484E-013,-2.1192763099975309E-008,-5.2981907749938273E-009
1,27, 1.7133750915527344E+001, 4.4379997253417969E+000, 2.6390093994140625E+002, 6.1625562375411391E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1781289062500000E+004, 7.7930790185928345E-001, 4.3120292968750000E+004, 4.0442289062500000E+004, 5.4500000000000000E+002, 0.0000000000000000E+000, 3.0812781187705696E-004,-2.1192763099975309E-008,-1.5894572769070692E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9402554649744497E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0052031837403774E-002, 1.0020813345909119E-001, 9.7012773248722484E-013,-2.1192763099975309E-008,-1.5894572769070692E-008
