leaf,case,slot,name,index,baseline_bits,already_zero,noutputs_changed,max_abs_delta
rosr12,soil_only_isnow0,6,a,3,BF6147AE,0,6,0.585176144E-2
rosr12,soil_only_isnow0,7,a,4,BEB33333,0,5,0.406622887E-2
rosr12,soil_only_isnow0,8,b,-2,3FCF5C29,0,0,0.00000000
rosr12,soil_only_isnow0,9,b,-1,3FF851EC,0,0,0.00000000
rosr12,soil_only_isnow0,10,b,0,402D70A4,0,0,0.00000000
rosr12,soil_only_isnow0,11,b,1,408C28F6,0,8,0.00000000
rosr12,soil_only_isnow0,12,b,2,40633333,0,7,0.429825708E-1
rosr12,soil_only_isnow0,13,b,3,401A3D71,0,6,0.115208909
rosr12,soil_only_isnow0,14,b,4,3FE28F5C,0,5,0.143073704E-1
rosr12,soil_only_isnow0,15,c,-2,BEE147AE,0,1,0.439999998
rosr12,soil_only_isnow0,16,c,-1,BF2147AE,0,1,0.629999995
rosr12,soil_only_isnow0,17,c,0,BF933333,0,1,1.14999998
rosr12,soil_only_isnow0,18,c,1,BFEF5C29,0,8,1.87000000
rosr12,soil_only_isnow0,19,c,2,BFB5C28F,0,7,1.41999996
rosr12,soil_only_isnow0,20,c,3,BF35C28F,0,6,0.709999979
rosr12,soil_only_isnow0,21,c,4,BE947AE1,0,0,0.00000000
rosr12,soil_only_isnow0,22,d,-2,3CAC0831,0,0,0.00000000
rosr12,soil_only_isnow0,23,d,-1,BD449BA6,0,0,0.00000000
rosr12,soil_only_isnow0,24,d,0,3DEF9DB2,0,0,0.00000000
rosr12,soil_only_isnow0,25,d,1,BE86A7F0,0,8,0.781860799E-1
rosr12,soil_only_isnow0,26,d,2,3DAC0831,0,7,0.364661478E-1
rosr12,soil_only_isnow0,27,d,3,BD178D50,0,6,0.201989729E-1
rosr12,soil_only_isnow0,28,d,4,3C1374BC,0,5,0.547446311E-2
rosr12,one_snow_layer,1,a,-2,BEA9D496,0,0,0.00000000
rosr12,one_snow_layer,2,a,-1,BF00BE0E,0,0,0.00000000
rosr12,one_snow_layer,3,a,0,BF7C01A5,0,0,0.00000000
rosr12,one_snow_layer,4,a,1,C0128C16,0,9,0.859883428E-2
rosr12,one_snow_layer,5,a,2,BFDF3EAC,0,8,0.397043079E-1
rosr12,one_snow_layer,6,a,3,BF710CB3,0,7,0.948544126E-2
rosr12,one_snow_layer,7,a,4,BEBFBE77,0,6,0.506175961E-2
rosr12,one_snow_layer,8,b,-2,3FC2EB1C,0,0,0.00000000
rosr12,one_snow_layer,9,b,-1,3FE96BBA,0,0,0.00000000
rosr12,one_snow_layer,10,b,0,4023089A,0,10,0.00000000
rosr12,one_snow_layer,11,b,1,4083C01A,0,9,0.156569019
rosr12,one_snow_layer,12,b,2,40559168,0,8,0.354960114E-1
rosr12,one_snow_layer,13,b,3,4010FC51,0,7,0.694484338E-1
rosr12,one_snow_layer,14,b,4,3FD4F766,0,6,0.488310773E-2
rosr12,one_snow_layer,15,c,-2,BEFE90FF,0,1,0.497199982
rosr12,one_snow_layer,16,c,-1,BF363F14,0,1,0.711899996
rosr12,one_snow_layer,17,c,0,BFA65604,0,10,1.29949999
rosr12,one_snow_layer,18,c,1,C0073D08,0,9,2.11310005
rosr12,one_snow_layer,19,c,2,BFCD6388,0,8,1.60459995
rosr12,one_snow_layer,20,c,3,BF4D6388,0,7,0.802299976
rosr12,one_snow_layer,21,c,4,BEA7C84B,0,0,0.00000000
rosr12,one_snow_layer,22,d,-2,3C8EC95C,0,0,0.00000000
rosr12,one_snow_layer,23,d,-1,BD232F44,0,0,0.00000000
rosr12,one_snow_layer,24,d,0,3DC6E19B,0,10,0.670682937E-1
rosr12,one_snow_layer,25,d,1,BE5F876A,0,9,0.141904145
rosr12,one_snow_layer,26,d,2,3D8EC95C,0,8,0.511668250E-1
rosr12,one_snow_layer,27,d,3,BCFB938A,0,7,0.225648172E-1
rosr12,one_snow_layer,28,d,4,3BF4C6E6,0,6,0.508546457E-2
rosr12,two_snow_layers,1,a,-2,BE906F6A,0,0,0.00000000
rosr12,two_snow_layers,2,a,-1,BEDAFB7F,0,0,0.00000000
rosr12,two_snow_layers,3,a,0,BF5652BE,0,11,0.703565031E-2
rosr12,two_snow_layers,4,a,1,BFF94468,0,10,0.102542527E-1
rosr12,two_snow_layers,5,a,2,BFBDDCC7,0,9,0.237722360E-1
rosr12,two_snow_layers,6,a,3,BF4D013B,0,8,0.325001776E-3
rosr12,two_snow_layers,7,a,4,BEA3126F,0,7,0.264213234E-2
rosr12,two_snow_layers,8,b,-2,3FE62B6B,0,0,0.00000000
rosr12,two_snow_layers,9,b,-1,4009D14F,0,12,0.00000000
rosr12,two_snow_layers,10,b,0,404084B6,0,11,0.594663322
rosr12,two_snow_layers,11,b,1,409B93DE,0,10,0.389954537
rosr12,two_snow_layers,12,b,2,407C3127,0,9,0.353732295E-1
rosr12,two_snow_layers,13,b,3,402B34D7,0,8,0.152933568
rosr12,two_snow_layers,14,b,4,3FFB7B4A,0,7,0.680640638E-1
rosr12,two_snow_layers,15,c,-2,BEC63F14,0,1,0.387199998
rosr12,two_snow_layers,16,c,-1,BF0DED28,0,12,0.554399967
rosr12,two_snow_layers,17,c,0,BF818937,0,11,1.01199996
rosr12,two_snow_layers,18,c,1,BFD2A305,0,10,1.64559996
rosr12,two_snow_layers,19,c,2,BF9FF2E4,0,9,1.24959993
rosr12,two_snow_layers,20,c,3,BF1FF2E4,0,8,0.624799967
rosr12,two_snow_layers,21,c,4,BE82A993,0,0,0.00000000
rosr12,two_snow_layers,22,d,-2,3CD028A2,0,0,0.00000000
rosr12,two_snow_layers,23,d,-1,BD6DE54C,0,12,0.294765662E-1
rosr12,two_snow_layers,24,d,0,3E10F7BA,0,11,0.610092320E-1
rosr12,two_snow_layers,25,d,1,BEA2EF0C,0,10,0.917399675E-1
rosr12,two_snow_layers,26,d,2,3DD028A2,0,9,0.342869386E-1
rosr12,two_snow_layers,27,d,3,BD3760C0,0,8,0.196757801E-1
rosr12,two_snow_layers,28,d,4,3C326BF8,0,7,0.578956585E-2
rosr12,three_snow_layers,1,a,-2,BEC339C1,0,0,0.00000000
rosr12,three_snow_layers,2,a,-1,BF13FE5D,0,13,0.226939619E-1
rosr12,three_snow_layers,3,a,0,BF90D845,0,12,0.163082182
rosr12,three_snow_layers,4,a,1,C02875F8,0,11,0.178972736
rosr12,three_snow_layers,5,a,2,C0005048,0,10,0.247839183
rosr12,three_snow_layers,6,a,3,BF8A8C15,0,9,0.164314479
rosr12,three_snow_layers,7,a,4,BEDC6A7F,0,8,0.545545220E-1
rosr12,three_snow_layers,8,b,-2,3FB46738,0,14,0.00000000
rosr12,three_snow_layers,9,b,-1,3FD809D5,0,13,0.235385567
rosr12,three_snow_layers,10,b,0,4016E48F,0,12,0.202209964
rosr12,three_snow_layers,11,b,1,4073E0DF,0,11,0.297882676
rosr12,three_snow_layers,12,b,2,4045A9FC,0,10,0.249106720
rosr12,three_snow_layers,13,b,3,40063056,0,9,0.242743462
rosr12,three_snow_layers,14,b,4,3FC51B71,0,8,0.160051256
rosr12,three_snow_layers,15,c,-2,BEEECBFA,0,14,0.466399968
