call,a,b,result
expf,C2458118,,1BD99411
expf,422AB2F8,,5E3D9539
expf,C23C6286,,1D84EE22
expf,41324B52,,4786F8B8
expf,4203FC9F,,574292F8
expf,C11B2A7A,,3880CB79
expf,C29759BA,,08E28D39
expf,C2750306,,13462E22
expf,C25F29D9,,173660EF
expf,C2532335,,19667019
expf,C1F782E1,,2924CD6F
expf,426A09CD,,69AA3EB4
expf,C280E726,,110171ED
expf,C248A748,,1B460771
expf,3F579EB6,,4014956F
expf,C1BF4464,,2E35F5CD
expf,C096B4A2,,3C1399C7
expf,C163E59F,,352EF5EF
expf,41C346BE,,51149FCC
expf,40D61A63,,444939C1
expf,C2482861,,1B6027EB
expf,4140AB36,,4825B983
expf,4139127F,,47CE2AFD
expf,41F2A888,,5558CDBD
expf,424AA469,,6408068C
expf,C24DB242,,1A608682
expf,C26634CC,,15FAD83E
expf,41E841E9,,546C516C
expf,3FABE7EF,,4075282E
expf,4183DD80,,4B5BD161
expf,4289C26D,,7125B3FA
expf,41FFBC50,,568AF697
expf,C1A6BC90,,3074160F
expf,C268DDAC,,15810374
expf,C2138F04,,24DBB616
expf,C287B0D5,,0E8B1589
expf,41415ED5,,482D2763
expf,C2024277,,2801AD1C
expf,C24464B0,,1C0F9E0A
expf,42112DDD,,59A48ABA
expf,C0AB2D65,,3B9BB29D
expf,BD1880F0,,3F76A4CF
expf,416CDEA5,,4A24120A
expf,41233020,,46D205FE
expf,41EE6530,,54FE7D1F
expf,C280B4EE,,110EC8F3
expf,428494EB,,6F471E82
expf,C25BA3FC,,17DC020A
expf,3FB3978B,,40822A15
expf,412B34D3,,472D5573
expf,41FE3EA1,,5666AB7E
expf,41FAE8B7,,5618061B
expf,C26507FE,,16283F96
expf,C2129C10,,250B4588
expf,C1926EC1,,32410B9B
expf,4292CE36,,746E7DBA
expf,C1013947,,39A2EDC0
expf,40849EA0,,427C4F50
expf,41B37AC0,,4FA50D29
expf,42928877,,74501E6B
expf,C26D7D6C,,14A26C59
expf,413508E6,,47A0301E
expf,41C9DE2B,,51A96435
expf,BE5BB3AC,,3F4E9128
expf,4204648D,,57575BEE
expf,4288B009,,70C1EA81
expf,413F0A8C,,4815B20B
expf,C20B43BE,,265A6968
expf,C230E265,,1F9348A8
expf,422B5DF3,,5E6008CD
expf,C29D0AF0,,06D27DE4
expf,41F36FDC,,556EF73D
expf,C214C82D,,24A1D24E
expf,41824391,,4B33F13E
expf,C21D7C0A,,2312FA8C
expf,42913536,,73D692BF
expf,41FF6FD9,,5685DEDA
expf,C2545234,,192B6A34
expf,C2793991,,128A3FD9
expf,C23AAB57,,1DCC1F0E
expf,42167B00,,5A9ACF68
expf,4245E5BF,,63262890
expf,42816482,,6E21AF3A
expf,42717303,,6B07B681
expf,C2865B28,,0F078A41
expf,C2066E5C,,2736D063
expf,42570F6E,,663D9243
expf,4097DAEE,,42E61FF6
expf,424A2578,,63F05526
expf,C0733327,,3CB7430C
expf,BFFE7695,,3E0C41D9
expf,428E5406,,72CB63E2
expf,C290F87C,,0B2BF16A
expf,C263049F,,168B279B
expf,C110CE9D,,38F613F0
expf,42227394,,5CC0EFD7
expf,C288D247,,0E1E0C77
expf,C29A3882,,07D7C183
expf,C2946815,,09F6D0BC
expf,C20286F3,,27F2930E
expf,4236ECEF,,607BDA44
expf,C2917305,,0B0758A7
expf,429B987E,,779703F6
expf,C28EED9F,,0BEEB4C7
expf,41BC777C,,507DCAC5
expf,C2264B0F,,218200E8
expf,C29DB869,,0695FFE7
expf,C1C418AB,,2DC6FEEF
expf,C16A750D,,34E838B0
expf,C274AA64,,1358191A
expf,410D214E,,45D3A44C
expf,C2642243,,16529045
expf,42889DAE,,70BB1651
expf,C0CF7541,,3AC86CBC
expf,C29957A0,,08275F7C
expf,C29DBD7A,,069485CC
expf,421FA2FC,,5C3EE91F
expf,4264602E,,68A55216
expf,40BC034A,,43B21575
expf,412721D1,,47065E14
expf,C1D5A60A,,2C31738C
expf,C29839A6,,08924B89
expf,3FCE1014,,40A01186
expf,C19987FB,,319EF9E9
expf,C25377EB,,19542459
expf,42911E6D,,73CD3BCD
expf,C26A5069,,1533A69C
expf,C2251C78,,21AEB2B9
expf,4296E5EB,,75E6B7A3
expf,C2532093,,196707F7
expf,40C2E4AC,,43DCCD57
expf,4224B8C4,,5D2A2AD1
expf,C236069D,,1EA2ECA1
expf,4078D90B,,42434D0A
expf,4246DD86,,6353A535
expf,42683521,,6957717F
expf,42294282,,5E044A67
expf,424B6CB3,,64256967
expf,C239D735,,1DFB1B27
expf,C2515AC1,,19B3EF0F
expf,428B6128,,71BA3F14
expf,4229711F,,5E0A73A8
expf,C1EAFA08,,2A45687D
expf,4267FDAC,,694C15FA
expf,C2307D89,,1FA28771
expf,C1D05888,,2CAC27AB
expf,426C82B7,,6A1DEEDC
expf,429792B9,,7621AB70
expf,C243CC17,,1C26B241
expf,C16FF37E,,34A4BB7A
expf,40C76F39,,43FE781D
expf,408B0725,,429A2036
expf,C131C0AC,,377B22BB
expf,C29050CC,,0B6E92D7
expf,42824E73,,6E7F54EC
expf,41802FD5,,4B0ACB9D
expf,C29F325F,,060F6417
expf,C292D9C1,,0A86558F
expf,425AFB73,,66FCACEE
expf,4297B38B,,762C5F58
expf,C238D415,,1E21B4BE
expf,C1994FF0,,31A362FA
expf,42141FDA,,5A2BCCF7
expf,C13B6ACA,,37094582
expf,428172CC,,6E2642A8
expf,40D7EB03,,4454F7E6
expf,C206A592,,272D37DF
expf,41D85035,,5300D32A
expf,C1B32BD8,,2F4E549A
expf,BDF98C9C,,3F62A1C6
expf,425ACD59,,66F18D54
expf,C202D39C,,27E113DC
expf,C2170BA7,,2437C7FD
expf,C25AAFAB,,180BA53D
expf,C25AD5F0,,180685DB
expf,BFF12611,,3E1BA1ED
expf,BF36FBC6,,3EFA858B
expf,C297299D,,08F8DF95
expf,C0C31DED,,3B135EED
expf,41F2AFF5,,55599758
expf,C1294062,,37D59CF8
expf,C29FBAEB,,05DBA60B
expf,C2354721,,1EC46CE2
expf,42693FBC,,698BC1E2
expf,C2900BB7,,0B88849C
expf,C270AA3A,,1412E09C
expf,C0B542C8,,3B633A4F
expf,C28F3E17,,0BCBFD46
expf,C2565DBC,,18CD9BB9
expf,C1F759CD,,29282433
expf,C2978A8C,,08CDF288
expf,C19E63A4,,312D3C05
expf,41EF5644,,550F23D9
expf,42250AC3,,5D385A8B
expf,4241F37C,,6277CEBD
expf,416A42EB,,4A0B63E1
expf,C1FFEFBA,,2865F513
expf,C282590B,,107B69F2
expf,C219472B,,23D25994
expf,41CCE46E,,51F737C1
expf,416B448F,,4A147083
expf,C27E79D1,,1194CD0B
expf,4291CF4D,,7410F5DD
expf,4263C57C,,688E2404
expf,C219297C,,23D88969
expf,C2773756,,12E46E88
expf,C1C78769,,2D819190
expf,4223FA95,,5D0D52F6
expf,C2658A8F,,16141B66
expf,4243D88E,,62C6FB02
expf,C10AB5C4,,39341C23
expf,41409562,,4824D806
expf,424462B8,,62E3B93E
expf,41D016DC,,5238555D
expf,C11A6BAC,,3886EFB9
expf,42644B49,,68A1FB43
expf,42376134,,608D1161
expf,42815E5E,,6E1FC1C5
expf,4282E78D,,6EAC29C8
expf,429081BC,,73972024
expf,C238F02A,,1E1D54E9
expf,428B5D02,,71B8BE53
expf,C1DC5CB4,,2B9956D4
expf,427EBAF8,,6D6AAE1E
expf,41F7898C,,55C77AFA
expf,C26C3ADE,,14DE8F90
expf,BFD689B4,,3E3F98D8
expf,429DE674,,786F0264
expf,C230ECF4,,1F91C5E0
expf,42200488,,5C51FDC5
expf,41C47E40,,512D0A50
expf,4249E42F,,63E17D09
expf,42618AB7,,6822CEE1
expf,418BBB75,,4C12EB4E
expf,41DB5357,,533BB9DC
expf,C2779EC6,,12CE7BFA
expf,420EA664,,592EDD78
expf,C29B0D04,,078E76EE
expf,426C5BCF,,6A180B87
expf,42691BD5,,6986F136
expf,424DBE85,,6493B393
expf,C1ECA343,,2A206532
expf,C11AFB48,,38824993
expf,41A4427A,,4E4500E3
expf,4298DCE6,,769A0D04
expf,4272A643,,6B3733C4
expf,C01937A9,,3DBAE781
expf,42291B01,,5DFE9191
expf,423562FF,,602B6C84
expf,C18788BF,,333C7857
expf,420A1E78,,586154E3
expf,429E396A,,788C8683
expf,C1DA14B9,,2BCBEF3D
expf,C29207F1,,0ACA5FEB
expf,427B2DCC,,6CC12866
expf,C298A2CB,,086E4599
expf,C2504AC0,,19EAADC8
expf,C1970D03,,31D8C2F6
expf,C29ABC57,,07A6C727
expf,C1826F69,,33B23EE8
expf,C26B81FA,,15054D14
expf,41D98CE5,,53165E3D
expf,C2375385,,1E6B6900
expf,429B045E,,776227D0
expf,C20D5BD3,,260164F1
expf,42765626,,6BE6427A
expf,C280CB04,,1108C1B5
expf,C29F5AB7,,060486A6
expf,42801E0F,,6DAAEB9E
expf,429562E3,,7558ADFF
expf,426A6667,,69BA5BA4
expf,420DFAA3,,5913DCF1
expf,C20B8BDB,,264B8F42
expf,C1F8B0D7,,290E35CC
expf,C1BFC841,,2E2A9D15
expf,C219D20F,,23B7AB59
expf,C249B229,,1B18986C
expf,42568865,,66262694
expf,C2985B87,,0888ED96
expf,4295D86B,,75884BAD
expf,C22D3BFB,,20376924
expf,4219676A,,5B20C319
expf,429411D5,,74E05C78
expf,4116E6A4,,4642E35C
expf,42355789,,60298416
expf,42635176,,687DD431
expf,4151D04A,,48F1F34F
expf,42928664,,744F4704
expf,C228350B,,21212128
expf,417BED94,,4AD23FDD
expf,C1B855D8,,2ED865D8
expf,C1A76E0A,,305FD31B
expf,C2143E29,,24B92B8A
expf,4132063C,,4784B6D1
expf,C1BB5C90,,2E943DA4
expf,40F3301F,,44F9AE3E
expf,C0E94257,,3A32FC1F
expf,C0FA2286,,39D34228
expf,40FD84A8,,452C680C
expf,C1B9D85B,,2EB32E23
expf,C151FA29,,36060E28
expf,C157A411,,35BC2F07
expf,C28778C5,,0E9B2DB1
expf,41FFEB35,,568E2E90
expf,420DBE90,,590B7022
expf,C13B56AD,,3709F27E
expf,429311C6,,748810FE
expf,42820634,,6E5DBABD
expf,C2184D46,,24063E98
expf,429AB63F,,774226FA
expf,426FBD3E,,6AB1015A
expf,BFB12820,,3E804A0D
expf,420ED3E8,,5936D021
expf,4257E0E8,,66689A53
expf,C28FE7CC,,0B927060
expf,3F856E20,,4035825B
expf,41F664BD,,55ACE7B5
expf,41A948F5,,4EB89BD3
expf,C0B63E32,,3B5C5C2B
expf,42897EAA,,71112977
expf,C22C6021,,206355E1
expf,424D0D4E,,64787593
expf,C200B9B1,,283E4D21
expf,BE1E4990,,3F5B55BE
expf,C18CE246,,32C121B1
expf,41C3300D,,5112FC90
expf,C2911C23,,0B20609C
expf,425C6692,,67341C3B
expf,C27DAC4A,,11B5E002
expf,4175E13D,,4A901149
expf,C240859B,,1CBD0569
expf,405D52B8,,41FE1247
expf,C29C385B,,071ECAA4
expf,C20F7726,,2598D48B
expf,C232353A,,1F539548
expf,42154DDB,,5A66BB9A
expf,4201B32F,,56DBB221
expf,C24C11AE,,1AA89F18
expf,41B2B486,,4F95D327
expf,4294B2F4,,7519AB38
expf,C256A530,,18BFC019
expf,4011780A,,411B5405
expf,C0E11AC5,,3A66EF14
expf,42782EB8,,6C36A59E
expf,C1BE0F2E,,2E539D7F
expf,3F81A1E8,,403033F6
expf,C1874BAE,,33422CA7
expf,C291EA9C,,0AD64E9D
expf,C2674E76,,15BE85D1
expf,42659263,,68DEF179
expf,4297940E,,76221741
expf,C1A75D2E,,3061ACBF
expf,41E53F61,,542237DF
expf,C2119196,,2534AAD2
expf,426BB31F,,6A00F3CC
expf,C289E8B9,,0DB77FDF
expf,42880338,,708A5D5F
expf,4284BD6D,,6F578347
expf,42844A90,,6F2C3425
expf,C296D2ED,,091364D6
expf,3FDE651C,,40B5DA45
expf,C277F07C,,12BEA5E0
expf,4100BD48,,45431F1C
expf,4068273E,,42167576
expf,C18ECF44,,3297D044
expf,422DFA18,,5ED71B7C
expf,C21C2FB1,,234B554B
expf,C282DA3A,,10435964
expf,4290F435,,73BCFD42
expf,427D2A92,,6D1EBB13
expf,C28E2746,,0C2FD2F7
expf,C274BCC7,,135440A2
expf,C166F7B5,,35106890
expf,3FF1C38A,,40D38FBF
expf,C29E4707,,06631051
expf,42273A7C,,5D9F3963
expf,C29A326A,,07DA56D2
expf,C18067CC,,33E5B975
expf,42436543,,62B1CAD4
expf,C25BB34B,,17D8BE4C
expf,C21AA184,,2395FC6E
expf,42328D5F,,5FA8CACE
expf,4084F0F1,,427EDBA0
expf,428BFF16,,71FD8A96
expf,C28F821C,,0BB29CBB
expf,C1875D85,,33407D87
expf,C29DE9A3,,06883FDA
expf,4298811D,,7680C4B0
expf,C1F467D2,,2972F9AF
expf,428660ED,,6FF47F9C
expf,C29E51D0,,065E54AA
expf,424CBF40,,64663966
expf,C2959751,,09888224
expf,410E2EC6,,45E20896
expf,C1C97C98,,2D4AE28D
expf,C14A590F,,3657F53E
expf,C1DCF46D,,2B8E63CF
expf,417C480C,,4AD6F1E7
expf,3FF6A918,,40DBCFCB
expf,C20C91CD,,261D9D57
expf,BF70DAC5,,3EC7D57A
expf,412D9AF7,,47495F53
expf,C1829D27,,33AE4F09
expf,42813F54,,6E165C13
expf,C2868593,,0EF986E4
expf,C177728A,,344E38C1
expf,41D37246,,528C391F
expf,C280B7FD,,110DEF3E
expf,4241EF77,,6276D635
expf,C0970CCC,,3C12054D
expf,C21D2345,,232049E9
expf,C28C5906,,0CD8D78A
expf,C220543B,,22905C2B
expf,42337AD9,,5FD4D922
expf,429FA610,,790F3AA5
expf,C1FEB0E5,,288658D7
expf,C25033EA,,19EFF89D
expf,C29E4392,,06649A21
expf,C20E5639,,25CAA67A
expf,C0267D2A,,3D97E6AE
expf,42881D5B,,70919C85
expf,C20AF9DA,,266AC12F
expf,C1FB5125,,28CCD46B
expf,4292860A,,744F2297
expf,425891D8,,668A3CE3
expf,41BB3242,,505886CD
expf,C19B1461,,3183001D
expf,C255E85F,,18E693BF
expf,C22354DC,,22084C48
expf,427A2B18,,6C9608ED
expf,C109E8B0,,393D5B71
expf,4218E7B9,,5B0DEA31
expf,C0D3714F,,3AB0F59D
expf,425C3741,,672BFA2A
expf,41B6CCC1,,4FF9F593
expf,40C43581,,43E611F2
expf,C221A562,,224FB92F
expf,C1F5C0F9,,294D4A7F
expf,41AE2D6C,,4F2A24EA
expf,C28FDAF5,,0B962864
expf,42323DEA,,5F9C30A8
expf,4279F371,,6C8E1931
expf,C27867F7,,12A9A6DF
expf,C2970B28,,09041046
expf,41DADC94,,5331264A
expf,C2791BD6,,128E5277
expf,C1DADD87,,2BB8E34F
expf,425D3A60,,675D7F47
expf,C275A2FA,,13298531
expf,41887607,,4BC33863
expf,C1DA5AE5,,2BC510BB
expf,C292B423,,0A909354
expf,42794129,,6C6EC8FF
expf,41AA53F6,,4ED250E9
expf,429FD1E7,,791C088C
expf,4211D301,,59C1564D
expf,C20D3CE4,,26055CDE
expf,C19BCCC4,,316F7167
expf,427BEAA2,,6CE84623
expf,4076E3FC,,423D6B2A
expf,C213BB4A,,24D26A11
expf,C1CD1F14,,2D00CE21
expf,C217AA07,,241D7230
expf,4211D68C,,59C201D8
expf,C24A5849,,1B01BE4E
expf,4281DE2D,,6E4D0E26
expf,C215A2C3,,2482B76E
expf,C12FF6AD,,378C6C5F
expf,C2372423,,1E768F1F
expf,4280B9F9,,6DE7C375
expf,C03B395C,,3D5BBA5B
expf,429D8CE3,,7848A6B7
expf,423B6763,,6140E477
expf,416F91CF,,4A423A98
expf,C2997E45,,081B347E
expf,C0B95299,,3B482419
expf,4202C89E,,571007EA
expf,C1C0D69A,,2E1583CD
expf,C1F3DFE6,,2981D2FB
expf,424D25A4,,647E6F4D
expf,4291E7DB,,741814F6
expf,41B1C535,,4F854D2B
expf,4267BD5E,,693FA9F4
expf,425D10E0,,6754B330
expf,C211F36A,,252434BD
expf,4267612D,,692F2987
expf,413B8F83,,47F0DBF3
expf,41033EC6,,4564340A
expf,C2268535,,2175A760
expf,C0A98BE9,,3BA3D68F
expf,C287E107,,0E7D2DAF
expf,3FB7F020,,4086A8E7
expf,42443EF9,,62DBE94C
expf,C1CED82C,,2CCFB1E9
expf,C22869F3,,21190416
expf,429CF358,,7814A9A3
expf,C223AFBD,,21F97220
expf,3EF9A4F0,,3FD06ECD
expf,C1485BEE,,36748A7E
expf,C0D69F02,,3AA03A21
expf,C172630F,,348D7830
expf,42811AB7,,6E0BFB9C
expf,C0FDD0CA,,39BC4DE9
expf,C2413161,,1C9FD481
expf,BEF30EB7,,3F1F3F35
expf,C095B519,,3C184704
expf,41CF4899,,5226AC3D
expf,C23F1D80,,1D065727
expf,424CDE10,,646D41CC
expf,4296DA2D,,75E17C7D
expf,C298FBEE,,08483337
expf,4230ADC6,,5F535684
expf,418D2DE8,,4C300CB4
expf,4275C583,,6BC7EDC1
expf,419B7D4B,,4D83A465
expf,4274A38A,,6B969FA9
expf,421D26AF,,5BCD1D24
expf,C2435D7A,,1C39B625
expf,C12A3313,,37C952F6
expf,429B50BD,,77834482
expf,41CEE212,,521E88C3
expf,3FB6258A,,4084C9D1
expf,BF67C13C,,3ECF109E
expf,C0A27FEE,,3BCC32C0
expf,425E4516,,678FB302
expf,4213F708,,5A251636
expf,C0D34A70,,3AB1CD14
expf,C282B553,,1051F2E3
expf,C22A15AE,,20C98A09
expf,42737FB7,,6B628BB9
expf,40FE0BC6,,452F460E
expf,41B2A31D,,4F948E7A
expf,4235B526,,6039BE51
expf,C29FFC50,,05C14FDE
expf,4258202E,,66776DC5
expf,C20C30F8,,262D3F1B
expf,C0957A1E,,3C1960B2
expf,BD6E168C,,3F718B31
expf,C034E775,,3D728888
expf,C205D134,,27552375
expf,C0943961,,3C1F8081
expf,3F2E6B2D,,3FFCFDA5
expf,C28A91B7,,0D83E9F2
expf,C285F81C,,0F2477E6
expf,C18F01A2,,3294201F
expf,41F1366F,,5534F5F7
expf,429459A9,,75011364
expf,C26A5A21,,1531F42E
expf,42753DBE,,6BAF1A54
expf,C183B2E6,,339833C3
expf,C273B8A7,,1388D19E
expf,40E57639,,44A29762
expf,4281EBDD,,6E529C6C
expf,419150A7,,4C939C93
expf,C29BD09B,,074275E4
expf,42221CCF,,5CB142FF
expf,C1C6C148,,2D8EBAD3
expf,C0905425,,3C34265C
expf,425CB228,,6741E871
expf,414A26BA,,4895E14F
expf,C1BD159C,,2E6F0A31
expf,C18718BE,,33471080
expf,C23424C3,,1F02696A
expf,C268D5A8,,15820700
expf,C18709FF,,334880C0
expf,C28E024B,,0C3CFE47
expf,C1541A81,,35EABEEC
expf,4269CBBD,,69A03BB3
expf,410EFF95,,45EDDAEE
expf,427FAAE8,,6D94529C
expf,C25C0577,,17C807B6
expf,C29763A3,,08DE356F
expf,C1766DAB,,345BC877
expf,C23128E5,,1F897C1F
expf,C27AB77F,,123E6B55
expf,423AE3C4,,6129A047
expf,4283B929,,6F01A170
expf,C2890216,,0E0FF573
expf,428844D2,,709D476C
expf,423CB011,,6184F2D1
expf,C09EED00,,3BE4539C
expf,C2919782,,0AFC129F
expf,C1CD4251,,2CFD373E
expf,C1A00BCE,,310CD3CC
expf,41CAF29F,,51C1DF47
expf,C1BC84BE,,2E8047CC
expf,C26DE917,,14923666
expf,C29EF3AA,,062212CE
expf,424FB31C,,64F0D1F6
expf,42976488,,7613B90B
expf,41528968,,48FD22DA
expf,C24ED7B1,,1A289571
expf,C1A9869C,,302C3C6A
expf,42407D97,,622C012D
expf,C1EF5AB3,,29E46D7A
expf,4227B7B3,,5DB3EF3F
expf,42647902,,68A960C7
expf,42134C06,,5A0BB246
expf,41A306DF,,4E28DE32
expf,C15F1C63,,356BF77A
expf,41A5EDDD,,4E72B82D
expf,42357DF8,,602FFFD1
expf,C11A397E,,38889985
expf,C295523E,,099C3992
expf,C29DD576,,068DB9C2
expf,40F5D10E,,45078740
expf,42503F48,,650A12F2
expf,4285E3B3,,6FBF732A
expf,41996BEA,,4D4B503D
expf,4220C8EB,,5C7E62A1
expf,42087776,,58151458
expf,C28393D6,,1007F29D
expf,423D99E7,,61A70DD4
expf,C28F14D9,,0BDD19D2
expf,C0B96C90,,3B4781F6
expf,C0E7664D,,3A3DB19F
expf,C171B043,,3493C818
expf,416BA55A,,4A17FD33
expf,C0D6A0F2,,3AA0306D
expf,C22CB8F4,,20507268
expf,4126C99E,,4703814D
expf,C29318E2,,0A6D80B6
expf,C16E4297,,34B71898
expf,428A778D,,716C0791
expf,425A4BD3,,66D4DA1F
expf,420CC200,,58D9EB51
expf,41F94D99,,55F8BFB5
expf,41FD89A9,,56532963
expf,C0FF8FCB,,39B24DFD
expf,C1E3AB88,,2AF607DC
expf,C2790244,,1291EBB9
expf,C2867D85,,0EFD7BC5
expf,C27C57CC,,11FD9E5F
expf,4101BD71,,454FB6C2
expf,C2779F87,,12CE5513
expf,C27802B8,,12BB487B
expf,C2806B41,,1124E21E
expf,428C4FE1,,7214708D
expf,C2961DA9,,095201E8
expf,420BDF73,,58AEAAD8
expf,41F2D159,,555D2AFA
expf,421C3C24,,5BA3201A
expf,4244B7C8,,62F772C1
expf,C00FD6C6,,3DD866C6
expf,423E1272,,61BBEC6B
expf,C21275CA,,2510935A
expf,428D0AE5,,7255E2D4
expf,C23E599F,,1D22A916
expf,4268738C,,6964FBF5
expf,C1817CA8,,33C8AD3E
expf,C12C4A4D,,37B0A9CA
expf,C1376831,,37305F37
expf,C11BC062,,3878552E
expf,42595CC7,,66A88960
expf,C1B1D5E5,,2F73D2F0
expf,C20CA446,,261ACBFA
expf,41187B1E,,46571D8E
expf,C28E2213,,0C319E5E
expf,42991047,,76AA4FE0
expf,C29CE999,,06E0A78A
expf,C19C33D5,,3163B0EC
expf,C28370DB,,10118F7B
expf,C283671E,,10145B04
expf,C0271B63,,3D9670F4
expf,41B31B4D,,4F9D8918
expf,C23E6DC4,,1D1F7DE9
expf,41762E45,,4A92CD75
expf,4218B724,,5B0756D0
expf,C265CE02,,160AAA72
expf,41A2A07E,,4E20A242
expf,C0DB4B47,,3A8A751A
expf,42539AAA,,659FCB31
expf,C1A4E73B,,309979B3
expf,C216B1A1,,2448AB67
expf,C1EAC584,,2A4A891F
expf,C254612B,,1928ED91
expf,40B6C4A2,,4397299E
expf,C21B4CF8,,237DB9D8
expf,C1A57595,,308F2B84
expf,C18167BF,,33CABC74
expf,41C7E968,,5184A5E9
expf,424232A2,,6283C906
expf,42517214,,653A4E9B
expf,C2817DB2,,10C0F004
expf,41B71ED3,,500216F6
expf,C24778DE,,1B85084D
expf,C19F3F55,,311B9D07
expf,C23E51CF,,1D23E7FF
expf,C223BD05,,21F63B3D
expf,C1BAFE38,,2E9B3ABB
expf,C2382501,,1E3FDB9C
expf,419C5222,,4D920F32
expf,C1118346,,38EB75CB
expf,C1FDE67B,,28944DB6
expf,C27C48A5,,1200B31F
expf,C2856995,,0F594266
expf,3F27BFB2,,3FF67C07
expf,420142EC,,56C4E23C
expf,424DE3FA,,6499344C
expf,41B9A1F9,,503215C9
expf,C1DAD9AA,,2BB93CAD
expf,C20D856F,,25F87BD6
expf,C079458F,,3CA6ACAC
expf,42001F8E,,569420B4
expf,40DE477B,,4481E70A
expf,423B08E5,,612FE3AE
expf,426BBE62,,6A0260DC
expf,C286AF3E,,0EE6062B
expf,C2902209,,0B82B1C7
expf,C226FC68,,215AA8F3
expf,C06125BE,,3CF2FB3B
expf,4203B0A1,,5734A846
expf,C29264E3,,0AA8C74A
expf,C1F9408F,,29049298
expf,4240B53D,,62359C56
expf,41ED8B48,,54E4CD51
expf,BF8324C0,,3EB7C8EA
expf,C24EEA6E,,1A2586E1
expf,427873D5,,6C436662
expf,421829D5,,5AEBC9CA
expf,409CB3B2,,4305E0FE
expf,C27FB12C,,115B9378
expf,C1B35A33,,2F49B677
expf,42979AD2,,76243F37
expf,C17A91A7,,3429AB89
expf,C0AFADF6,,3B87435F
expf,C28DCEC3,,0C51014A
expf,4281FD4B,,6E59E777
expf,C254B2D3,,191BFAF9
expf,42724673,,6B26D68B
expf,41032E46,,4563492E
expf,BF07E9EA,,3F168B9D
expf,C25B3EFC,,17F2D06F
expf,C2976464,,08DDE1BC
expf,C242001A,,1C829CC2
expf,420089F3,,56A458A9
expf,424C401E,,644B5823
expf,C28B20DC,,0D477B09
expf,42332B77,,5FC4F898
expf,426BFC0B,,6A0A7863
expf,C1FA7C40,,28E344B5
expf,C21AE6E5,,238C2922
expf,413EB2B1,,481284D3
expf,C1C40FCB,,2DC7DC2C
expf,4121E34E,,46C1A205
expf,C19F3C2E,,311BDA65
expf,C295A121,,0985EAC6
expf,C28DD029,,0C506F5A
expf,4105DDEC,,45866AA9
expf,428698CA,,700857AC
expf,423C8983,,61800931
expf,C2857907,,0F52CDA2
expf,C2993FCC,,082F58B4
expf,C25D2397,,17974473
expf,C28DDE35,,0C4ACB52
expf,C144900B,,369B037A
expf,4199CD55,,4D5537DE
expf,C27759F0,,12DCD785
expf,C1DA52DB,,2BC5D725
expf,423833D8,,60AD4949
expf,429D7642,,783FF9E5
expf,4273A224,,6B6A4A9F
expf,C209EBD0,,2698CBC6
expf,C2605279,,1708830F
expf,42826CAE,,6E876E44
expf,C03EBE99,,3D4FF7BE
expf,4260377B,,67E9CB00
expf,4211197A,,59A14C67
expf,40EE92F4,,44D827C1
expf,41A6C5E3,,4E86DC3B
expf,41745616,,4A82D17C
expf,4260943F,,67FFF62B
expf,42787C0D,,6C44F97C
expf,C2533DCE,,1960878C
expf,C24173A7,,1C95D041
expf,C0F858FE,,39DF64A4
expf,40E920D7,,44B6546F
expf,C22CB5E8,,2051116C
expf,3FAA91BA,,40729C2A
expf,C280B235,,110F8BD9
expf,C25F8455,,1726F45B
expf,C1FC43DE,,28B5EFF5
expf,C24C5679,,1A9DAA5E
expf,C25203EE,,19988859
expf,C0DA2C2E,,3A8F6557
expf,C22812E3,,21269842
expf,4173603D,,4A766512
expf,C2872F6E,,0EB313CD
expf,C1BED9A6,,2E3FB209
expf,4287D751,,707DFD5B
expf,4269D4FD,,69A1AFEB
expf,C1C9009F,,2D578BAF
expf,424350C6,,62AE4537
expf,C26016D2,,1710B357
expf,BF9A5915,,3E99501B
expf,42082A22,,580A3C77
expf,41A7FA88,,4E9CCBBC
expf,C1C9369C,,2D51F012
expf,C11AF18D,,388298E8
expf,C24E305D,,1A46828A
expf,429763D2,,76138491
expf,C294D36F,,09C82167
expf,C296CE0F,,0914CD3E
expf,426743B0,,692A30A3
expf,C23CE4AC,,1D6A2117
expf,C22F0FC6,,1FE84DC7
expf,C1EF8EDF,,29DEAE9A
expf,42203F6F,,5C5E6CAE
expf,C0DE2D71,,3A7D0DC7
expf,424D8D1E,,648CBEAE
expf,425EDB05,,67A65BA6
expf,41896BF9,,4BDC2151
expf,C27094D1,,1415FB0E
expf,C296BDBA,,09199FF3
expf,4232B20F,,5FAEF303
expf,415096A6,,48E01D81
expf,C2158E56,,248559A1
expf,C1A0EBC4,,30FC7A79
expf,41CB8D9D,,51D11D26
expf,419609AE,,4D0530D9
expf,C200C740,,283BCC53
expf,4079BCB7,,424608A6
expf,42934244,,7495955A
expf,C27D767B,,11BFB00B
expf,41DF09F2,,53954E62
expf,C0F2720B,,3A065206
expf,424AB3A8,,640A10E4
expf,C1F8FB86,,29091E1D
expf,423D1671,,6192ED5F
expf,C21C08BC,,235337C3
expf,C02AE207,,3D8DD274
expf,422BDE14,,5E7DE56C
expf,C205AF99,,275C3FD1
expf,3FF6B816,,40DBE98B
expf,41A64388,,4E7D1677
expf,BF25113F,,3F06575B
expf,4218A5FB,,5B05170B
expf,428DAD2A,,7292D2BB
