call,a,b,result
log10f,45BCF198,,407203CF
logf,400B3D0E,,3F46FD79
log10f,400B3D0E,,3EACD733
logf,3DEFB220,,C0094BC0
log10f,3DEFB220,,BF6E81E5
logf,3F9ED259,,3E5CEE06
log10f,3F9ED259,,3DBFE5AD
logf,3DA3FF0D,,C02195EB
log10f,3DA3FF0D,,BF8C59FA
logf,3E250788,,BFE9A501
log10f,3E250788,,BF4AF0EA
logf,3599AA36,,C15AE219
log10f,3599AA36,,C0BE1E99
logf,3A891529,,C0DB9D06
log10f,3A891529,,C03EC0F6
logf,3AADB3A5,,C0D40986
log10f,3AADB3A5,,C0382C55
logf,36419B3B,,C14C1893
log10f,36419B3B,,C0B14689
logf,3D3C0AF6,,C04530AF
log10f,3D3C0AF6,,BFAB46F7
logf,37ADA346,,C12C910E
log10f,37ADA346,,C095E3B4
logf,3BCBF291,,C0A289FE
log10f,3BCBF291,,C00D2DFB
logf,3D85A2AE,,C02EB02F
log10f,3D85A2AE,,BF97BB75
logf,383E5430,,C12001FC
log10f,383E5430,,C08AFB21
logf,42A080BA,,408C5344
log10f,42A080BA,,3FF3C51B
logf,3831F21B,,C121158B
log10f,3831F21B,,C08BEA79
logf,42021956,,405ED91B
log10f,42021956,,3FC19039
logf,44291F8B,,40D08AA0
log10f,44291F8B,,40352308
logf,36B9088B,,C141BAF4
log10f,36B9088B,,C0A845A1
logf,4010402F,,3F500B21
log10f,4010402F,,3EB4B44A
logf,40FCCA74,,400446E3
log10f,40FCCA74,,3F65C9DC
logf,3A63DEC7,,C0E1882D
log10f,3A63DEC7,,C043E501
logf,3EECEE2A,,BF454352
log10f,3EECEE2A,,BEAB5727
logf,3C1333B1,,C096CACC
log10f,3C1333B1,,C002F9F6
logf,45264993,,40FC5C9F
log10f,45264993,,405B32DC
logf,35AA7948,,C15938E7
log10f,35AA7948,,C0BCAD48
logf,42AE6F93,,408EFD37
log10f,42AE6F93,,3FF865C5
logf,3B0E3529,,C0C44215
log10f,3B0E3529,,C02A77B8
logf,379E74E2,,C12E07CD
log10f,379E74E2,,C0972934
logf,410F1C0B,,400C39B3
log10f,410F1C0B,,3F7398B1
logf,3AABF692,,C0D45BEE
log10f,3AABF692,,C03873E9
logf,42246252,,406DD17D
log10f,42246252,,3FCE90FD
logf,38DB89A3,,C112A211
log10f,38DB89A3,,C07EBA4D
logf,44CB7C82,,40ECA42C
log10f,44CB7C82,,404D8B45
logf,39AC889A,,C1004EA9
log10f,39AC889A,,C05EE47F
logf,4186F7C9,,4034D68F
log10f,4186F7C9,,3F9D12F1
logf,44E8F853,,40F0F8A3
log10f,44E8F853,,40514E12
logf,3EB03766,,BF8886BD
log10f,3EB03766,,BEED2BA6
logf,36160AE9,,C1502CAD
log10f,36160AE9,,C0B4D16E
logf,45A806FC,,41097013
log10f,45A806FC,,406EC100
logf,35D41266,,C155BA91
log10f,35D41266,,C0B9A478
logf,38421C4A,,C11FB166
log10f,38421C4A,,C08AB522
logf,3B5B51EC,,C0B664F3
log10f,3B5B51EC,,C01E6CFB
logf,3DD326E0,,C0116920
log10f,3DD326E0,,BF7C9AAB
logf,3B09A156,,C0C54E1B
log10f,3B09A156,,C02B6085
logf,37E14A1C,,C1286665
log10f,37E14A1C,,C0924537
logf,408BF8F3,,3FBCE40F
log10f,408BF8F3,,3F24118A
logf,36E530E6,,C13E4E55
log10f,36E530E6,,C0A54C34
logf,35F3D9CC,,C1537EA3
log10f,35F3D9CC,,C0B7B3B3
logf,41C0F785,,404BB789
log10f,41C0F785,,3FB0F23F
logf,417652CA,,402EFAC8
log10f,417652CA,,3F97FC41
logf,4165A393,,402A7DA9
log10f,4165A393,,3F941624
logf,360CB560,,C15133C2
log10f,360CB560,,C0B5B5F1
logf,3A3AC1BA,,C0E7E622
log10f,3A3AC1BA,,C0496CC4
logf,37585752,,C1342389
log10f,37585752,,C09C7772
logf,45AE543D,,410A06E2
log10f,45AE543D,,406FC6FB
logf,3A6D347F,,C0E03F47
log10f,3A6D347F,,C042C754
logf,448C956B,,40E0CECD
log10f,448C956B,,404343FE
logf,3A9EA974,,C0D6EF6C
log10f,3A9EA974,,C03AB0BD
logf,3C8C0579,,C0823637
log10f,3C8C0579,,BFE23377
logf,3F80C2BF,,3BC22B70
log10f,3F80C2BF,,3B28A755
logf,3FCB481D,,3EECD4FB
log10f,3FCB481D,,3E4DB5AA
logf,38934F84,,C119044A
log10f,38934F84,,C084E89F
logf,42D29C9A,,40950512
log10f,42D29C9A,,40016FDD
