name,value,bits
expf_fcr_198,4.040365219E-01,3ECEDDE0
expf_fcr_199,4.103991687E-01,3ED21FD7
expf_fcr_200,4.168620110E-01,3ED56EF0
expf_fcr_201,4.234266281E-01,3ED8CB60
expf_fcr_202,4.300946295E-01,3EDC355D
expf_fcr_203,4.368676543E-01,3EDFAD1E
expf_fcr_204,4.437473118E-01,3EE332D9
expf_fcr_205,4.507353008E-01,3EE6C6C7
expf_fcr_206,4.578333497E-01,3EEA6922
expf_fcr_207,4.650431871E-01,3EEE1A24
expf_fcr_208,4.723665416E-01,3EF1DA07
expf_fcr_209,4.798052311E-01,3EF5A908
expf_fcr_210,4.873610735E-01,3EF98764
expf_fcr_211,4.950358868E-01,3EFD7558
expf_fcr_212,5.028315783E-01,3F00B992
expf_fcr_213,5.107499957E-01,3F02C083
expf_fcr_214,5.187931657E-01,3F04CFA1
expf_fcr_215,5.269629955E-01,3F06E70C
expf_fcr_216,5.352614522E-01,3F0906E5
expf_fcr_217,5.436905622E-01,3F0B2F4E
expf_fcr_218,5.522524714E-01,3F0D606B
expf_fcr_219,5.609491467E-01,3F0F9A5D
expf_fcr_220,5.697828531E-01,3F11DD4A
expf_fcr_221,5.787556171E-01,3F142954
expf_fcr_222,5.878696442E-01,3F167EA0
expf_fcr_223,5.971272588E-01,3F18DD55
expf_fcr_224,6.065306664E-01,3F1B4598
expf_fcr_225,6.160821319E-01,3F1DB78F
expf_fcr_226,6.257839799E-01,3F203361
expf_fcr_227,6.356386542E-01,3F22B937
expf_fcr_228,6.456485391E-01,3F254939
expf_fcr_229,6.558160186E-01,3F27E38F
expf_fcr_230,6.661435962E-01,3F2A8863
expf_fcr_231,6.766338348E-01,3F2D37E0
expf_fcr_232,6.872892976E-01,3F2FF231
expf_fcr_233,6.981124878E-01,3F32B780
expf_fcr_234,7.091062069E-01,3F3587FC
expf_fcr_235,7.202729583E-01,3F3863CF
expf_fcr_236,7.316156030E-01,3F3B4B29
expf_fcr_237,7.431368828E-01,3F3E3E38
expf_fcr_238,7.548395991E-01,3F413D2B
expf_fcr_239,7.667266130E-01,3F444832
expf_fcr_240,7.788007855E-01,3F475F7D
expf_fcr_241,7.910650969E-01,3F4A833E
expf_fcr_242,8.035225868E-01,3F4DB3A8
expf_fcr_243,8.161762357E-01,3F50F0ED
expf_fcr_244,8.290291429E-01,3F543B41
expf_fcr_245,8.420844078E-01,3F5792D8
expf_fcr_246,8.553453088E-01,3F5AF7E9
expf_fcr_247,8.688150644E-01,3F5E6AAA
expf_fcr_248,8.824968934E-01,3F61EB51
expf_fcr_249,8.963941932E-01,3F657A17
expf_fcr_250,9.105103612E-01,3F691735
expf_fcr_251,9.248487949E-01,3F6CC2E4
expf_fcr_252,9.394130707E-01,3F707D60
expf_fcr_253,9.542066455E-01,3F7446E3
expf_fcr_254,9.692332149E-01,3F781FAB
expf_fcr_255,9.844964147E-01,3F7C07F5
expf_fcr_256,1.000000000E+00,3F800000
powf_fwet_0,0.000000000E+00,00000000
powf_fwet_1,2.475733869E-02,3CCACFE7
powf_fwet_2,3.930890560E-02,3D210260
powf_fwet_3,5.151620135E-02,3D5302A7
powf_fwet_4,6.241341680E-02,3D7FA536
powf_fwet_5,7.242974639E-02,3D94560C
powf_fwet_6,8.179576695E-02,3DA7848A
powf_fwet_7,9.065344930E-02,3DB9A884
powf_fwet_8,9.909801930E-02,3DCAF3E7
powf_fwet_9,1.071972623E-01,3DDB8A3D
powf_fwet_10,1.150016189E-01,3DEB85F8
powf_fwet_11,1.225498766E-01,3DFAFB6E
powf_fwet_12,1.298726946E-01,3E04FD59
powf_fwet_13,1.369948238E-01,3E0C485F
powf_fwet_14,1.439366341E-01,3E136420
powf_fwet_15,1.507151127E-01,3E1A5510
powf_fwet_16,1.573446542E-01,3E211EF5
powf_fwet_17,1.638375223E-01,3E27C506
powf_fwet_18,1.702043712E-01,3E2E4A0E
powf_fwet_19,1.764544398E-01,3E34B079
powf_fwet_20,1.825958788E-01,3E3AFA6A
powf_fwet_21,1.886358410E-01,3E4129C1
powf_fwet_22,1.945807487E-01,3E47402D
powf_fwet_23,2.004363239E-01,3E4D3F2E
powf_fwet_24,2.062076777E-01,3E53281B
powf_fwet_25,2.118995041E-01,3E58FC2F
powf_fwet_26,2.175159752E-01,3E5EBC82
powf_fwet_27,2.230609655E-01,3E646A18
powf_fwet_28,2.285379618E-01,3E6A05DB
powf_fwet_29,2.339501977E-01,3E6F90A4
powf_fwet_30,2.393006235E-01,3E750B39
powf_fwet_31,2.445919663E-01,3E7A7651
powf_fwet_32,2.498267740E-01,3E7FD297
powf_fwet_33,2.550073862E-01,3E829054
powf_fwet_34,2.601359487E-01,3E85308A
powf_fwet_35,2.652145326E-01,3E87CA33
powf_fwet_36,2.702450156E-01,3E8A5D8E
powf_fwet_37,2.752291858E-01,3E8CEAD7
powf_fwet_38,2.801686823E-01,3E8F7245
powf_fwet_39,2.850650847E-01,3E91F40D
powf_fwet_40,2.899198532E-01,3E947060
powf_fwet_41,2.947343588E-01,3E96E76C
powf_fwet_42,2.995099425E-01,3E99595E
powf_fwet_43,3.042477667E-01,3E9BC65D
powf_fwet_44,3.089490533E-01,3E9E2E92
powf_fwet_45,3.136149049E-01,3EA09222
powf_fwet_46,3.182463348E-01,3EA2F12F
powf_fwet_47,3.228443563E-01,3EA54BDB
powf_fwet_48,3.274099231E-01,3EA7A246
powf_fwet_49,3.319439292E-01,3EA9F48E
powf_fwet_50,3.364472091E-01,3EAC42CF
powf_fwet_51,3.409205973E-01,3EAE8D25
powf_fwet_52,3.453648686E-01,3EB0D3AA
powf_fwet_53,3.497807980E-01,3EB31678
powf_fwet_54,3.541690409E-01,3EB555A5
powf_fwet_55,3.585302830E-01,3EB79148
powf_fwet_56,3.628652394E-01,3EB9C979
powf_fwet_57,3.671744764E-01,3EBBFE4B
powf_fwet_58,3.714585900E-01,3EBE2FD2
powf_fwet_59,3.757182062E-01,3EC05E23
powf_fwet_60,3.799538314E-01,3EC2894F
powf_fwet_61,3.841660321E-01,3EC4B169
powf_fwet_62,3.883552551E-01,3EC6D680
powf_fwet_63,3.925220668E-01,3EC8F8A7
powf_fwet_64,3.966669142E-01,3ECB17ED
powf_fwet_65,4.007902443E-01,3ECD3461
powf_fwet_66,4.048925042E-01,3ECF4E12
powf_fwet_67,4.089741409E-01,3ED1650F
powf_fwet_68,4.130355120E-01,3ED37964
powf_fwet_69,4.170770347E-01,3ED58B1F
powf_fwet_70,4.210991263E-01,3ED79A4E
powf_fwet_71,4.251021147E-01,3ED9A6FC
powf_fwet_72,4.290863574E-01,3EDBB135
powf_fwet_73,4.330522418E-01,3EDDB906
powf_fwet_74,4.370000660E-01,3EDFBE79
powf_fwet_75,4.409301579E-01,3EE1C199
powf_fwet_76,4.448428452E-01,3EE3C271
powf_fwet_77,4.487384260E-01,3EE5C10B
powf_fwet_78,4.526171982E-01,3EE7BD71
powf_fwet_79,4.564794302E-01,3EE9B7AC
powf_fwet_80,4.603254199E-01,3EEBAFC6
powf_fwet_81,4.641554356E-01,3EEDA5C8
powf_fwet_82,4.679697454E-01,3EEF99BB
powf_fwet_83,4.717685878E-01,3EF18BA7
powf_fwet_84,4.755522311E-01,3EF37B95
powf_fwet_85,4.793209136E-01,3EF5698D
powf_fwet_86,4.830748439E-01,3EF75596
