band,i,x_bits,y_bits,x,y
coarse,114,C233251F,1F2764AD,-4.478625107E+01,3.544690260E-20
coarse,115,C2332333,1F27B52E,-4.478437424E+01,3.551349387E-20
coarse,116,C2332148,1F2805AB,-4.478250122E+01,3.558007222E-20
coarse,117,C2331F5C,1F285679,-4.478062439E+01,3.564691229E-20
coarse,118,C2331D71,1F28A744,-4.477875137E+01,3.571374267E-20
coarse,119,C2331B85,1F28F860,-4.477687454E+01,3.578083477E-20
coarse,120,C233199A,1F294979,-4.477500153E+01,3.584791718E-20
coarse,121,C23317AE,1F299AE2,-4.477312469E+01,3.591525808E-20
coarse,122,C23315C3,1F29EC49,-4.477125168E+01,3.598259252E-20
coarse,123,C23313D7,1F2A3E01,-4.476937485E+01,3.605018869E-20
coarse,124,C23311EC,1F2A8FB6,-4.476750183E+01,3.611777516E-20
coarse,125,C2331000,1F2AE1BD,-4.476562500E+01,3.618562659E-20
coarse,126,C2330E14,1F2B33EB,-4.476374817E+01,3.625360403E-20
coarse,127,C2330C29,1F2B8616,-4.476187515E+01,3.632157178E-20
coarse,128,C2330A3D,1F2BD893,-4.475999832E+01,3.638980449E-20
coarse,129,C2330852,1F2C2B0D,-4.475812531E+01,3.645802750E-20
coarse,130,C2330666,1F2C7DD9,-4.475624847E+01,3.652651547E-20
coarse,131,C233047B,1F2CD0A3,-4.475437546E+01,3.659499698E-20
coarse,132,C233028F,1F2D23BF,-4.475249863E+01,3.666374344E-20
coarse,133,C23300A4,1F2D76D8,-4.475062561E+01,3.673248021E-20
coarse,134,C232FEB8,1F2DCA44,-4.474874878E+01,3.680148517E-20
coarse,135,C232FCCD,1F2E1DAC,-4.474687576E+01,3.687047721E-20
coarse,136,C232FAE1,1F2E7169,-4.474499893E+01,3.693974389E-20
coarse,137,C232F8F6,1F2EC522,-4.474312592E+01,3.700899765E-20
coarse,138,C232F70A,1F2F192F,-4.474124908E+01,3.707852282E-20
coarse,139,C232F51F,1F2F6D38,-4.473937607E+01,3.714803507E-20
coarse,140,C232F333,1F2FC196,-4.473749924E+01,3.721782198E-20
coarse,141,C232F148,1F3015F0,-4.473562622E+01,3.728759595E-20
coarse,142,C232EF5C,1F306A9F,-4.473374939E+01,3.735764458E-20
coarse,143,C232ED71,1F30BF4A,-4.473187637E+01,3.742768028E-20
coarse,144,C232EB85,1F31144B,-4.472999954E+01,3.749799387E-20
coarse,145,C232E99A,1F316948,-4.472812653E+01,3.756829452E-20
coarse,146,C232E7AE,1F31BE9A,-4.472624969E+01,3.763886983E-20
coarse,147,C232E5C3,1F3213E8,-4.472437668E+01,3.770943222E-20
coarse,148,C232E3D7,1F32698C,-4.472249985E+01,3.778027248E-20
coarse,149,C232E1EC,1F32BF2D,-4.472062683E+01,3.785110305E-20
coarse,150,C232E000,1F331523,-4.471875000E+01,3.792220827E-20
coarse,151,C232DE14,1F336B43,-4.471687317E+01,3.799344920E-20
coarse,152,C232DC29,1F33C160,-4.471500015E+01,3.806468044E-20
coarse,153,C232DA3D,1F3417D2,-4.471312332E+01,3.813618633E-20
coarse,154,C232D852,1F346E41,-4.471125031E+01,3.820768252E-20
coarse,155,C232D666,1F34C507,-4.470937347E+01,3.827945983E-20
coarse,156,C232D47B,1F351BCA,-4.470750046E+01,3.835122744E-20
coarse,157,C232D28F,1F3572E3,-4.470562363E+01,3.842327293E-20
coarse,158,C232D0A4,1F35C9F9,-4.470375061E+01,3.849530873E-20
coarse,159,C232CEB8,1F362166,-4.470187378E+01,3.856762564E-20
coarse,160,C232CCCD,1F3678CF,-4.470000076E+01,3.863992963E-20
coarse,161,C232CAE1,1F36D090,-4.469812393E+01,3.871251796E-20
coarse,162,C232C8F6,1F37284E,-4.469625092E+01,3.878509659E-20
coarse,163,C232C70A,1F378063,-4.469437408E+01,3.885795634E-20
coarse,164,C232C51F,1F37D875,-4.469250107E+01,3.893080640E-20
coarse,165,C232C333,1F3830DF,-4.469062424E+01,3.900394079E-20
coarse,166,C232C148,1F388946,-4.468875122E+01,3.907706550E-20
coarse,167,C232BF5C,1F38E205,-4.468687439E+01,3.915047455E-20
coarse,168,C232BD71,1F393AC1,-4.468500137E+01,3.922387390E-20
coarse,169,C232BB85,1F3993D6,-4.468312454E+01,3.929756083E-20
coarse,170,C232B99A,1F39ECE6,-4.468125153E+01,3.937123161E-20
coarse,171,C232B7AE,1F3A4651,-4.467937469E+01,3.944519642E-20
coarse,172,C232B5C3,1F3A9FB7,-4.467750168E+01,3.951914507E-20
coarse,173,C232B3D7,1F3AF978,-4.467562485E+01,3.959338776E-20
coarse,174,C232B1EC,1F3B5334,-4.467375183E+01,3.966761430E-20
coarse,175,C232B000,1F3BAD4B,-4.467187500E+01,3.974213487E-20
coarse,176,C232AE14,1F3C078D,-4.466999817E+01,3.981679438E-20
coarse,177,C232AC29,1F3C61CB,-4.466812515E+01,3.989144097E-20
coarse,178,C232AA3D,1F3CBC64,-4.466624832E+01,3.996638159E-20
coarse,179,C232A852,1F3D16F9,-4.466437531E+01,4.004130929E-20
coarse,180,C232A666,1F3D71E9,-4.466249847E+01,4.011653103E-20
coarse,181,C232A47B,1F3DCCD5,-4.466062546E+01,4.019173984E-20
coarse,182,C232A28F,1F3E281C,-4.465874863E+01,4.026724269E-20
coarse,183,C232A0A4,1F3E8360,-4.465687561E+01,4.034273585E-20
coarse,184,C2329EB8,1F3EDEFF,-4.465499878E+01,4.041852304E-20
coarse,185,C2329CCD,1F3F3A9A,-4.465312576E+01,4.049429731E-20
coarse,186,C2329AE1,1F3F9692,-4.465124893E+01,4.057037207E-20
coarse,187,C23298F6,1F3FF285,-4.464937592E+01,4.064643069E-20
coarse,188,C232970A,1F404ED5,-4.464749908E+01,4.072278980E-20
coarse,189,C232951F,1F40AB21,-4.464562607E+01,4.079913598E-20
coarse,190,C2329333,1F4107C9,-4.464374924E+01,4.087577944E-20
coarse,191,C2329148,1F41646E,-4.464187622E+01,4.095241320E-20
coarse,192,C2328F5C,1F41C170,-4.463999939E+01,4.102934745E-20
coarse,193,C2328D71,1F421E6D,-4.463812637E+01,4.110626556E-20
coarse,194,C2328B85,1F427BC8,-4.463624954E+01,4.118348739E-20
coarse,195,C232899A,1F42D920,-4.463437653E+01,4.126069953E-20
coarse,196,C23287AE,1F4336D4,-4.463249969E+01,4.133820894E-20
coarse,197,C23285C3,1F439485,-4.463062668E+01,4.141570866E-20
coarse,198,C23283D7,1F43F294,-4.462874985E+01,4.149351210E-20
coarse,199,C23281EC,1F44509F,-4.462687683E+01,4.157130262E-20
coarse,200,C2328000,1F44AF09,-4.462500000E+01,4.164940010E-20
coarse,201,C2327E14,1F450DA0,-4.462312317E+01,4.172764299E-20
coarse,202,C2327C29,1F456C33,-4.462125015E+01,4.180587295E-20
coarse,203,C2327A3D,1F45CB24,-4.461937332E+01,4.188440664E-20
