# glibc 2.39 logf / atanf / powf(x,0.25f) reference points
#   libc     Ubuntu GLIBC 2.39-0ubuntu8.7, x86-64 with FMA+AVX2
#            (logf and powf are ifunc-dispatched to their -mfma builds;
#             atanf is a plain FUNC, so no contraction)
#   produced by running the live libm through
#   tools/noahmp_wrf461_oracle/libm_ref_dump.c
# These are the functions gfortran calls for LOG, ATAN and **0.25 on a
# REAL(4); none of them is correctly rounded, so both the CPU and the
# CUDA transcriptions are checked against these bits, not against each
# other and not against a correctly-rounded library.
# Every column is an IEEE-754 binary32 bit pattern.
x,logf,atanf,powf025
4013B4D6,3F561A99,3F94B9E7,3F9DC439
40163AA8,3F5A7077,3F95832C,3F9E6F95
40166386,3F5AB611,3F958FB7,3F9E7A5A
4018111B,3F5D8D46,3F961238,3F9EEB0E
4019FD3C,3F60C491,3F96A4C1,3F9F6B06
401AF156,3F62591F,3F96EC49,3F9FAA0E
401B77C7,3F6336E0,3F97135C,3F9FCCA6
401C0000,3F6416CD,3F973AB9,3F9FEF9B
401C5721,3F64A5A0,3F9753C8,3FA005EB
401D1F11,3F65EC33,3F978CEE,3FA038FC
401E3B9B,3F67BA2C,3F97DD6C,3FA08155
401E610F,3F67F6BD,3F97E7F2,3FA08AD4
40206218,3F6B2ECB,3F98766D,3FA10C3A
4020EB16,3F6C0917,3F989BF4,3FA12E93
40216930,3F6CD165,3F98BE4F,3FA14E1D
4022AC33,3F6ECFB5,3F99157C,3FA19E94
4022E5D9,3F6F2A5D,3F9924EC,3FA1ACE4
402445D1,3F71512D,3F99825E,3FA203F2
402533BF,3F72C2EB,3F99C0C5,3FA23E7D
40257808,3F732CA6,3F99D291,3FA24F3E
402797A3,3F767052,3F9A5E7C,3FA2D3EA
402908C0,3F78A1BC,3F9ABBBD,3FA32D48
402B04AE,3F7B9E82,3F9B39D0,3FA3A753
402B517A,3F7C115D,3F9B4CA7,3FA3B9B0
402B7837,3F7C4B3A,3F9B5622,3FA3C2F0
402C5E60,3F7DA1F3,3F9B8E29,3FA3F9C9
402CD593,3F7E52BF,3F9BAAFA,3FA4161B
402F6A64,3F810F27,3F9C4847,3FA4B213
4031044E,3F8238E8,3F9CA7D2,3FA511F7
4031CAF8,3F82C83F,3F9CD593,3FA54034
403292B9,3F8357BE,3F9D033A,3FA56E8B
4033A2E6,3F841A42,3F9D40DD,3FA5AD70
4034FBA8,3F850EFF,3F9D8E03,3FA5FCB5
4035879D,3F8571D5,3F9DAD0B,3FA61CC3
4035A3F2,3F8585CE,3F9DB34E,3FA6233E
40361AC8,3F85D971,3F9DCD7E,3FA63E64
4036A629,3F863B43,3F9DEC0E,3FA65E2A
403904EC,3F87E1BE,3F9E6F3E,3FA6E7AA
40391F82,3F87F422,3F9E74EC,3FA6EDA9
4039FB20,3F888BA2,3F9EA39E,3FA71F15
403A5F20,3F88D062,3F9EB8C2,3FA73587
403A6CF4,3F88D9E1,3F9EBBAC,3FA738A1
403B5573,3F897920,3F9EEC7C,3FA76CAC
403C0231,3F89EEF1,3F9F107A,3FA79337
403C16F4,3F89FD13,3F9F14CA,3FA797D7
403CFBAC,3F8A985B,3F9F440D,3FA7CAB3
403E6F76,3F8B9335,3F9F9008,3FA81CFD
403E8779,3F8BA358,3F9F94E7,3FA82249
40424EB9,3F8E26CB,3FA0559C,3FA8F61B
4042A0CC,3F8E5CD1,3FA065A7,3FA907F0
4043A652,3F8F085D,3FA09874,3FA9409C
40464506,3F90BC3E,3FA11890,3FA9D0F0
40471649,3F914310,3FA13FE8,3FA9FDAD
