case,role,name,hex,value
veg_warm_day_dry,in,LAT,3F29C77A,  6.632000208E-01
veg_warm_day_dry,in,CANLIQ,3E19999A,  1.500000060E-01
veg_warm_day_dry,in,CANICE,00000000,  0.000000000E+00
veg_warm_day_dry,in,TV,43944000,  2.965000000E+02
veg_warm_day_dry,in,TG,4394C000,  2.975000000E+02
veg_warm_day_dry,in,SNOWH,00000000,  0.000000000E+00
veg_warm_day_dry,in,EAH,44BB8000,  1.500000000E+03
veg_warm_day_dry,in,TAH,4394199A,  2.962000122E+02
veg_warm_day_dry,in,SNEQVO,00000000,  0.000000000E+00
veg_warm_day_dry,in,SNEQV,00000000,  0.000000000E+00
veg_warm_day_dry,in,ALBOLD,3F266666,  6.499999762E-01
veg_warm_day_dry,in,CM,3C23D70A,  9.999999776E-03
veg_warm_day_dry,in,CH,3C23D70A,  9.999999776E-03
veg_warm_day_dry,in,DX,453B8000,  3.000000000E+03
veg_warm_day_dry,in,DZ8W,42200000,  4.000000000E+01
veg_warm_day_dry,in,Q2,3C2C0831,  1.049999986E-02
veg_warm_day_dry,in,TAUSS,00000000,  0.000000000E+00
veg_warm_day_dry,in,LAISUN,00000000,  0.000000000E+00
veg_warm_day_dry,in,LAISHA,00000000,  0.000000000E+00
veg_warm_day_dry,in,RB,00000000,  0.000000000E+00
veg_warm_day_dry,in,QC,00000000,  0.000000000E+00
veg_warm_day_dry,in,QSFC,3C2C0831,  1.049999986E-02
veg_warm_day_dry,in,PSFC,47BC7A00,  9.650000000E+04
veg_warm_day_dry,in,ACC_SSOIL,00000000,  0.000000000E+00
veg_warm_day_dry,in,JULIAN,43488000,  2.005000000E+02
veg_warm_day_dry,in,PRCP,00000000,  0.000000000E+00
veg_warm_day_dry,in,FB,00000000,  0.000000000E+00
veg_warm_day_dry,out,Z0WRF,3DF5C28F,  1.199999973E-01
veg_warm_day_dry,undef,IMELT_-2,00000000,  0.000000000E+00
veg_warm_day_dry,undef,HCPCT_-2,00000000,  0.000000000E+00
veg_warm_day_dry,out,STC_-2,00000000,  0.000000000E+00
veg_warm_day_dry,undef,IMELT_-1,00000000,  0.000000000E+00
veg_warm_day_dry,undef,HCPCT_-1,00000000,  0.000000000E+00
veg_warm_day_dry,out,STC_-1,00000000,  0.000000000E+00
veg_warm_day_dry,undef,IMELT_+0,00000000,  0.000000000E+00
veg_warm_day_dry,undef,HCPCT_+0,00000000,  0.000000000E+00
veg_warm_day_dry,out,STC_+0,00000000,  0.000000000E+00
veg_warm_day_dry,out,IMELT_+1,00000000,                0
veg_warm_day_dry,out,HCPCT_+1,49FAAE38,  2.053575000E+06
veg_warm_day_dry,out,STC_+1,439305CF,  2.940453796E+02
veg_warm_day_dry,out,IMELT_+2,00000000,                0
veg_warm_day_dry,out,HCPCT_+2,4A02738C,  2.137315000E+06
veg_warm_day_dry,out,STC_+2,43920017,  2.920007019E+02
veg_warm_day_dry,out,IMELT_+3,00000000,                0
veg_warm_day_dry,out,HCPCT_+3,4A078FFB,  2.221054750E+06
veg_warm_day_dry,out,STC_+3,43910004,  2.900001221E+02
veg_warm_day_dry,out,IMELT_+4,00000000,                0
veg_warm_day_dry,out,HCPCT_+4,4A0CAC6B,  2.304794750E+06
veg_warm_day_dry,out,STC_+4,43900003,  2.880000916E+02
veg_warm_day_dry,undef,SNICEV_-2,00000000,  0.000000000E+00
veg_warm_day_dry,undef,SNLIQV_-2,00000000,  0.000000000E+00
veg_warm_day_dry,undef,EPORE_-2,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNICE_-2,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNLIQ_-2,00000000,  0.000000000E+00
veg_warm_day_dry,undef,SNICEV_-1,00000000,  0.000000000E+00
veg_warm_day_dry,undef,SNLIQV_-1,00000000,  0.000000000E+00
veg_warm_day_dry,undef,EPORE_-1,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNICE_-1,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNLIQ_-1,00000000,  0.000000000E+00
veg_warm_day_dry,undef,SNICEV_+0,00000000,  0.000000000E+00
veg_warm_day_dry,undef,SNLIQV_+0,00000000,  0.000000000E+00
veg_warm_day_dry,undef,EPORE_+0,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNICE_+0,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNLIQ_+0,00000000,  0.000000000E+00
veg_warm_day_dry,out,BTRANI_+1,3DAE88B5,  8.522168547E-02
veg_warm_day_dry,out,SH2O_+1,3E6147AE,  2.199999988E-01
veg_warm_day_dry,out,SMC_+1,3E6147AE,  2.199999988E-01
veg_warm_day_dry,out,BTRANI_+2,3E920893,  2.852216661E-01
veg_warm_day_dry,out,SH2O_+2,3E75C291,  2.400000244E-01
veg_warm_day_dry,out,SMC_+2,3E75C291,  2.400000244E-01
veg_warm_day_dry,out,BTRANI_+3,3F212AA0,  6.295566559E-01
veg_warm_day_dry,out,SH2O_+3,3E851EB8,  2.599999905E-01
veg_warm_day_dry,out,SMC_+3,3E851EB8,  2.599999905E-01
veg_warm_day_dry,undef,BTRANI_+4,00000000,  0.000000000E+00
veg_warm_day_dry,out,SH2O_+4,3E8F5C29,  2.800000012E-01
veg_warm_day_dry,out,SMC_+4,3E8F5C29,  2.800000012E-01
veg_warm_day_dry,out,ALBSND_+1,3F26654E,  6.499832869E-01
veg_warm_day_dry,out,ALBSNI_+1,3F26654E,  6.499832869E-01
veg_warm_day_dry,out,ALBSND_+2,3F26654E,  6.499832869E-01
veg_warm_day_dry,out,ALBSNI_+2,3F26654E,  6.499832869E-01
veg_warm_day_dry,out,T2M,4394080D,  2.960628967E+02
veg_warm_day_dry,out,FSNO,00000000,  0.000000000E+00
veg_warm_day_dry,out,SAV,43CB33D2,  4.064048462E+02
veg_warm_day_dry,out,SAG,437704C4,  2.470186157E+02
veg_warm_day_dry,out,QMELT,00000000,  0.000000000E+00
veg_warm_day_dry,out,FSA,44235B1A,  6.534234619E+02
veg_warm_day_dry,out,FSR,4326939A,  1.665765686E+02
veg_warm_day_dry,out,TAUX,BDB23B80, -8.702754974E-02
veg_warm_day_dry,out,TAUY,3CF46EDC,  2.983801812E-02
veg_warm_day_dry,out,FIRA,42D26306,  1.051934052E+02
veg_warm_day_dry,out,FSH,41ABEA3A,  2.148936844E+01
veg_warm_day_dry,out,FCEV,43977377,  3.029020691E+02
veg_warm_day_dry,out,FGEV,41CF6E27,  2.592878532E+01
veg_warm_day_dry,out,FCTR,416E7654,  1.490388870E+01
veg_warm_day_dry,out,TRAD,4395B7DF,  2.994364929E+02
veg_warm_day_dry,out,PSN,419B4062,  1.940643692E+01
veg_warm_day_dry,out,APAR,435D5A47,  2.213526459E+02
veg_warm_day_dry,out,SSOIL,432931EA,  1.691949768E+02
veg_warm_day_dry,out,BTRAN,3F441B0C,  7.660377026E-01
veg_warm_day_dry,out,PONDING,00000000,  0.000000000E+00
veg_warm_day_dry,out,TS,43946068,  2.967531738E+02
veg_warm_day_dry,out,LATHEAV,4A193900,  2.510400000E+06
veg_warm_day_dry,out,LATHEAG,4A193900,  2.510400000E+06
veg_warm_day_dry,out,FROZEN_CANOPY,00000000,                0
veg_warm_day_dry,out,FROZEN_GROUND,00000000,                0
veg_warm_day_dry,out,TV,43944468,  2.965344238E+02
veg_warm_day_dry,out,TG,43961E6A,  3.002376099E+02
veg_warm_day_dry,out,SNOWH,00000000,  0.000000000E+00
veg_warm_day_dry,out,EAH,451906CC,  2.448424805E+03
veg_warm_day_dry,out,TAH,43943C06,  2.964689331E+02
veg_warm_day_dry,out,SNEQVO,00000000,  0.000000000E+00
veg_warm_day_dry,out,SNEQV,00000000,  0.000000000E+00
veg_warm_day_dry,out,ALBOLD,3F26654E,  6.499832869E-01
veg_warm_day_dry,out,CM,3BC31F3C,  5.954651162E-03
veg_warm_day_dry,out,CH,3CBF7401,  2.337074466E-02
veg_warm_day_dry,out,TAUSS,00000000,  0.000000000E+00
veg_warm_day_dry,out,LAISUN,3FBFADC5,  1.497490525E+00
veg_warm_day_dry,out,LAISHA,3FE8D34C,  1.818948269E+00
veg_warm_day_dry,out,RB,00000000,  0.000000000E+00
veg_warm_day_dry,out,QSFC,3CA3EC0F,  2.001002245E-02
veg_warm_day_dry,out,T2MV,4394021D,  2.960165100E+02
veg_warm_day_dry,out,T2MB,43941FCC,  2.962484131E+02
veg_warm_day_dry,out,FSRV,43148D90,  1.485529785E+02
veg_warm_day_dry,out,FSRG,41903055,  1.802359962E+01
veg_warm_day_dry,out,BGAP,00000000,  0.000000000E+00
veg_warm_day_dry,out,WGAP,00000000,  0.000000000E+00
veg_warm_day_dry,out,RSSUN,4400F130,  5.157685547E+02
veg_warm_day_dry,out,RSSHA,4402353E,  5.208319092E+02
veg_warm_day_dry,out,TGV,439671EA,  3.008899536E+02
veg_warm_day_dry,out,TGB,4394D06B,  2.976282654E+02
veg_warm_day_dry,out,Q1,3C893644,  1.674950868E-02
veg_warm_day_dry,out,Q2V,3C4DF694,  1.257099584E-02
veg_warm_day_dry,out,Q2B,3C32A6B0,  1.090399921E-02
veg_warm_day_dry,out,Q2E,3C488033,  1.223759633E-02
veg_warm_day_dry,out,CHV,3CDC6631,  2.690419741E-02
veg_warm_day_dry,out,CHB,3C17567C,  9.236928076E-03
veg_warm_day_dry,out,EMISSI,3F7E7667,  9.939941764E-01
veg_warm_day_dry,out,PAH,00000000,  0.000000000E+00
veg_warm_day_dry,out,CANHS,415CF9B9,  1.381096745E+01
veg_warm_day_dry,out,SHG,412B61CE,  1.071137810E+01
veg_warm_day_dry,out,SHC,411827D9,  9.509728432E+00
veg_warm_day_dry,out,SHB,41886BE5,  1.705268288E+01
veg_warm_day_dry,out,EVG,41B45440,  2.254113770E+01
veg_warm_day_dry,out,EVB,421DEAE1,  3.947937393E+01
veg_warm_day_dry,out,GHV,433AE3BE,  1.868896179E+02
veg_warm_day_dry,out,GHB,42C4D52E,  9.841636658E+01
veg_warm_day_dry,out,IRG,41D70302,  2.687646866E+01
veg_warm_day_dry,out,IRC,42828E6F,  6.527819061E+01
