# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
3F9DA115,4426E873,4428F6F3,4240168B,425C9640
3F9E6666,4426FAF4,44290C39,42402967,425CAF85
3F9E9940,4426FFB9,442911B5,42402E43,425CB608
3FA00000,44272164,4429386A,42405092,425CE401
3FA1999A,442747DC,442964A4,424077C5,425D1888
3FA33333,44276E5A,442990EA,42409EFE,425D4D1B
3FA4CCCD,442794E2,4429BD3A,4240C63E,425D81B8
3FA5407C,44279FC5,4429C9C0,4240D156,425D9096
3FA66666,4427BB71,4429E994,4240ED85,425DB661
3FA80000,4427E208,442A15F9,424114D4,425DEB16
3FA885F7,4427EEA9,442A2481,424121B0,425DFC55
3FA9999A,442808A6,442A4269,42413C28,425E1FD5
3FAB3333,44282F4D,442A6EE3,42416384,425E54A0
3FACCCCD,442855FB,442A9B68,42418AE7,425E8975
3FAE6666,44287CB2,442AC7F7,4241B251,425EBE57
3FAF6533,442894CB,442AE3B4,4241CAD9,425EDF41
3FB00000,4428A370,442AF491,4241D9C2,425EF343
3FB1999A,4428CA37,442B2135,42420139,425F283B
3FB30739,4428ECD9,442B4917,4242247A,425F578B
3FB33333,4428F104,442B4DE4,424228B8,425F5D3D
3FB4CCCD,442917DB,442B7A9D,4242503D,425F924C
3FB4FAE3,44291C39,442B7FA6,424254B0,425F9844
3FB66666,44293EB9,442BA761,424277C9,425FC764
3FB7520B,44295518,442BC127,42428E8D,425FE5F6
3FB7B619,44295E99,442BCC19,42429838,425FF2F2
3FB80000,4429659E,442BD431,42429F5C,425FFC89
3FB9999A,44298C8C,442C010A,4242C6F7,426031BA
3FBAD215,4429AA44,442C2347,4242E532,42605A54
3FBB3333,4429B382,442C2DED,4242EE98,426066F4
3FBC108E,4429C892,442C4634,42430405,426083BD
3FBCCCCD,4429DA7F,442C5ADC,42431640,42609C3B
3FBD5304,4429E747,442C6997,42432340,4260ADB2
3FBD6674,4429E922,442C6BBA,42432523,4260B03A
3FBE6666,442A0185,442C87D5,42433DEF,4260D18C
3FBF41C0,442A166E,442C9FEF,42435333,4260EE1F
3FC00000,442A2892,442CB4D9,424365A5,426106EA
3FC1999A,442A4FA8,442CE1E7,42438D62,42613C52
3FC33333,442A76C5,442D0F01,4243B526,426171C7
3FC4CCCD,442A9DEA,442D3C25,4243DCF1,4261A746
3FC66666,442AC517,442D6953,424404C3,4261DCD0
3FC6B979,442ACD0A,442D727E,42440CD7,4261E7AD
3FC80000,442AEC4C,442D968D,42442C9C,42621265
3FC89758,442AFACB,442DA745,42443B57,42622635
3FC9999A,442B138A,442DC3D0,4244547C,42624807
3FCB3333,442B3ACF,442DF11F,42447C62,42627DB4
3FCCCCCD,442B621C,442E1E79,4244A450,4262B36B
3FCE6666,442B8971,442E4BDC,4244CC45,4262E92F
3FCE8B1B,442B8CF9,442E4FEF,4244CFDA,4262EE02
3FD00000,442BB0CF,442E794C,4244F441,42631EFE
3FD05BF4,442BB9A6,442E8380,4244FD3C,42632B14
3FD07887,442BBC65,442E86AC,42450006,42632ED5
3FD1999A,442BD834,442EA6C5,42451C44,426354D8
3FD33333,442BFFA1,442ED449,4245444E,42638ABF
3FD4CCCD,442C2716,442F01D9,42456C5E,4263C0B0
3FD66666,442C4E94,442F2F73,42459476,4263F6AC
3FD7364F,442C62A2,442F469D,4245A8D3,42641217
3FD779F6,442C6929,442F4E26,4245AF74,42641B05
3FD80000,442C7619,442F5D17,4245BC96,42642CB4
3FD9999A,442C9DA6,442F8AC7,4245E4BB,426462C7
3FDAF7C7,442CBF7C,442FB1DE,42460714,4264910B
3FDB3333,442CC53C,442FB881,42460CE8,426498E6
3FDBA302,442CD00B,442FC4FE,424617E1,4264A7AE
3FDCCCCD,442CECD9,442FE646,4246351C,4264CF11
3FDE6666,442D147E,44301416,42465D57,42650547
3FE00000,442D3C2B,443041F0,42468599,42653B88
3FE1999A,442D63E1,44306FD6,4246ADE2,426571D6
3FE31C4A,442D8966,44309B35,4246D3F0,4265A523
3FE33333,442D8B9E,44309DC7,4246D632,4265A82D
3FE4CCCD,442DB364,4430CBC2,4246FE89,4265DE92
3FE66666,442DDB32,4430F9C8,424726E7,42661500
3FE6C91C,442DE4CA,443104E1,424730A3,42662221
3FE80000,442E0308,443127D9,42474F4D,42664B7D
3FE9999A,442E2AE5,443155F5,424777B9,42668202
3FE9A450,442E2BF0,4431572A,424778C8,42668370
3FEB3333,442E52CB,4431841B,4247A02D,4266B895
3FECCCCD,442E7ABA,4431B24D,4247C8A7,4266EF32
3FED5CF5,442E88C9,4431C292,4247D6E8,4267026E
3FEE6666,442EA2B0,4431E08A,4247F129,426725DC
3FF00000,442ECAAE,44320ED2,424819B1,42675C90
3FF1999A,442EF2B5,44323D23,42484241,42679350
3FF33333,442F1AC3,44326B81,42486AD8,4267CA1C
3FF4CCCD,442F42DA,443299E9,42489376,426800F5
3FF66666,442F6AF8,4432C85C,4248BC1B,426837D7
3FF80000,442F931F,4432F6DB,4248E4C7,42686EC5
3FF9999A,442FBB4F,44332564,42490D7A,4268A5C0
3FFA7EF9,442FD1D3,44333F78,42492447,4268C490
3FFB3333,442FE385,443353F8,42493634,4268DCC6
3FFCCCCD,44300BC5,44338297,42495EF5,426913D9
3FFE6666,4430340C,4433B141,424987BE,42694AF6
40000000,44305C5C,4433DFF6,4249B08D,4269821E
4000CCCD,443084B4,44340EB7,4249D964,4269B953
4000EB84,44308AC2,443415BA,4249DF84,4269C19C
40014606,44309C99,44342A68,4249F194,4269DA06
40016274,4430A234,443430E6,4249F741,4269E1B2
4001999A,4430AD14,44343D82,424A0242,4269F093
40022763,4430C90D,44345DED,424A1E91,426A16DB
40026666,4430D57C,44346C58,424A2B27,426A27DF
40033333,4430FDED,44349B39,424A5413,426A5F38
40038279,44310D96,4434AD62,424A63EC,426A74A6
40040000,44312665,4434CA26,424A7D06,426A969A
4004CCCD,44314EE6,4434F91C,424AA601,426ACE0A
4005999A,4431776F,4435281F,424ACF02,426B0585
40066666,4431A000,4435572D,424AF80A,426B3D0C
4006B47F,4431AF7B,44356921,424B07B2,426B523B
40073333,4431C899,44358645,424B211B,426B749E
40080000,4431F13B,4435B568,424B4A32,426BAC3C
4008CCCD,443219E5,4435E498,424B7350,426BE3E6
4009999A,44324297,443613D1,424B9C75,426C1B9A
400A6666,44326B51,44364317,424BC5A2,426C535C
400ABE5A,44327CD1,44365767,424BD753,426C6B51
400B3333,44329414,44367266,424BEED6,426C8B2A
400C0000,4432BCDF,4436A1C2,424C1811,426CC303
400CCCCD,4432E5B1,4436D128,424C4152,426CFAE7
400D9661,44330DE8,4436FFDA,424C69F5,426D31F6
400D999A,44330E8D,4437009A,424C6A9C,426D32D7
400E6666,44333770,44373016,424C93EC,426D6AD4
400EA102,44334325,44373DB0,424C9FC1,426D7ADB
400F3333,4433605C,44375F9E,424CBD43,426DA2DB
40100000,44338950,44378F31,424CE6A2,426DDAF0
4010CCCD,4433B24D,4437BED0,424D1008,426E130F
4011999A,4433DB51,4437EE7A,424D3975,426E4B3B
