scenario,k,t1d_entry_hex,t1d_entry_k,t1d_exit_hex,t1d_exit_k,pii_hex,pii,round_trip_exit_hex,round_trip_matches
aero-nc-auto,11,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F543B40,  8.2902908325195312E-01,438E8000,1
aero-nc-auto,12,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5079A9,  8.1435638666152954E-01,438E8000,1
aero-nc-auto,13,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F4CC917,  7.9994338750839233E-01,438E8000,1
aero-nc-auto,14,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F49293D,  7.8578549623489380E-01,438E8000,1
aero-nc-auto,15,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F4599CE,  7.7187812328338623E-01,438E8000,1
aero-nc-auto,16,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F421A82,  7.5821697711944580E-01,438E8000,1
aero-nc-auto,17,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F3EAB0D,  7.4479752779006958E-01,438E8000,1
aero-nc-auto,18,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F3B4B29,  7.3161560297012329E-01,438E8000,1
aero-nc-auto,19,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F37FA90,  7.1866703033447266E-01,438E8000,1
aero-nc-auto,20,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F34B8FB,  7.0594757795333862E-01,438E8000,1
aero-nc-auto,21,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F318627,  6.9345325231552124E-01,438E8000,1
aero-nc-auto,22,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2E61D1,  6.8118005990982056E-01,438E8000,1
aero-nc-auto,23,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2B4BB8,  6.6912412643432617E-01,438E8000,1
aero-nc-auto,24,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F28439A,  6.5728151798248291E-01,438E8000,1
aero-nc-accrete,1,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F7DB976,  9.9111115932464600E-01,438E8000,1
aero-nc-accrete,2,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F793BDF,  9.7356981039047241E-01,438E8000,1
aero-nc-accrete,3,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F74D2A1,  9.5633894205093384E-01,438E8000,1
aero-nc-accrete,4,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F707D60,  9.3941307067871094E-01,438E8000,1
aero-nc-accrete,5,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F6C3BC0,  9.2278671264648438E-01,438E8000,1
aero-nc-accrete,6,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F680D69,  9.0645462274551392E-01,438E8000,1
aero-nc-accrete,7,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F63F204,  8.9041161537170410E-01,438E8000,1
aero-nc-accrete,8,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5FE93A,  8.7465250492095947E-01,438E8000,1
aero-nc-accrete,9,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5BF2B8,  8.5917234420776367E-01,438E8000,1
aero-nc-accrete,10,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F580E2B,  8.4396618604660034E-01,438E8000,1
aero-nc-accrete,11,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F543B40,  8.2902908325195312E-01,438E8000,1
aero-nc-accrete,12,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5079A9,  8.1435638666152954E-01,438E8000,1
aero-nc-accrete,13,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F4CC917,  7.9994338750839233E-01,438E8000,1
aero-nc-accrete,14,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F49293D,  7.8578549623489380E-01,438E8000,1
aero-nc-accrete,15,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F4599CE,  7.7187812328338623E-01,438E8000,1
aero-nc-accrete,16,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F421A82,  7.5821697711944580E-01,438E8000,1
aero-nc-accrete,17,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F3EAB0D,  7.4479752779006958E-01,438E8000,1
aero-nc-accrete,18,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F3B4B29,  7.3161560297012329E-01,438E8000,1
aero-nc-accrete,19,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F37FA90,  7.1866703033447266E-01,438E8000,1
aero-nc-accrete,20,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F34B8FB,  7.0594757795333862E-01,438E8000,1
aero-nc-accrete,21,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F318627,  6.9345325231552124E-01,438E8000,1
aero-nc-accrete,22,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2E61D1,  6.8118005990982056E-01,438E8000,1
aero-nc-accrete,23,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F2B4BB8,  6.6912412643432617E-01,438E8000,1
aero-nc-accrete,24,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F28439A,  6.5728151798248291E-01,438E8000,1
aero-nc-effrad,1,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F7DB976,  9.9111115932464600E-01,438E8000,1
aero-nc-effrad,2,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F793BDF,  9.7356981039047241E-01,438E8000,1
aero-nc-effrad,3,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F74D2A1,  9.5633894205093384E-01,438E8000,1
aero-nc-effrad,4,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F707D60,  9.3941307067871094E-01,438E8000,1
aero-nc-effrad,5,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F6C3BC0,  9.2278671264648438E-01,438E8000,1
aero-nc-effrad,6,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F680D69,  9.0645462274551392E-01,438E8000,1
aero-nc-effrad,7,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F63F204,  8.9041161537170410E-01,438E8000,1
aero-nc-effrad,8,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5FE93A,  8.7465250492095947E-01,438E8000,1
aero-nc-effrad,9,438E8000,  2.8500000000000000E+02,438E8000,  2.8500000000000000E+02,3F5BF2B8,  8.5917234420776367E-01,438E8000,1
