tempc_c,rho_kg_m3,nifa_per_m3,xni_per_m3
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+007, 1.1834834098815918E+001
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+008, 1.6160772323608398E+001
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+009, 2.2067956924438477E+001
-5.0000000000000000E+000, 6.4999997615814209E-001, 9.9989995520000000E+009, 2.4237377166748047E+001
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+003, 8.8975257873535156E+000
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+004, 8.8975257873535156E+000
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+005, 9.2116193771362305E+000
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+006, 1.2578706741333008E+001
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+007, 1.7176551818847656E+001
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+008, 2.3455028533935547E+001
-5.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+009, 3.2028453826904297E+001
-5.0000000000000000E+000, 1.0000000000000000E+000, 9.9989995520000000E+009, 3.5177055358886719E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+003, 1.1121908187866211E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+004, 1.1121908187866211E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+005, 1.1172080039978027E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+006, 1.5255766868591309E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+007, 2.0832149505615234E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+008, 2.8446842193603516E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+009, 3.8844905853271484E+001
-5.0000000000000000E+000, 1.2500000000000000E+000, 9.9989995520000000E+009, 4.2663604736328125E+001
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 2.8577959060668945E+001
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 2.8577959060668945E+001
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 4.0519844055175781E+001
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 7.4983856201171875E+001
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 1.3876113891601562E+002
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 2.5678390502929688E+002
-1.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 4.7519055175781250E+002
-1.0000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 5.7190191650390625E+002
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 5.3073348999023438E+001
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 5.3073348999023438E+001
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 6.3775039672851562E+001
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+006, 1.1801867675781250E+002
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+007, 2.1839904785156250E+002
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+008, 4.0415759277343750E+002
-1.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+009, 7.4791241455078125E+002
-1.0000000000000000E+001, 6.4999997615814209E-001, 9.9989995520000000E+009, 9.0012841796875000E+002
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+003, 8.1651306152343750E+001
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+004, 8.1651306152343750E+001
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+005, 8.7443817138671875E+001
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+006, 1.6181884765625000E+002
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+007, 2.9945330810546875E+002
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+008, 5.5415228271484375E+002
-1.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+009, 1.0254846191406250E+003
-1.0000000000000000E+001, 1.0000000000000000E+000, 9.9989995520000000E+009, 1.2341923828125000E+003
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+003, 1.0206413269042969E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+004, 1.0206413269042969E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+005, 1.0297577667236328E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+006, 1.9056147766113281E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+007, 3.5264285278320312E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+008, 6.5258197021484375E+002
-1.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+009, 1.2076335449218750E+003
-1.0000000000000000E+001, 1.2500000000000000E+000, 9.9989995520000000E+009, 1.4534123535156250E+003
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 1.0061881256103516E+002
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 1.0061881256103516E+002
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 1.6951103210449219E+002
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 4.2510671997070312E+002
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 1.0661000976562500E+003
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 2.6736096191406250E+003
-1.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 6.7049887695312500E+003
-1.5000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 8.8426396484375000E+003
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 1.8686349487304688E+002
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 1.8686349487304688E+002
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 2.4586311340332031E+002
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+006, 6.1658569335937500E+002
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+007, 1.5462985839843750E+003
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+008, 3.8778713378906250E+003
-1.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+009, 9.7250839843750000E+003
-1.5000000000000000E+001, 6.4999997615814209E-001, 9.9989995520000000E+009, 1.2825588867187500E+004
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+003, 2.8748229980468750E+002
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+004, 2.8748229980468750E+002
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+005, 3.1847570800781250E+002
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+006, 7.9868652343750000E+002
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+007, 2.0029785156250000E+003
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+008, 5.0231523437500000E+003
-1.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+009, 1.2597268554687500E+004
-1.5000000000000000E+001, 1.0000000000000000E+000, 9.9989995520000000E+009, 1.6613468750000000E+004
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+003, 3.5935287475585938E+002
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+004, 3.5935287475585938E+002
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+005, 3.6415823364257812E+002
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+006, 9.1325091552734375E+002
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+007, 2.2902883300781250E+003
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+008, 5.7436796875000000E+003
-1.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+009, 1.4404235351562500E+004
-1.5000000000000000E+001, 1.2500000000000000E+000, 9.9989995520000000E+009, 1.8996525390625000E+004
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 2.3932556152343750E+002
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 2.3932556152343750E+002
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 4.7906036376953125E+002
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 1.6281345214843750E+003
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 5.5333764648437500E+003
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 1.8805730468750000E+004
-2.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 6.3913156250000000E+004
-2.0000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 9.2364351562500000E+004
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 4.4446176147460938E+002
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 4.4446176147460938E+002
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 6.4032135009765625E+002
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+006, 2.1761960449218750E+003
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+007, 7.3960190429687500E+003
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+008, 2.5136107421875000E+004
-2.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+009, 8.5427570312500000E+004
-2.0000000000000000E+001, 6.4999997615814209E-001, 9.9989995520000000E+009, 1.2345600000000000E+005
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+003, 6.8378735351562500E+002
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+004, 6.8378735351562500E+002
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+005, 7.8358392333984375E+002
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+006, 2.6630881347656250E+003
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+007, 9.0507705078125000E+003
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+008, 3.0759947265625000E+004
-2.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+009, 1.0454073437500000E+005
-2.0000000000000000E+001, 1.0000000000000000E+000, 9.9989995520000000E+009, 1.5107748437500000E+005
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+003, 8.5473425292968750E+002
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+004, 8.5473425292968750E+002
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+005, 8.6997607421875000E+002
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+006, 2.9567001953125000E+003
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+007, 1.0048640625000000E+004
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+008, 3.4151304687500000E+004
-2.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+009, 1.1606660937500000E+005
-2.0000000000000000E+001, 1.2500000000000000E+000, 9.9989995520000000E+009, 1.6773412500000000E+005
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 4.5915942382812500E+002
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 4.5915942382812500E+002
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 1.0920609130859375E+003
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 5.0297548828125000E+003
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 2.3165773437500000E+004
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 1.0669567187500000E+005
-2.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 4.9141315625000000E+005
-2.5000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 7.7819987500000000E+005
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 8.5272460937500000E+002
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 8.5272460937500000E+002
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 1.3451386718750000E+003
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+006, 6.1953676757812500E+003
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+007, 2.8534289062500000E+004
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+008, 1.3142168750000000E+005
-2.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+009, 6.0529493750000000E+005
-2.5000000000000000E+001, 6.4999997615814209E-001, 9.9989995520000000E+009, 9.5854250000000000E+005
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+003, 1.3118841552734375E+003
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+004, 1.3118841552734375E+003
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+005, 1.5551030273437500E+003
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+006, 7.1624096679687500E+003
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+007, 3.2988242187500000E+004
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+008, 1.5193545312500000E+005
