temp_k,qv,qvs,nwfa_per_m3,dt_s,xni_per_m3
 2.2000000000000000E+002, 5.0115879275836051E-005, 5.5684311519144103E-005, 9.9989995520000000E+009, 1.0000000000000000E+001, 0.0000000000000000E+000
 2.2000000000000000E+002, 5.3178515372565016E-005, 5.5684311519144103E-005, 1.1100000000000000E+007, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3178515372565016E-005, 5.5684311519144103E-005, 1.0000000000000000E+008, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3178515372565016E-005, 5.5684311519144103E-005, 3.0000000000000000E+008, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3178515372565016E-005, 5.5684311519144103E-005, 3.0000000000000000E+009, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3178515372565016E-005, 5.5684311519144103E-005, 9.9989995520000000E+009, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3456937166629359E-005, 5.5684311519144103E-005, 1.1100000000000000E+007, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3456937166629359E-005, 5.5684311519144103E-005, 1.0000000000000000E+008, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3456937166629359E-005, 5.5684311519144103E-005, 3.0000000000000000E+008, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3456937166629359E-005, 5.5684311519144103E-005, 3.0000000000000000E+009, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3456937166629359E-005, 5.5684311519144103E-005, 9.9989995520000000E+009, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3735358960693702E-005, 5.5684311519144103E-005, 1.1100000000000000E+007, 1.0000000000000000E+001, 1.0000000000000000E+006
 2.2000000000000000E+002, 5.3735358960693702E-005, 5.5684311519144103E-005, 1.0000000000000000E+008, 1.0000000000000000E+001, 1.0000000000000000E+006
