phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,18, 8.7500000000000000E+003, 3.3495804687500000E+004, 7.3161560297012329E-001, 4.8703373792420828E-015, 5.0000000000000000E+002, 3.2137777709960938E+002, 2.3512500000000000E+002, 4.2276337626390159E-004, 4.8095955097792476E-030, 2.7575311700369480E-040, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0162571200000000E+008, 6.0487712000000000E+008, 2.0162571250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,19, 9.2500000000000000E+003, 3.1466394531250000E+004, 7.1866703033447266E-001, 3.2815948965873116E-017, 5.0000000000000000E+002, 3.2264593505859375E+002, 2.3187500000000000E+002, 3.4612938179634511E-004, 6.2359727355282726E-034, 4.2038953929744512E-045, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1163668800000000E+008, 6.3491008000000000E+008, 2.1163670000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,20, 9.7500000000000000E+003, 2.9559943359375000E+004, 7.0594757795333862E-001, 1.5624864037167613E-019, 5.0000000000000000E+002, 3.2385549926757812E+002, 2.2862500000000000E+002, 2.8338673291727901E-004, 4.3612808286966287E-038, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2210604800000000E+008, 6.6631814400000000E+008, 2.2210605000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9345325231552124E-001, 5.2571599136230137E-022, 5.0000000000000000E+002, 3.2500387573242188E+002, 2.2537500000000000E+002, 2.3201748263090849E-004, 1.6451243971173352E-042, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3305046400000000E+008, 6.9915142400000000E+008, 2.3305047500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8118005990982056E-001, 1.2499322563447126E-024, 5.0000000000000000E+002, 3.2608853149414062E+002, 2.2212500000000000E+002, 1.8995979917235672E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4448694400000000E+008, 7.3346080000000000E+008, 2.4448695000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6912412643432617E-001, 2.1000457595325027E-027, 5.0000000000000000E+002, 3.2710671997070312E+002, 2.1887500000000000E+002, 1.5552595141343772E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5643294400000000E+008, 7.6929881600000000E+008, 2.5643295000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5728151798248291E-001, 2.4932820106929687E-030, 5.0000000000000000E+002, 3.2805578613281250E+002, 2.1562500000000000E+002, 1.2733390030916780E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6890598400000000E+008, 8.0671795200000000E+008, 2.6890597500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 3.3938637375831604E-001, 5.0000000000000000E+002, 2.9284213256835938E+002, 2.9023910522460938E+002, 1.2723734602332115E-002, 0.0000000000000000E+000, 1.6557458729948848E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9888512500000000E+005, 0.0000000000000000E+000, 3.5027328000000000E+008, 8.7745087500000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006, 8.8246221542358398E+000
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 8.3707773685455322E-001, 5.0000000000000000E+002, 2.9427703857421875E+002, 2.8649923706054688E+002, 1.0628099553287029E-002, 0.0000000000000000E+000, 3.2631677458994091E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9751165625000000E+005, 0.0000000000000000E+000, 3.6610800000000000E+008, 9.2023868750000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006, 1.4536707878112793E+001
after,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.4589502811431885E+000, 5.0000000000000000E+002, 2.9578463745117188E+002, 2.8287036132812500E+002, 8.9016472920775414E-003, 2.3584612063132226E-004, 3.3042396535165608E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9696587500000000E+005, 9.4389718750000000E+005, 3.8311440000000000E+008, 9.6562243750000000E+005, 4.1418752516619861E-005, 4.9899999794433825E-006, 9.9899998531327583E-006, 1.4449119567871094E+001
