phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9345325231552124E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.7493515014648438E+002, 2.6000000000000000E+002, 4.4180834665894508E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7066336000000000E+008, 8.1199006720000000E+009, 1.3533167616000000E+010, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8118005990982056E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.8169055175781250E+002, 2.6000000000000000E+002, 4.7051804140210152E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8825171200000000E+008, 8.6475509760000000E+009, 1.4412584960000000E+010, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6912412643432617E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.8856765747070312E+002, 2.6000000000000000E+002, 5.0110840238630772E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0699212800000000E+008, 9.2097638400000000E+009, 1.5349606400000000E+010, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5728151798248291E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.9556869506835938E+002, 2.6000000000000000E+002, 5.3370441310107708E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2696131200000000E+008, 9.8088396800000000E+009, 1.6348065792000000E+010, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.6233181762695312E+002, 2.6000000000000000E+002, 1.2594193685799837E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0781139280879870E-004, 1.1384272511349991E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3145968640000000E+009, 3.8577489920000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 4.2693017167039216E-004, 4.1624858856201172E+001
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.6705841064453125E+002, 2.6000000000000000E+002, 1.3408199883997440E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7407639825250953E-004, 1.7608473717700690E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4641623040000000E+009, 4.1070794240000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 4.8005286953411996E-004, 4.4083011627197266E+001
after,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7187014770507812E+002, 2.6000000000000000E+002, 1.4274939894676208E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9893045828212053E-004, 1.9425657228566706E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6234408960000000E+009, 4.3725685760000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 4.8972241347655654E-004, 4.4303085327148438E+001
after,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7676855468750000E+002, 2.6000000000000000E+002, 1.5197843313217163E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6091497673187405E-004, 1.5338427328970283E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7930769920000000E+009, 4.6552704000000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 4.5326590770855546E-004, 4.2306045532226562E+001
after,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8175524902343750E+002, 2.6000000000000000E+002, 1.6180570237338543E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2131173005327582E-005, 8.6753068899270147E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9737290240000000E+009, 4.9563023360000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 3.8062114617787302E-004, 3.8092628479003906E+001
after,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8683178710937500E+002, 2.6000000000000000E+002, 1.7227017087861896E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7330075429053977E-005, 3.5086781281279400E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1660881920000000E+009, 5.2768527360000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 2.8996722539886832E-004, 3.1646081924438477E+001
