temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.4314999389648438E+002, 9.9999997764825821E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.4314999389648438E+002, 9.9999997764825821E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.4314999389648438E+002, 9.9999997764825821E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.4314999389648438E+002, 9.9999997764825821E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
 2.4314999389648438E+002, 1.9999999552965164E-002, 5.0000000000000000E+006, 3.0041965000000000E+006
 2.4314999389648438E+002, 1.9999999552965164E-002, 1.0000000000000000E+007, 6.0083930000000000E+006
 2.4314999389648438E+002, 1.9999999552965164E-002, 1.1100000000000000E+007, 6.6580440000000000E+006
 2.4314999389648438E+002, 1.9999999552965164E-002, 3.1600000000000000E+007, 1.5244632000000000E+007
 2.4314999389648438E+002, 1.9999999552965164E-002, 1.0000000000000000E+008, 3.4685844000000000E+007
 2.4314999389648438E+002, 1.9999999552965164E-002, 3.1600000000000000E+008, 5.6903880000000000E+007
 2.4314999389648438E+002, 1.9999999552965164E-002, 1.0000000000000000E+009, 7.7119576000000000E+007
 2.4314999389648438E+002, 1.9999999552965164E-002, 3.1600000000000000E+009, 1.2983024800000000E+008
 2.4314999389648438E+002, 1.9999999552965164E-002, 1.0000000000000000E+010, 3.2002432000000000E+008
 2.4314999389648438E+002, 1.9999999552965164E-002, 2.0000000000000000E+010, 6.4004864000000000E+008
 2.4314999389648438E+002, 5.0000000745058060E-002, 5.0000000000000000E+006, 3.8207650000000000E+006
 2.4314999389648438E+002, 5.0000000745058060E-002, 1.0000000000000000E+007, 7.6415300000000000E+006
 2.4314999389648438E+002, 5.0000000745058060E-002, 1.1100000000000000E+007, 8.4714880000000000E+006
 2.4314999389648438E+002, 5.0000000745058060E-002, 3.1600000000000000E+007, 2.0625054000000000E+007
 2.4314999389648438E+002, 5.0000000745058060E-002, 1.0000000000000000E+008, 5.2704580000000000E+007
 2.4314999389648438E+002, 5.0000000745058060E-002, 3.1600000000000000E+008, 1.0640576000000000E+008
 2.4314999389648438E+002, 5.0000000745058060E-002, 1.0000000000000000E+009, 1.6609803200000000E+008
 2.4314999389648438E+002, 5.0000000745058060E-002, 3.1600000000000000E+009, 2.3868089600000000E+008
 2.4314999389648438E+002, 5.0000000745058060E-002, 1.0000000000000000E+010, 4.3485782400000000E+008
 2.4314999389648438E+002, 5.0000000745058060E-002, 2.0000000000000000E+010, 8.6971564800000000E+008
 2.4314999389648438E+002, 1.0000000149011612E-001, 5.0000000000000000E+006, 4.4281815000000000E+006
 2.4314999389648438E+002, 1.0000000149011612E-001, 1.0000000000000000E+007, 8.8563630000000000E+006
 2.4314999389648438E+002, 1.0000000149011612E-001, 1.1100000000000000E+007, 9.8207050000000000E+006
 2.4314999389648438E+002, 1.0000000149011612E-001, 3.1600000000000000E+007, 2.4713538000000000E+007
 2.4314999389648438E+002, 1.0000000149011612E-001, 1.0000000000000000E+008, 6.7009300000000000E+007
 2.4314999389648438E+002, 1.0000000149011612E-001, 3.1600000000000000E+008, 1.5362750400000000E+008
 2.4314999389648438E+002, 1.0000000149011612E-001, 1.0000000000000000E+009, 2.5930000000000000E+008
 2.4314999389648438E+002, 1.0000000149011612E-001, 3.1600000000000000E+009, 3.7047523200000000E+008
 2.4314999389648438E+002, 1.0000000149011612E-001, 1.0000000000000000E+010, 5.5118400000000000E+008
 2.4314999389648438E+002, 1.0000000149011612E-001, 2.0000000000000000E+010, 1.1023680000000000E+009
 2.4314999389648438E+002, 3.1600001454353333E-001, 5.0000000000000000E+006, 4.8838980000000000E+006
 2.4314999389648438E+002, 3.1600001454353333E-001, 1.0000000000000000E+007, 9.7677960000000000E+006
 2.4314999389648438E+002, 3.1600001454353333E-001, 1.1100000000000000E+007, 1.0838396000000000E+007
 2.4314999389648438E+002, 3.1600001454353333E-001, 3.1600000000000000E+007, 2.9585910000000000E+007
 2.4314999389648438E+002, 3.1600001454353333E-001, 1.0000000000000000E+008, 8.5321400000000000E+007
 2.4314999389648438E+002, 3.1600001454353333E-001, 3.1600000000000000E+008, 2.3386779200000000E+008
 2.4314999389648438E+002, 3.1600001454353333E-001, 1.0000000000000000E+009, 5.4022598400000000E+008
 2.4314999389648438E+002, 3.1600001454353333E-001, 3.1600000000000000E+009, 8.1938796800000000E+008
 2.4314999389648438E+002, 3.1600001454353333E-001, 1.0000000000000000E+010, 1.1725134080000000E+009
 2.4314999389648438E+002, 3.1600001454353333E-001, 2.0000000000000000E+010, 2.3450268160000000E+009
 2.4314999389648438E+002, 5.0000000000000000E-001, 5.0000000000000000E+006, 4.9258990000000000E+006
 2.4314999389648438E+002, 5.0000000000000000E-001, 1.0000000000000000E+007, 9.8517980000000000E+006
 2.4314999389648438E+002, 5.0000000000000000E-001, 1.1100000000000000E+007, 1.0932940000000000E+007
 2.4314999389648438E+002, 5.0000000000000000E-001, 3.1600000000000000E+007, 3.0283534000000000E+007
 2.4314999389648438E+002, 5.0000000000000000E-001, 1.0000000000000000E+008, 8.9919888000000000E+007
 2.4314999389648438E+002, 5.0000000000000000E-001, 3.1600000000000000E+008, 2.5620646400000000E+008
 2.4314999389648438E+002, 5.0000000000000000E-001, 1.0000000000000000E+009, 6.5160448000000000E+008
 2.4314999389648438E+002, 5.0000000000000000E-001, 3.1600000000000000E+009, 1.1389984000000000E+009
 2.4314999389648438E+002, 5.0000000000000000E-001, 1.0000000000000000E+010, 1.4207349760000000E+009
 2.4314999389648438E+002, 5.0000000000000000E-001, 2.0000000000000000E+010, 2.8414699520000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+000, 5.0000000000000000E+006, 4.9893435000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+000, 1.0000000000000000E+007, 9.9786870000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+000, 1.1100000000000000E+007, 1.1075755000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+000, 3.1600000000000000E+007, 3.1337340000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+000, 1.0000000000000000E+008, 9.6866200000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+000, 3.1600000000000000E+008, 2.8995052800000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+000, 1.0000000000000000E+009, 8.1984902400000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+000, 3.1600000000000000E+009, 1.6217908480000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+000, 1.0000000000000000E+010, 1.7956898560000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+000, 2.0000000000000000E+010, 3.5913797120000000E+009
 2.4314999389648438E+002, 3.1600000858306885E+000, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.4314999389648438E+002, 3.1600000858306885E+000, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.4314999389648438E+002, 3.1600000858306885E+000, 1.1100000000000000E+007, 1.1092252000000000E+007
 2.4314999389648438E+002, 3.1600000858306885E+000, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.4314999389648438E+002, 3.1600000858306885E+000, 1.0000000000000000E+008, 9.9669496000000000E+007
 2.4314999389648438E+002, 3.1600000858306885E+000, 3.1600000000000000E+008, 3.1156649600000000E+008
 2.4314999389648438E+002, 3.1600000858306885E+000, 1.0000000000000000E+009, 9.5146700800000000E+008
 2.4314999389648438E+002, 3.1600000858306885E+000, 3.1600000000000000E+009, 2.4713538560000000E+009
 2.4314999389648438E+002, 3.1600000858306885E+000, 1.0000000000000000E+010, 1.4622926080000000E+009
 2.4314999389648438E+002, 3.1600000858306885E+000, 2.0000000000000000E+010, 2.9245852160000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+001, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+001, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+001, 1.1100000000000000E+007, 1.1092252000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+001, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+001, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+001, 3.1600000000000000E+008, 3.1558412800000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+001, 1.0000000000000000E+009, 9.9421996800000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+001, 3.1600000000000000E+009, 3.0066357760000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+001, 1.0000000000000000E+010, 6.3202700800000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+001, 2.0000000000000000E+010, 1.2640540160000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+002, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+002, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.4314999389648438E+002, 1.0000000000000000E+002, 1.1100000000000000E+007, 1.1092253000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+002, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+002, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.4314999389648438E+002, 1.0000000000000000E+002, 3.1600000000000000E+008, 3.1577942400000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+002, 1.0000000000000000E+009, 9.9930195200000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+002, 3.1600000000000000E+009, 3.1577034240000000E+009
 2.4314999389648438E+002, 1.0000000000000000E+002, 1.0000000000000000E+010, 4.7898489600000000E+008
 2.4314999389648438E+002, 1.0000000000000000E+002, 2.0000000000000000E+010, 9.5796979200000000E+008
 2.4314999389648438E+002, 2.0000000000000000E+002, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.4314999389648438E+002, 2.0000000000000000E+002, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.4314999389648438E+002, 2.0000000000000000E+002, 1.1100000000000000E+007, 1.1092253000000000E+007
 2.4314999389648438E+002, 2.0000000000000000E+002, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.4314999389648438E+002, 2.0000000000000000E+002, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.4314999389648438E+002, 2.0000000000000000E+002, 3.1600000000000000E+008, 3.1577942400000000E+008
 2.4314999389648438E+002, 2.0000000000000000E+002, 1.0000000000000000E+009, 9.9930195200000000E+008
 2.4314999389648438E+002, 2.0000000000000000E+002, 3.1600000000000000E+009, 3.1577034240000000E+009
 2.4314999389648438E+002, 2.0000000000000000E+002, 1.0000000000000000E+010, 4.7898489600000000E+008
 2.4314999389648438E+002, 2.0000000000000000E+002, 2.0000000000000000E+010, 9.5796979200000000E+008
 2.4800000000000000E+002, 4.9999998882412910E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.4800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.4800000000000000E+002, 4.9999998882412910E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.4800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.4800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.4800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
 2.4800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.4800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.4800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.4800000000000000E+002, 4.9999998882412910E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
 2.4800000000000000E+002, 9.9999997764825821E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.4800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.4800000000000000E+002, 9.9999997764825821E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.4800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.4800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.4800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
 2.4800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.4800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.4800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.4800000000000000E+002, 9.9999997764825821E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
 2.4800000000000000E+002, 1.9999999552965164E-002, 5.0000000000000000E+006, 3.0041965000000000E+006
 2.4800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+007, 6.0083930000000000E+006
 2.4800000000000000E+002, 1.9999999552965164E-002, 1.1100000000000000E+007, 6.6580440000000000E+006
 2.4800000000000000E+002, 1.9999999552965164E-002, 3.1600000000000000E+007, 1.5244632000000000E+007
 2.4800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+008, 3.4685844000000000E+007
