temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.3800000000000000E+002, 1.9999999552965164E-002, 5.0000000000000000E+006, 3.0041965000000000E+006
 2.3800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+007, 6.0083930000000000E+006
 2.3800000000000000E+002, 1.9999999552965164E-002, 1.1100000000000000E+007, 6.6580440000000000E+006
 2.3800000000000000E+002, 1.9999999552965164E-002, 3.1600000000000000E+007, 1.5244632000000000E+007
 2.3800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+008, 3.4685844000000000E+007
 2.3800000000000000E+002, 1.9999999552965164E-002, 3.1600000000000000E+008, 5.6903880000000000E+007
 2.3800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+009, 7.7119576000000000E+007
 2.3800000000000000E+002, 1.9999999552965164E-002, 3.1600000000000000E+009, 1.2983024800000000E+008
 2.3800000000000000E+002, 1.9999999552965164E-002, 1.0000000000000000E+010, 3.2002432000000000E+008
 2.3800000000000000E+002, 1.9999999552965164E-002, 2.0000000000000000E+010, 6.4004864000000000E+008
 2.3800000000000000E+002, 5.0000000745058060E-002, 5.0000000000000000E+006, 3.8207650000000000E+006
 2.3800000000000000E+002, 5.0000000745058060E-002, 1.0000000000000000E+007, 7.6415300000000000E+006
 2.3800000000000000E+002, 5.0000000745058060E-002, 1.1100000000000000E+007, 8.4714880000000000E+006
 2.3800000000000000E+002, 5.0000000745058060E-002, 3.1600000000000000E+007, 2.0625054000000000E+007
 2.3800000000000000E+002, 5.0000000745058060E-002, 1.0000000000000000E+008, 5.2704580000000000E+007
 2.3800000000000000E+002, 5.0000000745058060E-002, 3.1600000000000000E+008, 1.0640576000000000E+008
 2.3800000000000000E+002, 5.0000000745058060E-002, 1.0000000000000000E+009, 1.6609803200000000E+008
 2.3800000000000000E+002, 5.0000000745058060E-002, 3.1600000000000000E+009, 2.3868089600000000E+008
 2.3800000000000000E+002, 5.0000000745058060E-002, 1.0000000000000000E+010, 4.3485782400000000E+008
 2.3800000000000000E+002, 5.0000000745058060E-002, 2.0000000000000000E+010, 8.6971564800000000E+008
 2.3800000000000000E+002, 1.0000000149011612E-001, 5.0000000000000000E+006, 4.4281815000000000E+006
 2.3800000000000000E+002, 1.0000000149011612E-001, 1.0000000000000000E+007, 8.8563630000000000E+006
 2.3800000000000000E+002, 1.0000000149011612E-001, 1.1100000000000000E+007, 9.8207050000000000E+006
 2.3800000000000000E+002, 1.0000000149011612E-001, 3.1600000000000000E+007, 2.4713538000000000E+007
 2.3800000000000000E+002, 1.0000000149011612E-001, 1.0000000000000000E+008, 6.7009300000000000E+007
 2.3800000000000000E+002, 1.0000000149011612E-001, 3.1600000000000000E+008, 1.5362750400000000E+008
 2.3800000000000000E+002, 1.0000000149011612E-001, 1.0000000000000000E+009, 2.5930000000000000E+008
 2.3800000000000000E+002, 1.0000000149011612E-001, 3.1600000000000000E+009, 3.7047523200000000E+008
 2.3800000000000000E+002, 1.0000000149011612E-001, 1.0000000000000000E+010, 5.5118400000000000E+008
 2.3800000000000000E+002, 1.0000000149011612E-001, 2.0000000000000000E+010, 1.1023680000000000E+009
 2.3800000000000000E+002, 3.1600001454353333E-001, 5.0000000000000000E+006, 4.8838980000000000E+006
 2.3800000000000000E+002, 3.1600001454353333E-001, 1.0000000000000000E+007, 9.7677960000000000E+006
 2.3800000000000000E+002, 3.1600001454353333E-001, 1.1100000000000000E+007, 1.0838396000000000E+007
 2.3800000000000000E+002, 3.1600001454353333E-001, 3.1600000000000000E+007, 2.9585910000000000E+007
 2.3800000000000000E+002, 3.1600001454353333E-001, 1.0000000000000000E+008, 8.5321400000000000E+007
 2.3800000000000000E+002, 3.1600001454353333E-001, 3.1600000000000000E+008, 2.3386779200000000E+008
 2.3800000000000000E+002, 3.1600001454353333E-001, 1.0000000000000000E+009, 5.4022598400000000E+008
 2.3800000000000000E+002, 3.1600001454353333E-001, 3.1600000000000000E+009, 8.1938796800000000E+008
