phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9345325231552124E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.4609399414062500E+002, 2.4000000000000000E+002, 6.1054987600073218E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4832451200000000E+008, 7.4497351680000000E+009, 1.2416225600000000E+008, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8118005990982056E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.5232974243164062E+002, 2.4000000000000000E+002, 6.4996798755601048E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6435678400000000E+008, 7.9307038720000000E+009, 1.3217839200000000E+008, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6912412643432617E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.5867785644531250E+002, 2.4000000000000000E+002, 6.9193408126011491E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8142534400000000E+008, 8.4427596800000000E+009, 1.4071267200000000E+008, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5728151798248291E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.6514035034179688E+002, 2.4000000000000000E+002, 7.3661282658576965E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9959718400000000E+008, 8.9879152640000000E+009, 1.4979859200000000E+008, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.4215245056152344E+002, 2.4000000000000000E+002, 1.7480304813943803E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1328911360000000E+009, 3.5548184000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.4651545715332031E+002, 2.4000000000000000E+002, 1.8608022946864367E-004, 0.0000000000000000E+000, 9.8798511038999948E-011, 1.8184093120154898E-011, 1.9599586398300062E-009, 2.8833088805413354E-008, 5.6988138705492020E-002, 9.9652577773667872E-005, 0.0000000000000000E+000, 2.2704916480000000E+009, 3.7841524000000000E+007, 2.4900000425986946E-006, 7.2757909947540611E-005, 4.0761267882771790E-005,-2.0158506393432617E+001
after,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.5286918640136719E+002, 2.4182864379882812E+002, 1.9826987409032881E-004, 0.0000000000000000E+000, 3.0495051760226488E-005, 1.6052584396675229E-004, 5.7833576574921608E-003, 6.6263312473893166E-003, 8.0492931250000000E+005, 3.0758806228637695E+001, 0.0000000000000000E+000, 2.3990617600000000E+009, 4.0234032000000000E+007, 2.4900000425986946E-006, 6.2207138398662210E-005, 3.3133220858871937E-004, 5.1980998992919922E+001
after,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.5715197753906250E+002, 2.4157192993164062E+002, 2.1101528545841575E-004, 0.0000000000000000E+000, 2.1596439182758331E-005, 1.0155532800126821E-004, 4.9184886738657951E-003, 5.3713442757725716E-003, 8.5686600000000000E+005, 2.1783218383789062E+001, 0.0000000000000000E+000, 2.5578716160000000E+009, 4.2841608000000000E+007, 2.4900000425986946E-006, 5.2300732932053506E-005, 3.1565234530717134E-004, 5.0987941741943359E+001
after,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.6112893676757812E+002, 2.4096630859375000E+002, 2.4005267187021673E-004, 1.4551915228366852E-011, 9.4443239504471421E-006, 4.9033405957743526E-005, 2.9289403464645147E-003, 3.0775070190429688E-003, 9.1215462500000000E+005, 9.5259656906127930E+000, 1.8333361148834229E+000, 2.7333176320000000E+009, 4.5626268000000000E+007, 1.3117619346303400E-005, 4.0183924284065142E-005, 2.8035117429681122E-004, 4.8180812835693359E+001
after,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.6496600341796875E+002, 2.4017965698242188E+002, 3.3709147828631103E-004, 9.3342532636597753E-007, 1.3492826838046312E-006, 1.2495783266786020E-005, 1.1706111254170537E-003, 9.2679058434441686E-004, 9.7101300000000000E+005, 1.3609466552734375E+000, 7.2768900000000000E+005, 2.9840010240000000E+009, 4.8587352000000000E+007, 7.1450772338721436E-006, 2.4951154045993462E-005, 2.3466152197215706E-004, 4.1259716033935547E+001
