max_cfl,target_cfl,mif,precision,last_S,last_Sn,last_Sd,out_S,out_Sn,out_Sd,out_real
 0.500000000E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.500000000E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.500000000E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,120,0,1, 0.120000000E+03
 0.500000000E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.500000000E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.500000000E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.600000024E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.600000024E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.600000024E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.600000024E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,42,0,1, 0.420000000E+02
 0.600000024E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,42,0,1, 0.420000000E+02
 0.600000024E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,42,0,1, 0.420000000E+02
 0.600000024E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,99,9,10, 0.999000015E+02
 0.600000024E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,99,9,10, 0.999000015E+02
 0.600000024E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,99,9,10, 0.999000015E+02
 0.600000024E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,22,1,2, 0.225000000E+02
 0.600000024E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,22,1,2, 0.225000000E+02
 0.600000024E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,22,1,2, 0.225000000E+02
 0.699999988E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,51,3,10, 0.512999992E+02
 0.699999988E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,51,3,10, 0.512999992E+02
 0.699999988E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,51,3,10, 0.512999992E+02
 0.699999988E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.699999988E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.699999988E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.699999988E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,85,4,5, 0.858000031E+02
 0.699999988E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,85,4,5, 0.858000031E+02
 0.699999988E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,85,4,5, 0.858000031E+02
 0.699999988E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,17,1,10, 0.171000004E+02
 0.699999988E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,17,1,10, 0.171000004E+02
 0.699999988E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,17,1,10, 0.171000004E+02
 0.800000012E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,45,0,1, 0.450000000E+02
 0.800000012E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,45,0,1, 0.450000000E+02
 0.800000012E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,45,0,1, 0.450000000E+02
 0.800000012E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.800000012E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.800000012E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.800000012E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.800000012E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.800000012E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,75,0,1, 0.750000000E+02
 0.800000012E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,13,1,5, 0.131999998E+02
 0.800000012E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,13,1,5, 0.131999998E+02
 0.800000012E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,13,1,5, 0.131999998E+02
 0.839999974E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,42,9,10, 0.429000015E+02
 0.839999974E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,42,9,10, 0.429000015E+02
 0.839999974E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,42,9,10, 0.429000015E+02
 0.839999974E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.839999974E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.839999974E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.839999974E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,71,2,5, 0.714000015E+02
 0.839999974E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,71,2,5, 0.714000015E+02
 0.839999974E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,71,2,5, 0.714000015E+02
 0.839999974E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,11,7,10, 0.116999998E+02
 0.839999974E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,11,7,10, 0.116999998E+02
 0.839999974E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,11,7,10, 0.116999998E+02
