field,step,k,j,i,value,bits
ht,0,0,1,9, 5.442998558E-002,1029632506
ht,0,0,1,10, 8.310534668E+001,1118189040
ht,0,0,1,11, 1.880085754E+002,1128006194
ht,0,0,1,12, 1.406179810E+002,1124900404
ht,0,0,1,13, 1.960499001E+001,1100797701
ht,0,0,1,14, 2.585918808E+001,1104076702
ht,0,0,2,1, 3.028857613E+001,1106398977
ht,0,0,2,2, 7.087328339E+001,1116585759
ht,0,0,2,3, 5.438084030E+001,1113163259
ht,0,0,2,4, 8.189787865E+000,1090718047
ht,0,0,2,5, 8.980307579E+000,1091546967
ht,0,0,2,6, 5.544007111E+001,1113440930
ht,0,0,2,7, 7.044283295E+001,1116529339
ht,0,0,2,8, 2.908301353E+001,1105766915
ht,0,0,2,9, 2.063173614E-002,1017709539
ht,0,0,2,10, 3.150116730E+001,1107034724
ht,0,0,2,11, 7.126483917E+001,1116637081
ht,0,0,2,12, 5.330138016E+001,1112880285
ht,0,0,2,13, 7.431291580E+000,1089326372
ht,0,0,2,14, 9.801951408E+000,1092408523
ht,0,0,3,1, 5.191597342E-001,1057286055
ht,0,0,3,2, 1.214799762E+000,1067155087
ht,0,0,3,3, 9.321119189E-001,1064214243
ht,0,0,3,4, 1.403766125E-001,1041219299
ht,0,0,3,5, 1.539264917E-001,1042128616
ht,0,0,3,6, 9.502676129E-001,1064518845
ht,0,0,3,7, 1.207421422E+000,1067093193
ht,0,0,3,8, 4.984957576E-001,1056914134
ht,0,0,3,9, 3.536372096E-004,968452194
ht,0,0,3,10, 5.399440527E-001,1057634758
ht,0,0,3,11, 1.221511245E+000,1067211387
ht,0,0,3,12, 9.136094451E-001,1063903823
ht,0,0,3,13, 1.273756325E-001,1040346818
ht,0,0,3,14, 1.680098027E-001,1043073731
ht,0,0,4,1, 1.796794701E+001,1099939419
ht,0,0,4,2, 4.204381943E+001,1109929183
ht,0,0,4,3, 3.226008987E+001,1107364437
ht,0,0,4,4, 4.858388424E+000,1083930603
ht,0,0,4,5, 5.327345371E+000,1084914077
ht,0,0,4,6, 3.288845444E+001,1107529159
ht,0,0,4,7, 4.178846359E+001,1109862243
ht,0,0,4,8, 1.725277901E+001,1099564465
ht,0,0,4,9, 1.223926712E-002,1011386165
ht,0,0,4,10, 1.868728638E+001,1100316560
ht,0,0,4,11, 4.227610779E+001,1109990076
ht,0,0,4,12, 3.161972427E+001,1107096882
ht,0,0,4,13, 4.408429146E+000,1082986970
ht,0,0,4,14, 5.814764977E+000,1085936270
ht,0,0,5,1, 6.659259796E+001,1116024681
ht,0,0,5,2, 1.558223267E+002,1125896836
ht,0,0,5,3, 1.195619888E+002,1122967485
ht,0,0,5,4, 1.800610733E+001,1099959426
ht,0,0,5,5, 1.974414635E+001,1100870659
