field,step,k,j,i,value,bits
up_heli_max,1,0,11,5, 0.000000000E+000,0
uh,1,0,11,6,-4.769822121E+000,-1063738782
up_heli_max,1,0,11,6, 0.000000000E+000,0
uh,1,0,11,7,-3.722961664E+000,-1066515199
up_heli_max,1,0,11,7, 0.000000000E+000,0
uh,1,0,11,8,-1.743120551E+000,-1075896685
up_heli_max,1,0,11,8, 0.000000000E+000,0
uh,1,0,11,9,-5.020263791E-001,-1090485043
up_heli_max,1,0,11,9, 0.000000000E+000,0
uh,1,0,11,10,-8.080792427E-002,-1113227616
up_heli_max,1,0,11,10, 0.000000000E+000,0
uh,1,0,11,11,-3.309607971E-003,-1151801854
up_heli_max,1,0,11,11, 0.000000000E+000,0
uh,1,0,11,12, 8.082471904E-004,978575501
up_heli_max,1,0,11,12, 0.000000000E+000,0
uh,1,0,11,13, 2.445793143E-005,936192770
up_heli_max,1,0,11,13, 0.000000000E+000,0
uh,1,0,11,14, 0.000000000E+000,0
up_heli_max,1,0,11,14, 0.000000000E+000,0
uh,1,0,12,1, 0.000000000E+000,0
up_heli_max,1,0,12,1, 0.000000000E+000,0
uh,1,0,12,2, 0.000000000E+000,0
up_heli_max,1,0,12,2, 0.000000000E+000,0
uh,1,0,12,3, 0.000000000E+000,0
up_heli_max,1,0,12,3, 0.000000000E+000,0
uh,1,0,12,4, 0.000000000E+000,0
up_heli_max,1,0,12,4, 0.000000000E+000,0
uh,1,0,12,5, 0.000000000E+000,0
up_heli_max,1,0,12,5, 0.000000000E+000,0
uh,1,0,12,6,-5.126813054E-001,-1090306283
up_heli_max,1,0,12,6, 0.000000000E+000,0
uh,1,0,12,7,-3.953475952E-001,-1094030592
up_heli_max,1,0,12,7, 0.000000000E+000,0
uh,1,0,12,8,-1.579357237E-001,-1105085977
up_heli_max,1,0,12,8, 0.000000000E+000,0
uh,1,0,12,9,-4.238215461E-002,-1121085207
up_heli_max,1,0,12,9, 0.000000000E+000,0
uh,1,0,12,10,-8.125600405E-003,-1140514499
up_heli_max,1,0,12,10, 0.000000000E+000,0
uh,1,0,12,11,-8.341487955E-006,-1223953813
up_heli_max,1,0,12,11, 0.000000000E+000,0
uh,1,0,12,12, 3.466927446E-004,968213584
up_heli_max,1,0,12,12, 0.000000000E+000,0
uh,1,0,12,13, 4.446225648E-005,943357180
up_heli_max,1,0,12,13, 0.000000000E+000,0
uh,1,0,12,14, 9.553798463E-007,897596058
up_heli_max,1,0,12,14, 0.000000000E+000,0
uh,2,0,1,1, 0.000000000E+000,0
up_heli_max,2,0,1,1, 0.000000000E+000,0
uh,2,0,1,2, 0.000000000E+000,0
up_heli_max,2,0,1,2, 0.000000000E+000,0
uh,2,0,1,3, 0.000000000E+000,0
up_heli_max,2,0,1,3, 0.000000000E+000,0
uh,2,0,1,4, 0.000000000E+000,0
up_heli_max,2,0,1,4, 0.000000000E+000,0
uh,2,0,1,5, 0.000000000E+000,0
up_heli_max,2,0,1,5, 0.000000000E+000,0
uh,2,0,1,6, 0.000000000E+000,0
up_heli_max,2,0,1,6, 0.000000000E+000,0
uh,2,0,1,7, 0.000000000E+000,0
up_heli_max,2,0,1,7, 0.000000000E+000,0
uh,2,0,1,8, 0.000000000E+000,0
up_heli_max,2,0,1,8, 0.000000000E+000,0
uh,2,0,1,9, 0.000000000E+000,0
up_heli_max,2,0,1,9, 0.000000000E+000,0
uh,2,0,1,10, 0.000000000E+000,0
up_heli_max,2,0,1,10, 0.000000000E+000,0
uh,2,0,1,11, 0.000000000E+000,0
up_heli_max,2,0,1,11, 0.000000000E+000,0
uh,2,0,1,12, 0.000000000E+000,0
up_heli_max,2,0,1,12, 0.000000000E+000,0
uh,2,0,1,13, 0.000000000E+000,0
up_heli_max,2,0,1,13, 0.000000000E+000,0
uh,2,0,1,14, 0.000000000E+000,0
up_heli_max,2,0,1,14, 0.000000000E+000,0
uh,2,0,2,1, 0.000000000E+000,0
up_heli_max,2,0,2,1, 0.000000000E+000,0
uh,2,0,2,2,-3.423345461E-002,-1123272607
up_heli_max,2,0,2,2, 0.000000000E+000,0
uh,2,0,2,3,-1.687050462E-001,-1104363260
up_heli_max,2,0,2,3, 0.000000000E+000,0
uh,2,0,2,4,-5.482690334E-001,-1089709220
up_heli_max,2,0,2,4, 0.000000000E+000,0
uh,2,0,2,5,-1.211319804E+000,-1080357753
up_heli_max,2,0,2,5, 0.000000000E+000,0
uh,2,0,2,6,-1.637851477E+000,-1076779746
up_heli_max,2,0,2,6, 0.000000000E+000,0
uh,2,0,2,7,-1.200426459E+000,-1080449133
