route,mechanism,input_id,kernel,device_bits,ieee_reference_bits,flushed_reference_bits,control_bits
R4,__f*_rn intrinsic,min_subnormal_vs_zero,ftz_probe_r4_mul_rn,0x00000000,0x00000000,0x00000000,0x00000000
R4,fminf/fmaxf,normal_control,ftz_probe_r4_min,0x3fc00000,0x3fc00000,0x3fc00000,0x3fc00000
R4,fminf/fmaxf,subnormal_product,ftz_probe_r4_min,0x1e3ce508,0x1e3ce508,0x1e3ce508,0x1e3ce508
R4,fminf/fmaxf,deep_underflow,ftz_probe_r4_min,0x0da24260,0x0da24260,0x0da24260,0x0da24260
R4,fminf/fmaxf,subnormal_operand,ftz_probe_r4_min,0x00000000,0x000116c2,0x00000000,0x00000000
R4,fminf/fmaxf,min_subnormal_operand,ftz_probe_r4_min,0x00000000,0x00000001,0x00000000,0x00000000
R4,fminf/fmaxf,negative_subnormal_operand,ftz_probe_r4_min,0x80000000,0x800116c2,0x80000000,0x80000000
R4,fminf/fmaxf,smallest_normal_control,ftz_probe_r4_min,0x00800000,0x00800000,0x00800000,0x00800000
R4,fminf/fmaxf,subnormal_vs_zero,ftz_probe_r4_min,0x00000000,0x00000000,0x00000000,0x00000000
R4,fminf/fmaxf,min_subnormal_vs_zero,ftz_probe_r4_min,0x00000000,0x00000000,0x00000000,0x00000000
R4,float compare,normal_control,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,subnormal_product,ftz_probe_r4_compare,0x00000000,0x00000000,0x00000000,0x00000000
R4,float compare,deep_underflow,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,subnormal_operand,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,min_subnormal_operand,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,negative_subnormal_operand,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,smallest_normal_control,ftz_probe_r4_compare,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R4,float compare,subnormal_vs_zero,ftz_probe_r4_compare,0x00000000,0x3f800000,0x00000000,0x00000000
R4,float compare,min_subnormal_vs_zero,ftz_probe_r4_compare,0x00000000,0x3f800000,0x00000000,0x00000000
R4,__double2float_rn,normal_control,ftz_probe_r4_d2f,0x40600000,0x40600000,0x40600000,0x40600000
R4,__double2float_rn,subnormal_product,ftz_probe_r4_d2f,0x00000000,0x000116c2,0x00000000,0x00000000
R4,__double2float_rn,deep_underflow,ftz_probe_r4_d2f,0x00000000,0x00000001,0x00000000,0x00000000
R4,__double2float_rn,subnormal_operand,ftz_probe_r4_d2f,0x00000000,0x000116c2,0x00000000,0x00000000
R4,__double2float_rn,min_subnormal_operand,ftz_probe_r4_d2f,0x00000000,0x00000001,0x00000000,0x00000000
R4,__double2float_rn,negative_subnormal_operand,ftz_probe_r4_d2f,0x80000000,0x800116c2,0x80000000,0x80000000
R4,__double2float_rn,smallest_normal_control,ftz_probe_r4_d2f,0x00800000,0x00800000,0x00800000,0x00800000
R4,__double2float_rn,subnormal_vs_zero,ftz_probe_r4_d2f,0x00000000,0x00000000,0x00000000,0x00000000
R4,__double2float_rn,min_subnormal_vs_zero,ftz_probe_r4_d2f,0x00000000,0x00000000,0x00000000,0x00000000
R4,(float) cast,normal_control,ftz_probe_r4_cast,0x40600000,0x40600000,0x40600000,0x40600000
R4,(float) cast,subnormal_product,ftz_probe_r4_cast,0x00000000,0x000116c2,0x00000000,0x00000000
R4,(float) cast,deep_underflow,ftz_probe_r4_cast,0x00000000,0x00000001,0x00000000,0x00000000
R4,(float) cast,subnormal_operand,ftz_probe_r4_cast,0x00000000,0x000116c2,0x00000000,0x00000000
R4,(float) cast,min_subnormal_operand,ftz_probe_r4_cast,0x00000000,0x00000001,0x00000000,0x00000000
R4,(float) cast,negative_subnormal_operand,ftz_probe_r4_cast,0x80000000,0x800116c2,0x80000000,0x80000000
R4,(float) cast,smallest_normal_control,ftz_probe_r4_cast,0x00800000,0x00800000,0x00800000,0x00800000
R4,(float) cast,subnormal_vs_zero,ftz_probe_r4_cast,0x00000000,0x00000000,0x00000000,0x00000000
R4,(float) cast,min_subnormal_vs_zero,ftz_probe_r4_cast,0x00000000,0x00000000,0x00000000,0x00000000
R5,plain-operator arithmetic,normal_control,ftz_probe_ptx_mul,0x40400000,0x40400000,0x40400000,0x40400000
R5,plain-operator arithmetic,subnormal_product,ftz_probe_ptx_mul,0x000116c2,0x000116c2,0x00000000,0x00000000
R5,plain-operator arithmetic,deep_underflow,ftz_probe_ptx_mul,0x00000001,0x00000001,0x00000000,0x00000000
R5,plain-operator arithmetic,subnormal_operand,ftz_probe_ptx_mul,0x000116c2,0x000116c2,0x00000000,0x00000000
R5,plain-operator arithmetic,min_subnormal_operand,ftz_probe_ptx_mul,0x00000001,0x00000001,0x00000000,0x00000000
R5,plain-operator arithmetic,negative_subnormal_operand,ftz_probe_ptx_mul,0x800116c2,0x800116c2,0x80000000,0x80000000
R5,plain-operator arithmetic,smallest_normal_control,ftz_probe_ptx_mul,0x00800000,0x00800000,0x00800000,0x00800000
R5,plain-operator arithmetic,subnormal_vs_zero,ftz_probe_ptx_mul,0x00000000,0x00000000,0x00000000,0x00000000
R5,plain-operator arithmetic,min_subnormal_vs_zero,ftz_probe_ptx_mul,0x00000000,0x00000000,0x00000000,0x00000000
R5,fminf/fmaxf,normal_control,ftz_probe_ptx_min,0x3fc00000,0x3fc00000,0x3fc00000,0x3fc00000
R5,fminf/fmaxf,subnormal_product,ftz_probe_ptx_min,0x1e3ce508,0x1e3ce508,0x1e3ce508,0x1e3ce508
R5,fminf/fmaxf,deep_underflow,ftz_probe_ptx_min,0x0da24260,0x0da24260,0x0da24260,0x0da24260
R5,fminf/fmaxf,subnormal_operand,ftz_probe_ptx_min,0x000116c2,0x000116c2,0x00000000,0x00000000
R5,fminf/fmaxf,min_subnormal_operand,ftz_probe_ptx_min,0x00000001,0x00000001,0x00000000,0x00000000
R5,fminf/fmaxf,negative_subnormal_operand,ftz_probe_ptx_min,0x800116c2,0x800116c2,0x80000000,0x80000000
R5,fminf/fmaxf,smallest_normal_control,ftz_probe_ptx_min,0x00800000,0x00800000,0x00800000,0x00800000
R5,fminf/fmaxf,subnormal_vs_zero,ftz_probe_ptx_min,0x00000000,0x00000000,0x00000000,0x00000000
R5,fminf/fmaxf,min_subnormal_vs_zero,ftz_probe_ptx_min,0x00000000,0x00000000,0x00000000,0x00000000
R5,float compare,normal_control,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,subnormal_product,ftz_probe_ptx_setp,0x00000000,0x00000000,0x00000000,0x00000000
R5,float compare,deep_underflow,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,subnormal_operand,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,min_subnormal_operand,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,negative_subnormal_operand,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,smallest_normal_control,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x3f800000,0x3f800000
R5,float compare,subnormal_vs_zero,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x00000000,0x00000000
R5,float compare,min_subnormal_vs_zero,ftz_probe_ptx_setp,0x3f800000,0x3f800000,0x00000000,0x00000000
R5,(float) cast,normal_control,ftz_probe_ptx_cvt,0x40600000,0x40600000,0x40600000,0x40600000
R5,(float) cast,subnormal_product,ftz_probe_ptx_cvt,0x000116c2,0x000116c2,0x00000000,0x00000000
R5,(float) cast,deep_underflow,ftz_probe_ptx_cvt,0x00000001,0x00000001,0x00000000,0x00000000
R5,(float) cast,subnormal_operand,ftz_probe_ptx_cvt,0x000116c2,0x000116c2,0x00000000,0x00000000
R5,(float) cast,min_subnormal_operand,ftz_probe_ptx_cvt,0x00000001,0x00000001,0x00000000,0x00000000
R5,(float) cast,negative_subnormal_operand,ftz_probe_ptx_cvt,0x800116c2,0x800116c2,0x80000000,0x80000000
R5,(float) cast,smallest_normal_control,ftz_probe_ptx_cvt,0x00800000,0x00800000,0x00800000,0x00800000
R5,(float) cast,subnormal_vs_zero,ftz_probe_ptx_cvt,0x00000000,0x00000000,0x00000000,0x00000000
R5,(float) cast,min_subnormal_vs_zero,ftz_probe_ptx_cvt,0x00000000,0x00000000,0x00000000,0x00000000
