k,tbq
741,0.445133494E-2
742,0.448243227E-2
743,0.451372983E-2
744,0.454523740E-2
745,0.457693869E-2
746,0.460885186E-2
747,0.464097038E-2
748,0.467330357E-2
749,0.470583513E-2
750,0.473858370E-2
751,0.477154274E-2
752,0.480472110E-2
753,0.483811228E-2
754,0.487171672E-2
755,0.490553584E-2
756,0.493958034E-2
757,0.497384230E-2
758,0.500832265E-2
759,0.504302280E-2
760,0.507795345E-2
761,0.511310715E-2
762,0.514848391E-2
763,0.518409582E-2
764,0.521993451E-2
765,0.525600044E-2
766,0.529230572E-2
767,0.532883080E-2
768,0.536559802E-2
769,0.540260877E-2
770,0.543984352E-2
771,0.547732459E-2
772,0.551505294E-2
773,0.555300992E-2
774,0.559121743E-2
775,0.562966615E-2
776,0.566836819E-2
777,0.570730446E-2
778,0.574650755E-2
779,0.578594673E-2
780,0.582564576E-2
781,0.586559484E-2
782,0.590579538E-2
783,0.594625995E-2
784,0.598697877E-2
785,0.602795370E-2
786,0.606918568E-2
787,0.611068821E-2
788,0.615246315E-2
789,0.619448721E-2
790,0.623678742E-2
791,0.627935212E-2
792,0.632219529E-2
793,0.636529457E-2
794,0.640868722E-2
795,0.645233924E-2
796,0.649627578E-2
797,0.654048705E-2
798,0.658497354E-2
799,0.662975060E-2
800,0.667480566E-2
801,0.672015501E-2
802,0.676578656E-2
803,0.681170169E-2
804,0.685790228E-2
805,0.690440321E-2
806,0.695119286E-2
807,0.699828612E-2
808,0.704567134E-2
809,0.709335087E-2
810,0.714132562E-2
811,0.718961097E-2
812,0.723819574E-2
813,0.728709437E-2
814,0.733629521E-2
815,0.738580059E-2
816,0.743562542E-2
817,0.748575805E-2
818,0.753620034E-2
819,0.758696720E-2
820,0.763804698E-2
821,0.768944249E-2
822,0.774116814E-2
823,0.779321184E-2
824,0.784557592E-2
825,0.789827574E-2
826,0.795130059E-2
827,0.800466631E-2
828,0.805835892E-2
829,0.811238028E-2
830,0.816674810E-2
831,0.822144933E-2
832,0.827648677E-2
833,0.833187532E-2
834,0.838760193E-2
835,0.844368525E-2
836,0.850011315E-2
837,0.855688378E-2
838,0.861400086E-2
839,0.867148302E-2
840,0.872933213E-2
841,0.878753327E-2
842,0.884608831E-2
843,0.890500098E-2
844,0.896428805E-2
845,0.902393553E-2
846,0.908396207E-2
847,0.914435368E-2
848,0.920512900E-2
849,0.926627219E-2
850,0.932778697E-2
851,0.938967336E-2
852,0.945195276E-2
853,0.951462798E-2
854,0.957768131E-2
855,0.964111555E-2
856,0.970493443E-2
857,0.976915564E-2
858,0.983378291E-2
859,0.989880040E-2
860,0.996421091E-2
861,0.100300135E-1
862,0.100962324E-1
863,0.101628685E-1
864,0.102299061E-1
865,0.102973459E-1
866,0.103652105E-1
867,0.104334839E-1
868,0.105021661E-1
869,0.105712796E-1
870,0.106408084E-1
871,0.107107731E-1
872,0.107811568E-1
873,0.108519830E-1
874,0.109232115E-1
875,0.109949075E-1
876,0.110670319E-1
877,0.111395875E-1
878,0.112125752E-1
879,0.112860203E-1
880,0.113599245E-1
881,0.114342691E-1
882,0.115090562E-1
883,0.115843108E-1
884,0.116600124E-1
885,0.117361862E-1
886,0.118128136E-1
