case,k,iland,isoil,nroot,delt,conflx,prcpms,rainf,patm,qvatm,qcatm,glw,gsw,gswin,emiss,rnet,qkms,tkms,pc,cst_before,cst_after,drip,infwater,rho,vegfrac,lai,qwrtz,rhocs,dqm,qmin,ref,wilt,psis,bclh,ksat,sat,cn,tabs,soilmois_before,soilmois_after,tso_before,tso_after,smfrkeep_before,smfrkeep_after,keepfr_before,keepfr_after,soilice,soiliqw,soilt_before,soilt_after,qvg_before,qvg_after,qsg_before,qsg_after,qcg_before,qcg_after,dew,edir1,ec1,ett1,eeta,qfx,hfx,s,evapl,prcpl,fltot,runoff1,runoff2,mavail_before,mavail_after,infiltrp,smf
dry_grass,2,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.379999988E-1,0.379999168E-1,301.450012,301.061859,0.00000000,0.422222205E-1,0.00000000,0.00000000,0.00000000,0.379999988E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,3,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.410000011E-1,0.409999751E-1,300.899994,300.901245,0.00000000,0.455555543E-1,0.00000000,0.00000000,0.00000000,0.410000011E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,4,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.439999998E-1,0.439999886E-1,300.350006,300.351227,0.00000000,0.488888882E-1,0.00000000,0.00000000,0.00000000,0.439999998E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,5,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.469999984E-1,0.469999984E-1,299.799988,299.800079,0.00000000,0.522222184E-1,0.00000000,0.00000000,0.00000000,0.469999984E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,6,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.500000007E-1,0.499999933E-1,299.250000,299.250000,0.00000000,0.555555560E-1,0.00000000,0.00000000,0.00000000,0.500000007E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,7,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.529999994E-1,0.530000068E-1,298.700012,298.700043,0.00000000,0.588888861E-1,0.00000000,0.00000000,0.00000000,0.529999994E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,8,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.560000017E-1,0.560000017E-1,298.149994,298.149994,0.00000000,0.622222200E-1,0.00000000,0.00000000,0.00000000,0.560000017E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
dry_grass,9,10,4,6,60.0000000,40.0000000,0.00000000,0.00000000,0.949999988,0.300000003E-2,0.00000000,330.000000,420.000000,500.000000,0.920000017,520.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.00000000,0.00000000,0.00000000,0.00000000,1.10000002,0.349999994,2.90000010,0.250000000,1270000.00,0.451000005,0.340000018E-1,0.368999988,0.143000007,-0.786000013,5.30000019,0.719999980E-5,0.500000024E-3,0.500000000,305.000000,0.590000004E-1,0.590000004E-1,297.600006,297.600006,0.00000000,0.655555502E-1,0.00000000,0.00000000,0.00000000,0.590000004E-1,302.000000,293.992035,0.600000005E-2,0.108730374E-1,0.260000005E-1,0.161217283E-1,0.00000000,0.00000000,0.00000000,0.796779798E-8,0.00000000,0.113666958E-9,0.808146524E-5,20.2036629,-123.428192,-256.695618,0.808146524E-5,0.00000000,-5.76177979,0.00000000,0.00000000,0.600000024,0.104427792,-0.00000000,0.00000000
frozen_crop_rain,1,12,6,6,60.0000000,40.0000000,0.399999999E-5,1.00000000,0.949999988,0.350000011E-2,0.00000000,330.000000,420.000000,500.000000,0.935000002,110.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.799999980E-4,0.803327712E-4,0.00000000,0.399999999E-5,1.10000002,0.550000012,5.67999983,0.400000006,1210000.00,0.400999993,0.500000007E-1,0.314000010,0.136999995,-0.477999985,5.38999987,0.695000017E-5,0.500000024E-3,0.500000000,270.000000,0.280000001,0.283403814,268.000000,269.258118,0.311111122,0.235502452,0.00000000,1.00000000,0.228385866,0.744527131E-1,269.000000,269.258118,0.300000003E-2,0.288884365E-2,0.400000019E-2,0.288884365E-2,0.00000000,0.244462630E-3,0.916734643E-5,0.00000000,0.00000000,0.00000000,-0.100840816E-4,-25.2102032,-8.31844807,137.335236,-0.100840816E-4,0.399999999E-5,10.5067139,0.371375290E-5,0.00000000,0.600000024,1.00000000,-0.290785124E-6,0.00000000
frozen_crop_rain,2,12,6,6,60.0000000,40.0000000,0.399999999E-5,1.00000000,0.949999988,0.350000011E-2,0.00000000,330.000000,420.000000,500.000000,0.935000002,110.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.799999980E-4,0.803327712E-4,0.00000000,0.399999999E-5,1.10000002,0.550000012,5.67999983,0.400000006,1210000.00,0.400999993,0.500000007E-1,0.314000010,0.136999995,-0.477999985,5.38999987,0.695000017E-5,0.500000024E-3,0.500000000,270.000000,0.282999992,0.283269018,268.450012,268.499786,0.314444453,0.236550167,0.00000000,1.00000000,0.236281708,0.703464448E-1,269.000000,269.258118,0.300000003E-2,0.288884365E-2,0.400000019E-2,0.288884365E-2,0.00000000,0.244462630E-3,0.916734643E-5,0.00000000,0.00000000,0.00000000,-0.100840816E-4,-25.2102032,-8.31844807,137.335236,-0.100840816E-4,0.399999999E-5,10.5067139,0.371375290E-5,0.00000000,0.600000024,1.00000000,-0.290785124E-6,0.00000000
frozen_crop_rain,3,12,6,6,60.0000000,40.0000000,0.399999999E-5,1.00000000,0.949999988,0.350000011E-2,0.00000000,330.000000,420.000000,500.000000,0.935000002,110.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.799999980E-4,0.803327712E-4,0.00000000,0.399999999E-5,1.10000002,0.550000012,5.67999983,0.400000006,1210000.00,0.400999993,0.500000007E-1,0.314000010,0.136999995,-0.477999985,5.38999987,0.695000017E-5,0.500000024E-3,0.500000000,270.000000,0.286000013,0.285966128,268.899994,268.894897,0.317777812,0.237326145,0.00000000,0.00000000,0.237356856,0.723788291E-1,269.000000,269.258118,0.300000003E-2,0.288884365E-2,0.400000019E-2,0.288884365E-2,0.00000000,0.244462630E-3,0.916734643E-5,0.00000000,0.00000000,0.00000000,-0.100840816E-4,-25.2102032,-8.31844807,137.335236,-0.100840816E-4,0.399999999E-5,10.5067139,0.371375290E-5,0.00000000,0.600000024,1.00000000,-0.290785124E-6,0.00000000
frozen_crop_rain,4,12,6,6,60.0000000,40.0000000,0.399999999E-5,1.00000000,0.949999988,0.350000011E-2,0.00000000,330.000000,420.000000,500.000000,0.935000002,110.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.799999980E-4,0.803327712E-4,0.00000000,0.399999999E-5,1.10000002,0.550000012,5.67999983,0.400000006,1210000.00,0.400999993,0.500000007E-1,0.314000010,0.136999995,-0.477999985,5.38999987,0.695000017E-5,0.500000024E-3,0.500000000,270.000000,0.289000005,0.288984120,269.350006,269.348694,0.321111113,0.237762719,0.00000000,0.00000000,0.237771749,0.750054270E-1,269.000000,269.258118,0.300000003E-2,0.288884365E-2,0.400000019E-2,0.288884365E-2,0.00000000,0.244462630E-3,0.916734643E-5,0.00000000,0.00000000,0.00000000,-0.100840816E-4,-25.2102032,-8.31844807,137.335236,-0.100840816E-4,0.399999999E-5,10.5067139,0.371375290E-5,0.00000000,0.600000024,1.00000000,-0.290785124E-6,0.00000000
frozen_crop_rain,5,12,6,6,60.0000000,40.0000000,0.399999999E-5,1.00000000,0.949999988,0.350000011E-2,0.00000000,330.000000,420.000000,500.000000,0.935000002,110.000000,0.149999997E-1,0.999999978E-2,0.400000006,0.799999980E-4,0.803327712E-4,0.00000000,0.399999999E-5,1.10000002,0.550000012,5.67999983,0.400000006,1210000.00,0.400999993,0.500000007E-1,0.314000010,0.136999995,-0.477999985,5.38999987,0.695000017E-5,0.500000024E-3,0.500000000,270.000000,0.291999996,0.291999102,269.799988,269.799927,0.324444443,0.237765700,0.00000000,0.00000000,0.237766191,0.780104101E-1,269.000000,269.258118,0.300000003E-2,0.288884365E-2,0.400000019E-2,0.288884365E-2,0.00000000,0.244462630E-3,0.916734643E-5,0.00000000,0.00000000,0.00000000,-0.100840816E-4,-25.2102032,-8.31844807,137.335236,-0.100840816E-4,0.399999999E-5,10.5067139,0.371375290E-5,0.00000000,0.600000024,1.00000000,-0.290785124E-6,0.00000000
