case,idx,arm,k,u,v,w,t,qv,p,pi,rho,dz8w,p8w,rthften,rqvften,rthraten,rthblten,rqvblten,rthcuten,rqvcuten,rqccuten,rqicuten,dudt_phy,dvdt_phy,gdc,gdc2
2,4,1,5, 9.2600002288818359E+000, 7.9839998483657837E-001, 2.6312873233109713E-003, 3.0172399902343750E+002, 1.8514690920710564E-002, 9.1951703125000000E+004, 9.7631174325942993E-001, 1.0500031709671021E+000, 1.5200000000000000E+002, 9.2727843750000000E+004, 1.9369999790797010E-005, 9.4959995422527754E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,6, 9.6625003814697266E+000, 7.3399996757507324E-001, 3.4643691033124924E-003, 3.0067749023437500E+002, 1.7451554536819458E-002, 9.0319953125000000E+004, 9.7132992744445801E-001, 1.0356239080429077E+000, 1.7000000000000000E+002, 9.1175562500000000E+004, 1.9168750441167504E-005, 9.3349994401137337E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,7, 1.0109999656677246E+001, 6.6240000724792480E-001, 4.3833018280565739E-003, 2.9951400756835938E+002, 1.6330597922205925E-002, 8.8533265625000000E+004, 9.6580082178115845E-001, 1.0197707414627075E+000, 1.8800000000000000E+002, 8.9464343750000000E+004, 1.8945000192616135E-005, 9.1560004022994690E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,8, 1.0602499961853027E+001, 5.8360004425048828E-001, 5.3834393620491028E-003, 2.9823348999023438E+002, 1.5167752280831337E-002, 8.6599953125000000E+004, 9.5972740650177002E-001, 1.0024890899658203E+000, 2.0600000000000000E+002, 8.7602179687500000E+004, 1.8698749045142904E-005, 8.9589997642747221E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,9, 1.1139999389648438E+001, 4.9760001897811890E-001, 6.4585302025079727E-003, 2.9683599853515625E+002, 1.3979163020849228E-002, 8.4528984375000000E+004, 9.5311313867568970E-001, 9.8382884263992310E-001, 2.2400000000000000E+002, 8.5597726562500000E+004, 1.8429998817737214E-005, 8.7440001905747522E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,10, 1.1722499847412109E+001, 4.0439999103546143E-001, 7.6004252769052982E-003, 2.9532150268554688E+002, 1.2780652381479740E-002, 8.2329914062500000E+004, 9.4596183300018311E-001, 9.6384674310684204E-001, 2.4200000000000000E+002, 8.3460250000000000E+004, 1.8138749510399066E-005, 8.5109999048427198E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,11, 1.2350000381469727E+001, 3.0400002002716064E-001, 8.7987836450338364E-003, 2.9369000244140625E+002, 1.1587516404688358E-002, 8.0012804687500000E+004, 9.3827748298645020E-001, 9.4260442256927490E-001, 2.6000000000000000E+002, 8.1199578125000000E+004, 1.7824999304139055E-005, 8.2599997952570448E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,12, 1.3022500038146973E+001, 1.9640004634857178E-001, 1.0040782392024994E-002, 2.9194149780273438E+002, 1.0414219461381435E-002, 7.7588187500000000E+004, 9.3006443977355957E-001, 9.2016911506652832E-001, 2.7800000000000000E+002, 7.8826031250000000E+004, 1.7488750017946586E-005, 7.9909998618177269E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,13, 1.3739999771118164E+001, 8.1600010395050049E-002, 1.1310858651995659E-002, 2.9007598876953125E+002, 9.2741148546338081E-003, 7.5067007812500000E+004, 9.2132747173309326E-001, 8.9661389589309692E-001, 2.9600000000000000E+002, 7.6350351562500000E+004, 1.7129999832832254E-005, 7.7040001045247664E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,14, 1.4502500534057617E+001,-4.0400028228759766E-002, 1.2590476311743259E-002, 2.8809350585937500E+002, 8.1792315468192101E-003, 7.2460523437500000E+004, 9.1207170486450195E-001, 8.7201631069183350E-001, 3.1400000000000000E+002, 7.3783664062500000E+004, 1.6748750567785464E-005, 7.3990000792889532E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,15, 1.5309999465942383E+001,-1.6960000991821289E-001, 1.3857971876859665E-002, 2.8599398803710938E+002, 7.1400091983377934E-003, 6.9780265625000000E+004, 9.0230250358581543E-001, 8.4645992517471313E-001, 3.3200000000000000E+002, 7.1137382812500000E+004, 1.6345000403816812E-005, 7.0759997861102875E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,16, 1.6162498474121094E+001,-3.0599999427795410E-001, 1.5088465996086597E-002, 2.8377749633789062E+002, 6.1652581207454205E-003, 6.7037976562500000E+004, 8.9202576875686646E-001, 8.2003200054168701E-001, 3.5000000000000000E+002, 6.8423156250000000E+004, 1.5918749340926297E-005, 6.7350001131671888E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,17, 1.7059999465942383E+001,-4.4959998130798340E-001, 1.6253883019089699E-002, 2.8144400024414062E+002, 5.2619478665292263E-003, 6.4245500000000000E+004, 8.8124752044677734E-001, 7.9282444715499878E-001, 3.6800000000000000E+002, 6.5652796875000000E+004, 1.5469999198103324E-005, 6.3760001722812376E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,18, 1.8002498626708984E+001,-6.0039997100830078E-001, 1.7323125153779984E-002, 2.7899349975585938E+002, 4.4351927936077118E-003, 6.1414742187500000E+004, 8.6997437477111816E-001, 7.6493281126022339E-001, 3.8600000000000000E+002, 6.2838199218750000E+004, 1.4998749975347891E-005, 5.9989999634524338E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,19, 1.8989999771118164E+001,-7.5839996337890625E-001, 1.8262380734086037E-002, 2.7642599487304688E+002, 3.6882322747260332E-003, 5.8557589843750000E+004, 8.5821318626403809E-001, 7.3645532131195068E-001, 4.0400000000000000E+002, 5.9991281250000000E+004, 1.4504999853670597E-005, 5.6039999307699873E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
