case,idx,arm,ndiff_words_vs_gfdrv,ktop_direct,ktop_driver,xmbs_direct,xmbs_driver,ierr_direct
3,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,5,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,5,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,5,1,0,28,28, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,5,1,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,5,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,5,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,5,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,5,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,5,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
1,6,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,6,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,6,0,107,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,6,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,6,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
